Physical Time (s),ep_top Monitor (W): top_cv1,ep_top Monitor (W): top_cv2,ep_top Monitor (W): top_cv3,ep_top Monitor (W): top_cv4,ep_top Monitor (W): top_cv5,ep_top Monitor (W): top_cv6,ep_top Monitor (W): top_cv7
0.13,2.8487378198888084e-09,-2.1626317255477628e-11,-3.4577613154019975e-10,-2.3139774935972455e-10,-5.1231120565070934e-10,-6.0602326695519572e-09,-7.9511951095190875e-09
0.1325,3.5044253610415284e-09,-1.2727711361449917e-10,-2.6233690192128004e-10,-1.495120920158561e-10,-7.9019705551318899e-10,-7.6827709112988386e-09,-7.4245158847189713e-09
0.135,2.5287182486471335e-09,-1.6631401268460144e-10,-1.3837427853175408e-11,-1.5205428423451015e-10,-9.9451272807100455e-10,-6.7145861691976697e-09,-5.1837854441097392e-09
0.1375,1.080145452342104e-09,1.1053185123410698e-10,4.6707375087754214e-10,-3.1228030401227743e-10,-1.0599920113870667e-09,-3.5893340347828477e-09,-2.7020492312213291e-09
0.14,3.8876458613694048e-10,8.0447259108208032e-10,9.7425301147328187e-10,-7.6681407829695179e-10,-1.0317666882459194e-09,2.0185966279883736e-10,-5.1096033488663955e-10
0.1425,8.4663163215550645e-10,1.721481869950923e-09,1.131144541488847e-09,-1.5491676624534881e-09,-1.0104102623285152e-09,3.1240786445471524e-09,1.8400857213670648e-09
0.145,1.7895004406147141e-09,2.4698977857277418e-09,7.145089723065675e-10,-2.4657012641207331e-09,-1.0609365414142726e-09,4.3843018878434187e-09,4.7098013184245813e-09
0.1475,2.0898207745024533e-09,2.7230881021130343e-09,-1.0591764005538436e-10,-3.1472915310412647e-09,-1.1567984339829293e-09,4.1053328280623517e-09,7.4351488689348346e-09
0.15,1.0390786612698669e-09,2.4402181970634566e-09,-8.6944317706930328e-10,-3.2622529072228088e-09,-1.1971936009770432e-09,2.9195187362273533e-09,8.57296567828713e-09
0.1525,-1.1934610346893156e-09,1.8385775707625176e-09,-1.1525888154426465e-09,-2.7118229034251923e-09,-1.0780210874141594e-09,1.4920817397971391e-09,7.1422346914944052e-09
0.155,-3.7773841368173894e-09,1.203254134672061e-09,-8.5773413414761903e-10,-1.685900900313178e-09,-7.6092600985075779e-10,2.7054837238438093e-10,3.6998833536785856e-09
0.1575,-5.8023246202407114e-09,7.1133838370364977e-10,-2.2651459148635283e-10,-5.4230746489423787e-10,-3.0115287760329437e-10,-4.9043026103497392e-10,1.7363897469381407e-10
0.16,-6.746795207379696e-09,3.928454389221894e-10,3.8652599837831605e-10,3.9052876476971217e-10,1.8564060129114904e-10,-6.3082264927749105e-10,-1.461444977094491e-09
0.1625,-6.5753619997966614e-09,2.0031431133123633e-10,7.4620906761467668e-10,9.4558570690267654e-10,5.8263116775947928e-10,-1.0920650650352824e-10,-5.6360285269325393e-10
0.165,-5.5699854842159347e-09,7.8649550012499429e-11,8.095582563942327e-10,1.1288852305738018e-09,8.1556196839154204e-10,8.6374106427785431e-10,1.8031423831146168e-09
0.1675,-4.1043688860935785e-09,-6.153783784817004e-12,6.5811122858055705e-10,1.0469901258200288e-09,8.6940527680919014e-10,1.7805383298744763e-09,3.7042417743746169e-09
0.17,-2.4727555874461043e-09,-7.2570235267324794e-11,3.9569383436898132e-10,8.2444779944240634e-10,7.7682923847248901e-10,2.021748067645697e-09,3.6622078129323642e-09
0.1725,-8.3736658171228252e-10,-1.2822929589190108e-10,1.0358597485136135e-10,5.6369822485662631e-10,5.9401066119456393e-10,1.2139429291560047e-09,1.5095491609362446e-09
0.175,7.5369940827799675e-10,-1.6947115213090061e-10,-1.4520318792206786e-10,3.4415797909954512e-10,3.7821561388396954e-10,-4.8339034066072312e-10,-1.7102422121987592e-09
0.1775,2.3088179369733555e-09,-1.816688525158621e-10,-2.6642717140017931e-10,2.2499259480254741e-10,1.7379140120788543e-10,-2.4054129711754874e-09,-4.5279996918652014e-09
0.18,3.82231972654821e-09,-1.4550272168155213e-10,-1.7587587501924446e-10,2.415585616935871e-10,1.2448908661513393e-11,-3.7357664475446627e-09,-5.8843983752184029e-09
0.1825,5.2250861182359169e-09,-4.4734808510547726e-11,1.7561430287522667e-10,3.9868619573494315e-10,-7.637610260222154e-11,-3.9561738966629582e-09,-5.5396557795565668e-09
0.185,6.3806774511935604e-09,1.3080338174778235e-10,7.7998028071565385e-10,6.82855464588068e-10,-5.7902189099828504e-11,-3.1012459722926914e-09,-3.9699675077872724e-09
0.1875,7.1393945540307092e-09,3.8591678013604911e-10,1.582473177729355e-09,1.0856637515447243e-09,1.030223498276923e-10,-1.659914555828166e-09,-1.965956976593671e-09
0.19,7.4105487728442456e-09,7.1657055450296168e-10,2.5054335870572617e-09,1.6110832218863168e-09,4.2357387961544475e-10,-2.2844990102993004e-10,-2.3659878782289266e-10
0.1925,7.206935756564506e-09,1.1031598546948155e-09,3.4615148820158993e-09,2.251282769699043e-09,8.8224122325356781e-10,8.2483984230887267e-10,8.1838771838315026e-10
0.195,6.6345506839751154e-09,1.5033799769262276e-09,4.3499095375443104e-09,2.9482270537009737e-09,1.4097455307846006e-09,1.4401892884610012e-09,1.1323030109269873e-09
0.1975,5.8464023087572171e-09,1.8533697481607855e-09,5.0486819633343853e-09,3.5790401940893058e-09,1.8969434642745782e-09,1.739637074438166e-09,8.8242411821923481e-10
0.2,4.9879208523246415e-09,2.0823167856904513e-09,5.4328265184754304e-09,3.9857206466561947e-09,2.2234317516171321e-09,1.8401114467510639e-09,3.7505954025457369e-10
