Physical Time (s),ev_top Monitor (W): top_cv1,ev_top Monitor (W): top_cv2,ev_top Monitor (W): top_cv3,ev_top Monitor (W): top_cv4,ev_top Monitor (W): top_cv5,ev_top Monitor (W): top_cv6,ev_top Monitor (W): top_cv7
0.1125,7.685316000872029e-13,-2.6841678757622033e-15,-2.0394864176358748e-14,-3.5006384298004461e-15,7.7283770817646922e-15,3.5807914669809345e-13,1.9870468696338211e-13
0.115,1.4466622614541276e-12,-1.4204253817980003e-15,-3.2638231330905709e-14,-1.644835855041109e-14,1.396532185700604e-15,2.9869997503220659e-13,2.7196984250620522e-13
0.1175,2.1841974795142813e-12,-1.2742998119003788e-16,-3.9133874204785378e-14,-3.1804745512993216e-14,-1.8667145581993547e-15,1.0822235900140728e-13,1.9134179524043605e-13
0.12,2.7397366255389989e-12,1.3529474684859076e-15,-3.3711457718292197e-14,-3.4261667634169807e-14,-5.6123867969204766e-15,7.3719796137835769e-15,6.3359201177163991e-14
0.1225,2.9130903350502382e-12,2.527058783554008e-15,-2.1021188889464812e-14,-2.3707393874273236e-14,-1.1375309471640742e-14,-7.1232177932723215e-15,7.623502261704893e-15
0.125,2.6433529538069272e-12,2.6795564978916792e-15,-1.0223658560458433e-14,-1.1774391587951767e-14,-1.7826671279573212e-14,-8.9192227045072653e-14,-1.7289970200823937e-14
0.1275,2.0333993319741797e-12,1.5547523108327348e-15,-5.1823121114964952e-15,-5.1717477340399043e-15,-2.1554417246653594e-14,-2.3811372489009667e-13,-1.1596889209182054e-13
0.13,1.299750910335993e-12,-6.1261632820046821e-18,-5.0748144492979439e-15,-3.0665916681801086e-15,-2.0089390644930821e-14,-2.9862516137605758e-13,-2.6012403744004209e-13
0.1325,6.6798202407218649e-13,-2.6889131239537089e-15,-1.2362550361100737e-14,-3.8295409742026456e-15,-1.4560451963447209e-14,-2.0972921601235288e-13,-3.0538982824015024e-13
0.135,2.6455523504663523e-13,-1.8876379723936904e-14,-4.34186664347262e-14,-9.380014456392767e-15,-8.6274985234130755e-15,-7.6975166710412415e-14,-1.9863708599648096e-13
0.1375,7.0986232238505145e-14,-8.3213139241189163e-14,-1.392921625826087e-13,-2.6983119809985788e-14,-5.0948276850704828e-15,-8.8278955390586071e-15,-5.8705629484345268e-14
0.14,-2.5125769395775938e-14,-2.3964521418659517e-13,-3.5263229433136872e-13,-6.6405747051351873e-14,-4.2015527438936661e-15,-7.1476322585315804e-19,-3.0967006360279531e-15
0.1425,-1.1973977730909e-13,-4.9513505407799892e-13,-6.9315241219302391e-13,-1.2924384476943655e-13,-4.8757436980601405e-15,9.0568772317160993e-15,7.2336760340114874e-15
0.145,-2.196286119912266e-13,-7.792474787547908e-13,-1.0765637044558852e-12,-2.0000768213266755e-13,-6.3255079269599921e-15,3.4620912818755081e-14,6.6024727281184402e-14
0.1475,-2.7027764687350274e-13,-9.6912880460735123e-13,-1.352010533986314e-12,-2.5214017485869901e-13,-8.2262987304715643e-15,4.8105748266959547e-14,1.4883547846774269e-13
0.15,-2.3575741720270133e-13,-9.7600523072755615e-13,-1.4034308261634627e-12,-2.6565370012421245e-13,-1.0352349454530191e-14,3.3948587806829319e-14,1.5629203108766691e-13
