Physical Time (s),enth_flux_viscous_bot Monitor (W): bot_cv1,enth_flux_viscous_bot Monitor (W): bot_cv2,enth_flux_viscous_bot Monitor (W): bot_cv3,enth_flux_viscous_bot Monitor (W): bot_cv4,enth_flux_viscous_bot Monitor (W): bot_cv5,enth_flux_viscous_bot Monitor (W): bot_cv6,enth_flux_viscous_bot Monitor (W): bot_cv7
0.0275,-2.7330500898388349e-10,-1.2514184754038415e-11,-1.5648263958629022e-11,-1.165924150409432e-10,-1.1318625655619439e-10,-6.5488145572331145e-11,-2.6912227876219816e-12
0.03,-3.2785934824183696e-10,-5.8639739131721852e-13,5.6470862611845181e-11,-1.4606770381969982e-11,-9.1441134015005475e-11,-8.5162637681675688e-11,-5.2966392041124002e-12
0.0325,-2.700967506964237e-10,-2.9586766296742601e-13,7.8611306040549898e-11,7.5666078191221972e-11,-3.3743649306552189e-11,-9.0247140548205242e-11,-8.7604964402743767e-12
0.035,-1.5176406131044485e-10,-4.9176531125256817e-12,6.6832634995763523e-11,1.2058094526984344e-10,4.0017084201677268e-11,-6.9638907223637649e-11,-1.2175899455687851e-11
0.0375,-2.0584136826543633e-11,-1.1917497691996366e-11,3.391616469510195e-11,1.1841012221869452e-10,9.7689789442332818e-11,-2.0401864173178396e-11,-1.4008576835339488e-11
0.04,9.0397219960030611e-11,-2.031588849144689e-11,-9.6390183239193496e-12,8.1555215782915707e-11,1.1764429422031312e-10,4.5482582572274572e-11,-1.2450218753728508e-11
0.0425,1.5957790672096925e-10,-2.9851728224005817e-11,-5.4023535406613254e-11,2.4820823756294263e-11,9.8188462406776202e-11,1.0398842253662906e-10,-5.8856063633258727e-12
0.045,1.773494335377468e-10,-4.0913121849639648e-11,-9.1975033665340668e-11,-3.6338635087086229e-11,5.0885715589028302e-11,1.3105071491738943e-10,5.5313437633013675e-12
0.0475,1.5210617597085964e-10,-5.2549497265641986e-11,-1.1892858012840017e-10,-8.7242950878611418e-11,-7.7995339757925827e-12,1.1463366503077896e-10,1.8419902043193767e-11
0.05,1.1246690001873105e-10,-6.1013923045026957e-11,-1.3219665092503743e-10,-1.1833851540706272e-10,-6.1169709528750456e-11,5.9670205010464553e-11,2.6026386104116213e-11
0.0525,9.3018975490258668e-11,-6.1116825989794718e-11,-1.2989662853630767e-10,-1.2752098348929165e-10,-9.6673652584952495e-11,-1.5631643917309359e-11,2.1123950917175401e-11
0.055,1.1210344456168361e-10,-4.9240220273678955e-11,-1.1081033530097699e-10,-1.1768998048184992e-10,-1.0933698413571078e-10,-8.8172285579062332e-11,5.118396074646238e-13
0.0575,1.6194586379902986e-10,-2.5940438697743236e-11,-7.6000995409052932e-11,-9.2801681433154032e-11,-1.0114891761948075e-10,-1.3911999721497537e-10,-3.2318893846165828e-11
0.06,2.1804071391027607e-10,4.1329412674535217e-12,-2.9950568277199386e-11,-5.6383220201420115e-11,-7.7187436330478546e-11,-1.5821693211839215e-10,-6.8094633950993937e-11
0.0625,2.5511265656032656e-10,3.3684515138043606e-11,1.9516509927491819e-11,-1.2587646714558295e-11,-4.2697312811768917e-11,-1.4396281309600326e-10,-9.516123585317539e-11
0.065,2.5851218750083839e-10,5.456352243070176e-11,6.2355401967526156e-11,3.2586305479321109e-11,-2.7086532256801073e-12,-1.0165806302155056e-10,-1.0309057293143072e-10
0.0675,2.2782150969522318e-10,6.0270085317890026e-11,8.8136856878550041e-11,7.1270867904404727e-11,3.7110846076246483e-11,-4.102482198672557e-11,-8.5797891623012825e-11
0.07,1.7429086824055184e-10,4.8385018529600365e-11,8.8813582434845088e-11,9.4998144432289819e-11,7.0199334015585289e-11,2.6183422048448684e-11,-4.3401757567924152e-11
0.0725,1.1486577543939958e-10,2.1879480146755347e-11,6.1922582992606649e-11,9.6625467914880247e-11,9.0021537172674462e-11,8.8410159247398053e-11,1.7400014993348125e-11
0.075,6.5329106736757528e-11,-1.2347624911683859e-11,1.2604803766018515e-11,7.3223200269575918e-11,9.1674408579499308e-11,1.360095629331919e-10,8.4371589014843376e-11
0.0775,3.4922282753459084e-11,-4.6390331431853063e-11,-4.8025016522542e-11,2.7932820205379388e-11,7.3310958836407076e-11,1.6173010891614288e-10,1.41971285039515e-10
0.08,2.3980189032921753e-11,-7.3827288887939087e-11,-1.0680467499991819e-10,-3.0040498278698484e-11,3.724305116668856e-11,1.6050742571621933e-10,1.7497894314015068e-10
0.0825,2.5510655128440312e-11,-9.1047988968781914e-11,-1.5251406580792288e-10,-8.7880942615390399e-11,-9.7807742232325292e-12,1.299022062347124e-10,1.7348231813632589e-10
0.085,2.965176503953785e-11,-9.7312872752856187e-11,-1.7817402723463484e-10,-1.330228019579756e-10,-5.7728834877481094e-11,7.1946286311919969e-11,1.3629503023442446e-10
0.0875,2.8221361219203917e-11,-9.4197222110793535e-11,-1.8173591916832936e-10,-1.5637355853847509e-10,-9.5633624269058907e-11,-4.6133586000701222e-12,7.1533523233266247e-11
0.09,1.7941593933686308e-11,-8.4693204929724444e-11,-1.6571712178703212e-10,-1.5424976093995813e-10,-1.1479247375602351e-10,-8.4398928595265292e-11,-5.8624518938611056e-12
0.0925,1.0057098876507461e-12,-7.2217546585066775e-11,-1.3624681267414389e-10,-1.2910000672869643e-10,-1.1150189635030295e-10,-1.4958430080638807e-10,-7.9334836471457405e-11
0.095,-1.6254138619702605e-11,-5.9621737549829575e-11,-1.0128469631902683e-10,-8.8746335279807828e-11,-8.8203086213221055e-11,-1.8558679685235757e-10,-1.3517065173637999e-10
0.0975,-2.5951609361739197e-11,-4.8603030389477064e-11,-6.8519398628544292e-11,-4.4090183593018146e-11,-5.2571588002850592e-11,-1.8506701276579135e-10,-1.643470682064741e-10
0.1,-2.1278951339464879e-11,-3.9618667300932547e-11,-4.3516486896224903e-11,-5.9713536070590633e-12,-1.4710415871965131e-11,-1.4883439482196424e-10,-1.6251117814558005e-10
0.1025,1.5654287297745747e-12,-3.2221357030673564e-11,-2.8743999910271907e-11,1.7859806344525205e-11,1.6160782961670866e-11,-8.4620507995197968e-11,-1.2972597671338194e-10
0.105,4.2605131538685007e-11,-2.55802461475835e-11,-2.3641081192609005e-11,2.4630088970614586e-11,3.4453872922194552e-11,-5.5641813819212454e-12,-7.1203002155108086e-11
0.1075,9.8340921456538236e-11,-1.9009483327542119e-11,-2.5629062424468815e-11,1.6572132241157548e-11,3.9095326128084772e-11,7.127106772724381e-11,2.3069413706443519e-12
0.11,1.6268734615789341e-10,-1.2266357233163311e-11,-3.1396398063570036e-11,-6.2658839977901701e-13,3.2621443079185631e-11,1.2825315856897184e-10,7.5624378021157484e-11
0.1125,2.2829670360258993e-10,-5.5816827094789765e-12,-3.7869063098323292e-11,-2.0152744524052277e-11,1.9291175507347272e-11,1.5221552280988724e-10,1.3262650337431028e-10
0.115,2.8776618441538301e-10,5.5373534464444998e-13,-4.2614073057164036e-11,-3.6158918858937695e-11,3.4179998904965794e-12,1.387015097089512e-10,1.6031881537405233e-10
0.1175,3.3464374703036613e-10,5.6806628384406507e-12,-4.3975420903558282e-11,-4.5057411380039081e-11,-1.1545851742105809e-11,9.3092591365802442e-11,1.5209057201335761e-10
0.12,3.6404660466991334e-10,9.4789792045988282e-12,-4.1295415610802635e-11,-4.5945456191650117e-11,-2.3383294724970692e-11,2.8261718743735771e-11,1.091723197708646e-10
0.1225,3.7302333987231564e-10,1.1679530189251601e-11,-3.5229524999322876e-11,-4.0347302381521827e-11,-3.1149537473949541e-11,-4.0089483596335868e-11,4.0147633242355766e-11
0.125,3.6067087884388135e-10,1.1854213048523288e-11,-2.7914561055461529e-11,-3.1497993239502274e-11,-3.4995268055794758e-11,-9.7570779705278911e-11,-4.0605774347438856e-11
0.1275,3.281819856363488e-10,9.2861052628605954e-12,-2.2637618026326613e-11,-2.3318247743703551e-11,-3.5737180395872012e-11,-1.3384873273319643e-10,-1.156248540142371e-10
