Physical Time (s),enth_flux_pressure_left Monitor (W)
0.17,1.2472863004428049e-06
0.1725,5.9385887733299327e-07
0.175,2.0356754025574141e-07
0.1775,1.0435754098996569e-07
0.18,2.1985900407761646e-07
0.1825,3.9261072097906642e-07
0.185,4.371226379293389e-07
0.1875,1.9560907188352282e-07
0.19,-4.0076532809125293e-07
0.1925,-1.3132596836978592e-06
0.195,-2.3815770529806206e-06
0.1975,-3.3755384091190945e-06
0.2,-4.0431270806198598e-06
0.2025,-4.2034566199782002e-06
0.205,-3.7731077759482249e-06
0.2075,-2.7683515062359382e-06
0.21,-1.3234875632406537e-06
0.2125,3.2978136498857581e-07
0.215,1.916383091801342e-06
0.2175,3.1808828259704331e-06
0.22,3.9505147690632397e-06
0.2225,4.1661383545280723e-06
0.225,3.8813143956117757e-06
0.2275,3.2336118255928391e-06
0.23,2.4051010220080453e-06
0.2325,1.595197987054767e-06
0.235,9.6079551047393843e-07
0.2375,5.8335304634930509e-07
0.24,4.681079320116702e-07
0.2425,5.4542734174859689e-07
0.245,7.030718761295118e-07
0.2475,8.197224971651901e-07
0.25,7.9438303396199198e-07
0.2525,5.7223845481922035e-07
0.255,1.5259910556197e-07
0.2575,-4.126096647841743e-07
0.26,-1.0310105573098531e-06
0.2625,-1.6023148723311622e-06
0.265,-2.0215193489407668e-06
0.2675,-2.2256239899975194e-06
0.27,-2.1838227345756278e-06
0.2725,-1.9106574333466434e-06
0.275,-1.4489652567360265e-06
0.2775,-8.6642674589465887e-07
0.28,-2.4156136858496565e-07
0.2825,3.5457150117782517e-07
0.285,8.7308427104850012e-07
0.2875,1.2878345461358039e-06
0.29,1.5953310732439732e-06
0.2925,1.8072214342507578e-06
0.295,1.940994641838569e-06
0.2975,2.0117385256452634e-06
0.3,2.0268383742185547e-06
0.3025,1.9836517766873233e-06
0.305,1.8711045501703324e-06
0.3075,1.6747030999979943e-06
0.31,1.3841685773910265e-06
0.3125,9.9936585122954298e-07
0.315,5.3607462231718366e-07
0.3175,2.6416298427915922e-08
0.32,-4.8481908624996344e-07
0.3225,-9.4579589419523405e-07
0.325,-1.3066581267240159e-06
0.3275,-1.5272772587206148e-06
0.33,-1.5846154352111619e-06
0.3325,-1.4766342728274864e-06
0.335,-1.2208878557759895e-06
0.3375,-8.5087731088322586e-07
0.34,-4.0966009254086933e-07
0.3425,5.7303399289541767e-08
0.345,5.0850007267692568e-07
0.3475,9.1082624111780643e-07
0.35,1.243076369611779e-06
0.3525,1.4944215663032881e-06
0.355,1.6613661083444936e-06
0.3575,1.7449890851454787e-06
0.36,1.748839892894471e-06
0.3625,1.6763285183689987e-06
0.365,1.530286493807648e-06
0.3675,1.3148726280862755e-06
0.37,1.0374556411918993e-06
0.3725,7.1015466336229459e-07
0.375,3.5085328096804403e-07
0.3775,-1.7176297797202121e-08
0.38,-3.6908801628171573e-07
0.3825,-6.7933220954626748e-07
0.385,-9.2567133148112992e-07
0.3875,-1.0914968875171283e-06
