Physical Time (s),xth_left Monitor (W)
0.1875,-1.7017676951554876e-16
0.19,8.5938610457960923e-17
0.1925,-2.0051617679146982e-17
0.195,-1.3620900943280793e-16
0.1975,-2.6897556279490011e-16
0.2,-1.6310358893020672e-16
0.2025,8.3099197957009796e-17
0.205,-2.5005838166559457e-18
0.2075,-1.5357292114412061e-17
0.21,2.3994155908232583e-16
0.2125,-1.9967223080735081e-17
0.215,9.7006623870284785e-17
0.2175,-6.2773829756462327e-17
0.22,6.1134847075369175e-17
0.2225,-5.7428193011741374e-17
0.225,3.8632119856763049e-17
0.2275,-2.326734728838014e-16
0.23,-1.7610490798079334e-16
0.2325,-8.6686823782337814e-17
0.235,-1.5922994681082065e-16
0.2375,-1.112538845511394e-16
0.24,-9.4978980645939872e-17
0.2425,1.9309315826555563e-16
0.245,-3.3693538913153139e-17
0.2475,1.2532488638583264e-16
0.25,-2.5005952569725478e-16
0.2525,1.1090682709127035e-16
0.255,-1.1909223176029089e-16
0.2575,3.4427929776447521e-17
0.26,-1.7112597518091577e-16
0.2625,-7.8836202401612044e-17
0.265,6.9119286162756774e-17
0.2675,3.6321835740877436e-16
0.27,2.0585383754623512e-16
0.2725,1.9238318666929274e-19
0.275,3.1884169292001633e-16
0.2775,-3.2419180990369351e-16
0.28,1.4976834502838624e-16
0.2825,7.5111171847717431e-17
0.285,1.3087223406822179e-16
0.2875,-3.1703663614125802e-16
0.29,2.0666414357591004e-16
0.2925,-2.7793129954760412e-17
0.295,1.4838208578607226e-16
0.2975,-6.9970823259649256e-18
0.3,-2.4302301904308678e-16
0.3025,5.5171990251400784e-16
0.305,-1.5692222319602671e-16
0.3075,-4.086949105838317e-18
0.31,-4.6250939230640979e-16
0.3125,1.5446357071809406e-18
0.315,-1.2276127194887659e-16
0.3175,2.9378709329762803e-16
0.32,7.7279316367799041e-17
0.3225,-6.0977235986923804e-16
0.325,-1.6363847975057856e-16
0.3275,-1.3531084584263138e-16
0.33,2.1209441127674219e-16
0.3325,1.1539676917028862e-16
0.335,1.7355308208363659e-16
