Physical Time (s),etp_right Monitor (W): right_cv1,etp_right Monitor (W): right_cv2,etp_right Monitor (W): right_cv3,etp_right Monitor (W): right_cv4,etp_right Monitor (W): right_cv5,etp_right Monitor (W): right_cv6,etp_right Monitor (W): right_cv7
0.0375,1.6591582734277292e-07,9.6635809167538817e-08,6.6255271513648413e-08,1.7937360326580004e-07,2.6915193288367884e-07,7.9981485532051615e-08,6.7191210294982011e-10
0.04,1.025994506251427e-07,5.0694475847921015e-08,9.8791849669962229e-08,1.358304155760339e-08,3.2235898097652394e-07,4.1099258692872335e-08,2.6677159526416148e-09
0.0425,5.4750477603023495e-08,1.1460510548560048e-08,7.2833111524588819e-08,3.7592474512861134e-08,1.6362206231856805e-07,9.0830071392217098e-10,8.0612163601544002e-09
0.045,2.7863757485440679e-08,-5.0145897503888995e-09,2.9695520341741116e-08,8.3904605529051199e-08,2.0365606194564347e-08,2.8968366032713001e-08,1.8611913382513412e-08
0.0475,8.5665658914430271e-09,4.0981089148905924e-09,3.3896925332373062e-09,6.507104276766258e-08,1.7572649248960584e-08,1.1598777054652885e-07,3.2106020382072385e-08
0.05,-1.8587217079734533e-08,2.6030779859476433e-08,4.5877258637952126e-09,2.1376767356233247e-08,5.8944967463329274e-08,1.6207534658369679e-07,3.8684249383367411e-08
0.0525,-5.2909992520561104e-08,3.9967713946679037e-08,2.7918379879835526e-08,3.1343787009286305e-10,5.0896374188311982e-08,1.1264268811648088e-07,2.533844126633296e-08
0.055,-7.4717962023146779e-08,3.3048021542564872e-08,5.6970269813291082e-08,1.1634827319672338e-08,1.4428911203742143e-08,3.3691692977814228e-08,-7.7731643434650926e-09
0.0575,-5.8997916919705578e-08,1.1121907629718391e-08,7.1363137514390862e-08,4.1756463387188454e-08,-5.0144239853689246e-10,4.4199523599220146e-09,-3.5018491019895339e-08
0.06,6.5272856235259327e-09,-6.8939767302125713e-09,5.9788751338571685e-08,6.9898620282725126e-08,1.7302191034279764e-08,1.3579849590966799e-08,-2.2063115549249314e-08
0.0625,1.1152529090912672e-07,-4.7199803275736899e-09,3.0075931922385738e-08,7.7661231332963239e-08,4.9099189113516741e-08,1.1008356469896326e-08,3.2625588948728767e-08
0.065,2.2329364430193389e-07,2.016909916723285e-08,4.4221149832044716e-09,5.9037033815239627e-08,7.1601619649396565e-08,-9.1019614997381348e-09,8.2592281447904739e-08
0.0675,3.0175890760757496e-07,5.7252844299435232e-08,1.6476341494187924e-09,2.6340274299183496e-08,7.0437230421825741e-08,-1.9157843172086957e-08,7.7344196934833739e-08
0.07,3.2085912781123939e-07,9.0876419034847052e-08,2.3343808415241391e-08,2.7246107510386373e-09,4.6038580469541846e-08,-7.6006975220940612e-09,1.7263556203890911e-08
0.0725,2.8439212985795344e-07,1.0808150240018375e-07,5.4658781800148469e-08,4.5652466318065329e-09,1.3749610733254688e-08,1.3218542866513195e-08,-4.8924747357631636e-08
0.075,2.2139851759532057e-07,1.0351128617451523e-07,7.6363347989349009e-08,2.8793723953455964e-08,-5.3085357489139448e-09,2.773738695987463e-08,-7.6826956877794871e-08
0.0775,1.6476456261998146e-07,8.0837058540159551e-08,7.7182278651286609e-08,5.6091051431586681e-08,3.9804900801966527e-10,2.9147055826529096e-08,-6.258653409897578e-08
0.08,1.3267870915102838e-07,5.0217371938530513e-08,5.8400716948967688e-08,6.6033206388826027e-08,2.3937653566293523e-08,1.7410911129059278e-08,-3.1747899157923594e-08
0.0825,1.243561176599999e-07,2.1542990147684271e-08,2.9902424219035396e-08,5.1826531321354517e-08,4.6427574872617697e-08,-3.8747785332023412e-09,-6.9271641353024232e-09
0.085,1.2838941344785535e-07,-1.2217690938452213e-09,2.2731835450043904e-09,2.2783088588296319e-08,5.2980084356187097e-08,-2.7235860113073722e-08,7.6334941870722159e-09
0.0875,1.3239139834799636e-07,-1.9306748195629606e-08,-1.8717794316333536e-08,-4.3054210148890084e-09,4.2311705711546392e-08,-4.1457743700810629e-08,1.6594942860191411e-08
0.09,1.27824362618622e-07,-3.4533255263647138e-08,-3.2174695837883245e-08,-1.6802443399832161e-08,2.3329451432161369e-08,-3.7947782827730661e-08,2.0762929005729575e-08
0.0925,1.120638065486177e-07,-4.6578894053476541e-08,-3.8269759174877672e-08,-1.3378289078124547e-08,4.9514654367181349e-09,-1.9535560881762462e-08,1.5905702583330436e-08
0.095,8.813719654597335e-08,-5.3600388361225163e-08,-3.5620804460857023e-08,-3.3008992690149304e-09,-9.4116255453088775e-09,-1.2839253392797117e-10,2.1045301231323635e-09
0.0975,6.2514061060486063e-08,-5.4002201548687532e-08,-2.3654634213078161e-08,1.3840921256770951e-09,-1.9599014602452104e-08,7.4452564699924373e-09,-1.1818801611464e-08
0.1,4.185036532810272e-08,-4.7320516636328256e-08,-6.9778812474474198e-09,-4.8624131402436257e-09,-2.4710787599799591e-08,3.2506343011553328e-09,-1.5887831210507115e-08
0.1025,3.0643474795225101e-08,-3.4868169556668765e-08,4.8822305153213521e-09,-1.7321716416073661e-08,-2.323754853823775e-08,-2.154952448729534e-09,-8.2285310573087833e-09
0.105,3.0236781839734138e-08,-2.0325553483765281e-08,4.2635525327186682e-09,-2.5881910703047879e-08,-1.5951046618083435e-08,-1.2311138063301728e-09,3.7932880362094918e-09
0.1075,3.9184286209545569e-08,-8.9332980340661187e-09,-7.4839207044334008e-09,-2.4231487429282075e-08,-6.5112430503218172e-09,2.47308420019376e-09,1.0825595003779375e-08
0.11,5.4612246520572062e-08,-4.5532690974900892e-09,-2.0273308626865756e-08,-1.4936722797719543e-08,1.4113620948012958e-09,9.4938040291684812e-10,9.0696236778285109e-09
0.1125,7.3763994767291826e-08,-6.5299607909262624e-09,-2.3729347119366376e-08,-5.6586102497471427e-09,6.2472505464353331e-09,-6.831188286344774e-09,1.6227011103343362e-09
0.115,9.5537953098735209e-08,-9.9701616559177646e-09,-1.5664778483362971e-08,-1.1479860969494953e-09,7.5436638214273031e-09,-1.3379819222419978e-08,-5.7168769370812823e-09
0.1175,1.2070836396346503e-07,-9.8353638524410888e-09,-2.6076182074910167e-09,2.5538977597427521e-10,4.6938936443797707e-09,-1.1657832933339993e-08,-9.2015119867800973e-09
0.12,1.5056707103620925e-07,-5.2137811451006921e-09,7.1985954259386657e-09,2.635531589940037e-09,-1.6353561671662725e-09,-2.9621229569578006e-09,-8.6743668703160198e-09
0.1225,1.8484853469037197e-07,7.3258220312794331e-10,1.0456579250802716e-08,6.7701746155771988e-09,-7.5304708828826634e-09,4.7930123945036811e-09,-5.9579330495727501e-09
0.125,2.2058040354112333e-07,4.8525698408606964e-09,9.0680171109558527e-09,9.5920741139538649e-09,-7.5692053680513441e-09,5.1400893175253718e-09,-2.7388872128345842e-09
0.1275,2.5293138433333745e-07,7.4917610374577905e-09,5.9599875794595481e-09,8.5994371260466752e-09,2.6875815033411359e-10,-1.3799173235764692e-09,5.166732003734394e-11
0.13,2.7694434043843861e-07,1.1667145417949385e-08,2.5008875156074705e-09,5.1855260500698872e-09,1.155875379393535e-08,-8.5588141427198546e-09,1.7198524295917703e-09
0.1325,2.9123269387652046e-07,1.9293343062325422e-08,-4.9581446612851765e-10,2.7348295519869172e-09,1.8545537620764309e-08,-1.049512245853945e-08,1.6945055250873035e-09
0.135,2.9774547436124777e-07,2.9227803408656609e-08,-1.4162351567470928e-09,2.5033974831095152e-09,1.6319849231969235e-08,-5.9361142580568916e-09,1.0041963679442554e-10
0.1375,3.0029362264273904e-07,3.882073187226875e-08,9.4693920543486737e-10,2.4114322172626726e-09,6.1597946704030816e-09,1.8812850600149609e-09,-1.8601446498637757e-09
0.14,3.0241269285914524e-07,4.6207615562176712e-08,5.1239913400012953e-09,-4.1019005849661828e-10,-6.0798924600816071e-09,8.412305322082072e-09,-2.4631970808093021e-09
