Physical Time (s),lift Monitor (N)
0.465,-4.7800650796160274e-08
0.4675,-4.6337714940704305e-08
0.47,-4.5083904555667223e-08
0.4725,-4.4005472846754982e-08
0.475,-4.3170564181195505e-08
0.4775,-4.2451251212835873e-08
0.48,-4.1628936510262588e-08
0.4825,-4.0439167725697866e-08
0.485,-3.8985617135956189e-08
0.4875,-3.7491778850528855e-08
0.49,-3.5810894278310318e-08
0.4925,-3.3956937931353146e-08
0.495,-3.1774070219554348e-08
0.4975,-2.939084271602809e-08
0.5,-2.6908380306998112e-08
0.5025,-2.4387490510054411e-08
0.505,-2.1957478417659429e-08
0.5075,-1.9676878678435783e-08
0.51,-1.7530483950644112e-08
0.5125,-1.5326570983588334e-08
0.515,-1.3195256653128771e-08
0.5175,-1.0988396838463753e-08
0.52,-8.6681486053510377e-09
0.5225,-6.1385890351624992e-09
0.525,-3.2913692790836593e-09
0.5275,-3.1227037127726157e-10
0.53,2.7932376709186278e-09
0.5325,5.9333832645688259e-09
0.535,9.0802633743910247e-09
0.5375,1.2183732690657145e-08
0.54,1.5310726432188433e-08
0.5425,1.8334555180703665e-08
0.545,2.1212601025299367e-08
0.5475,2.3966863175281158e-08
0.55,2.6586059174634397e-08
0.5525,2.91756719258677e-08
0.555,3.1807935698590362e-08
0.5575,3.4346418676516284e-08
0.56,3.6859855439858046e-08
0.5625,3.9450550616684014e-08
0.565,4.206912193688736e-08
0.5675,4.4655650906605649e-08
0.57,4.7071151690696609e-08
0.5725,4.9281475748795157e-08
0.575,5.1182863032778397e-08
0.5775,5.2832456186400763e-08
0.58,5.4395771433854692e-08
0.5825,5.5869193162231606e-08
0.585,5.717696973350486e-08
0.5875,5.8406424212652019e-08
0.59,5.9628239641254845e-08
0.5925,6.0846773537752167e-08
0.595,6.2088031077405894e-08
0.5975,6.3361190827134061e-08
0.6,6.4638469803973266e-08
0.6025,6.5895499577376997e-08
0.605,6.713246289373758e-08
0.6075,6.8244943897450696e-08
0.61,6.9203261104551694e-08
0.6125,6.9899912901016113e-08
0.615,7.0448272950992666e-08
0.6175,7.0740429599416237e-08
0.62,7.080924116948937e-08
0.6225,7.0728769381880338e-08
0.625,7.0415302913421189e-08
0.6275,6.9897329913596617e-08
0.63,6.9168071119921463e-08
0.6325,6.8280325585669749e-08
0.635,6.7244503058945487e-08
0.6375,6.6074948752675976e-08
0.64,6.4733911508490154e-08
0.6425,6.3176382151107149e-08
0.645,6.1398364018320636e-08
0.6475,5.9449585857122271e-08
0.65,5.7380477421680938e-08
0.6525,5.506770511747655e-08
0.655,5.2662370088353601e-08
0.6575,5.0163981812561415e-08
0.66,4.7520861119250742e-08
0.6625,4.4761203655568199e-08
0.665,4.1959575028342232e-08
0.6675,3.9164786982882035e-08
0.67,3.6340577246559534e-08
0.6725,3.3486665295919738e-08
0.675,3.0601341444463456e-08
0.6775,2.7652587639171195e-08
0.68,2.4600889607637816e-08
0.6825,2.1460418769498002e-08
0.685,1.8262152753208197e-08
0.6875,1.4955630299909326e-08
0.69,1.1570669972426257e-08
0.6925,8.0765405705346049e-09
0.695,4.5131363367139922e-09
0.6975,8.4529316438075524e-10
0.7,-2.8633274222998818e-09
0.7025,-6.6439219309770302e-09
0.705,-1.0500679795296992e-08
0.7075,-1.4344947822093286e-08
0.71,-1.8256545049831709e-08
0.7125,-2.2191149124818723e-08
0.715,-2.6206344770865885e-08
0.7175,-3.0205296930262391e-08
0.72,-3.4193231798642893e-08
0.7225,-3.8093508602084901e-08
0.725,-4.195263365953299e-08
0.7275,-4.570668705566902e-08
0.73,-4.9381859835228805e-08
0.7325,-5.297290213427322e-08
0.735,-5.6405784629878812e-08
0.7375,-5.9737734011883465e-08
0.74,-6.2966988682047731e-08
0.7425,-6.6090927276018344e-08
0.745,-6.9086624627070324e-08
0.7475,-7.19479654082048e-08
0.75,-7.4687964334333607e-08
0.7525,-7.7251522036806012e-08
0.755,-7.977628961140535e-08
0.7575,-8.2153348798438031e-08
0.76,-8.4430656590168902e-08
0.7625,-8.6431555136724395e-08
0.765,-8.8327367088158794e-08
0.7675,-9.0060820482924146e-08
0.77,-9.1610260133924698e-08
0.7725,-9.2916640085853356e-08
0.775,-9.4015699705016021e-08
0.7775,-9.4936838036306366e-08
0.78,-9.5702033448951238e-08
0.7825,-9.6309532566208216e-08
0.785,-9.6572355382949621e-08
0.7875,-9.6609324462434831e-08
0.79,-9.659335210922604e-08
0.7925,-9.6552813955214342e-08
0.795,-9.6281591512079076e-08
0.7975,-9.5785519910141756e-08
0.8,-9.5083264805070574e-08
0.8025,-9.4099146648258033e-08
0.805,-9.2900583740993517e-08
0.8075,-9.1522356407742693e-08
0.81,-8.9943144111599178e-08
0.8125,-8.8147137137526753e-08
0.815,-8.6091372330969918e-08
0.8175,-8.3816254111562374e-08
0.82,-8.1367378890603857e-08
0.8225,-7.8717739524349033e-08
0.825,-7.5905490854279097e-08
0.8275,-7.2965253419246617e-08
0.83,-6.9825967972111198e-08
0.8325,-6.6421778199891172e-08
0.835,-6.2789485890547339e-08
0.8375,-5.9030012639135285e-08
0.84,-5.509186077386277e-08
0.8425,-5.0975159650244072e-08
0.845,-4.6695118333808895e-08
0.8475,-4.2259299297572899e-08
0.85,-3.7669644046726703e-08
0.8525,-3.2937265691335276e-08
0.855,-2.8087155079297304e-08
0.8575,-2.311639111047178e-08
0.86,-1.8070686099179779e-08
0.8625,-1.2964522295536119e-08
0.865,-7.8261506920447593e-09
0.8675,-2.6376004610274916e-09
0.87,2.5897708350953792e-09
0.8725,7.8204462286228776e-09
0.875,1.3066538519247488e-08
0.8775,1.8297811325313114e-08
0.88,2.3500352894681646e-08
0.8825,2.8736251174342129e-08
0.885,3.399736556830144e-08
0.8875,3.9233587961401086e-08
0.89,4.4443134117458991e-08
0.8925,4.9615289543179889e-08
0.895,5.4745082940488247e-08
0.8975,5.983573760520375e-08
0.9,6.4942452724883595e-08
0.9025,7.0004482748600225e-08
0.905,7.4980121644202665e-08
0.9075,7.984608496974351e-08
0.91,8.4567254823840511e-08
0.9125,8.9152596251789564e-08
0.915,9.3571810061768036e-08
0.9175,9.7833301411196254e-08
0.92,1.0191870635685564e-07
0.9225,1.0581960563982479e-07
0.925,1.0951557571427264e-07
0.9275,1.1302528930093483e-07
0.93,1.1630995254762035e-07
0.9325,1.1935609387325158e-07
0.935,1.2217631636601006e-07
0.9375,1.247424272514285e-07
0.94,1.2705767054263455e-07
0.9425,1.2911021019099639e-07
0.945,1.3087241414940632e-07
0.9475,1.3235935508388436e-07
0.95,1.3355040288570011e-07
0.9525,1.3442324091844705e-07
0.955,1.3504198388067214e-07
0.9575,1.3534554399843208e-07
0.96,1.353979290499298e-07
0.9625,1.3512306945688536e-07
0.965,1.3456255552542371e-07
0.9675,1.3374433310112983e-07
0.97,1.325901734488239e-07
0.9725,1.3116615317326763e-07
0.975,1.2947020712045408e-07
0.9775,1.2743990166594307e-07
0.98,1.2508443409742636e-07
0.9825,1.2272454738606407e-07
0.985,1.200089719380568e-07
0.9875,1.1673867159629687e-07
0.99,1.1304717775374148e-07
0.9925,1.0909742268885215e-07
0.995,1.0506692434657643e-07
0.9975,1.0088699854141416e-07
1.0,9.6386427342680242e-08
1.0025,9.1526739812888046e-08
1.005,8.627721740458737e-08
1.0075,8.0740580487214523e-08
1.01,7.4911427274433661e-08
1.0125,6.889079756811173e-08
1.015,6.2744822927499132e-08
1.0175,5.6463918736215245e-08
1.02,4.9971959392284863e-08
1.0225,4.3319245542576862e-08
1.025,3.6447796423819272e-08
1.0275,2.95648348858428e-08
1.03,2.2683546099109407e-08
1.0325,1.5621440200285188e-08
1.035,8.2995376982356252e-09
1.0375,7.5303999855439902e-10
1.04,-6.8051378900805193e-09
1.0425,-1.452485108866526e-08
1.045,-2.2336296233878539e-08
1.0475,-3.0263767964211129e-08
1.05,-3.821191692139909e-08
1.0525,-4.6105558430850258e-08
1.055,-5.397725079676693e-08
1.0575,-6.1882634034389585e-08
1.06,-6.976030060593877e-08
1.0625,-7.7653515796289429e-08
1.065,-8.5489341329809852e-08
1.0675,-9.320985302624862e-08
1.07,-1.0076846851827889e-07
1.0725,-1.0816783053463567e-07
1.075,-1.1537381117805592e-07
1.0775,-1.2250225793472142e-07
1.08,-1.2952786469901871e-07
1.0825,-1.3642240473084098e-07
1.085,-1.4282156248557652e-07
1.0875,-1.4859543085365541e-07
1.09,-1.5389235424076983e-07
1.0925,-1.5918589035477113e-07
1.095,-1.6462847999450181e-07
1.0975,-1.7014292186828005e-07
1.1,-1.751607241806668e-07
1.1025,-1.7947442813204585e-07
1.105,-1.8329725367661081e-07
1.1075,-1.8683083431813493e-07
1.11,-1.9017277466833697e-07
1.1125,-1.9316168626080488e-07
1.115,-1.9569174033738872e-07
1.1175,-1.9773262702047391e-07
1.12,-1.9937086298972192e-07
1.1225,-2.0069960125921916e-07
1.125,-2.0173912287531236e-07
1.1275,-2.0212480633654718e-07
1.13,-2.0223998569385529e-07
1.1325,-2.0217012815215031e-07
1.135,-2.0145667987349789e-07
1.1375,-1.9984367166858031e-07
1.14,-1.9775906490603042e-07
1.1425,-1.9553828371721073e-07
1.145,-1.9275085954190105e-07
1.1475,-1.8897185102173462e-07
1.15,-1.8481412563097878e-07
1.1525,-1.8062058611041423e-07
1.155,-1.7615398913494618e-07
1.1575,-1.710112637233164e-07
1.16,-1.6521825740609583e-07
1.1625,-1.5888530436568114e-07
1.165,-1.5215250706811694e-07
1.1675,-1.4504779608701759e-07
1.17,-1.3757337235572296e-07
1.1725,-1.2962580286233957e-07
1.175,-1.2120085681453159e-07
1.1775,-1.1244547351542852e-07
1.18,-1.0330377913121554e-07
1.1825,-9.3727596093469762e-08
1.185,-8.3321819860345673e-08
1.1875,-7.2833165496743363e-08
1.19,-6.2838508426712263e-08
1.1925,-5.2326118986879244e-08
1.195,-4.1314256684516995e-08
1.1975,-2.9768440618123763e-08
1.2,-1.837159531273948e-08
1.2025,-6.6418704492755057e-09
1.205,6.037774358771702e-09
1.2075,1.8919675613818571e-08
1.21,3.1461202723166831e-08
1.2125,4.3696260011503382e-08
1.215,5.5941439344786021e-08
1.2175,6.8426969701560493e-08
1.22,8.1106183915366153e-08
1.2225,9.3899058533154338e-08
1.225,1.0665698518644471e-07
1.2275,1.1927586256150965e-07
1.23,1.3169778813155069e-07
1.2325,1.4394424899341168e-07
1.235,1.5600534269215061e-07
1.2375,1.6788441718105665e-07
1.24,1.8043203318772198e-07
1.2425,1.9173663702920281e-07
1.245,2.0235801443607973e-07
1.2475,2.1267162814684972e-07
1.25,2.2290703355505086e-07
1.2525,2.3306138224497927e-07
1.255,2.4290075929930734e-07
1.2575,2.522096557161298e-07
1.26,2.6088897837195668e-07
1.2625,2.6782335059852767e-07
1.265,2.7494027772262747e-07
1.2675,2.8255714346939349e-07
1.27,2.8982437080645034e-07
1.2725,2.96121398184374e-07
1.275,3.0129466192199371e-07
1.2775,3.055455842837184e-07
1.28,3.0887823111349197e-07
1.2825,3.1186964144913824e-07
1.285,3.1487875748049327e-07
1.2875,3.1739553350931468e-07
1.29,3.1851655429368614e-07
1.2925,3.1813733355330122e-07
1.295,3.1686105636068438e-07
1.2975,3.1507598273720715e-07
1.3,3.1276398073302537e-07
1.3025,3.0972305192794185e-07
1.305,3.0585735392898227e-07
1.3075,3.0098903619705093e-07
1.31,2.9477483100929056e-07
1.3125,2.8735106019019397e-07
1.315,2.794628365110504e-07
1.3175,2.7136055815797914e-07
1.32,2.6265162262978032e-07
1.3225,2.5293488852506315e-07
1.325,2.4209957185810087e-07
1.3275,2.3023950539605745e-07
1.33,2.1752802976982559e-07
1.3325,2.0410836691637667e-07
1.335,1.8980478993781585e-07
1.3375,1.7491375371969878e-07
1.34,1.5987548450716717e-07
1.3425,1.445781325264884e-07
1.345,1.2811541152711457e-07
1.3475,1.1077013306032414e-07
1.35,9.296890144289373e-08
1.3525,7.4761878856764508e-08
1.355,5.6025110815717083e-08
1.3575,3.679974230225733e-08
1.36,1.7149811166076076e-08
1.3625,-2.555496189029813e-09
1.365,-2.2725822006160819e-08
1.3675,-4.3419958728179568e-08
1.37,-6.4287311331774588e-08
1.3725,-8.5134891625141261e-08
1.375,-1.0590454992616674e-07
1.3775,-1.2663604750166446e-07
1.38,-1.4734802510874981e-07
1.3825,-1.6800625107316897e-07
1.385,-1.8852861176642585e-07
1.3875,-2.0884778218325613e-07
1.39,-2.2886118157672075e-07
1.3925,-2.484844432457839e-07
1.395,-2.6770418909100183e-07
1.3975,-2.8643716685415867e-07
1.4,-3.0465148004250924e-07
1.4025,-3.2249721472669195e-07
1.405,-3.3981692720441844e-07
