Physical Time (s),aphi_vol Monitor (W): cv1,aphi_vol Monitor (W): cv2,aphi_vol Monitor (W): cv3,aphi_vol Monitor (W): cv4,aphi_vol Monitor (W): cv5,aphi_vol Monitor (W): cv6,aphi_vol Monitor (W): cv7
0.1475,8.5370386379682286e-07,4.0692901601490448e-08,7.228201681163615e-10,7.1839335200831199e-11,2.672417715364169e-11,2.5880715976356611e-11,3.6870072605794123e-11
0.15,8.5584313298862604e-07,4.2493702034579803e-08,7.7994039565212996e-10,6.8017893440144529e-11,2.0827538629561656e-11,1.8835828529645031e-11,2.6976406243164194e-11
0.1525,8.5764019948179136e-07,4.435143461625856e-08,8.1764859971345609e-10,6.2052722661218884e-11,1.6469669529164481e-11,1.3022182914304099e-11,2.0075838381085351e-11
0.155,8.5812723025207677e-07,4.6232371844850774e-08,8.2871267952522249e-10,5.5648769942151483e-11,1.3372738275025576e-11,9.8227504977297441e-12,1.8224473574690387e-11
0.1575,8.5663869148112873e-07,4.8105157298596452e-08,8.1217337081233408e-10,4.8666800836612048e-11,1.0679583029954957e-11,8.7779749219609263e-12,1.9948048578846488e-11
0.16,8.5300303609243578e-07,4.9952835386450882e-08,7.7297856569502793e-10,4.0679241407015271e-11,8.0106738929675993e-12,8.4915880611604423e-12,2.1531523721827403e-11
0.1625,8.4756317042000781e-07,5.1775528964441112e-08,7.1998433886406112e-10,3.2143235034916991e-11,5.5905498724151456e-12,7.878310543584502e-12,2.0015037213861657e-11
0.165,8.4105395586667027e-07,5.3588856402252212e-08,6.6351132940036927e-10,2.4274815018541781e-11,3.7562431552367685e-12,6.8368808217972317e-12,1.5400110562580713e-11
0.1675,8.3439041340987931e-07,5.5417481678888692e-08,6.1334456942982054e-10,1.8219729470353044e-11,2.5790305750541861e-12,6.0452696133410572e-12,1.0383221419832081e-11
0.17,8.2843744890188159e-07,5.7289868148811125e-08,5.777253497162271e-10,1.4421367568698996e-11,1.9355723793948903e-12,6.1732884855773933e-12,7.8933694760501983e-12
0.1725,8.2381743407472904e-07,5.9233597511905573e-08,5.6271461821490124e-10,1.2698298783781165e-11,1.7981394755177734e-12,7.2424954998555262e-12,8.7987812870040739e-12
0.175,8.2080304153109565e-07,6.1267931134915836e-08,5.7189524987997082e-10,1.2712953366645271e-11,2.3116412573792519e-12,8.5745600145770515e-12,1.1532357596774283e-11
0.1775,8.1930259072456089e-07,6.3398278488347038e-08,6.0589875574396871e-10,1.4285245919109991e-11,3.5569600098291455e-12,9.2947554030051371e-12,1.3608864122479406e-11
0.18,8.1893102202533782e-07,6.5616248695909441e-08,6.6189227225036601e-10,1.7301983708640321e-11,5.2647089072772724e-12,8.9883354711200648e-12,1.3719202256455218e-11
0.1825,8.1913060711824451e-07,6.7898705266850656e-08,7.33402537983873e-10,2.1398480289835744e-11,6.8149351159016902e-12,7.9842900915336103e-12,1.2617641591385647e-11
0.185,8.1931316578563835e-07,7.0213629963109429e-08,8.1162661409428679e-10,2.5784624768454412e-11,7.5743813410131773e-12,7.0311000037495061e-12,1.2163422766083609e-11
0.1875,8.189981131092924e-07,7.252893304748285e-08,8.8792952133275794e-10,2.943857913636553e-11,7.2936174140818782e-12,6.713006480385583e-12,1.3598854010970267e-11
0.19,8.1790900615777237e-07,7.4819811431154891e-08,9.5648487295148938e-10,3.1578618974821249e-11,6.279742558716868e-12,7.0966939930430617e-12,1.6523231162647764e-11
0.1925,8.1601502359120726e-07,7.7074736885245478e-08,1.0157526308593555e-09,3.2081500210040112e-11,5.1985271338673762e-12,7.7860795907380765e-12,1.914764853666037e-11
0.195,8.1349946170277601e-07,7.9293603922291425e-08,1.0684096393646466e-09,3.154980814183524e-11,4.6757980858032183e-12,8.3084795064662319e-12,1.9564149433694516e-11
0.1975,8.1068824755940127e-07,8.1486168892295893e-08,1.1201938156380093e-09,3.0943318927080573e-11,4.9564957949741053e-12,8.5054245600409146e-12,1.7180766631136938e-11
0.2,8.0797971454649214e-07,8.366507289996545e-08,1.1769668048320443e-09,3.1103092333390851e-11,5.8720344692125522e-12,8.6739488283531591e-12,1.3148654667030532e-11
0.2025,8.0572222530108042e-07,8.5841880030359431e-08,1.2443784899656369e-09,3.2384379772066476e-11,7.0092876445353155e-12,9.1138216740658786e-12,9.2603386298837774e-12
0.205,8.041180248562762e-07,8.8026688430980466e-08,1.3259791236197451e-09,3.4646028055764005e-11,7.9311589954257257e-12,9.7757913924231042e-12,6.9798474530916462e-12
0.2075,8.0319324259816762e-07,9.022297143648611e-08,1.4221096182441095e-09,3.7540170520287779e-11,8.3986806657614491e-12,1.0238531647419698e-11,6.6404001537025298e-12
0.21,8.0279979247590573e-07,9.2425616614575349e-08,1.5299983120829717e-09,4.0711899542073762e-11,8.4095005515326954e-12,9.9962544356255305e-12,7.3805642276674586e-12
0.2125,8.0264848043725995e-07,9.4621899409559173e-08,1.6444445059366183e-09,4.3780152926159261e-11,8.0572387947682133e-12,8.808850043028105e-12,7.8948817284402338e-12
0.215,8.0237010217218327e-07,9.6796020709019339e-08,1.7583172236662822e-09,4.6257020142553834e-11,7.4232472746763009e-12,6.8675303729904614e-12,7.337475650089341e-12
0.2175,8.0159610311435212e-07,9.8927668804791769e-08,1.8640760499719739e-09,4.761386948826279e-11,6.5616985380804802e-12,4.6959062744341311e-12,5.7637739895447736e-12
0.22,8.0004191911955318e-07,1.0100263904677256e-07,1.9558867066862032e-09,4.7480188339479892e-11,5.5731277322279042e-12,2.9071925959840649e-12,3.9542482993518635e-12
0.2225,7.9756713296388028e-07,1.0301228784111927e-07,2.0311456960018765e-09,4.5852707760860535e-11,4.6468315528039609e-12,1.9497106590687366e-12,2.7964098904360632e-12
0.225,7.941951143281679e-07,1.0495354810710265e-07,2.0907068034686031e-09,4.3132697471503628e-11,4.0053954310681562e-12,1.9482710798241569e-12,2.6921409552384549e-12
0.2275,7.9009317923847471e-07,1.068292823958357e-07,2.1384234830646119e-09,3.9942628760103824e-11,3.7724061950924625e-12,2.6766886097966211e-12,3.3622790014315491e-12
0.23,7.8552163541524431e-07,1.0864708439790215e-07,2.1800398662430638e-09,3.6883086855628792e-11,3.878850161892512e-12,3.66260869904258e-12,4.1352929902838605e-12
0.2325,7.8081313718458003e-07,1.104171450663244e-07,2.2213265098591442e-09,3.4423443513000148e-11,4.123932007692258e-12,4.4821281443207509e-12,4.5380455836327169e-12
0.235,7.7628158291676132e-07,1.1215130702411116e-07,2.267354770061821e-09,3.289410250260933e-11,4.314553271189111e-12,4.8455616798231504e-12,4.4200534216341798e-12
0.2375,7.7215529608031909e-07,1.1386134492987566e-07,2.3223716503324094e-09,3.2539974228988806e-11,4.3927916888587945e-12,4.6390113102552439e-12,3.939933095805548e-12
0.24,7.6857827737005441e-07,1.1555674439195788e-07,2.3885574867676992e-09,3.3517838015583117e-11,4.4829504391683533e-12,4.0151305097420514e-12,3.43966712022631e-12
