Physical Time (s),enth_flux_viscous_top Monitor (W): top_cv1,enth_flux_viscous_top Monitor (W): top_cv2,enth_flux_viscous_top Monitor (W): top_cv3,enth_flux_viscous_top Monitor (W): top_cv4,enth_flux_viscous_top Monitor (W): top_cv5,enth_flux_viscous_top Monitor (W): top_cv6,enth_flux_viscous_top Monitor (W): top_cv7
0.045,1.7798818876955276e-10,-4.1129445317253473e-11,-9.2316000091017787e-11,-3.6838663559594925e-11,5.0164582705367572e-11,1.2888245245616505e-10,4.6776137952333944e-12
0.0475,1.5337770506877539e-10,-5.2883847577394227e-11,-1.1925280719394736e-10,-8.7451136993628689e-11,-8.7132623008208807e-12,1.1216352617687413e-10,1.7581041494772764e-11
0.05,1.1472186030224434e-10,-6.1313124264226083e-11,-1.3256320096010072e-10,-1.1841600270936745e-10,-6.1885957926196734e-11,5.8029199210681838e-11,2.5464179312375217e-11
0.0525,9.6426134574537902e-11,-6.1119493132168898e-11,-1.3024756103255969e-10,-1.2773473481091234e-10,-9.6864808817326409e-11,-1.5687908589452756e-11,2.1187206612180225e-11
0.055,1.1617939640414434e-10,-4.8758485952468056e-11,-1.1094236326671892e-10,-1.18087152570765e-10,-1.0903484491330983e-10,-8.6637777872730774e-11,1.4759253002431994e-12
0.0575,1.6559658287321875e-10,-2.4968159657591832e-11,-7.5657113728968277e-11,-9.3188171019304509e-11,-1.0069591832671262e-10,-1.3683746310658815e-10,-3.0423322756204543e-11
0.06,2.2023801810722224e-10,5.4002690584788305e-12,-2.9012115563370376e-11,-5.6450304754733644e-11,-7.6856309544583005e-11,-1.5640616965122548e-10,-6.5656517826917642e-11
0.0625,2.5543039589564911e-10,3.4899440419811606e-11,2.0948790510085993e-11,-1.2119428567730761e-11,-4.2527327337983597e-11,-1.4355052318277787e-10,-9.2807193124684852e-11
0.065,2.5726185172964156e-10,5.5377483515970239e-11,6.3950575263258733e-11,3.3558501668894302e-11,-2.594150668886421e-12,-1.0273048471047613e-10,-1.0151145532331887e-10
0.0675,2.2576985945610526e-10,6.0464989903950206e-11,8.9436642011376089e-11,7.2522547135195746e-11,3.731730869369713e-11,-4.2848297515071349e-11,-8.5590221242962259e-11
0.07,1.7215872926645058e-10,4.8080309935117609e-11,8.9407421031319975e-11,9.6068557313264644e-11,7.0610106585906683e-11,2.4733874987766919e-11,-4.4862952057118384e-11
0.0725,1.1303178754026738e-10,2.135676174787068e-11,6.172117605227222e-11,9.7208267938468207e-11,9.0687536962848287e-11,8.8289809730585613e-11,1.4570474142672477e-11
0.075,6.3913380273973155e-11,-1.2798558730190422e-11,1.1844307957944328e-11,7.3232014290034236e-11,9.2532863020271063e-11,1.3755876871289954e-10,8.100953678062746e-11
0.0775,3.3938234925392545e-11,-4.6608095859835674e-11,-4.8903093690368664e-11,2.7508205906655197e-11,7.4175611490769297e-11,1.6457971477635291e-10,1.3916864182074099e-10
0.08,2.3433314682137113e-11,-7.3812151504537531e-11,-1.0741256914375352e-10,-3.0563903296390168e-11,3.792337287777709e-11,1.6380276841743547e-10,1.7377234754797425e-10
0.0825,2.5402849686848007e-11,-9.0882355149219062e-11,-1.5272829504689755e-10,-8.8239474686705121e-11,-9.4374182583346825e-12,1.3262634216275118e-10,1.7426753784298478e-10
0.085,2.9919031939815181e-11,-9.7102949051542343e-11,-1.7812361529495865e-10,-1.3317927004245482e-10,-5.7755786680117632e-11,7.3341158267942785e-11,1.3877452006585655e-10
0.0875,2.8698325502179435e-11,-9.4034418514367467e-11,-1.8169292964637873e-10,-1.5656204733802637e-10,-9.6117025986377087e-11,-4.9996695881365252e-12,7.4993794663008251e-11
0.09,1.8379606320061147e-11,-8.4642479753661505e-11,-1.6592063935760062e-10,-1.5480833621047955e-10,-1.1584145740394299e-10,-8.6559091168018886e-11,-2.460187463891258e-12
0.0925,1.1930731884588285e-12,-7.2286801352624069e-11,-1.3678527678268997e-10,-1.3026393784281186e-10,-1.131599263980232e-10,-1.5305694027212508e-10,-7.7037144128995203e-11
0.095,-1.6345239849834258e-11,-5.978375802378303e-11,-1.0211289443512328e-10,-9.0444633953029789e-11,-9.0320516254998462e-11,-1.8967336798070041e-10,-1.3465693994223567e-10
0.0975,-2.6143054492876581e-11,-4.8789576798762223e-11,-6.9474781604595868e-11,-4.5988378249486457e-11,-5.476224897773823e-11,-1.8909456521476794e-10,-1.6586533699028503e-10
0.1,-2.1310926645747638e-11,-3.9754645922554794e-11,-4.4387533575827759e-11,-7.6590210384457389e-12,-1.6502116262606426e-11,-1.5228261301125505e-10,-1.659234399470242e-10
0.1025,1.9044368479933811e-12,-3.2245934669049112e-11,-2.9347611615981005e-11,1.6689337143269438e-11,1.5126112374392539e-11,-8.7016304420943269e-11,-1.3449746061863528e-10
0.105,4.341344209462104e-11,-2.5457743149229917e-11,-2.3874438431099025e-11,2.4152089226303461e-11,3.4283463747290306e-11,-6.6279129530273157e-12,-7.6459127502590824e-11
0.1075,9.9564764651086798e-11,-1.8720152163719075e-11,-2.544904279652366e-11,1.6829465580970943e-11,3.970686166096996e-11,7.1568482581970695e-11,-2.4516960074842149e-12
0.11,1.6415523596224135e-10,-1.1806479291231772e-11,-3.0808738163902255e-11,2.7097095711143263e-13,3.3784179955745832e-11,1.2966946433110699e-10,7.2211076075357462e-11
0.1125,2.298398973616729e-10,-4.9562213258069902e-12,-3.6919563841415796e-11,-1.8858770362548801e-11,2.0715187284370853e-11,1.5429307052188057e-10,1.3109781738996139e-10
0.115,2.8928923721193643e-10,1.3386888211964054e-12,-4.1404434864436008e-11,-3.4765978668268882e-11,4.7528276342596758e-12,1.4084033262408245e-10,1.6090302034323916e-10
0.1175,3.3609231060329195e-10,6.5860819880784396e-12,-4.2668139226551397e-11,-4.3852091075675854e-11,-1.0608144809229605e-11,9.4788253201630169e-11,1.5465146874246607e-10
0.12,3.6539268703026527e-10,1.0440011720819395e-11,-4.0063695035396592e-11,-4.5144535775433679e-11,-2.2987292034521805e-11,2.9223460810107964e-11,1.1318359971125176e-10
0.1225,3.7424474214329901e-10,1.2600042964318271e-11,-3.42357176126844e-11,-4.0052769098213612e-11,-3.1266714330286177e-11,-3.9788373880515063e-11,4.4868956011833395e-11
0.125,3.617391944857424e-10,1.2636525363343033e-11,-2.7268696269056459e-11,-3.1684527311887516e-11,-3.54521536815512e-11,-9.761942574592045e-11,-3.5965835118249475e-11
0.1275,3.2902737626018923e-10,9.8655434125436268e-12,-2.2373561832627981e-11,-2.38467752659101e-11,-3.6294690283673078e-11,-1.3383294148166942e-10,-1.1172934081305619e-10
0.13,2.7944152909957545e-10,3.5343100876698917e-12,-2.2898569663087832e-11,-1.9891163490364559e-11,-3.4792789534071674e-11,-1.4352243804478615e-10,-1.6533505647659749e-10
0.1325,2.1820864924356649e-10,-6.7898950256355961e-12,-3.1097179798154575e-11,-2.17040454018334e-11,-3.1782155473330223e-11,-1.2754905759843538e-10,-1.8447418915311133e-10
0.135,1.5180157537127637e-10,-2.0833020661861988e-11,-4.7245625250569926e-11,-2.9312333157122036e-11,-2.7880733433780481e-11,-9.1674094833614207e-11,-1.6471280754105684e-10
0.1375,8.7246108536769388e-11,-3.7440215847133892e-11,-6.947538996724855e-11,-4.10513691647844e-11,-2.3712843793352836e-11,-4.4970589355153794e-11,-1.1072264196416285e-10
0.14,3.1471389379407897e-11,-5.4690350871963501e-11,-9.4279094467475556e-11,-5.4371497053901939e-11,-2.0044516950611081e-11,2.3285829952153045e-12,-3.512711897826074e-11
0.1425,-9.3804420664403527e-12,-7.0250571389001797e-11,-1.1747078292225454e-10,-6.670378642908455e-11,-1.7711544449764936e-11,4.1069501954997727e-11,4.4727984299472885e-11
0.145,-3.0767791375581071e-11,-8.1862840338029503e-11,-1.3519776355225151e-10,-7.6078941315063544e-11,-1.7356637806974128e-11,6.4838375590029357e-11,1.1103965653192359e-10
0.1475,-3.0702904654848199e-11,-8.788383600832352e-11,-1.4486457981690454e-10,-8.1406716676232983e-11,-1.9098164510336602e-11,7.0987917734032099e-11,1.4977545760809537e-10
0.15,-1.0438706912905625e-11,-8.7721218323253124e-11,-1.4564975781509867e-10,-8.2451773591777411e-11,-2.2466798608535497e-11,6.0363318106040226e-11,1.5379021569248981e-10
0.1525,2.5484023430358047e-11,-8.1951326223286616e-11,-1.3851008839851969e-10,-7.9681330034739733e-11,-2.6587183967162531e-11,3.6709288939170694e-11,1.241851380580348e-10
0.155,7.0180227543747246e-11,-7.2073231896920327e-11,-1.256464956708266e-10,-7.4027041909659121e-11,-3.0499460924260775e-11,5.5976217770307825e-12,6.9671617401468427e-11
0.1575,1.1603916010080323e-10,-6.00409941798606e-11,-1.0976883737078881e-10,-6.6653392649412019e-11,-3.3423891211413047e-11,-2.6736946569325104e-11,4.1026174327879502e-12
0.16,1.5650048691077653e-10,-4.774713864658537e-11,-9.3449553727692167e-11,-5.8727430271648081e-11,-3.4899748571560723e-11,-5.4365679281858959e-11,-5.715393522046012e-11
0.1625,1.8730100117273125e-10,-3.6705307621549322e-11,-7.8735548459651335e-11,-5.1235806382670274e-11,-3.4721321057259688e-11,-7.246584829726982e-11,-1.0084288137791087e-10
0.165,2.070394084641362e-10,-2.7897615959691226e-11,-6.6996170873685689e-11,-4.4874578306141414e-11,-3.2873377245336099e-11,-7.8024580405944896e-11,-1.1860201909390753e-10
0.1675,2.1705051539411859e-10,-2.1716957868937367e-11,-5.8884300628345957e-11,-3.9993166640130042e-11,-2.9430824567189945e-11,-7.024961859619176e-11,-1.0836325769041774e-10
0.17,2.206702602189469e-10,-1.8014248904514918e-11,-5.4375144750798443e-11,-3.6593263332839361e-11,-2.4599862882619125e-11,-5.0757271884914985e-11,-7.4285345026438351e-11
0.1725,2.2195207577455242e-10,-1.6263162173659242e-11,-5.2882982727667895e-11,-3.4406921197612143e-11,-1.8769880473175763e-11,-2.3377286683008077e-11,-2.53953149777428e-11
0.175,2.2428762453131675e-10,-1.5796854588823594e-11,-5.3504166881409084e-11,-3.3044569137936391e-11,-1.2541474371255865e-11,6.5141798544283861e-12,2.6707974926989011e-11
0.1775,2.2933226047431078e-10,-1.6078717873072729e-11,-5.5319358938270562e-11,-3.2158662724105997e-11,-6.697380786532264e-12,3.3080108766784209e-11,7.0535583109159522e-11
0.18,2.3667395216316352e-10,-1.6814402573611494e-11,-5.7653589289107767e-11,-3.1598756337663933e-11,-2.1077147664613252e-12,5.1170590439601182e-11,9.7128883497305844e-11
0.1825,2.4424143331608486e-10,-1.7985697673552976e-11,-6.0230155474776728e-11,-3.1498925350591514e-11,3.8834328767223473e-13,5.7324616830676612e-11,1.0179281512438573e-10
0.185,2.4925966437857672e-10,-1.9748224584183453e-11,-6.3166395772843435e-11,-3.2270655891562541e-11,1.1687979702655438e-13,5.0433020101959277e-11,8.4778113204771204e-11
0.1875,2.4931697934424503e-10,-2.2291349577865059e-11,-6.6843844530562131e-11,-3.4492750435724095e-11,-3.2981683608621987e-12,3.1927156287914817e-11,5.0800585185798618e-11
0.19,2.4315334520246496e-10,-2.5725792175294919e-11,-7.1699587905805056e-11,-3.8692360577489802e-11,-9.8056209020319741e-12,5.4068310350592118e-12,7.649758302919728e-12
0.1925,2.3098323929053228e-10,-3.0009526364814328e-11,-7.8026267489196913e-11,-4.5122455689320621e-11,-1.8837121486762718e-11,-2.4234582351077497e-11,-3.5695070147027419e-11
0.195,2.1436556303032781e-10,-3.4930300078896953e-11,-8.5821019902385257e-11,-5.3567045908275328e-11,-2.9300589498791728e-11,-5.1712362968629417e-11,-7.0946983911548648e-11
0.1975,1.9575056740820931e-10,-4.0116525250157573e-11,-9.4702827905488835e-11,-6.3270262888341417e-11,-3.9707418866318036e-11,-7.2326685927778341e-11,-9.1974743622382633e-11
0.2,1.7790275930147946e-10,-4.5096313394311798e-11,-1.0392029919793187e-10,-7.3008752943412134e-11,-4.8445552637305635e-11,-8.2881062215317874e-11,-9.5868431354461685e-11
0.2025,1.6319482355129689e-10,-4.9408942687474561e-11,-1.1251018668394648e-10,-8.1367451710534479e-11,-5.4135533904348686e-11,-8.2290843142534913e-11,-8.329166643785761e-11
0.205,1.5314014070685197e-10,-5.2704982175649512e-11,-1.1953085456669473e-10,-8.7095409245903859e-11,-5.5937943873171723e-11,-7.1613993070995603e-11,-5.7961086798254694e-11
0.2075,1.4833209920278604e-10,-5.4791679119974178e-11,-1.2426830494207962e-10,-8.9404476335633311e-11,-5.3724526396284006e-11,-5.360498171611758e-11,-2.5611665453105668e-11
0.21,1.4861589248958606e-10,-5.5636380758185018e-11,-1.2637961381726136e-10,-8.8168645348909413e-11,-4.8112005791563886e-11,-3.2102974936577616e-11,7.2068918690628288e-12
0.2125,1.5335408721810468e-10,-5.533490548861958e-11,-1.2594877457975791e-10,-8.3950996901645439e-11,-4.0341994604674011e-11,-1.1229046778059372e-11,3.4417554427285857e-11
0.215,1.6173674438398979e-10,-5.4059625745326841e-11,-1.2342564604391043e-10,-7.78811922778811e-11,-3.2042662424214231e-11,5.3518498357104626e-12,5.1522169688503342e-11
0.2175,1.7291073920928589e-10,-5.2009141702793242e-11,-1.1950004164406546e-10,-7.139896160975334e-11,-2.4900903120108432e-11,1.5075990476970617e-11,5.6344144308714303e-11
0.22,1.8605088115655373e-10,-4.9384596960509376e-11,-1.1493930963251846e-10,-6.5908975895280988e-11,-2.0312697620057668e-11,1.6795430289338396e-11,4.9221853512484908e-11
0.2225,2.0031030985668684e-10,-4.6368241521040515e-11,-1.1042065408006299e-10,-6.2444369557286444e-11,-1.9076262101929985e-11,1.0865120736256599e-11,3.2695993813342399e-11
0.225,2.1480735477312213e-10,-4.3144757817656312e-11,-1.0641423614566489e-10,-6.1433720471762807e-11,-2.1225768649766754e-11,-1.0601443416291895e-12,1.0774832518129855e-11
0.2275,2.2864530341796215e-10,-3.9895108742754416e-11,-1.0312888342798144e-10,-6.2633740432065497e-11,-2.6045268185253242e-11,-1.6397382718228971e-11,-1.1990022314722599e-11
0.23,2.4095932268985092e-10,-3.6796344150666678e-11,-1.0051815260175674e-10,-6.522239918330116e-11,-3.2226743816896065e-11,-3.21221117825908e-11,-3.1398534787971402e-11
0.2325,2.5101798735814717e-10,-3.4013802142865102e-11,-9.8354202758629193e-11,-6.8027048156233789e-11,-3.8151725865010825e-11,-4.5276972550746262e-11,-4.4370349483506622e-11
0.235,2.5834647560533983e-10,-3.1676488495628137e-11,-9.6335595288691757e-11,-6.9860573158053193e-11,-4.2287791765135961e-11,-5.3501556332855478e-11,-4.940679953238386e-11
0.2375,2.6279809157194284e-10,-2.9869145606623236e-11,-9.4213914225016276e-11,-6.984370464366631e-11,-4.3537480733644443e-11,-5.5389627735287554e-11,-4.6594822654457826e-11
0.24,2.6457201998811078e-10,-2.8638253421848177e-11,-9.1904622566753259e-11,-6.7622358600959406e-11,-4.1466673022733481e-11,-5.0647335239915685e-11,-3.7334261651127407e-11
0.2425,2.6414646487464826e-10,-2.8007048166050938e-11,-8.9550160639387122e-11,-6.3468233852097706e-11,-3.6396358953834737e-11,-4.0127890258917766e-11,-2.3895742471607569e-11
0.245,2.6218613524387022e-10,-2.7980893966319201e-11,-8.7501998153781611e-11,-5.8186846014223309e-11,-2.9304300353616124e-11,-2.5702614831608025e-11,-8.8922837721355029e-12
0.2475,2.593893562943491e-10,-2.8549906363675887e-11,-8.6231170372473716e-11,-5.2923013466522089e-11,-2.1620186093338132e-11,-9.8974950213875279e-12,5.2316333663507874e-12
0.25,2.5633849473873984e-10,-2.9688674103973979e-11,-8.6205081215226569e-11,-4.8899702353866887e-11,-1.4924871065396834e-11,4.5222287914942737e-12,1.6562173194005461e-11
0.2525,2.534194022638292e-10,-3.1344398557455643e-11,-8.7758782852200342e-11,-4.7126626831602087e-11,-1.0605002088276353e-11,1.5051141563038813e-11,2.3916251105957963e-11
0.255,2.5077192646531886e-10,-3.3439281525375528e-11,-9.1016969215584879e-11,-4.8191783203570304e-11,-9.5634466520790907e-12,1.9912300873821177e-11,2.6876746120251182e-11
0.2575,2.483142019888059e-10,-3.5877429679180913e-11,-9.5853432408434827e-11,-5.2147380357671044e-11,-1.2050758999799288e-11,1.8379050448805081e-11,2.5693791648824312e-11
0.26,2.4581014697312828e-10,-3.854877602539742e-11,-1.0192091937890595e-10,-5.8516326454964026e-11,-1.7638780640980625e-11,1.0900366739957377e-11,2.111971895129102e-11
0.2625,2.4295236148566833e-10,-4.1334291666679659e-11,-1.0871141432133262e-10,-6.641015265509201e-11,-2.5336129213538751e-11,-1.0301810413653425e-12,1.4212373274935589e-11
0.265,2.3947410344891686e-10,-4.4111677724615136e-11,-1.1564493395267028e-10,-7.473322961013419e-11,-3.3805352210935466e-11,-1.5155040953257955e-11,6.1699661180783606e-12
0.2675,2.3524149230132878e-10,-4.6761244624592748e-11,-1.2216162560781115e-10,-8.2387815425685701e-11,-4.1645371747198551e-11,-2.8919436366438423e-11,-1.8250318748414639e-12
0.27,2.3031647903803281e-10,-4.9171885443621427e-11,-1.2780261483122427e-10,-8.8480169761366751e-11,-4.7666467522219049e-11,-3.9971813897505193e-11,-8.7124709333911742e-12
0.2725,2.2497189344516816e-10,-5.1244790340171133e-11,-1.3227320829858898e-10,-9.2474747063974367e-11,-5.111162893635805e-11,-4.6608702852599887e-11,-1.3664800612259327e-11
0.275,2.1968808674764186e-10,-5.2892390390317652e-11,-1.3545971459000251e-10,-9.4263845441457332e-11,-5.1778624019706785e-11,-4.8085480819862772e-11,-1.616002460201708e-11
0.2775,2.1511056454714496e-10,-5.4032099669742851e-11,-1.3740631054047376e-10,-9.4129141901148322e-11,-5.0005802078199933e-11,-4.4701212349496998e-11,-1.6049181134112219e-11
0.28,2.11998078225584e-10,-5.457550997531211e-11,-1.3825079184180104e-10,-9.2627662600053866e-11,-4.6560088200569337e-11,-3.7694840701189441e-11,-1.3590856912729182e-11
0.2825,2.1114233737991282e-10,-5.4427542288783217e-11,-1.3814959201295386e-10,-9.0431622059421602e-11,-4.2432331619340489e-11,-2.8936473058377052e-11,-9.4383254376297074e-12
