Physical Time (s),etp_top Monitor (W): top_cv1,etp_top Monitor (W): top_cv2,etp_top Monitor (W): top_cv3,etp_top Monitor (W): top_cv4,etp_top Monitor (W): top_cv5,etp_top Monitor (W): top_cv6,etp_top Monitor (W): top_cv7
0.095,-4.5942178870324251e-10,-9.8803930701936143e-10,-5.9761248737146609e-10,1.9612531263108755e-09,6.0323110621959507e-09,2.1736590288351803e-08,7.2078969864159864e-09
0.0975,-1.1043431678921924e-09,-1.2254029777497486e-09,-3.4974862197940506e-11,2.1574380420838763e-09,5.3929062772024033e-09,2.1189060821039956e-08,9.657635337501635e-09
0.1,-1.0879702677888036e-09,-1.2061853310342831e-09,1.9161044285487212e-10,4.469400703411843e-10,2.0672453833495541e-09,1.5010977065040408e-08,1.1236793118137709e-08
0.1025,-2.3591687454493422e-10,-9.6807685771170648e-10,2.2637714522547594e-10,-1.54900011918535e-09,-1.6098010098130887e-09,6.82778963207458e-09,1.0848934348853779e-08
0.105,1.2401775443373833e-09,-5.9173456793082866e-10,3.1932990462315881e-10,-2.3203123922840962e-09,-3.5100148301569949e-09,8.8790004759715452e-11,7.1404774904105338e-09
0.1075,2.6051646340168166e-09,-1.9171152109784872e-10,6.3188508327179543e-10,-1.5597168739849242e-09,-3.2047376898663715e-09,-3.8566728002905234e-09,5.5684386632523305e-10
0.11,2.9036568227247298e-09,1.0867684479043393e-10,1.0866009178818505e-09,-1.6287504486339493e-10,-1.7757620799166165e-09,-5.5366781466333428e-09,-5.8699284456110063e-09
0.1125,1.5694369633920597e-09,2.3348793312651645e-10,1.4134233608519091e-09,7.2273424028797333e-10,-5.3129489587167602e-10,-5.8284704485728872e-09,-8.5236994947739185e-09
0.115,-1.1029080934143427e-09,1.8502552800111482e-10,1.3552029920910352e-09,6.2170801511343744e-10,-4.0812183680577143e-11,-4.9944226600953951e-09,-6.20246971949097e-09
0.1175,-3.9668116150709466e-09,3.6333411329509494e-11,8.8274001754805849e-10,-9.5867640143663225e-11,-9.5661457137926748e-11,-3.0972364070634082e-09,-1.2181198827398602e-09
0.12,-5.5873158350402372e-09,-1.0649050354624837e-10,2.3536875924618932e-10,-7.4628839650599573e-10,-2.5156642171262438e-10,-8.0629001673741169e-10,2.446986367379851e-09
0.1225,-5.0669934061677642e-09,-1.5489639961189703e-10,-2.6106224666322229e-10,-9.3756801027655205e-10,-2.8623831252000419e-10,5.1418313697006524e-10,2.206554619663916e-09
0.125,-2.5715584737116047e-09,-9.4695248452482701e-11,-4.5095918693946862e-10,-7.4173132371734137e-10,-2.6202879529194138e-10,-2.7247480603213156e-10,-1.4593552897604238e-09
0.1275,6.9935928373209329e-10,-9.4295501637751846e-12,-4.2865446144494616e-10,-4.4716524686104841e-10,-3.3112214797890107e-10,-3.034966230324428e-09,-5.8011967558182974e-09
0.13,3.1312392415122449e-09,-1.8086911350473746e-11,-3.6877361424357997e-10,-2.513447829677135e-10,-5.4720785870944914e-10,-6.2041149502451746e-09,-8.1169244753053549e-09
0.1325,3.7246848797691825e-09,-1.3416026650216829e-10,-2.9357670019005955e-10,-1.7127594366935248e-10,-8.2205366624684497e-10,-7.8105634076380445e-09,-7.6093954569791065e-09
0.135,2.6816700970201641e-09,-1.8740314912614282e-10,-6.1335957328312836e-11,-1.8144080435272679e-10,-1.0224342618739718e-09,-6.8063484098670447e-09,-5.3487352492164577e-09
0.1375,1.1677824574078396e-09,7.2567729479642412e-11,3.971405264050357e-10,-3.5342553626777739e-10,-1.0837222895513278e-09,-3.6343147972954063e-09,-2.8128348057485495e-09
0.14,4.1995950495110875e-10,7.4886822778165886e-10,8.7920632693668714e-10,-8.2130461944318404e-10,-1.051818095280114e-09,2.0418824679106405e-10,-5.4609109384834367e-10
0.1425,8.3639094357315316e-10,1.6498641790052861e-09,1.012536229265022e-09,-1.6160280941740845e-09,-1.028126814333868e-09,3.1651588444873308e-09,1.8848291266730101e-09
0.145,1.7574704263157115e-09,2.3862976689356895e-09,5.7785106645055914e-10,-2.5419879606043967e-09,-1.0783011285963702e-09,4.4491814844411345e-09,4.8209448253682393e-09
0.1475,2.0577689551422151e-09,2.6333350982923812e-09,-2.5239882181431029e-10,-3.2289564855787675e-09,-1.1759099490906364e-09,4.1763794498915341e-09,7.5851417582710942e-09
