Physical Time (s),etp_left Monitor (W)
0.2025,-5.3087537277429179e-09
0.205,-7.3856443327419923e-09
0.2075,-6.8623877676966797e-09
0.21,-4.6044540744728029e-09
0.2125,-1.613780966637037e-09
0.215,1.1359095385741638e-09
0.2175,2.8368012958139822e-09
0.22,2.9779859824404445e-09
0.2225,1.4261644319397423e-09
0.225,-1.6176663950377732e-09
0.2275,-5.7455826623480752e-09
0.23,-1.043855823683139e-08
0.2325,-1.5056305044830536e-08
0.235,-1.8857258836634901e-08
0.2375,-2.1037055489224412e-08
0.24,-2.0845063547396937e-08
0.2425,-1.7802093462855237e-08
0.245,-1.1947645416631169e-08
0.2475,-3.9549390687732603e-09
0.25,4.9470900043064165e-09
0.2525,1.3273584067543208e-08
0.255,1.9664396092217414e-08
0.2575,2.3215863527738647e-08
0.26,2.3672250120856476e-08
0.2625,2.1411178622562244e-08
0.265,1.7271482572333884e-08
0.2675,1.2288182663670419e-08
0.27,7.448760247887288e-09
0.2725,3.4974802517007841e-09
0.275,8.2307050484118671e-10
0.2775,-5.4209144367821952e-10
0.28,-8.3568977426654698e-10
0.2825,-4.4129634720915464e-10
0.285,2.3777202290461091e-10
0.2875,8.7860056051665759e-10
0.29,1.2900997187759943e-09
0.2925,1.413705849966328e-09
0.295,1.2896218604898203e-09
0.2975,1.0091444046822019e-09
0.3,6.7312571347985738e-10
0.3025,3.6675977949725481e-10
0.305,1.4760769883710119e-10
0.3075,4.3310875253678779e-11
0.31,5.436830932651338e-11
0.3125,1.6108173706512738e-10
0.315,3.3514197323178977e-10
0.3175,5.4715454611046329e-10
0.32,7.7313956061250407e-10
0.3225,9.9820937600168369e-10
0.325,1.210884687907156e-09
0.3275,1.4029062472301085e-09
0.33,1.5690916328504344e-09
0.3325,1.7109834640361082e-09
0.335,1.8387141066950218e-09
0.3375,1.9718572804201239e-09
0.34,2.1399810971532524e-09
0.3425,2.3740547517091396e-09
0.345,2.7001416823027527e-09
0.3475,3.1347103775705965e-09
0.35,3.6843650805989765e-09
0.3525,4.3524001695716666e-09
0.355,5.1350601838061151e-09
0.3575,6.021920091431506e-09
0.36,6.9928570662757382e-09
0.3625,8.0105157735207004e-09
0.365,9.0130997349734012e-09
0.3675,9.9171002852818655e-09
0.37,1.0626358593514033e-08
0.3725,1.1050653930515791e-08
0.375,1.111826220279566e-08
0.3775,1.0791652953088497e-08
0.38,1.0069049879531105e-08
0.3825,8.9935455492067314e-09
0.385,7.6461213152182092e-09
0.3875,6.1372440429082909e-09
0.39,4.5912992450474114e-09
0.3925,3.1301573142255067e-09
0.395,1.8570774013511463e-09
0.3975,8.3988575109535564e-10
0.4,9.743072775868576e-11
0.4025,-4.0810843203858216e-10
0.405,-7.6553053071239661e-10
0.4075,-1.1043670175762102e-09
0.41,-1.5656787747647156e-09
0.4125,-2.2704533443368547e-09
0.415,-3.2805064381367737e-09
0.4175,-4.5735845276213639e-09
0.42,-6.0304472342362383e-09
0.4225,-7.4425241272846076e-09
0.425,-8.5434474213475839e-09
0.4275,-9.056708592381302e-09
0.43,-8.7540682345823754e-09
0.4325,-7.5061044954860751e-09
0.435,-5.320556316420001e-09
0.4375,-2.3566377700866679e-09
0.44,1.0985662138855533e-09
0.4425,4.6711138649014925e-09
0.445,7.966886771790848e-09
0.4475,1.0642420883079659e-08
0.45,1.2442527299846256e-08
0.4525,1.3241365281126893e-08
0.455,1.304422761604393e-08
0.4575,1.1983824548676997e-08
0.46,1.0283032450882904e-08
0.4625,8.2259618444159243e-09
0.465,6.0956049003918001e-09
0.4675,4.1273636032859241e-09
0.47,2.4830844061211128e-09
0.4725,1.2320748196946023e-09
0.475,3.538039603244093e-10
0.4775,-2.5224775260134343e-10
0.48,-7.422645934898428e-10
0.4825,-1.2896969507963111e-09
0.485,-2.0508450448310698e-09
0.4875,-3.1248506102058386e-09
0.49,-4.5299953566916e-09
0.4925,-6.1930687071981009e-09
0.495,-7.9574002437833828e-09
0.4975,-9.6063526038548288e-09
0.5,-1.0900497108546641e-08
