Physical Time (s),enth_flux_viscous_right Monitor (W): right_cv1,enth_flux_viscous_right Monitor (W): right_cv2,enth_flux_viscous_right Monitor (W): right_cv3,enth_flux_viscous_right Monitor (W): right_cv4,enth_flux_viscous_right Monitor (W): right_cv5,enth_flux_viscous_right Monitor (W): right_cv6,enth_flux_viscous_right Monitor (W): right_cv7
0.095,7.8679278867549258e-09,-2.9341702719415095e-10,-3.6470217347580781e-10,-7.9262072525727563e-11,1.6773848709972662e-10,1.0439540732739626e-11,3.054540601802621e-10
0.0975,8.0027081166033084e-09,-3.1325383479137114e-10,-3.3596824635143793e-10,5.3427622012494667e-11,3.5380410769846793e-10,-7.2557913790909515e-11,2.7990345166373949e-10
0.1,8.1894602299647956e-09,-2.7328501246367763e-10,-2.7428373379343791e-10,1.548551104495586e-10,4.4642513479476782e-10,-1.1704942405075968e-10,2.0712482642826928e-10
0.1025,8.4340146877452524e-09,-1.6717234617050322e-10,-1.7321584887074483e-10,2.1684557549813307e-10,4.2935620325443855e-10,-1.0590470503631987e-10,9.2514444353347626e-11
0.105,8.7375498970566753e-09,-5.1471363617382544e-12,-3.7657590362907419e-11,2.3562232965948944e-10,3.1236372223206202e-10,-4.5041041963164524e-11,-4.3798419775223775e-11
0.1075,9.0979576268558706e-09,1.8941681146448777e-10,1.1419244530177652e-10,2.1350924309706818e-10,1.3699232703922582e-10,4.0693118647336097e-11,-1.731731984465038e-10
0.11,9.5085348938211841e-09,3.87067410578235e-10,2.5433446690196169e-10,1.6254454424582965e-10,-3.3953407034452e-11,1.2010109553796399e-10,-2.6965189573530531e-10
0.1125,9.9554353125545439e-09,5.5904421530514633e-10,3.5418086106422061e-10,1.0550522210187474e-10,-1.4129718392211877e-10,1.6718329939794083e-10,-3.1936107115056582e-10
0.115,1.0422693093703984e-08,6.8024887803920349e-10,3.9605990042985489e-10,6.9762306738225881e-11,-1.5327455010371416e-10,1.671648875921838e-10,-3.2374080584421229e-10
0.1175,1.0886707551725332e-08,7.329222342973773e-10,3.8118892200399987e-10,7.5463615481762154e-11,-7.4052155317538561e-11,1.197261070683286e-10,-2.9629549260896903e-10
0.12,1.1322498369565784e-08,7.1256586601992831e-10,3.2887525054426007e-10,1.2624318238342935e-10,6.4582268590253508e-11,3.9229796137919024e-11,-2.5530404406839772e-10
0.1225,1.1712742887804042e-08,6.3064464177264505e-10,2.662930919732702e-10,2.0862017810955313e-10,2.1862901049501867e-10,-4.9872375575245327e-11,-2.1680629833967564e-10
0.125,1.2052068324710211e-08,5.1363454115347211e-10,2.1543187787506787e-10,2.9839161116516566e-10,3.4526907279171376e-10,-1.2187405933904054e-10,-1.8996820559191541e-10
0.1275,1.2355075269374402e-08,3.9512002437132597e-10,1.8481504646145709e-10,3.6838799300381411e-10,4.1219917215167462e-10,-1.5847672875348919e-10,-1.7679916944855769e-10
0.13,1.2655003871674807e-08,3.027520606897174e-10,1.6921389601946599e-10,3.9467068788376947e-10,4.0471705202688074e-10,-1.5396725990743265e-10,-1.73195820411571e-10
0.1325,1.2994062006247461e-08,2.4778460965605629e-10,1.5481476467219777e-10,3.6226522718975595e-10,3.2872648371013366e-10,-1.1473400138619109e-10,-1.7113470788417901e-10
0.135,1.3410879565459715e-08,2.2758300150936187e-10,1.2589053014656834e-10,2.6999179228716745e-10,2.0660874791266958e-10,-5.484791858345506e-11,-1.6131944239183772e-10
0.1375,1.3928676224885392e-08,2.2656673611948112e-10,7.0196297375619409e-11,1.3268218110566487e-10,6.8407140527883509e-11,9.3406805792777884e-12,-1.3517625787507773e-10
0.14,1.4549645648870291e-08,2.2508593657484413e-10,-1.6351452969311317e-11,-2.2974623172606827e-11,-5.7980098227634025e-11,6.3786893906954185e-11,-8.8438174621157761e-11
0.1425,1.5258386033227412e-08,2.0599004024521881e-10,-1.2737980756828655e-10,-1.6749202056832166e-10,-1.5336553748076348e-10,9.9415890416639446e-11,-2.2365185614451907e-11
0.145,1.6027433359794427e-08,1.5956520171824753e-10,-2.4771432635093028e-10,-2.7803872414234829e-10,-2.0924390578293342e-10,1.1289124916272469e-10,5.6114794140772591e-11
