Physical Time (s),xth_bot Monitor (W): bot_cv1,xth_bot Monitor (W): bot_cv2,xth_bot Monitor (W): bot_cv3,xth_bot Monitor (W): bot_cv4,xth_bot Monitor (W): bot_cv5,xth_bot Monitor (W): bot_cv6,xth_bot Monitor (W): bot_cv7
0.1025,-6.5394765611474876e-20,-1.8433665442095865e-20,1.6141868383870131e-19,1.9766273966704348e-20,3.3549430263560833e-20,-6.8886771507124365e-20,-1.146741952448728e-19
0.105,-6.0175568048075877e-21,1.4530482274674928e-20,-3.150232855480674e-20,3.712578761844552e-20,-2.80002172679909e-20,-3.6264874938109991e-20,-6.1804788548823094e-21
0.1075,-1.5808848893794244e-19,-1.6080898915690008e-20,-4.3770398093309357e-21,2.1029958326236314e-20,6.7569456239890895e-20,9.1605542122785348e-20,2.5448041460571697e-20
0.11,-1.7628194985396523e-20,3.9232161406192151e-21,-2.1257967343924531e-20,3.8307282580049908e-20,-1.361074382879326e-19,-2.6802817125215015e-19,4.8922863960919321e-20
0.1125,1.7449758888303953e-19,-4.8979364317396845e-20,7.4884665632745598e-20,4.3776783811494439e-20,7.8968123857906735e-20,-8.0725787808944418e-20,-1.4173592976110443e-19
0.115,9.7722140577749474e-19,-4.349940023861519e-20,1.5692979199195536e-19,-1.9511521994880402e-21,-3.6468749623382661e-20,1.1619308190743275e-19,4.0804694585358229e-20
0.1175,1.166106449894031e-19,-9.4162318063243335e-21,-1.71945539780628e-19,-3.8544383722197483e-20,1.9082272000955916e-20,1.5331779245061142e-19,-5.7590874458733025e-20
0.12,2.0295802548576521e-18,-3.6930181139632674e-20,-5.0366198559471305e-20,1.6202612029300048e-20,-8.8801531508470545e-20,6.7677962492007235e-20,4.1638937564967389e-20
0.1225,4.0173668888956182e-19,-4.4247179628207935e-20,3.7169391757110727e-20,-8.4635681838898024e-20,-6.5891592139330448e-20,-1.2204448761287273e-19,-2.0366056968065176e-19
0.125,-6.5224742616366775e-19,4.2435638170350743e-20,-9.9939022653551057e-20,-9.3601170939930602e-20,-3.0556430951399717e-20,-1.9328527905494631e-19,-7.667712063293102e-21
0.1275,-8.0760983066333174e-19,1.7866626821482923e-20,-4.1759307442301759e-20,9.3058617475897418e-20,-2.9243447264127206e-20,-3.3921144195704211e-19,1.8674129709303869e-19
0.13,-1.1192496975090715e-18,2.1845926273843278e-20,-1.4304484984503587e-19,-7.3334033410626824e-20,9.6848966383943219e-20,-4.4544703559058008e-19,2.5124036076615705e-19
0.1325,3.4097579017728554e-19,-1.7469085162159909e-20,3.1161828463574767e-20,3.8382686590934242e-20,-3.4615505615986546e-20,-9.5165977706037545e-20,7.2379700134384215e-20
0.135,3.7945979032128399e-19,6.553923426996566e-20,9.0390089915617812e-23,-3.2469764466137786e-20,3.7124286095386186e-20,-3.0359793244687288e-20,9.0361243744826022e-20
0.1375,-2.9105654812366699e-19,-6.0340834241277527e-20,1.1913402826639519e-19,-8.8777774121023676e-20,1.0385149588670328e-19,-1.589619354805873e-19,2.1577389347503565e-19
0.14,1.4803257353996233e-19,-7.8967328970738599e-20,-4.4297335792668956e-19,2.168697544661115e-21,-5.1214099319779608e-20,-2.3490785865411215e-20,-2.7324409021962001e-20
0.1425,1.693233846179207e-19,3.7627290687270179e-19,4.7796964600381765e-19,9.7670330556018733e-20,3.1598020175734933e-21,9.7005930139271021e-20,6.134162999148147e-22
0.145,1.0131926977480791e-20,6.0872669975923874e-19,5.0633588717416676e-19,1.5237319304033161e-20,4.1170124212194742e-20,-1.9770181651411919e-19,6.39587066602178e-20
0.1475,1.9325220855254303e-19,3.5053814140412371e-19,-1.0218700218671463e-19,-3.5383623884720053e-19,5.0705181290259444e-20,-2.7262629496819066e-20,2.7275326279879355e-19
0.15,1.4480743140366246e-19,-2.0229354141372524e-19,-3.4404877019651877e-19,-1.2420616875605687e-19,-5.4267451251033773e-20,9.6825293325501555e-20,-8.0602107857091723e-19
0.1525,7.6326334338029016e-20,-1.575644350381439e-19,-4.5016288159191965e-19,1.0844105023964459e-19,6.1279682883309755e-20,7.5306923167541154e-20,-7.5917281434058954e-19
0.155,-1.1214698912525926e-19,4.8871345170441766e-19,3.1946069759670049e-19,-2.4563313416274515e-19,2.1057238464495406e-20,-5.1743188246788737e-20,-1.4645521714416725e-19
0.1575,-4.1286514060371947e-20,7.5338207311560287e-20,2.9372793132411309e-19,1.4367939757508897e-19,-7.2374279724570627e-20,-4.3608679263718558e-20,3.6499503934504906e-20
0.16,-1.3789875948544722e-19,7.8313067030072028e-20,1.1340579878463159e-19,-2.5697892953676025e-21,9.8738630625960996e-20,7.8086717392815802e-20,-8.1110100886170856e-20
0.1625,2.8414683835599297e-19,1.8533369757635156e-19,-2.3265473983385742e-19,-2.6474484441023947e-20,-1.4889623698721733e-19,-3.9802919089745407e-20,4.5953075500695491e-19
0.165,-1.2107097085058872e-19,-8.4571960791708578e-20,-1.4662452954913786e-19,1.1628230858710405e-19,-8.2271926143699809e-20,1.8749686899463499e-19,2.7351051145532558e-19
0.1675,5.6315578681942548e-19,3.0660596371187999e-20,1.9388912600662284e-19,1.3031639859912261e-20,-1.2511337377597504e-19,-7.2418373871508167e-20,1.9098363812693886e-19
0.17,3.0456821199287042e-19,7.4449799304637609e-20,9.709265183354923e-20,-8.732803787872293e-20,7.3860438007022873e-21,6.5670859478828726e-20,1.9730053682981731e-19
0.1725,3.7849868379440466e-20,8.1734993300949231e-20,6.3134540522895509e-20,-2.0416970486207507e-20,-3.5273369350837391e-20,4.3219930753355304e-20,-1.2709925625229572e-20
0.175,1.7767494067521188e-19,9.8913665946813988e-20,1.1104322864955534e-19,-1.7742064335940313e-20,-7.5484399445376289e-21,-1.3350339230507331e-20,1.1559307090219638e-19
0.1775,-1.4787566151124114e-19,1.9856903999714274e-20,1.3801370987465064e-20,1.1148454314846086e-20,3.7253162362354086e-20,9.6154513711718035e-20,-1.5327127612252369e-19
0.18,-1.384222386200874e-19,-1.5057016893240523e-19,2.0199507538644188e-19,1.3797523612076629e-19,1.8228663775869981e-20,-4.4632213865333376e-20,-2.1516566395070833e-19
0.1825,-6.8456470962870318e-19,2.9712253560806393e-20,-4.2528428622317145e-21,-8.585022990176536e-20,1.1476132776067074e-20,6.0821826787817805e-20,5.5803614906106758e-19
0.185,-8.5212248955604629e-20,2.1107686593813137e-19,-3.0818079097942639e-19,-8.6699071925370174e-20,-9.2281537886172534e-21,1.4230351422342485e-20,-1.6581618464325741e-19
0.1875,-1.0473879714884939e-19,6.6901288035223884e-20,1.2685315139154876e-19,1.7809376525769875e-19,-5.3417566779671236e-22,2.0588190717695664e-20,-3.0727608906101521e-20
0.19,2.0667584496418866e-19,4.4467481520276298e-20,3.4607968832681602e-20,-7.0394437971607626e-20,-2.0945578212238739e-21,5.1806231321490236e-21,2.4885177886843377e-21
0.1925,-7.7650111957950722e-20,-1.1118410257667692e-19,-4.4679425105892695e-19,-2.6385543941203393e-20,3.5750867406119577e-21,-4.1885074198446117e-20,1.0888932950024999e-19
0.195,7.2981807685924554e-19,-2.3784319103398183e-19,1.2989815775811289e-19,-5.3999427923580415e-20,2.9627221644536937e-20,6.8413070153879393e-20,5.4384575422329527e-20
0.1975,8.3934863643546166e-20,-2.2701377774065268e-19,-1.9420796906776744e-19,-2.0295501458075489e-20,-1.420132801481911e-20,-1.6014737430701194e-19,1.8793382145041671e-19
0.2,2.3345124263682408e-19,2.2546859357954889e-19,-1.8534579687620707e-19,-5.910838918154964e-20,5.3777477831691082e-20,6.550379581102964e-20,-2.0174255995846434e-19
0.2025,-1.4934227436184895e-19,-2.706214288261157e-19,1.1648970656024661e-19,-2.4874369292305229e-20,-1.3400295590133815e-19,-2.6312756031823561e-20,8.46135938442774e-20
0.205,-2.1540104432302693e-19,1.3522028684026136e-19,-3.2213852730521869e-20,-2.9727896016003569e-19,8.3571767070873401e-20,8.9135191354636919e-20,-2.2657117115842565e-19
0.2075,2.3895375282187245e-19,1.7811036540588749e-19,-3.6174959784703763e-19,2.0503184072229696e-19,7.7391516850376497e-20,1.6732751339761254e-19,-2.0660352077277961e-20
0.21,-2.9996105484614576e-19,-2.9571263117098522e-20,-4.1437724385416854e-19,2.6447347072666589e-19,-1.5814405247267289e-19,-2.463571687871523e-20,2.5472655729130797e-20
0.2125,-3.2406948984233153e-19,2.215863388930502e-19,-8.0322513384581841e-21,2.6367683198528546e-19,-2.6841377143403069e-20,-2.6691258109094622e-20,8.5924581231056748e-20
0.215,-1.0038850686884563e-19,-5.9106347844219072e-21,-6.4232018988001676e-20,-1.4278014845507945e-19,-1.3855044723073212e-20,5.6791391873112705e-21,-1.7292981794315666e-19
0.2175,-3.9640188829258052e-19,-2.6651775050637033e-20,-3.9320497963562123e-19,1.8153565745250432e-19,-3.1429486890202598e-20,1.0824715221577437e-20,-4.3767945751886802e-20
0.22,6.8256357006265146e-21,4.0386586856047701e-20,2.4123957127638681e-22,-1.2456933476069072e-19,-3.2212160458343362e-20,1.9138423434194023e-20,-1.3927777770896933e-19
0.2225,-5.0938496354812421e-19,2.4407816982066643e-19,1.6243083056618361e-19,-8.1568425168489847e-20,8.3416306213610658e-21,-7.5521335380300552e-21,-2.4697871381810228e-20
0.225,-6.3707841633700345e-19,8.3319950712012502e-20,-2.7253447386427001e-19,-3.0294389812258064e-21,-1.7110882309899241e-21,2.9545968271879634e-21,-4.5139346538466059e-21
0.2275,-1.0175066818473995e-18,3.0194710904231502e-20,-8.6534561819865024e-20,1.7955497467680946e-20,-2.3071030411800496e-20,-9.5633368024360434e-21,2.3120900658273694e-20
0.23,6.1696771658922848e-20,-1.1436497448411812e-19,-4.1451457448254635e-20,2.4495554399880149e-19,1.2898355205878536e-19,-2.4951441228825035e-21,-6.645570930353813e-20
0.2325,-4.0708978298289424e-19,3.5654481576799932e-21,-1.5307984927802421e-19,2.3999959994296157e-19,-1.6864433515769477e-19,-1.4466700976409592e-20,-2.3866390576069463e-20
0.235,5.2866013358142541e-20,-3.6865125248624474e-20,5.6236217968934466e-19,1.6514085555392074e-19,1.1087978464245077e-19,1.5054083766053207e-19,1.1558757988497693e-19
0.2375,3.7067414313869246e-21,-1.3408858917453569e-19,-3.6529934127020975e-19,6.1048733143268431e-20,-2.5407580120444116e-20,-6.6779609149435124e-21,-2.0486724428884206e-19
0.24,3.7797311391425283e-19,2.4943098005066435e-19,1.2883567003942545e-19,-4.5396971370271121e-19,-8.3304866779391549e-20,4.8304462057991005e-20,-5.2753559742395048e-20
0.2425,-4.1585502276430373e-19,-8.1635013660881476e-20,3.3467537048934898e-19,-1.4544585870669086e-19,3.0196170037353951e-20,-7.0278478491823058e-20,5.7362614654119587e-20
0.245,-2.4779041103627771e-20,-1.29936602128731e-19,-4.001623758180834e-19,1.2884081618813362e-19,1.1521737727250625e-19,4.0231513828874799e-20,9.9531325602159848e-21
0.2475,1.0931572527120421e-19,-1.3196801595962481e-19,-3.3868962637810888e-19,2.3634291024702782e-19,-1.5545711115706762e-20,-2.8975088286553857e-20,-1.0189105095380038e-20
