Physical Time (s),anabla_vol Monitor (W): cv1,anabla_vol Monitor (W): cv2,anabla_vol Monitor (W): cv3,anabla_vol Monitor (W): cv4,anabla_vol Monitor (W): cv5,anabla_vol Monitor (W): cv6,anabla_vol Monitor (W): cv7
0.1,1.9484989073039545e-10,7.2980653648761934e-12,2.1717624530001741e-16,1.1162691157030804e-16,4.0087071602487568e-16,3.7181482433500578e-16,4.053436544724773e-16
0.1025,1.8736509024249616e-10,7.5625463160575295e-12,2.5780874959730196e-16,1.2092952961476196e-16,1.9730838285806889e-16,1.2445143458459168e-16,1.4212967080197011e-16
0.105,1.8038542068798269e-10,7.7813196228188051e-12,3.9332146142519726e-16,1.3106561925171795e-16,7.0205982603231442e-17,8.7629880131502278e-17,2.2690635827030008e-16
0.1075,1.7390861773348852e-10,7.9523941963787259e-12,6.0170538349192427e-16,1.349755007420764e-16,7.474696870307706e-17,1.9412895256298963e-16,3.8796768120476996e-16
0.11,1.679428920969775e-10,8.075380041094554e-12,7.8783681009514528e-16,1.2241880366737714e-16,1.3532389050763025e-16,2.5792961310622925e-16,3.7350490480420577e-16
0.1125,1.6246554254536324e-10,8.1519741394795644e-12,8.5870879962259999e-16,9.2278099466957506e-17,1.4210760823095333e-16,1.9124393600434621e-16,2.0256423814905087e-16
0.115,1.5745155476492363e-10,8.1860226232075822e-12,8.0660585940924501e-16,5.6145221158421022e-17,7.416415266554713e-17,7.1406443038411901e-17,7.4192760284365189e-17
0.1175,1.5287264149103802e-10,8.1835290639277499e-12,7.1881913099682838e-16,2.8628494541198851e-17,1.2485878234560312e-17,2.4230314241018557e-17,1.1768990557287004e-16
0.12,1.4869893897033089e-10,8.1520351802508667e-12,7.0051371126108156e-16,1.7288781327364535e-17,3.6784831775000142e-17,8.0000554603795552e-17,2.7014686012433048e-16
0.1225,1.4489399257473681e-10,8.1001896334043976e-12,7.9769164819158612e-16,2.1502965424122555e-17,1.3072669556728063e-16,1.5825784873385485e-16,3.719120804312662e-16
0.125,1.4141014024237755e-10,8.0368785190264529e-12,9.8330372364846053e-16,3.3767938623980807e-17,2.0056392843317153e-16,1.7108985758494169e-16,3.3146402033966944e-16
0.1275,1.3820176869391317e-10,7.9706120441314626e-12,1.2053464309795175e-15,4.0169877384177092e-17,1.7733031552485345e-16,1.1171801389031926e-16,1.9269047880343181e-16
0.13,1.3525218059837704e-10,7.9090197904227054e-12,1.4366695275166491e-15,2.9909524989018798e-17,8.926167933014076e-17,4.330520521427527e-17,7.3593809520106756e-17
0.1325,1.3253670335597023e-10,7.8583935556412918e-12,1.6906056493775014e-15,1.1874667071729824e-17,2.6721932010718856e-17,2.1706907694996143e-17,5.2583279825444221e-17
0.135,1.3002321342775828e-10,7.8234522395593354e-12,2.0003557494680916e-15,1.4662048791672343e-17,4.931303899782688e-17,4.9518860905877294e-17,1.1814178992455648e-16
0.1375,1.276871248609768e-10,7.8073809945952911e-12,2.3956236932679287e-15,6.1300621955302827e-17,1.3913811195669599e-16,9.1323967542145928e-17,2.0215276356801288e-16
0.14,1.2551076870586648e-10,7.8119324049132129e-12,2.9007949156925282e-15,1.4248058639894176e-16,2.2710501635021977e-16,1.1242652010039233e-16,2.4362385052862486e-16
0.1425,1.2347743349620273e-10,7.837654438926443e-12,3.5413309633511049e-15,2.1990568123709808e-16,2.5514204432341685e-16,1.0209050043379064e-16,2.2729694302392761e-16
0.145,1.2157436349541035e-10,7.8840363323712366e-12,4.3399612894657331e-15,2.5571615457907057e-16,2.1502608433027324e-16,7.154610723192762e-17,1.7693526338841795e-16
0.1475,1.1979437455050554e-10,7.9497139289792213e-12,5.3078550858086246e-15,2.386227394353357e-16,1.4120629537700119e-16,3.9630477402737656e-17,1.2530882243618611e-16
0.15,1.1812858468117441e-10,8.0326755085697271e-12,6.4489068586379503e-15,1.856087906988819e-16,7.5308221081447502e-17,1.9004100230549997e-17,8.966941339586119e-17
0.1525,1.1656378891616415e-10,8.1304800938704894e-12,7.7810319098431916e-15,1.2442450952134902e-16,3.7562350203733426e-17,1.1196230599163924e-17,6.8681204970544063e-17
0.155,1.1508437967369437e-10,8.2404924175619543e-12,9.3584830677809288e-15,7.5523064846205165e-17,2.3695006501135525e-17,1.0337532933983905e-17,5.3488477668801977e-17
0.1575,1.1367700421626705e-10,8.360096970780648e-12,1.1276407882872225e-14,4.5703039937715422e-17,1.9380445914487864e-17,1.0114903651254978e-17,3.8665497151908499e-17
0.16,1.1232486786613505e-10,8.4868357338505233e-12,1.3657403853239508e-14,3.1745902055627031e-17,1.5057599325020459e-17,8.3166442717426502e-18,2.4943292371286922e-17
0.1625,1.1101404267605495e-10,8.6185093201882563e-12,1.663628699365969e-14,2.7009743546008083e-17,9.8502008221072942e-18,6.3592765465644074e-18,1.5478915369313361e-17
0.165,1.0973484628045297e-10,8.7531944867628722e-12,2.0356149269512195e-14,2.5645567365651486e-17,6.4196020044245566e-18,5.9233337501316573e-18,1.1433378974550636e-17
0.1675,1.0848374143133119e-10,8.889235680351025e-12,2.4976510699022549e-14,2.4060383023138528e-17,5.3927392999521905e-18,6.5996373242511774e-18,1.0784838249376224e-17
0.17,1.0726225906479998e-10,9.0251876084173972e-12,3.0687171136529625e-14,2.1020898120861515e-17,4.886166873499575e-18,6.5390700997258467e-18,1.0564781615477558e-17
0.1725,1.0607544953407577e-10,9.1597783029106856e-12,3.7717379647412864e-14,1.7114883291009033e-17,3.7874741849619697e-18,4.9709263944181674e-18,9.8871970772559395e-18
0.175,1.0492875928784145e-10,9.2918143447890609e-12,4.633547837885343e-14,1.374882414406983e-17,3.8323852599553295e-18,3.826808259981513e-18,1.0967639377678395e-17
0.1775,1.0382457399247007e-10,9.4201794083898878e-12,5.6849285717170679e-14,1.2008876510186663e-17,8.004229430327638e-18,6.6048671305042718e-18,1.7447959616479977e-17
0.18,1.0276302430526947e-10,9.5437603919531316e-12,6.961505531307236e-14,1.1990877366168577e-17,1.716130186135622e-17,1.5218811305568575e-17,3.143015412456573e-17
0.1825,1.0174304614189089e-10,9.6613867115083615e-12,8.5065681753314554e-14,1.2875947795031607e-17,2.8284817127014511e-17,2.7408709737611852e-17,5.1356974762654631e-17
