Physical Time (s),enthalpy_storage_vol Monitor (J): cv1,enthalpy_storage_vol Monitor (J): cv2,enthalpy_storage_vol Monitor (J): cv3,enthalpy_storage_vol Monitor (J): cv4,enthalpy_storage_vol Monitor (J): cv5,enthalpy_storage_vol Monitor (J): cv6,enthalpy_storage_vol Monitor (J): cv7
0.115,7.5383561385497166e-07,2.0905468826275001e-07,7.1013456173654976e-09,3.3215916780050596e-10,-2.3677439189232632e-10,-5.0222600596860432e-10,-1.5936892700716317e-09
0.1175,7.5251657456078545e-07,2.1703122454548231e-07,7.4968319964990262e-09,2.9101608895514758e-10,-2.0780635911002854e-10,-2.6072897658115344e-10,-1.9559429141638358e-09
0.12,7.5100510720951824e-07,2.2500893428936051e-07,7.7158047441885012e-09,2.2390333988694818e-10,-7.8024050986059937e-11,-7.0401575216723048e-11,-2.5028541523132743e-09
0.1225,7.4923645642044033e-07,2.3294202037824419e-07,7.8394969773072391e-09,1.8768580009962582e-10,1.3792634568730857e-10,5.9882193391269597e-11,-3.0477496454260277e-09
0.125,7.4715919785976684e-07,2.408011878592964e-07,7.9630587685542001e-09,2.083467856750017e-10,3.7669465001912426e-10,1.0091777704060017e-10,-3.4618891021663977e-09
0.1275,7.4475501590903134e-07,2.4855323558663863e-07,8.150834958376485e-09,2.5880284102086517e-10,5.3799209462639193e-10,1.5712797776989744e-12,-3.7276044604760522e-09
0.13,7.4217532376434011e-07,2.5617140973459274e-07,8.4586348857575588e-09,3.12245932366292e-10,5.7269072317840347e-10,-1.9509582636894552e-10,-3.7825387227752966e-09
0.1325,7.3959788790054133e-07,2.6361019142638825e-07,8.8889308810618526e-09,3.2059755023441627e-10,4.6483120337333157e-10,-4.3730199230685691e-10,-3.6367502143175902e-09
0.135,7.371706279724569e-07,2.7081265724989021e-07,9.4022796146918495e-09,2.3810679655757273e-10,2.3489509674821412e-10,-6.8616989961525812e-10,-3.3718458882390634e-09
0.1375,7.3507709559708675e-07,2.7774673036389441e-07,9.9751786930683049e-09,8.02609580157014e-11,-4.2146630164207124e-11,-8.6192267486699647e-10,-2.9885912376492822e-09
0.14,7.3340685642612568e-07,2.8438604040492352e-07,1.0573650616480542e-08,-1.2619106408022026e-10,-3.0706479348962712e-10,-9.4334708779811936e-10,-2.5416767091956044e-09
0.1425,7.3218488553653224e-07,2.9072016017534333e-07,1.1181594386047869e-08,-3.4300363710138489e-10,-5.1796468146659257e-10,-9.3605521074864037e-10,-2.0867416547154637e-09
0.145,7.313522020411543e-07,2.967416294733583e-07,1.1794422028858385e-08,-5.4394311753963009e-10,-6.6351396118240017e-10,-8.8175321981002314e-10,-1.6977749866269131e-09
0.1475,7.3080241494970607e-07,3.0244352472522873e-07,1.242327842391767e-08,-7.1206852418246095e-10,-7.4767682392421239e-10,-8.213684256301848e-10,-1.4256694139056339e-09
0.15,7.304109547083681e-07,3.0781994714104362e-07,1.3094735081958225e-08,-8.3205483098724176e-10,-7.7441487813284216e-10,-7.6984222467583659e-10,-1.2649574777261972e-09
