Physical Time (s),etp_bot Monitor (W): bot_cv1,etp_bot Monitor (W): bot_cv2,etp_bot Monitor (W): bot_cv3,etp_bot Monitor (W): bot_cv4,etp_bot Monitor (W): bot_cv5,etp_bot Monitor (W): bot_cv6,etp_bot Monitor (W): bot_cv7
0.0275,4.2680820037595735e-08,-4.6847562072142996e-10,-3.7792042527300385e-09,-3.2828598594916075e-09,1.3890998716686569e-08,8.1163111038481265e-09,5.8883941310797788e-11
0.03,1.8408990584977325e-08,4.4386274718506933e-10,8.8643118177177431e-09,-1.9277847803375231e-09,4.2187216570048535e-09,1.1043705880792767e-08,2.3098273393900986e-10
0.0325,-1.4801192344080577e-08,1.3655061594504892e-10,1.0579658011965908e-08,1.2362412025529761e-08,-8.4108308211260297e-10,9.8491680146127047e-09,6.3977145387147813e-10
0.035,-1.9640385817036658e-08,-2.2705787132698238e-10,5.1654144873740723e-09,1.9259173550264617e-08,5.5720835799273718e-09,5.5215707792563586e-09,1.2674641503465582e-09
0.0375,-1.7866867758031295e-09,-4.8290771173478673e-10,7.2756244270227739e-10,1.3098040032737157e-08,1.5374854646954345e-08,3.3944923994264353e-09,1.7484749338875763e-09
0.04,1.2948831018125927e-08,-6.9203186181566181e-10,3.18225074267152e-11,3.8883737198721422e-09,1.6961233042885642e-08,7.2194684779027191e-09,1.5298650323268833e-09
0.0425,8.9516255035428636e-09,-1.1128472087434522e-09,8.4584695526172192e-10,2.631656328786758e-10,1.0069072271070202e-08,1.4182246167251872e-08,5.9752584158682263e-10
0.045,-7.0660107830763491e-09,-2.1292827924392371e-09,-3.2764405469314726e-10,1.0691661400729289e-09,2.9839700643346467e-09,1.787983711698418e-08,4.0115174303188325e-11
0.0475,-1.9378859581994666e-08,-3.5863270165185394e-09,-4.4572480130752814e-09,9.2026347496535422e-10,5.1904714505531882e-10,1.5164097681425036e-08,1.0907257911681545e-09
0.05,-2.147925861978661e-08,-4.4524242020576179e-09,-9.3326151398914382e-09,-2.3036376264090143e-09,7.2570680790534804e-10,8.4825013471937513e-09,3.2302084385991037e-09
0.0525,-1.7483862027423759e-08,-3.6347149507966209e-09,-1.1646717300623558e-08,-6.6021956587449854e-09,1.9333583377235792e-10,2.5973953947864906e-09,3.908449862334639e-09
0.055,-1.2625764010102606e-08,-1.4221390291931009e-09,-9.6265769190118463e-09,-8.9733348079405893e-09,-1.893691419331397e-09,2.2195869144555613e-10,9.3967542381505756e-10
0.0575,-8.0619294461931555e-09,2.3260727511959961e-10,-4.7304785333504254e-09,-7.960473438456239e-09,-4.0866470159761105e-09,2.2619756150067279e-10,-4.832293798954433e-09
0.06,-2.8378226623598072e-09,-2.97309079430825e-10,-7.997649027961042e-10,-4.4034659755089202e-09,-4.6947938055782493e-09,-2.7891528500651088e-10,-9.8122949721496677e-09
0.0625,2.8602655692539447e-09,-2.2811348712606526e-09,-7.0595706981921573e-10,-8.4972493878558421e-10,-3.158131912965685e-09,-2.4518366729261373e-09,-1.0898409902479725e-08
0.065,7.1875858391632167e-09,-3.3757803412329842e-09,-3.50125883417804e-09,2.8981834800985316e-10,-3.8537022566021922e-10,-4.3239454239657876e-09,-8.231588792330403e-09
0.0675,8.4799096478968857e-09,-2.4261314605019316e-09,-5.5690226343694891e-09,-1.2405974764221733e-09,1.9029447638443849e-09,-2.9421053749058342e-09,-4.5193380315510517e-09
0.07,6.8375036267042509e-09,-6.156755113761704e-10,-4.6417403835219694e-09,-3.3237494825788745e-09,2.5131790776733629e-09,2.4750800498596487e-09,-2.0582199990205912e-09
0.0725,3.9143598622101372e-09,2.3004466160286266e-10,-1.9302927988535844e-09,-3.5942098581716318e-09,1.7258668327252109e-09,9.4610405314505443e-09,-1.0506346582055452e-09
0.075,1.5814741581037708e-09,-2.9244364685981172e-10,-2.4390933892054351e-10,-1.8450020758138713e-09,8.3881354002743745e-10,1.3996938390046357e-08,-6.3653916999429926e-10
0.0775,8.3028916889965298e-10,-1.1688870533022423e-09,-8.9521444125823382e-10,-1.7346219748822602e-10,6.432266618616204e-10,1.3258925753966419e-08,-6.1981719466006729e-10
0.08,1.4904056001165606e-09,-1.371959163237828e-09,-2.8689358069098269e-09,-7.3552304460166629e-10,5.380842847287885e-10,7.5609284118021925e-09,-1.5177039963535958e-09
0.0825,2.5947682711442436e-09,-8.3445767030385817e-10,-4.4220072249080581e-09,-3.4688370882077166e-09,-4.4727521596671633e-10,3.6728779404340489e-10,-3.1703129384642195e-09
0.085,3.1494559492278182e-09,-1.7215701539650819e-10,-4.7493900176136699e-09,-6.2031860634910866e-09,-1.9466904464021268e-09,-3.6354912126757858e-09,-4.1775888965221918e-09
0.0875,2.7703927540968701e-09,7.3470676667630315e-11,-4.0717879794293295e-09,-6.6619565109961872e-09,-2.2252092908189141e-09,-1.4223044344174963e-09,-3.1273656539591672e-09
0.09,1.7381397716068273e-09,-1.657407222002946e-10,-2.9277993114035727e-09,-4.3316172816091726e-09,-9.4826666307973739e-11,6.3638350217435536e-09,-4.7138934613860113e-12
0.0925,5.40789040705954e-10,-6.2808760365169026e-10,-1.7025740827332424e-09,-7.3648106420387579e-10,3.4234763898666172e-09,1.5520662423444107e-08,3.9127653910969629e-09
0.095,-4.8436454856297797e-10,-1.0279457326780536e-09,-6.651007572507764e-10,1.8362499019708973e-09,5.7431455618972914e-09,2.0977896731871474e-08,7.4050056264880546e-09
0.0975,-1.1097999534675498e-09,-1.2167064074699984e-09,-1.0413796044870577e-11,2.0419922735801894e-09,5.0279852623305472e-09,2.0117611057624638e-08,1.0069984876682465e-08
0.1,-1.0821132526267864e-09,-1.1685812849720669e-09,2.2854111057315621e-10,3.2798400724632243e-10,1.8016673321854463e-09,1.4113449007963155e-08,1.1586378861556866e-08
0.1025,-2.3361805162267629e-10,-9.2498037652947821e-10,2.4597950287285323e-10,-1.6265418971391973e-09,-1.681646855628862e-09,6.4132317420814897e-09,1.0845095609927623e-08
0.105,1.2165754833261314e-09,-5.603424917854289e-10,3.2733300102809272e-10,-2.3177328828192599e-09,-3.429096045194407e-09,5.1619439639043259e-11,6.759257119627691e-09
0.1075,2.538127786044173e-09,-1.8004539303784115e-10,6.316841199879187e-10,-1.498245104033242e-09,-3.0879523330432067e-09,-3.8363795960180963e-09,9.5032480319973227e-11
0.11,2.8053597510749492e-09,1.0611614633028376e-10,1.0687465443144561e-09,-1.0106300368869317e-10,-1.7094695626005828e-09,-5.6391457304477691e-09,-6.0264149848963789e-09
0.1125,1.4950202550817414e-09,2.3002887168046556e-10,1.3739862887149666e-09,7.5066402574638907e-10,-5.2264593023311151e-10,-5.9730395687140466e-09,-8.1974150520920883e-09
0.115,-1.0783559084268892e-09,1.9394176354376126e-10,1.3093705918329073e-09,6.3217303714733406e-10,-4.6310295834825683e-11,-5.0294659981849577e-09,-5.54940656982332e-09
0.1175,-3.7890279578493069e-09,6.1041000495953596e-11,8.5656599507576418e-10,-6.8733728680661023e-11,-8.0245726822671543e-11,-3.0000374755964977e-09,-6.0987814599515295e-10
0.12,-5.2788563076185081e-09,-7.4206663940091323e-11,2.4392341613757909e-10,-6.9145283441826646e-10,-2.1849772088180025e-10,-7.2181483127757024e-10,2.6988005898303574e-09
0.1225,-4.7228184914797514e-09,-1.3010988808018267e-10,-2.2652460031443514e-10,-8.7357404788170477e-10,-2.6214404664458805e-10,4.5135988896163445e-10,2.0647792873167592e-09
0.125,-2.3219412478783813e-09,-8.7560095169671794e-11,-4.0918971124228296e-10,-6.921204375519298e-10,-2.6710146263516678e-10,-4.7336136552576519e-10,-1.7476900186734532e-09
0.1275,7.5115670012226671e-10,-1.5453670500673973e-11,-3.9004828260650644e-10,-4.2151410066426965e-10,-3.6459342657735829e-10,-3.24688164201305e-09,-5.9053326504186385e-09
0.13,2.9908515248553385e-09,-1.957484148831776e-11,-3.3411596498908369e-10,-2.469263669314558e-10,-5.9269322306944507e-10,-6.3218355557080979e-09,-7.8638591272922849e-09
0.1325,3.4919351457253721e-09,-1.1520268463534864e-10,-2.6715597816609242e-10,-1.8534275148264897e-10,-8.6610669524639031e-10,-7.826575622344653e-09,-7.0946270375917013e-09
0.135,2.4770828918739307e-09,-1.489678108772226e-10,-5.6803067230761206e-11,-2.1356170528430519e-10,-1.0640548627598426e-09,-6.7994891842248929e-09,-4.8272494489382732e-09
0.1375,1.0614160797598824e-09,1.1335781438373991e-10,3.7038836530547651e-10,-3.9790129923893722e-10,-1.1275976203539504e-09,-3.6848925118646226e-09,-2.4975112521974499e-09
0.14,4.0079183204005931e-10,7.7294160228955664e-10,8.33875007207004e-10,-8.6075008406499041e-10,-1.0953747118148839e-09,7.4918677716487604e-11,-4.6906594821423262e-10
0.1425,8.4568382528510238e-10,1.6509512411826347e-09,9.833982781861072e-10,-1.6213558196824442e-09,-1.0572814250246189e-09,3.0022508856381803e-09,1.8723150972190822e-09
0.145,1.7509793663173567e-09,2.3663580670987566e-09,6.0106371804107265e-10,-2.4851590067988227e-09,-1.0732384409571863e-09,4.3311219305855251e-09,4.9047078956512554e-09
0.1475,2.0440454041816639e-09,2.6028680357566173e-09,-1.6812870353162373e-10,-3.0998594053784478e-09,-1.1237910648433529e-09,4.1543746412851773e-09,7.8374031574046491e-09
0.15,1.0501234410987505e-09,2.3169873293227088e-09,-8.875953155711608e-10,-3.1579872019255599e-09,-1.1262141364937332e-09,3.057739715220408e-09,9.0735189257167603e-09
0.1525,-1.0772344298125109e-09,1.7258096991997182e-09,-1.149575081965404e-09,-2.5889252712529209e-09,-9.9500949298785212e-10,1.6588610818606529e-09,7.567214015426645e-09
0.155,-3.5657139828591329e-09,1.1131254732729667e-09,-8.6104898951805758e-10,-1.5945223528245554e-09,-7.0277424138390037e-10,3.868452812201178e-10,3.9309948070315271e-09
0.1575,-5.5688612116769105e-09,6.5054490636005061e-10,-2.5648473199855243e-10,-5.2186390404710657e-10,-2.9868368314775119e-10,-4.8111271755999062e-10,2.1199162518629163e-10
0.16,-6.5846440953386013e-09,3.5908619774871053e-10,3.2194597870987389e-10,3.2830968428826533e-10,1.2206239409959114e-10,-7.3833313633339197e-10,-1.5303262249155538e-09
0.1625,-6.5424418058544727e-09,1.8472437549793826e-10,6.5013060243875416e-10,8.1688550664732057e-10,4.6514590780642188e-10,-2.9778000409151255e-10,-6.5066754373054133e-10
0.165,-5.6606918882726903e-09,7.2560707591034449e-11,6.9508685952962622e-10,9.6685542254105477e-10,6.7323723314663208e-10,6.5621783389360799e-10,1.7352423153977278e-09
0.1675,-4.2531776987947289e-09,-9.6513433652269882e-12,5.391550018213087e-10,8.8416782360464566e-10,7.3555901211360438e-10,1.6112785814947916e-09,3.645798105769501e-09
0.17,-2.5934765842379818e-09,-7.865824836668278e-11,2.8074956269434536e-10,6.8295020198012508e-10,6.7759516732742681e-10,1.9227443712674369e-09,3.59696699537663e-09
