Physical Time (s),ep_left Monitor (W)
0.245,-1.1527525535368703e-08
0.2475,-3.4961210725803714e-09
0.25,5.4296024799860726e-09
0.2525,1.3756092536792255e-08
0.255,2.0121297276629993e-08
0.2575,2.3628031654044912e-08
0.26,2.4033455003384635e-08
0.2625,2.1729859469004662e-08
0.265,1.7567062950979932e-08
0.2675,1.2583613386375456e-08
0.27,7.7625183723061305e-09
0.2725,3.838244681674546e-09
0.275,1.1888162751582277e-09
0.2775,-1.6109472784531805e-10
0.28,-4.5194280341890607e-10
0.2825,-6.54018073496991e-11
0.285,6.0004625442957767e-10
0.2875,1.2271369272139185e-09
0.29,1.6296213001924506e-09
0.2925,1.752070804184339e-09
0.295,1.6360157028630489e-09
0.2975,1.3725374244225294e-09
0.3,1.0611140615273331e-09
0.3025,7.8470896447755181e-10
0.305,5.9802313587352938e-10
0.3075,5.2539180706280694e-10
0.31,5.6379094487708287e-10
0.3125,6.9010867719814087e-10
0.315,8.7324936905536889e-10
0.3175,1.0822081916773826e-09
0.32,1.2930121476347624e-09
0.3225,1.4925842109612308e-09
0.325,1.6727784359527254e-09
0.3275,1.8295266194074612e-09
0.33,1.9617865236239373e-09
0.3325,2.0743595570120801e-09
0.335,2.1792242493965762e-09
0.3375,2.296402925142487e-09
0.34,2.4549471665442972e-09
0.3425,2.6849984203968611e-09
0.345,3.0120603133747773e-09
0.3475,3.4525927734977089e-09
0.35,4.0136415587152712e-09
0.3525,4.6990947209956455e-09
0.355,5.5054967813339083e-09
0.3575,6.4220437695490359e-09
0.36,7.4273848503166137e-09
0.3625,8.482150161223597e-09
0.365,9.5219136496052237e-09
0.3675,1.0460301215864559e-08
0.37,1.1198446525184451e-08
0.3725,1.164399484430023e-08
0.375,1.1723975572656971e-08
0.3775,1.1400689447609395e-08
0.38,1.0673238556807436e-08
0.3825,9.5864900618060003e-09
0.385,8.2238090487736395e-09
0.3875,6.6982559488653038e-09
0.39,5.1365673562390753e-09
0.3925,3.6623794125114804e-09
0.395,2.3798938110357604e-09
0.3975,1.3570041256164045e-09
0.4,6.1185617822462095e-10
0.4025,1.0538461688336334e-10
0.405,-2.5261120239887148e-10
0.4075,-5.9284418460449302e-10
0.41,-1.0569759710088529e-09
0.4125,-1.7657590851046899e-09
0.415,-2.779846363911812e-09
0.4175,-4.0750734028154072e-09
0.42,-5.52997874910904e-09
0.4225,-6.9340241408004708e-09
0.425,-8.0197429747549729e-09
0.4275,-8.5108270846109619e-09
0.43,-8.1806973568545737e-09
0.4325,-6.9027998071181718e-09
0.435,-4.6884504100152795e-09
0.4375,-1.7004207295894454e-09
0.44,1.771431907583988e-09
0.4425,5.3516903722207979e-09
0.445,8.6462513321573238e-09
0.4475,1.1313046217917854e-08
0.45,1.3099314258625334e-08
0.4525,1.3882161843500249e-08
0.455,1.3669754409127498e-08
0.4575,1.2597112985847704e-08
0.46,1.0888520784472174e-08
0.4625,8.8285364648527024e-09
0.465,6.6996813883477646e-09
0.4675,4.736195766657633e-09
0.47,3.0983477395607944e-09
0.4725,1.8537225876420779e-09
0.475,9.8022730571091017e-10
0.4775,3.7624401247660885e-10
0.48,-1.1484601542684201e-10
0.4825,-6.6608332955155891e-10
0.485,-1.4325216778300517e-09
0.4875,-2.5113105674156615e-09
0.49,-3.918308543213356e-09
0.4925,-5.5778967012649367e-09
0.495,-7.3315336213250579e-09
0.4975,-8.9616659896412988e-09
0.5,-1.0229212050647177e-08
0.5025,-1.0922715942308728e-08
0.505,-1.0898575870001586e-08
0.5075,-1.0101462236815795e-08
0.51,-8.5716597347193094e-09
0.5125,-6.435082112570193e-09
0.515,-3.8809701130211254e-09
0.5175,-1.1296225189262297e-09
0.52,1.5924561736624358e-09
0.5225,4.0811344303396946e-09
0.525,6.1706203467773772e-09
0.5275,7.750908648520097e-09
0.53,8.7721902894949983e-09
0.5325,9.2469502355198558e-09
0.535,9.2387555778829166e-09
0.5375,8.8495336831688367e-09
0.54,8.2013539586869065e-09
0.5425,7.4165321274977973e-09
0.545,6.6002786727570603e-09
0.5475,5.8269654922772768e-09
0.55,5.1352811504624978e-09
0.5525,4.5318587224682273e-09
0.555,3.9989952356074785e-09
0.5575,3.5056596273305801e-09
0.56,3.0192386498280606e-09
0.5625,2.5147777534188996e-09
0.565,1.9818851447384429e-09
0.5675,1.4263774037928553e-09
0.57,8.7096070245826402e-10
0.5725,3.4989446340579694e-10
0.575,-9.7728294433530159e-11
0.5775,-4.347974528151779e-10
0.58,-6.3252337680029692e-10
0.5825,-6.7393170330905549e-10
0.585,-5.555099851328537e-10
0.5875,-2.8768705723358822e-10
0.59,1.0861336672672505e-10
