Physical Time (s),ev_bot Monitor (W): bot_cv1,ev_bot Monitor (W): bot_cv2,ev_bot Monitor (W): bot_cv3,ev_bot Monitor (W): bot_cv4,ev_bot Monitor (W): bot_cv5,ev_bot Monitor (W): bot_cv6,ev_bot Monitor (W): bot_cv7
0.08,-7.1566077108344338e-14,-5.051147100320866e-13,-5.5312653379072494e-13,-3.4719541703536817e-14,2.2480483241018997e-14,3.678250323233019e-13,2.9457287987161385e-13
0.0825,-1.3014577897520886e-13,-9.7395302324794728e-13,-1.5442772412851128e-12,-3.4351502408528889e-13,-8.1774919511659837e-15,2.3278217163239878e-13,3.06941787908628e-13
0.085,-1.4089527055085177e-13,-1.2075705097727376e-12,-2.4391618968675136e-12,-1.0193029084966011e-12,-1.2583687225068902e-13,8.0868439250548405e-14,1.6233409206688114e-13
0.0875,-1.3221770481682356e-13,-1.1001519811013159e-12,-2.5709548971959212e-12,-1.5598178606471097e-12,-4.1029591077529383e-13,-1.5250188852354883e-14,2.702780006852861e-14
0.09,-1.2345650312045191e-13,-7.9648558273971578e-13,-1.9348991968788829e-12,-1.444899964964584e-12,-6.2218587080050696e-13,-1.2054579589573175e-13,-1.8918701820518992e-17
0.0925,-1.0443907038052749e-13,-4.8881231053289315e-13,-1.0710354832896085e-12,-8.2560484668349699e-13,-5.3289562789706851e-13,-3.3980924625683003e-13,-3.7059129220870332e-14
0.095,-7.3912436397452485e-14,-2.7088384833491375e-13,-4.4449931747095838e-13,-2.6389136391523093e-13,-2.5862850851188654e-13,-5.9614985240330719e-13,-1.9966851576191288e-13
0.0975,-4.5325857910513243e-14,-1.4389077013902247e-13,-1.45656626524131e-13,-3.2743736891164518e-14,-5.9252154618791244e-14,-6.3716693305618466e-13,-3.6230002332034998e-13
0.1,-2.4631521745011828e-14,-7.6293443742210462e-14,-4.4725831276933453e-14,-3.6314962842619006e-16,-3.2941655875603361e-15,-3.8392262064360912e-13,-3.261517865482094e-13
0.1025,-9.1023617137439744e-15,-4.0595054942883503e-14,-1.7146919502070253e-14,3.4119278845049363e-15,2.4122766898843735e-15,-9.7095062483139177e-14,-1.3897735261777109e-13
0.105,1.2032095807305825e-14,-2.1141142950426534e-14,-9.6821674891963564e-15,8.729060285979627e-15,1.5143986490719961e-14,-8.7989830296353069e-16,-1.6364546815764812e-14
