Physical Time (s),enth_flux_enthalpy_top Monitor (W): top_cv1,enth_flux_enthalpy_top Monitor (W): top_cv2,enth_flux_enthalpy_top Monitor (W): top_cv3,enth_flux_enthalpy_top Monitor (W): top_cv4,enth_flux_enthalpy_top Monitor (W): top_cv5,enth_flux_enthalpy_top Monitor (W): top_cv6,enth_flux_enthalpy_top Monitor (W): top_cv7
0.0575,-2.848711656942981e-08,3.5886420326500678e-09,5.4554795421698576e-09,4.3421052357974476e-09,9.0551746449265284e-09,1.778552380787355e-08,-5.8277563326874388e-10
0.06,-3.329637411685635e-08,-1.203517369235291e-09,3.6838378657097729e-09,4.1893763554792695e-09,6.7781875582211461e-09,2.2638888465596504e-08,1.3886159850280637e-10
0.0625,-2.7779044499220223e-08,-6.8947814101367457e-09,-3.4716194629258182e-09,9.1834183015535097e-10,2.4964902569925709e-09,1.5928562624551895e-08,1.2769585114094263e-09
0.065,-1.3556049103001084e-08,-8.1313977005659913e-09,-9.2109609231846067e-09,-2.592278460402769e-09,-1.3783345345428118e-11,4.5605071364380417e-09,7.0648055439700313e-10
0.0675,6.6750940518416891e-10,-4.5113871496242664e-09,-8.9354456317222558e-09,-4.0879144513438078e-09,4.8292510241734869e-10,-1.4055816730664359e-09,-1.3246396069573826e-09
0.07,7.5993529929453545e-09,-2.1777429133211174e-10,-4.0497403538304085e-09,-2.9856944300588543e-09,2.6393219783538441e-09,2.3330222446444259e-09,-2.2917804727370314e-09
0.0725,6.8910711461363252e-09,9.4158613999768185e-10,1.2728017801005618e-10,-6.4892931891766645e-10,4.1936665006751462e-09,1.1692909041672952e-08,-4.7438825203294092e-10
0.075,3.2658036515551152e-09,-7.6767064662622176e-10,2.0189083496861967e-10,7.3879701789355514e-10,3.8329788657536351e-09,1.8282531294126928e-08,2.3294801637841441e-09
0.0775,1.1122545096787464e-09,-2.0186462078390561e-09,-1.8839287792330208e-09,3.2839839007458097e-10,1.9388682628923574e-09,1.5971159001515625e-08,1.8848279324649487e-09
0.08,1.2898268923092623e-09,-1.415858624272413e-10,-1.364410726557687e-09,-3.4879117589097703e-10,1.2641417417367489e-10,5.4377449664747067e-09,-4.0234259980333144e-09
0.0825,2.1063554571930277e-09,4.493657350570061e-09,4.0736790776867898e-09,1.2459185246503337e-09,2.498390317137254e-10,-6.0386274633974712e-09,-1.2238007858075652e-08
0.085,2.1537988572262968e-09,9.2744067184606097e-09,1.2012193511567614e-08,5.9176467108252079e-09,3.3188483542042103e-09,-9.5463702567154638e-09,-1.6146009693137431e-08
0.0875,1.6879547114497608e-09,1.1675572275688618e-08,1.770382700577319e-08,1.155040447130063e-08,8.6439157790231323e-09,-7.5258436086925648e-10,-1.1324010383270884e-08
0.09,1.6104249458841824e-09,1.0897438736676147e-08,1.8120207548500148e-08,1.4750059285118727e-08,1.3750085199721936e-08,1.6449351629001121e-08,3.2740680122455169e-10
0.0925,1.9152211066184304e-09,7.8613723894559797e-09,1.3863008119406837e-08,1.3668410944800367e-08,1.5716846080903387e-08,3.2061841045216569e-08,1.2091336431549896e-08
0.095,1.6176930668811199e-09,4.1193007285471687e-09,7.8534783712980549e-09,9.2138681766772241e-09,1.3212691210946928e-08,3.6840933575907403e-08,1.7863465375674738e-08
0.0975,2.1158163115037138e-10,8.6664391499579088e-10,2.8657660969489304e-09,4.0141744786760818e-09,7.6038200618748654e-09,2.8870622814707542e-08,1.6340047948558989e-08
0.1,-1.1802531282480954e-09,-1.3462311097479837e-09,4.2868496282855019e-11,4.2215286631952211e-10,2.00938630150007e-09,1.4505419450807691e-08,1.069870984721708e-08
0.1025,-3.9388454895235041e-10,-2.4321872326906493e-09,-1.0109348397532597e-09,-8.1550463901553649e-10,-1.014393047994855e-09,3.0338559013730024e-09,5.0873555326158435e-09
0.105,3.8056515246601599e-09,-2.5425319716335322e-09,-1.2637076212639166e-09,-5.0947597375656736e-10,-1.1129752570379671e-09,-4.1718581706626383e-10,1.6924633161895736e-09
0.1075,1.009304076769791e-08,-1.9758148550457744e-09,-1.3519978751869842e-09,1.8583714278217101e-11,1.539694449073475e-10,2.1461240575190743e-09,3.3908533467045535e-10
0.11,1.4834707290029209e-08,-1.1312277918466144e-09,-1.3113272535930526e-09,2.3539886737083004e-11,9.9023197630160386e-10,4.7566274287464416e-09,-1.3505209086428739e-10
