Physical Time (s),ek_vol Monitor (J): cv1,ek_vol Monitor (J): cv2,ek_vol Monitor (J): cv3,ek_vol Monitor (J): cv4,ek_vol Monitor (J): cv5,ek_vol Monitor (J): cv6,ek_vol Monitor (J): cv7
0.03,6.0611793273935488e-08,1.0098140217148773e-09,4.5369366028040371e-10,8.7881458591088833e-10,1.7193606539435068e-10,4.7701230081890126e-10,1.7147280224232786e-11
0.0325,6.2450781910833739e-08,1.1550635602447349e-09,2.4414979640492584e-10,9.3607551504308734e-10,2.6903328443384239e-10,4.3265638398092109e-10,5.3259754741157983e-11
0.035,6.5347142101017541e-08,1.3431442402735584e-09,2.9044321676998389e-10,5.6300016905229023e-10,6.3324825571752525e-10,3.0561809417685486e-10,1.2152192371417587e-10
0.0375,6.8926681956413938e-08,1.5883863061267061e-09,3.7963054562953502e-10,2.3120591016306227e-10,7.6702599894267815e-10,3.0411682684066288e-10,2.0585181034296107e-10
0.04,7.2568780878076045e-08,1.8194260959976074e-09,3.9846843868209314e-10,1.5324180682495178e-10,5.181651781637913e-10,4.899545234521741e-10,2.6069063174902654e-10
0.0425,7.5646794419746419e-08,1.9597884402160422e-09,3.6307038580572482e-10,1.7979300200841209e-10,2.1186089881108985e-10,6.877513378099138e-10,2.5629973224303245e-10
0.045,7.7752856197227349e-08,1.975884955274063e-09,3.16858252641392e-10,1.6861038266713887e-10,9.947490272286796e-11,7.1976282389837852e-10,2.3326492479862934e-10
0.0475,7.8802603870119092e-08,1.8761401247840626e-09,2.8502374638998148e-10,1.2575502218443847e-10,1.1735947322914174e-10,5.7599946111155274e-10,2.6923993271932089e-10
0.05,7.9030912699426021e-08,1.6928826940946857e-09,2.6914335267087603e-10,1.0138763852518182e-10,1.2918643863457142e-10,3.6397606638174086e-10,3.6992801323168279e-10
0.0525,7.8845443445360535e-08,1.4738550047046615e-09,2.5098825712060903e-10,1.1136169620656883e-10,1.0851586028697821e-10,2.0286570122046029e-10,4.3933320032349758e-10
0.055,7.8612500559822025e-08,1.279875180314182e-09,2.0698555460673352e-10,1.3828915588830508e-10,9.1228518449247027e-11,1.460836632980781e-10,3.9063826294982239e-10
0.0575,7.8572898320009615e-08,1.1736139239081084e-09,1.33038185952672e-10,1.5378866923162636e-10,9.5609617403477272e-11,1.5601138543979619e-10,2.5106400954470515e-10
0.06,7.8936571131920028e-08,1.1998040813462481e-09,5.7770841732837444e-11,1.3807610275947918e-10,1.1237182412056987e-10,1.6461959598195187e-10,1.3201190969170632e-10
0.0625,7.9947146267411062e-08,1.3727020140562419e-09,2.4543547739162048e-11,9.5203233474671381e-11,1.2355407562676652e-10,1.4906851890786471e-10,1.2108335687465342e-10
0.065,8.1766618476504801e-08,1.6773946322480042e-09,5.4730805341158663e-11,5.3556594862672883e-11,1.1605775731166385e-10,1.2823790922484358e-10,2.0324687457134235e-10
0.0675,8.4323220961835238e-08,2.0783435539950367e-09,1.2969766414248426e-10,4.4089167222512403e-11,9.0310454595263829e-11,1.1289540677349078e-10,2.6692272696526485e-10
0.07,8.7282608778419396e-08,2.5267026055768521e-09,2.1095600464813942e-10,7.4055172153461629e-11,6.3171498769437382e-11,9.4042959078368799e-11,2.1486267825310835e-10
0.0725,9.0174296466247313e-08,2.9713490513902104e-09,2.7555114116504239e-10,1.2372942851872246e-10,5.9182340262020021e-11,7.1951033674952176e-11,9.8203887029704349e-11
0.075,9.2603600685684505e-08,3.3747260387179686e-09,3.2987830385447877e-10,1.6886125775824387e-10,9.3459943253878615e-11,7.2025278514843039e-11,9.7835906517941619e-11
0.0775,9.4423017131638853e-08,3.7236472490666189e-09,3.9185117867174344e-10,2.0286662538639209e-10,1.6002837251558729e-10,1.2071582758951032e-10,3.2168359848067651e-10
0.08,9.5756168133956343e-08,4.0283426889648256e-09,4.6503212174740739e-10,2.3528113844128003e-10,2.3418032151818175e-10,2.0575583629012845e-10,6.4836628147991109e-10
0.0825,9.6868612247731343e-08,4.3131148889627931e-09,5.315450255568657e-10,2.7080950541172097e-10,2.848820870391694e-10,2.6882487447267439e-10,8.2576373559802557e-10
0.085,9.8003818588686638e-08,4.6048485116161613e-09,5.6755848293257882e-10,2.9557284593144973e-10,2.8852314930344907e-10,2.5247528020299581e-10,7.1574675421382217e-10
0.0875,9.9292849339367876e-08,4.9214257142678662e-09,5.640743345610327e-10,2.8668972945625934e-10,2.3994940257671651e-10,1.62000930554052e-10,4.1226025119145494e-10
0.09,1.0076057187947709e-07,5.262183488968635e-09,5.3396987011848774e-10,2.3483764644852513e-10,1.5836132613744041e-10,7.3486987442385803e-11,1.356347674255619e-10
0.0925,1.0237716691097057e-07,5.6067610098157645e-09,4.9933652254524029e-10,1.5624169038917292e-10,8.1296304650075174e-11,6.5555136906410932e-11,3.6839921133478683e-11
0.095,1.0410065531181122e-07,5.9241622160841294e-09,4.7085913370621026e-10,8.2059250593403169e-11,4.2706936177736921e-11,1.3917374420649901e-10,9.4032851681045776e-11
0.0975,1.0589169916746278e-07,6.1870856673242146e-09,4.3863814846594131e-10,3.5579392327428052e-11,4.8320575900381893e-11,2.1385873986532052e-10,1.715152887742313e-10
0.1,1.0771622153328361e-07,6.3833834746190744e-09,3.8460152833299122e-10,1.8612650463189218e-11,7.1512910493859364e-11,2.0926067779013694e-10,1.6402239507931539e-10
0.1025,1.095527470117914e-07,6.5201861212528917e-09,3.0564067974891669e-10,1.7742635483884687e-11,7.8012747277992411e-11,1.2584869238977596e-10,8.2985824096115035e-11
0.105,1.1140390051182244e-07,6.6203351460984463e-09,2.2430611733372403e-10,2.058923084053214e-11,5.7058291291888331e-11,3.9212184394636981e-11,1.4940708876091896e-11
0.1075,1.1329859238136791e-07,6.7138933022439835e-09,1.7448337755959847e-10,2.4598190100489797e-11,2.7019536822781758e-11,1.8138353300479717e-11,1.7768106791628308e-11
0.11,1.1527769866069883e-07,6.8286457516046169e-09,1.7373887551317064e-10,3.2503903192092537e-11,1.0705896672946556e-11,5.7744405219060706e-11,7.0103964784518665e-11
0.1125,1.1737049061453818e-07,6.9827244499072973e-09,2.080471002178726e-10,4.3678437668700647e-11,1.0680570679483318e-11,9.5905981175136891e-11,1.1075815395304052e-10
0.115,1.1956939883451678e-07,7.1832529525165838e-09,2.431989545626861e-10,5.2343457905529508e-11,1.2690567833868206e-11,8.5465576244364839e-11,1.0646117718111027e-10
0.1175,1.2181516208978164e-07,7.4314840105840465e-09,2.5155773803139583e-10,5.33039182432246e-11,8.8463957577890355e-12,4.0096934639670629e-11,7.6148846606321485e-11
0.12,1.2400084455494093e-07,7.7309864401822277e-09,2.3044216139913955e-10,4.7714550627138729e-11,9.610681755179224e-12,1.1382860740850716e-11,6.1550567139800756e-11
0.1225,1.260000520825865e-07,8.0920233374479881e-09,1.985792392530542e-10,4.2507609984241234e-11,3.0081326122556137e-11,3.1633031940364928e-11,8.49300349600194e-11
0.125,1.2771075804205881e-07,8.5269585379504783e-09,1.7780061292455304e-10,4.3917698468957012e-11,6.8404524105325804e-11,8.458355577912899e-11,1.3298757001641349e-10
0.1275,1.2909690576637993e-07,9.038848920474653e-09,1.779105907255014e-10,5.0992625566252046e-11,1.0221183985041563e-10,1.2599207787371405e-10,1.7202363202186915e-10
0.13,1.3020816997699933e-07,9.6114578285092591e-09,1.9572541609779182e-10,5.5549679622905356e-11,1.0759407517473197e-10,1.2507992631177204e-10,1.7488620274200512e-10
0.1325,1.3116225306815755e-07,1.02128158036623e-08,2.2473848879408682e-10,4.9976591339006359e-11,8.0502396624905116e-11,8.609649015538502e-11,1.3799697214356254e-10
0.135,1.3210156195314243e-07,1.0809665687503753e-08,2.6361680044715014e-10,3.5983097664494942e-11,3.9511409788599261e-11,3.7451328802119588e-11,8.0466536159997253e-11
0.1375,1.3315049984911692e-07,1.1383365003884312e-08,3.1657916730093384e-10,2.550066281027023e-11,1.0010887104344486e-11,6.5266232436506737e-12,3.1050737712498565e-11
0.14,1.3439070583427294e-07,1.1936954487893323e-08,3.886854522172347e-10,3.2091363166190118e-11,5.7124894754195168e-12,2.666795380462988e-12,1.1863189296225666e-11
0.1425,1.3585694709482334e-07,1.2489675980771961e-08,4.8166157664531937e-10,6.0543884270341441e-11,2.2145619301598879e-11,1.6825225149316723e-11,2.6854863911582267e-11
0.145,1.3753905415633214e-07,1.3062964826182437e-08,5.9164495957619226e-10,1.0335438756994881e-10,4.4054434163705227e-11,3.2469513996485642e-11,6.0841384935286053e-11
0.1475,1.3938160498892398e-07,1.3665766002601622e-08,7.0763988153350221e-10,1.4576309171567902e-10,5.7759622807506132e-11,3.7540757556086647e-11,8.9943709936720254e-11
0.15,1.4128560203854614e-07,1.4286106120519049e-08,8.1136228713245386e-10,1.7433916125328471e-10,5.8640390862089918e-11,3.0292886875054374e-11,9.730932499950699e-11
0.1525,1.4312547201417671e-07,1.4892689095996709e-08,8.8073076911861366e-10,1.8284986712171425e-10,5.0377106496231047e-11,1.7367007481834424e-11,8.3272604083389504e-11
0.155,1.4478534174869264e-07,1.5444890263465524e-08,8.9757267205339112e-10,1.7284014679215759e-10,3.9505036074637649e-11,7.4767253107002383e-12,6.2593242614033692e-11
0.1575,1.462004044880227e-07,1.5907794103307854e-08,8.5618846721605833e-10,1.5058006664625242e-10,3.0688158728598322e-11,5.5189025726927385e-12,5.1511663035635253e-11
0.16,1.4738013147701035e-07,1.626644329025241e-08,7.6684868366366431e-10,1.2335161709867455e-10,2.5404597358688915e-11,1.0452800793381188e-11,5.5411204710008097e-11
0.1625,1.4840182962193754e-07,1.6532735590010532e-08,6.5179247777493954e-10,9.6962994549883101e-11,2.3145980106798088e-11,1.7305745347951262e-11,6.6682055835490495e-11
0.165,1.4937752997083636e-07,1.6743322837811945e-08,5.3623414826589494e-10,7.4831762847322626e-11,2.2842522888743921e-11,2.1116965798266142e-11,7.2985943006382424e-11
0.1675,1.5041260119712126e-07,1.6950219768408292e-08,4.3988438189355912e-10,5.814741287130927e-11,2.3318835593260504e-11,2.0003051269378914e-11,6.776711658613132e-11
0.17,1.5157374182496336e-07,1.7208655443588989e-08,3.7301734823457107e-10,4.6536605539568543e-11,2.3217712338848165e-11,1.5613918377985895e-11,5.430134351264392e-11
0.1725,1.5287694163107295e-07,1.7565636914336269e-08,3.3759994424461382e-10,3.8877577736499622e-11,2.126604266417551e-11,1.1211268083308605e-11,4.1122727419184761e-11
0.175,1.5429286106547119e-07,1.8052385022754986e-08,3.3086259957446286e-10,3.39591865247438e-11,1.6998306647228502e-11,9.121122224605715e-12,3.4069836722668592e-11
0.1775,1.5576106993495118e-07,1.8679667655532819e-08,3.4823436241834692e-10,3.0828828425748795e-11,1.1253744221852848e-11,9.4281684894683842e-12,3.20983906686017e-11
0.18,1.572063818116065e-07,1.9436796989722154e-08,3.8428888704264531e-10,2.8860979740817894e-11,5.8430640737682746e-12,1.0565891610176695e-11,2.9710755435554119e-11
0.1825,1.5855609561602222e-07,2.0293608741658403e-08,4.323611786810075e-10,2.7684398448561196e-11,2.5061472741500471e-12,1.0989410755879192e-11,2.3008949374480917e-11
0.185,1.5975549814866267e-07,2.1207767767268909e-08,4.8456593085407244e-10,2.7110524043228713e-11,1.8908783614420424e-12,1.0482810750237772e-11,1.3813473793682451e-11
0.1875,1.6078087600916036e-07,2.2135048398669889e-08,5.3318423177702015e-10,2.712404576265354e-11,3.3030468122286903e-12,1.0127918827036698e-11,8.4908439925839903e-12
0.19,1.6164495548632178e-07,2.3040390378811105e-08,5.729408019426517e-10,2.793166910410926e-11,5.3792421627737718e-12,1.1162027615910145e-11,1.2763405822226296e-11
0.1925,1.6239177696685457e-07,2.3905666185703949e-08,6.0284421042616882e-10,2.999992629653726e-11,7.1296256492690632e-12,1.3771703782337053e-11,2.6867940435229041e-11
