Physical Time (s),ea_left Monitor (W)
0.45,-4.7075959271207208e-10
0.4525,-4.2162378473129167e-10
0.455,-3.696404912408772e-10
0.4575,-3.1904824816950174e-10
0.46,-2.7315109910609783e-10
0.4625,-2.3416859296078894e-10
0.465,-2.0304579833295935e-10
0.4675,-1.7969497882087382e-10
0.47,-1.6329256613996662e-10
0.4725,-1.5259029276100417e-10
0.475,-1.4623919652050658e-10
0.4775,-1.4308828504072663e-10
0.48,-1.4246642203116407e-10
0.4825,-1.4436037038183037e-10
0.485,-1.4941955714944931e-10
0.4875,-1.5885034772418492e-10
0.49,-1.7413053283591023e-10
0.4925,-1.9660573594113548e-10
0.495,-2.2703145477150812e-10
0.4975,-2.6518638306608385e-10
0.5,-3.0965099311855448e-10
0.5025,-3.5784674175026616e-10
0.505,-4.0636554637865388e-10
0.5075,-4.5143264875081524e-10
0.51,-4.8939323552400314e-10
0.5125,-5.1720547074158396e-10
0.515,-5.3279351316970472e-10
0.5175,-5.3525364042642067e-10
0.52,-5.2492118336233654e-10
0.5225,-5.0326589562203731e-10
0.525,-4.7265367978423063e-10
0.5275,-4.3598130910569784e-10
0.53,-3.9632377551981012e-10
0.5325,-3.5658126034276721e-10
0.535,-3.1920626197600013e-10
0.5375,-2.8602118390781079e-10
0.54,-2.581458586346139e-10
0.5425,-2.3604694848154707e-10
0.545,-2.1967983705252797e-10
0.5475,-2.0867672835240031e-10
0.55,-2.0251227387555105e-10
0.5525,-2.0069440874776085e-10
0.555,-2.027907879617607e-10
0.5575,-2.084818974078279e-10
0.56,-2.1752365855927208e-10
0.5625,-2.2965298494111318e-10
0.565,-2.4450837013055293e-10
0.5675,-2.6155290581664099e-10
0.57,-2.800301086302455e-10
0.5725,-2.9898384839131809e-10
0.575,-3.1732531168445325e-10
0.5775,-3.3395325746345651e-10
0.58,-3.4787731329291224e-10
0.5825,-3.583513194270292e-10
0.585,-3.6494568837769119e-10
0.5875,-3.6758424103842797e-10
0.59,-3.6654569542002427e-10
0.5925,-3.6240525342156325e-10
0.595,-3.5594367522688949e-10
0.5975,-3.4804402713260243e-10
0.6,-3.3960481836223648e-10
0.6025,-3.3145250992892775e-10
0.605,-3.2428483221870158e-10
0.6075,-3.1863588851373701e-10
0.61,-3.148664276013402e-10
0.6125,-3.1316817373113296e-10
0.615,-3.1356823418246197e-10
0.6175,-3.1596957040532821e-10
0.62,-3.2016344518852878e-10
0.6225,-3.2584120602105766e-10
0.625,-3.3258803855687598e-10
0.6275,-3.39883965336688e-10
0.63,-3.4714530270969101e-10
0.6325,-3.5374661401932068e-10
0.635,-3.5905778177979493e-10
0.6375,-3.6248564181071457e-10
0.64,-3.6353387980863632e-10
0.6425,-3.6184880288542939e-10
0.645,-3.5726736099469076e-10
0.6475,-3.4984606840679002e-10
0.65,-3.3986934510603139e-10
0.6525,-3.278377297451015e-10
0.655,-3.1437724538129525e-10
0.6575,-3.0027058933160196e-10
0.66,-2.862770636093917e-10
0.6625,-2.7311364370581493e-10
0.665,-2.6139136578794412e-10
0.6675,-2.5161312566913911e-10
0.67,-2.4411329093734367e-10
0.6725,-2.3920216183248823e-10
0.675,-2.3707986366413566e-10
0.6775,-2.3793631166455748e-10
0.68,-2.4195293832929626e-10
0.6825,-2.4929660489766936e-10
0.685,-2.6011931338073902e-10
0.6875,-2.7450123364141892e-10
0.69,-2.923825789695598e-10
0.6925,-3.1349625215454353e-10
0.695,-3.3733161713802032e-10
0.6975,-3.6310945487106462e-10
0.7,-3.8978757518165776e-10
0.7025,-4.1609606828085214e-10
0.705,-4.4061065278639025e-10
0.7075,-4.6185042195093067e-10
0.71,-4.7841609226473764e-10
0.7125,-4.8910462280891904e-10
0.715,-4.9305638037756675e-10
0.7175,-4.8984563871827995e-10
0.72,-4.7955787743466416e-10
0.7225,-4.6280628869275606e-10
0.725,-4.4064878204989477e-10
0.7275,-4.1451537681935378e-10
0.73,-3.8605347663476288e-10
0.7325,-3.5694390210867478e-10
0.735,-3.2876453424126181e-10
0.7375,-3.0281873294007878e-10
0.74,-2.8004570738440103e-10
0.7425,-2.6101073828313608e-10
0.745,-2.4594059470494245e-10
0.7475,-2.3481021824860293e-10
0.75,-2.2746065795277183e-10
0.7525,-2.2368361464792013e-10
0.755,-2.2331099609698709e-10
0.7575,-2.2625453118990821e-10
0.76,-2.3249434558802446e-10
0.7625,-2.4208259640629104e-10
0.765,-2.550755752148643e-10
0.7675,-2.7146197502439353e-10
0.77,-2.9108008261115637e-10
0.7725,-3.1354957239486366e-10
0.775,-3.3824145527638129e-10
0.7775,-3.6427045076494102e-10
0.78,-3.9053498042709408e-10
0.7825,-4.1579778707298287e-10
0.785,-4.3877256103080938e-10
0.7875,-4.5824301312860271e-10
0.79,-4.7317829081273995e-10
0.7925,-4.8282669198421616e-10
0.795,-4.8680135012932517e-10
0.7975,-4.8512456901013526e-10
0.8,-4.7820836802070064e-10
0.8025,-4.6680483755319348e-10
0.805,-4.5191412203501102e-10
0.8075,-4.3468003846420474e-10
0.81,-4.1625943463472907e-10
0.8125,-3.9774907686925702e-10
0.815,-3.8007194730386778e-10
0.8175,-3.6392933060777521e-10
0.82,-3.4979964956665033e-10
0.8225,-3.3794984195547251e-10
0.825,-3.2848555167492514e-10
0.8275,-3.2138502085349318e-10
0.83,-3.165371756138512e-10
0.8325,-3.13772539646944e-10
0.835,-3.1289076123811527e-10
0.8375,-3.1368124878940704e-10
0.84,-3.159332302837951e-10
0.8425,-3.1942854986255407e-10
0.845,-3.2394885438426585e-10
0.8475,-3.2927705846540523e-10
0.85,-3.3519744517489657e-10
0.8525,-3.4149257916221984e-10
0.855,-3.4794195479978746e-10
0.8575,-3.5433291657599994e-10
0.86,-3.6046674838389039e-10
0.8625,-3.6616718682512094e-10
0.865,-3.7129438097401984e-10
0.8675,-3.757477532075542e-10
0.87,-3.794736308945684e-10
0.8725,-3.8246758689468539e-10
0.875,-3.8477726467892634e-10
0.8775,-3.8650039760134268e-10
0.88,-3.8777568249474743e-10
0.8825,-3.8877413290643442e-10
0.885,-3.8968348789928175e-10
0.8875,-3.9069208917492335e-10
0.89,-3.919700840360654e-10
0.8925,-3.9365946907725002e-10
0.895,-3.9585406192683031e-10
0.8975,-3.9858967621487496e-10
0.9,-4.0183531588911788e-10
0.9025,-4.0549704941176001e-10
0.905,-4.0942208664686893e-10
0.9075,-4.134017074002917e-10
0.91,-4.1718641843120323e-10
0.9125,-4.2049984531429992e-10
0.915,-4.2306268867057354e-10
0.9175,-4.2461357417058326e-10
0.92,-4.2493484686018452e-10
0.9225,-4.2386602530965339e-10
0.925,-4.2132061510514701e-10
0.9275,-4.1729415386481529e-10
0.93,-4.118689415318707e-10
0.9325,-4.0520611786943764e-10
0.935,-3.9753632533368861e-10
0.9375,-3.8914144228253228e-10
0.94,-3.8033199690592015e-10
0.9425,-3.714252451684622e-10
0.945,-3.6273212516736289e-10
0.9475,-3.5454600604782315e-10
0.95,-3.4713508376324693e-10
0.9525,-3.4073918197334458e-10
0.955,-3.3556164411373074e-10
0.9575,-3.3177267164914646e-10
0.96,-3.2951727362927624e-10
0.9625,-3.2891126704714856e-10
0.965,-3.3004477647394218e-10
0.9675,-3.3298580402488913e-10
0.97,-3.3776958237438731e-10
0.9725,-3.4438223326639031e-10
0.975,-3.527575172937579e-10
0.9775,-3.6275919793624837e-10
0.98,-3.7416960250966535e-10
0.9825,-3.8668578791779852e-10
0.985,-3.9990855807412999e-10
0.9875,-4.1335623394575814e-10
0.99,-4.264763465435089e-10
0.9925,-4.3868326318760431e-10
0.995,-4.4939213967238504e-10
0.9975,-4.5806573219335026e-10
1.0,-4.6426038529272734e-10
1.0025,-4.6765124533358581e-10
1.005,-4.6806350313750207e-10
1.0075,-4.6550001579254719e-10
1.01,-4.6013337787878104e-10
1.0125,-4.522949872518565e-10
1.015,-4.4244350549292068e-10
1.0175,-4.3112005244628856e-10
1.02,-4.1891301337924577e-10
1.0225,-4.064103933222018e-10
1.025,-3.9416494515662108e-10
1.0275,-3.8265832962728064e-10
1.03,-3.7227687183636996e-10
1.0325,-3.6330370062366783e-10
1.035,-3.5592840236433126e-10
1.0375,-3.5025698946983789e-10
1.04,-3.4633205451590127e-10
1.0425,-3.4412849156576995e-10
1.045,-3.4358052733077021e-10
1.0475,-3.4458823906767865e-10
1.05,-3.4702115388516798e-10
1.0525,-3.5072295118821043e-10
1.055,-3.5551230774967991e-10
1.0575,-3.6118421275783653e-10
1.06,-3.6752089880349924e-10
1.0625,-3.7429660338515217e-10
1.065,-3.8127721497063349e-10
1.0675,-3.8822766264890744e-10
1.07,-3.9491851526025792e-10
1.0725,-4.0113490438843096e-10
1.075,-4.0668646876007261e-10
1.0775,-4.1141582988943609e-10
1.08,-4.1521608467991101e-10
1.0825,-4.1802378548203844e-10
1.085,-4.1981752723208323e-10
1.0875,-4.2061792796924629e-10
1.09,-4.2049039652985903e-10
1.0925,-4.1954668094034669e-10
1.095,-4.1794156505026151e-10
1.0975,-4.1586024383320954e-10
1.1,-4.1349675114632351e-10
1.1025,-4.1104531112416082e-10
1.105,-4.0868343186418356e-10
1.1075,-4.0656422539810284e-10
1.11,-4.0480720941238232e-10
1.1125,-4.0349341461673949e-10
1.115,-4.0266698480980846e-10
1.1175,-4.0233307402891348e-10
1.12,-4.0246402762899672e-10
1.1225,-4.0300001505161888e-10
1.125,-4.0385561514463067e-10
1.1275,-4.0492538312459516e-10
1.13,-4.0609471012651167e-10
1.1325,-4.0724438689593909e-10
1.135,-4.0825382182760621e-10
1.1375,-4.0900437676143095e-10
1.14,-4.0938281221199758e-10
1.1425,-4.0929126521284726e-10
1.145,-4.0865532286852883e-10
1.1475,-4.0744251437822542e-10
1.15,-4.0565972239503924e-10
1.1525,-4.0335522106862171e-10
1.155,-4.0061061897864406e-10
1.1575,-3.9753491822356725e-10
1.16,-3.9425074750688321e-10
1.1625,-3.908933472311403e-10
1.165,-3.8760319053678524e-10
1.1675,-3.845186003302013e-10
1.17,-3.8177567682524171e-10
1.1725,-3.7950985755330642e-10
1.175,-3.778409716750429e-10
1.1775,-3.7687963944022082e-10
1.18,-3.7672281672875195e-10
1.1825,-3.7744379415974905e-10
1.185,-3.7906695352030313e-10
1.1875,-3.815994410410282e-10
1.19,-3.8501476098901613e-10
1.1925,-3.8925745068283731e-10
1.195,-3.942403963515493e-10
1.1975,-3.9984536884346778e-10
1.2,-4.0592039078052779e-10
1.2025,-4.1227618110745183e-10
1.205,-4.1869664735017445e-10
1.2075,-4.2494675966165253e-10
1.21,-4.3078835931719327e-10
1.2125,-4.3599430313196045e-10
1.215,-4.4036320965047736e-10
1.2175,-4.4372422827212808e-10
1.22,-4.459422005183216e-10
1.2225,-4.4693049148190083e-10
1.225,-4.4664781512942036e-10
1.2275,-4.4509884785044275e-10
1.23,-4.423303382763524e-10
1.2325,-4.3843862336039569e-10
1.235,-4.3356083105846577e-10
1.2375,-4.2788738453296896e-10
1.24,-4.2161975514382415e-10
1.2425,-4.1497050345295103e-10
1.245,-4.0814915881187609e-10
1.2475,-4.0135556107445687e-10
