Physical Time (s),ea_bot Monitor (W): bot_cv1,ea_bot Monitor (W): bot_cv2,ea_bot Monitor (W): bot_cv3,ea_bot Monitor (W): bot_cv4,ea_bot Monitor (W): bot_cv5,ea_bot Monitor (W): bot_cv6,ea_bot Monitor (W): bot_cv7
0.0325,-3.9611468877983821e-12,2.1307234234404147e-15,4.7055189505842649e-13,8.1384722758938947e-13,-2.5945709805262404e-14,-4.4327903318660324e-13,-1.6637183974669024e-14
0.035,-1.9488671931007987e-12,-3.7973100639831482e-15,1.5488609938202566e-13,1.2579077687696544e-12,3.4336617660134987e-13,-2.4480783209421032e-13,-4.5052243205275329e-14
0.0375,-1.4129745281185802e-13,-2.2894377814766493e-14,1.9533229932372304e-14,7.6086984948978525e-13,1.076452130064157e-12,-4.7794505047461817e-14,-7.2994289607740048e-14
0.04,1.1615167330693371e-12,-1.069698207700099e-13,-1.1144588414771051e-14,1.9021495623522193e-13,1.1952440407347857e-12,3.6323064112143108e-13,-6.4890402970601361e-14
0.0425,1.4326411548158751e-12,-3.261506454240524e-13,-6.9306415543303606e-14,1.1879834645092839e-14,5.9930391770829327e-13,8.709035775236193e-13,-2.3929348929863405e-14
0.045,7.4901912441080171e-13,-6.5887723122188417e-13,-2.2046522454900016e-13,-1.6657467242258191e-15,1.2224069143004971e-13,1.0430233549007483e-12,5.4681558806620318e-15
0.0475,6.7991637425177497e-14,-9.2225442876895634e-13,-4.6868833368460503e-13,-9.1358777686903395e-15,3.0235910963576877e-15,8.2241342592254305e-13,4.3356994578680342e-14
0.05,1.9024229670285133e-15,-8.8981895722327921e-13,-7.1200124211557694e-13,-3.7632645554901185e-14,-1.143501772514497e-14,4.4318477794258246e-13,1.2827699587421917e-13
0.0525,2.1177677962542464e-13,-5.5048812984958084e-13,-7.6896987977332785e-13,-1.324851810364087e-13,-1.3514413155076268e-14,1.2130049933001999e-13,1.6412683996905385e-13
0.055,2.545451579486433e-13,-1.8045852151545467e-13,-5.5589571591359226e-13,-2.6361379962855395e-13,-1.4537326978414805e-14,-1.6758643723214763e-14,6.303793720717796e-14
