Physical Time (s),drag Monitor (N)
0.3275,6.8112191026000307e-06
0.33,6.7886706706083437e-06
0.3325,6.7672423645549439e-06
0.335,6.7481720209183944e-06
0.3375,6.7313349571400382e-06
0.34,6.7158659542682031e-06
0.3425,6.7001997660216053e-06
0.345,6.682723598599949e-06
0.3475,6.6625452101381515e-06
0.35,6.6389972780325497e-06
0.3525,6.6128977319046754e-06
0.355,6.5858199676606161e-06
0.3575,6.5607891777869452e-06
0.36,6.5408447659074245e-06
0.3625,6.5288496529819392e-06
0.365,6.5272822665938201e-06
0.3675,6.537620273342707e-06
0.37,6.559701731354228e-06
0.3725,6.5921979559116519e-06
0.375,6.6321527173285456e-06
0.3775,6.6759000962800336e-06
0.38,6.7188971076517715e-06
0.3825,6.7568199861456513e-06
0.385,6.7851716150962034e-06
0.3875,6.8009884867010609e-06
0.39,6.8026818833133519e-06
0.3925,6.7894590832035453e-06
0.395,6.7620667723099397e-06
0.3975,6.7223880478065191e-06
0.4,6.6730689199366966e-06
0.4025,6.6169771781139678e-06
0.405,6.5574453618285302e-06
0.4075,6.4976556485319338e-06
0.41,6.4402735719745384e-06
0.4125,6.3876856969886641e-06
0.415,6.3419111812071682e-06
0.4175,6.3041929821300736e-06
0.42,6.2751337565194374e-06
0.4225,6.2548051820548659e-06
0.425,6.2433352016513117e-06
0.4275,6.2407004022742741e-06
0.43,6.2469507397886434e-06
0.4325,6.2622204992152259e-06
0.435,6.2867253923404701e-06
0.4375,6.3204070823122127e-06
0.44,6.3629817428135929e-06
0.4425,6.4134041763715986e-06
0.445,6.4700294748950426e-06
0.4475,6.5302788936580289e-06
0.45,6.5909760595310894e-06
0.4525,6.6482361433224456e-06
0.455,6.6975151897267625e-06
0.4575,6.7349125264336915e-06
0.46,6.7568310000563777e-06
0.4625,6.760805329002264e-06
0.465,6.746517463501247e-06
0.4675,6.7143352903469008e-06
0.47,6.6659935262869009e-06
0.4725,6.6046782405562536e-06
0.475,6.5345828671677869e-06
0.4775,6.4603867660807617e-06
0.48,6.386838049163578e-06
0.4825,6.3178904787294009e-06
0.485,6.2568979305487868e-06
0.4875,6.2062874419343915e-06
0.49,6.1673007144703117e-06
0.4925,6.1400287297772484e-06
0.495,6.1239799383073459e-06
0.4975,6.1182275999291663e-06
0.5,6.1217267334568604e-06
0.5025,6.1333959319666596e-06
0.505,6.1520813389979977e-06
0.5075,6.1770485182425889e-06
0.51,6.2075000463933407e-06
0.5125,6.2426544839729856e-06
0.515,6.2814117500760561e-06
0.5175,6.3221776259112023e-06
0.52,6.3632582884177584e-06
0.5225,6.4026768093905971e-06
0.525,6.4382093336671895e-06
0.5275,6.4679956492394761e-06
0.53,6.4904531713980907e-06
0.5325,6.5045740254573483e-06
0.535,6.5097212281035481e-06
0.5375,6.5057589037748549e-06
0.54,6.4931888422565196e-06
0.5425,6.4729595164308202e-06
0.545,6.4463043819983123e-06
0.5475,6.4148092998892651e-06
0.55,6.3803766903155696e-06
0.5525,6.3450972500281948e-06
0.555,6.3107292825430147e-06
0.5575,6.2791403209398537e-06
0.56,6.2516094486611007e-06
0.5625,6.2290018265331848e-06
0.565,6.2117269046075737e-06
0.5675,6.199658053256592e-06
0.57,6.1923412746073679e-06
0.5725,6.1891594004723387e-06
0.575,6.18944471229503e-06
0.5775,6.192677432627207e-06
0.58,6.1982275546482411e-06
0.5825,6.2056608446985188e-06
0.585,6.2143764307912774e-06
0.5875,6.223881509732578e-06
0.59,6.23378015817298e-06
0.5925,6.2434837220952934e-06
0.595,6.2524095613546323e-06
0.5975,6.2599044402664452e-06
0.6,6.2653468063121873e-06
0.6025,6.2682580583223891e-06
0.605,6.26821391197954e-06
0.6075,6.2652323666755025e-06
0.61,6.2594310328492171e-06
0.6125,6.2512830794657588e-06
0.615,6.2415320485970063e-06
0.6175,6.2308916237115015e-06
0.62,6.220244782220615e-06
0.6225,6.2107603125701217e-06
0.625,6.2034795121575966e-06
0.6275,6.1991056332304489e-06
0.63,6.1982551314417035e-06
0.6325,6.2010580067271059e-06
0.635,6.2073986923693868e-06
0.6375,6.2168269716280775e-06
0.64,6.2286800637553344e-06
0.6425,6.2420164670609104e-06
0.645,6.2557713783211174e-06
0.6475,6.2689861932150759e-06
0.65,6.2805879232137945e-06
0.6525,6.2895896953974587e-06
0.655,6.2951593612131192e-06
0.6575,6.2968489565502755e-06
0.66,6.2942747525265673e-06
0.6625,6.2872848216293563e-06
0.665,6.2759473355044824e-06
0.6675,6.2605295209366168e-06
0.67,6.2413942475868042e-06
0.6725,6.2191584639988487e-06
0.675,6.1945139007422022e-06
0.6775,6.1683977010839055e-06
0.68,6.1418495449536773e-06
0.6825,6.1159486528667536e-06
0.685,6.0918926343720383e-06
0.6875,6.070604776482112e-06
0.69,6.0531771559653568e-06
0.6925,6.040475076384546e-06
0.695,6.0331739588914097e-06
0.6975,6.0315199569255501e-06
0.7,6.0356644174065932e-06
0.7025,6.0454918263336689e-06
0.705,6.060574516381249e-06
0.7075,6.0803021637860469e-06
0.71,6.103783918400286e-06
0.7125,6.1301382332318144e-06
0.715,6.1581353338548025e-06
0.7175,6.1866566447714228e-06
0.72,6.2143808378754746e-06
0.7225,6.2400875898843096e-06
0.725,6.2627557427811424e-06
0.7275,6.2814354997842033e-06
0.73,6.29527843148861e-06
0.7325,6.303659568144997e-06
0.735,6.3060599840769269e-06
0.7375,6.302524441609039e-06
0.74,6.2931165126746648e-06
0.7425,6.2780157496306865e-06
0.745,6.2577635635433112e-06
0.7475,6.2331661196904745e-06
0.75,6.205212228755313e-06
0.7525,6.1751666357403398e-06
0.755,6.1443196161546206e-06
0.7575,6.1137399227686369e-06
0.76,6.0846194588838291e-06
0.7625,6.058122539293254e-06
0.765,6.0350011127344424e-06
0.7675,6.0159713296399005e-06
0.77,6.0014579370816051e-06
0.7725,5.9916767552539526e-06
0.775,5.9866810528422346e-06
0.7775,5.9864092812399069e-06
0.78,5.9901973269959114e-06
0.7825,5.9983120937770074e-06
0.785,6.0096229608146622e-06
0.7875,6.0236591447793919e-06
0.79,6.0400042303129999e-06
0.7925,6.0581408573616127e-06
0.795,6.0772511547100981e-06
0.7975,6.0968159304398792e-06
0.8,6.1161503341850916e-06
0.8025,6.1346788422108341e-06
0.805,6.1518108192385182e-06
0.8075,6.1669473755422542e-06
0.81,6.1794738641833749e-06
0.8125,6.1888898087676198e-06
0.815,6.1948796013125685e-06
0.8175,6.1972182751311775e-06
0.82,6.1958718529552433e-06
0.8225,6.1909990990101668e-06
0.825,6.1828614578614096e-06
0.8275,6.171961795019286e-06
0.83,6.1588733117584484e-06
0.8325,6.1444206734156839e-06
0.835,6.1294494200872794e-06
0.8375,6.1146518138098064e-06
0.84,6.1006636581981371e-06
0.8425,6.0880369199023804e-06
0.845,6.0771018666356199e-06
0.8475,6.0681494870299181e-06
0.85,6.0611959232174954e-06
0.8525,6.0560503301554131e-06
0.855,6.0524475490036747e-06
0.8575,6.0500558977530346e-06
0.86,6.0484816621446931e-06
0.8625,6.0473685969470242e-06
0.865,6.0463458625959103e-06
0.8675,6.0452214525428529e-06
0.87,6.0437894367715461e-06
0.8725,6.0419104862064827e-06
0.875,6.0396612747659574e-06
0.8775,6.0371140885044518e-06
0.88,6.0343949982707711e-06
0.8825,6.0317055729277921e-06
0.885,6.029292048513545e-06
0.8875,6.027339488854408e-06
0.89,6.0260468822524853e-06
0.8925,6.0255893637721874e-06
0.895,6.026134062226726e-06
0.8975,6.0278646177056498e-06
0.9,6.0308153726778366e-06
0.9025,6.0349865829370425e-06
0.905,6.0403347675304883e-06
0.9075,6.0467502255000345e-06
0.91,6.0541453285707531e-06
0.9125,6.0623673952059732e-06
0.915,6.0712674379967529e-06
0.9175,6.0806151804164966e-06
0.92,6.0901356289468511e-06
0.9225,6.0994787532498503e-06
0.925,6.1083343143087488e-06
0.9275,6.1163910236912294e-06
