Physical Time (s),Etau_top Monitor (kg-m/s^3): top_cv1,Etau_top Monitor (kg-m/s^3): top_cv2,Etau_top Monitor (kg-m/s^3): top_cv3,Etau_top Monitor (kg-m/s^3): top_cv4,Etau_top Monitor (kg-m/s^3): top_cv5,Etau_top Monitor (kg-m/s^3): top_cv6,Etau_top Monitor (kg-m/s^3): top_cv7
0.00319001,-4.3515639481017879e-07,-4.5064890139593667e-07,-3.9750289995554463e-07,-3.4647137429452967e-07,-3.2352952973912786e-07,-3.8935344409149144e-07,-3.4018893966028658e-07
0.00324064,-4.4049178642989989e-07,-4.5505343870587678e-07,-4.0133035796681667e-07,-3.4948903666776529e-07,-3.2220285410585761e-07,-3.8382412531989966e-07,-3.3978363202241957e-07
0.00329127,-4.4619958558617786e-07,-4.5989960064041473e-07,-4.0501246959468225e-07,-3.5273840406966211e-07,-3.2185767524494073e-07,-3.7694266531277604e-07,-3.4047827598369079e-07
0.00334191,-4.5176126686702044e-07,-4.6470136901141378e-07,-4.0814636410635431e-07,-3.5554036474236267e-07,-3.2198304687528966e-07,-3.6895606563187748e-07,-3.4199528158392043e-07
0.00339254,-4.5676139470513767e-07,-4.6907228256666766e-07,-4.1044871252909374e-07,-3.5732367824302961e-07,-3.2200763294356611e-07,-3.6000111414437688e-07,-3.439736431664305e-07
0.00344318,-4.6095681866248979e-07,-4.7279795327522889e-07,-4.1182034546041617e-07,-3.578425014722655e-07,-3.2155568533806889e-07,-3.5019571199038147e-07,-3.4615478042023876e-07
0.00349381,-4.6432390715210986e-07,-4.7587915228413185e-07,-4.1238376987900617e-07,-3.5713003450177034e-07,-3.2045130773256303e-07,-3.3979969422109123e-07,-3.4855480254117738e-07
0.00354445,-4.670383536400617e-07,-4.7850640670777798e-07,-4.1246513286377552e-07,-3.5553464426198255e-07,-3.1873336193752932e-07,-3.2905708825261903e-07,-3.5122608364568774e-07
0.00359509,-4.6942122741252647e-07,-4.8100377379654963e-07,-4.1254097724461598e-07,-3.535975043077539e-07,-3.1671486761923202e-07,-3.1842784046358682e-07,-3.5445218503586977e-07
0.00364572,-4.7185138476351923e-07,-4.8374175999521638e-07,-4.131411849727543e-07,-3.5193184182067732e-07,-3.1479383455912826e-07,-3.0839726468579621e-07,-3.5853600591112041e-07
0.00369636,-4.7467483190798348e-07,-4.8704871383658326e-07,-4.1473868308744742e-07,-3.510963837451114e-07,-3.1337811372842213e-07,-2.9942659790628403e-07,-3.6374099380394062e-07
0.00374699,-4.7814638880720954e-07,-4.9115323358728895e-07,-4.1766397468519403e-07,-3.5151687462338565e-07,-3.1285637214061835e-07,-2.9192091983714758e-07,-3.7026592577950063e-07
0.00379762,-4.8239388259389447e-07,-4.9615093591402342e-07,-4.2204178933917059e-07,-3.5342328849186506e-07,-3.1347276027151161e-07,-2.8620282128550672e-07,-3.7814481943452947e-07
0.00384826,-4.8740649317944227e-07,-5.0199286825887623e-07,-4.2779091737517523e-07,-3.5684118108366934e-07,-3.152985066554539e-07,-2.8266243442678852e-07,-3.8719194456705661e-07
0.00389889,-4.9305360649476787e-07,-5.0850690022823549e-07,-4.346175213375895e-07,-3.6157374873625154e-07,-3.1821320161432685e-07,-2.8119710827382155e-07,-3.9700624130433301e-07
0.00394953,-4.9909636002373486e-07,-5.1541388283932583e-07,-4.4208528311804023e-07,-3.6725445272811483e-07,-3.2193991409786946e-07,-2.8142442333445773e-07,-4.0696816838553294e-07
0.00400016,-5.0522996425524364e-07,-5.2237465006328259e-07,-4.4968752292099683e-07,-3.7341093743064269e-07,-3.2609194522508206e-07,-2.8279505804519348e-07,-4.1637008399689086e-07
