Physical Time (s),enth_flux_enthalpy_left Monitor (kg-m/s^3)
0.02293765,-0.81516315485557189
0.02298829,-0.78132915376820278
0.02303892,-0.75016493135656925
0.02308956,-0.72187751639198472
0.02314019,-0.69663896297300631
0.02319083,-0.67457848488956196
0.02324146,-0.65579050755154589
0.0232921,-0.64032781472648703
0.02334273,-0.62820006053250421
0.02339337,-0.61937372179558492
0.02344401,-0.61377789871553934
0.02349464,-0.61130530498054336
0.02354528,-0.61181552381500204
0.02359591,-0.61513658025784235
0.02364654,-0.62106733405276415
0.02369718,-0.62938487827409817
0.02374781,-0.63984469651037679
0.02379845,-0.65219227343378405
0.02384908,-0.66607354901544191
0.02389972,-0.68126148765780936
0.02395035,-0.69749444143358308
0.02400099,-0.71450701987520726
0.02405163,-0.73204204984661891
0.02410226,-0.74984442873862678
0.0241529,-0.7676751451599475
0.02420353,-0.78531548350714497
0.02425417,-0.80256766797006285
0.0243048,-0.81925908772881573
0.02435543,-0.83525825955653832
0.02440607,-0.85046507508092695
0.0244567,-0.864819341015582
0.02450734,-0.87829294957111048
0.02455797,-0.89089463011204328
0.02460861,-0.9026710529184282
0.02465924,-0.91369479621619598
0.02470988,-0.92406334393008049
0.02476052,-0.93390441862797768
0.02481115,-0.94336337298654893
0.02486179,-0.95260246874789123
0.02491242,-0.96178656474025126
0.02496305,-0.97108775032469208
0.02501369,-0.98076797981668307
0.02506432,-0.99093017384145732
0.02511496,-1.0017364330026406
0.02516559,-1.0133269144068653
0.02521623,-1.0258423151146294
0.02526686,-1.0394142302800304
0.0253175,-1.0541449495002102
0.02536813,-1.070119509907155
0.02541877,-1.087402292922937
0.02546941,-1.1060122470638516
0.02552004,-1.1259406882821492
0.02557068,-1.1471343302998305
0.02562131,-1.1695265328826185
0.02567194,-1.1930009998715767
0.02572258,-1.2174045561325522
0.02577321,-1.2425584293170284
0.02582385,-1.268261484369352
0.02587448,-1.294287648996002
0.02592512,-1.3203828099182702
0.02597575,-1.3462721486452733
0.02602639,-1.371663496822731
0.02607703,-1.3962582396039052
0.02612766,-1.4197662027291131
0.0261783,-1.4418994751897132
0.02622893,-1.4623904536602792
0.02627956,-1.4809270574066482
0.0263302,-1.4972796558025412
0.02638083,-1.5111631723131358
0.02643147,-1.522347487836333
0.0264821,-1.5306360261110294
0.02653274,-1.5358682160800667
0.02658337,-1.5379187365411442
0.02663401,-1.5366983392796163
0.02668464,-1.5321605077704401
0.02673528,-1.5242944712728572
0.02678592,-1.5131395012597117
0.02683655,-1.4987819604881247
