Physical Time (s),enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv1,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv2,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv3,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv4,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv5,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv6,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv7
0.00162032,0.00068387228081664194,0.0020640784495157302,0.0053608653960901045,0.0064088770466300578,0.012237217461231201,0.013698069391481944,0.013690341982861993
0.00167096,-0.00070736300849508346,0.0025964515173132357,0.0044688636386594534,0.0051483789270456654,0.010145814743464435,0.012060192089101328,0.012046367735037651
0.00172159,-0.00058807494737765881,0.0048495635265984535,0.0063307440267954575,0.0069497033053707467,0.010747597937589485,0.013080110392532065,0.013056747478190561
0.00177222,-0.00028169220390263593,0.0064455239001578041,0.0090645586411103717,0.009565899306898086,0.012070883054408257,0.014712696363903398,0.0146753671302155
0.00182286,-0.00048362663536947754,0.0061801621520598832,0.010957119694434268,0.011210204271888388,0.012562701982721672,0.01534507494656169,0.015288645787769622
0.00187349,-0.0011458913403601674,0.004316049404684285,0.011214067185130206,0.011245783538630424,0.011704094649246067,0.014428220617320728,0.014347485402947734
0.00192413,-0.0019187213142964838,0.0018229772800763635,0.0098953795233947279,0.0099265453769762264,0.0097519334160284989,0.012227464164371397,0.012118142412308113
0.00197476,-0.0024472888562014614,-0.0003106876348479698,0.0076241274323549622,0.0079391719504215506,0.007335210198635686,0.0094090875897892903,0.0092689374046636911
0.0020254,-0.002580054510062311,-0.0015811570131927799,0.0051268653226360632,0.0059100012776461854,0.0050236710714533306,0.006593025704185445,0.0064226914778058456
0.00207603,-0.0023729182529738492,-0.0020131920662769002,0.0029296838302766063,0.0041782145575034527,0.0031323214177415666,0.0041419729835580777,0.0039452147782745653
0.00212667,-0.0019916429471993854,-0.0019220733866309946,0.0012666187051507466,0.0028194767046167365,0.0017392384328564238,0.0021751473581404835,0.0019580070516606405
0.00217731,-0.0015998286050946837,-0.0016419265668247418,0.00014954841328891156,0.0017826693163354151,0.00079971790668704405,0.00068784080924561963,0.00045677909939727561
0.00222794,-0.0012935243590069452,-0.0013710334371078614,-0.00051622833383865494,0.0010032073551780761,0.00023327211654874328,-0.00035440937025198009,-0.0005946084295789726
0.00227858,-0.0010932435542228421,-0.001152112902721922,-0.0008320026198430845,0.00046418000268339009,-2.0142478058351001e-05,-0.00095912240110383458,-0.0012069713066551761
0.00232921,-0.00098278388825607404,-0.00094834314708485681,-0.0008708391603595428,0.00017949675361832838,-6.4859735456796324e-06,-0.0011238142682837066,-0.0013799799813464641
0.00237984,-0.00094143677830773372,-0.00072120338271839334,-0.00067817515222414826,0.00016149716156091829,0.00022832720536653992,-0.00086978462079390865,-0.0011331709684769954
