Physical Time (s),enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv1,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv2,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv3,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv4,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv5,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv6,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv7
0.0008608,1.1358623153279273e-06,1.1427259219841987e-06,1.1365972802107436e-06,1.1326697338431582e-06,1.1321592644818829e-06,1.1321344856143248e-06,1.1321347307403476e-06
0.00091143,1.4040412013695877e-06,1.4243444540442468e-06,1.4238989430615633e-06,1.4188456532041743e-06,1.417921687295901e-06,1.4178737026136291e-06,1.4178741466374163e-06
0.00096207,1.5490411458025493e-06,1.5869977505962867e-06,1.5964972409725974e-06,1.5903807589644431e-06,1.5888463376182464e-06,1.5887552626755281e-06,1.5887560585209576e-06
0.0010127,1.4847625061570508e-06,1.5380820898198998e-06,1.5561043854236286e-06,1.5493986573008268e-06,1.5471523416196016e-06,1.5469842051993881e-06,1.5469856182112802e-06
0.00106333,1.1598094451061969e-06,1.2184506767719124e-06,1.2314253002598689e-06,1.2247910174162164e-06,1.2220142028947867e-06,1.2217149407752116e-06,1.2217174254698012e-06
0.00111397,7.170668636939984e-07,7.6988146583947787e-07,7.4874499916577345e-07,7.4285318916837049e-07,7.3952890693877552e-07,7.3902082076222374e-07,7.3902514601319846e-07
0.0011646,4.080285698640936e-07,4.5123963764823994e-07,3.5986715915723703e-07,3.5370359190691617e-07,3.4979979777830557e-07,3.4898804902257525e-07,3.4899549637822206e-07
0.00121524,2.2864141986903598e-07,2.7448930484727248e-07,9.3912525656377742e-08,8.2848800772530158e-08,7.8448038733244282e-08,7.7250878882958012e-08,7.7263551582117472e-08
0.00126588,1.0296322498073266e-07,1.6615635693110654e-07,-6.7993308096521559e-08,-9.4118177752260141e-08,-9.8859659593135768e-08,-1.0043845946524846e-07,-1.0041716456063146e-07
0.00131651,2.2462758971353273e-09,6.4080405043806667e-08,-1.389171356713034e-07,-1.9817203082116809e-07,-2.0329273354977521e-07,-2.0504655554926865e-07,-2.0501124805843882e-07
0.00136714,-6.7329136753243091e-08,-1.633078752814067e-08,-1.0177545788481197e-07,-2.1015223765736435e-07,-2.1586922245590688e-07,-2.1762586660927462e-07,-2.1756813486909642e-07
0.00141778,-1.7347521205698987e-07,-1.513868784882888e-07,-8.8635210609270501e-08,-2.3563420110171883e-07,-2.4265390593780449e-07,-2.4430401212177674e-07,-2.4421093097999878e-07
0.00146842,-2.7635198773465774e-07,-3.0535388418045049e-07,-1.2465780837294018e-07,-2.8220786679144098e-07,-2.9229509579673903e-07,-2.9364388510068314e-07,-2.9349587455303299e-07
0.00151905,-2.4124763101506258e-07,-2.9149667836498841e-07,-9.5747314746819451e-08,-2.2942000697371516e-07,-2.4682775747767958e-07,-2.4759934576995917e-07,-2.473671076649249e-07
0.00156968,-1.1225794986728294e-07,-1.5288002943775073e-07,-2.1357774436737016e-08,-1.0037823509099161e-07,-1.3287409377741766e-07,-1.3271552784735767e-07,-1.3235569292262618e-07
0.00162032,5.8962092145230031e-08,3.4633502780662964e-08,8.6203492878020767e-08,7.3639123142134615e-08,2.3405129790825986e-08,2.492516688726731e-08,2.5476322385424812e-08
0.00167096,2.2352540165006881e-07,2.0785666981466901e-07,1.9133852786412038e-07,2.3377867183279111e-07,1.7077765058487551e-07,1.7417038460273802e-07,1.7500469021407708e-07
0.00172159,3.4371855400633571e-07,3.1666009300314858e-07,2.6504686781261204e-07,3.3036421428801856e-07,2.6285187362783286e-07,2.6858012332887882e-07,2.6982931666029949e-07
0.00177222,4.0909438243756539e-07,3.5870055230641056e-07,3.0137454611162224e-07,3.5424402565744851e-07,2.9122689703052041e-07,2.9852090075143123e-07,3.0037026151044569e-07
0.00182286,4.1720051574670445e-07,3.4243566296027032e-07,2.8085180445521288e-07,3.0960949773897865e-07,2.6008563050807225e-07,2.6542417453440463e-07,2.6812782547174934e-07
0.00187349,3.6870864318147646e-07,2.7572236799898562e-07,2.0375668592569556e-07,2.0517896410874054e-07,1.7354366797284804e-07,1.7438707704039857e-07,1.7828217862177448e-07
0.00192413,3.1446326586620221e-07,2.3670937411628969e-07,1.1855093086414206e-07,9.4380163463280658e-08,7.9431641149831619e-08,7.5650693103180331e-08,8.1168912055276605e-08
0.00197476,2.684841210586042e-07,2.2403788013298309e-07,6.0921936999491705e-08,1.5182507906384224e-08,1.2210344061117641e-08,4.5468154902606167e-09,1.2215026850883727e-08
