Physical Time (s),ev_right Monitor (kg-m/s^3): right_cv1,ev_right Monitor (kg-m/s^3): right_cv2,ev_right Monitor (kg-m/s^3): right_cv3,ev_right Monitor (kg-m/s^3): right_cv4,ev_right Monitor (kg-m/s^3): right_cv5,ev_right Monitor (kg-m/s^3): right_cv6,ev_right Monitor (kg-m/s^3): right_cv7
0.00182286,0.033250072434730715,0.0022204890253885376,0.00014695027029300932,0.0009600035107730164,5.6337171171016515e-05,4.0907599868273871e-06,1.1596992913384346e-10
0.00187349,0.035083008092440686,0.0020766915538473728,0.00013071477514431954,0.00064168884109750649,0.00012238800161202442,6.8315454069047747e-06,2.5890319202830192e-10
0.00192413,0.037108473952387845,0.0019379537842779911,0.00011291955086232077,0.00031465649793150502,0.00025633158697037475,1.0683261234956961e-05,5.6806801437485167e-10
0.00197476,0.039256414510990635,0.0018345929627467499,0.00010455299160979015,9.3986484856458372e-05,0.00045518516882924598,1.5572785235191857e-05,1.222793754051997e-09
0.0020254,0.041468991626694984,0.0017810487701870018,0.00011099563681714335,2.9847802099837708e-05,0.0006824421411352824,2.1027716097127377e-05,2.5778478837219486e-09
0.00207603,0.043706035554584174,0.0017786981281748319,0.00013174688287532875,9.5169173686833372e-05,0.00087222021309667089,2.6068778045349934e-05,5.3136647768328063e-09
0.00212667,0.04594698684867983,0.0018215413567355958,0.00016154985163876497,0.00021562381247845129,0.00095295062399530241,2.9281821156124278e-05,1.0692682447163028e-08
0.00217731,0.048190821273468833,0.0019008872937790167,0.00019277627450673795,0.00031507658408858128,0.00088237569402689815,2.9182175493543498e-05,2.0972907415159467e-08
0.00222794,0.050453644054706551,0.0020079528579006007,0.0002181892101037394,0.00034847833513830295,0.00067487563816670277,2.4926329032992463e-05,4.0036531684716562e-08
0.00227858,0.052765351610330302,0.0021346258781893561,0.00023329380280369164,0.00031073745039387926,0.00040192562092527726,1.7245867393008996e-05,7.4279013427580108e-08
0.00232921,0.055165786481561924,0.0022734316206289734,0.0002373326056677251,0.00022622135816797493,0.00016138848593708446,9.2885710025775502e-06,1.3375000402067166e-07
0.00237984,0.057699924646074097,0.0024175036390533334,0.00023276266013500221,0.00013028126639378837,3.1653395126916812e-05,6.8985932240392273e-06,2.3342387193730664e-07
0.00243048,0.060411789143665906,0.0025609958215621668,0.00022373789501295009,5.3030930845265003e-05,3.7364040136152977e-05,1.7873729012307054e-05,3.9429217605929577e-07
0.00248111,0.063336889539363533,0.0026997208890206588,0.00021443949878070104,1.0342682156086071e-05,0.00014507312523424009,5.0002322179971144e-05,6.4372761084874424e-07
0.00253175,0.066493953878621864,0.0028316851033887581,0.00020791893083232802,2.7656995027559394e-06,0.00028651496080133137,0.00010815374077705494,1.014287467574063e-06
0.00258238,0.069877153323671101,0.0029572227160073435,0.00020568621003109927,1.9981936651343384e-05,0.00039364108066259403,0.00019128275939661563,1.540022139264056e-06
0.00263302,0.073453818330583953,0.0030786644433957178,0.00020795789003871665,4.7476810084711745e-05,0.00042612615097925723,0.00029043120008051516,2.249451108857013e-06
0.00268366,0.077168015670563708,0.0031996090028193229,0.00021418987990128654,7.2550563403491126e-05,0.0003807635061201588,0.0003888886597830704,3.1550086977344436e-06
0.00273429,0.080949475773743687,0.0033239730635442472,0.00022358160380788933,8.7808332119644283e-05,0.00028337203111604772,0.00046519332743172347,4.2400788769030492e-06
0.00278492,0.08472705938511832,0.0034550533745817706,0.00023539185955808925,9.1683668115118144e-05,0.00017163662609622073,0.00049866821827436599,5.4462482431296259e-06
0.00283556,0.088443298722093625,0.0035947527895715172,0.0002490460708842266,8.6772612494365653e-05,7.8400769746435437e-05,0.00047622864622471521,6.6651521322432684e-06
