Physical Time (s),aphi_alt_flux_left Monitor (kg-m/s^3)
0.01301319,-0.0033776191876559243
0.01306383,-0.0033718606286223026
0.01311447,-0.0033665295502665706
0.0131651,-0.0033616356459784608
0.01321573,-0.0033570968423651624
0.01326637,-0.0033528275017442868
0.013317,-0.0033487760479724146
0.01336764,-0.0033447571563770683
0.01341828,-0.0033412084573835911
0.01346891,-0.0033371621902239935
0.01351954,-0.0033326873994237926
0.01357018,-0.0033285391255435085
0.01362081,-0.0033244105480527671
0.01367145,-0.003320082660811169
0.01372209,-0.003315503675629888
0.01377272,-0.0033105538480917235
0.01382335,-0.0033050864860687318
0.01387399,-0.0032988340377568459
0.01392462,-0.0032917733908578574
0.01397526,-0.0032840240396075481
0.0140259,-0.0032756174130349688
0.01407653,-0.0032666781894994147
0.01412716,-0.0032571356502739796
0.0141778,-0.0032467693982437141
0.01422843,-0.0032355338208707807
0.01427907,-0.0032234773764440393
0.0143297,-0.0032106846350833966
0.01438034,-0.0031972431351572554
0.01443098,-0.003183901180046664
0.01448161,-0.0031697861484982991
0.01453224,-0.0031549207993527492
0.01458288,-0.0031392681180863078
0.01463351,-0.0031227365810553155
0.01468415,-0.0031053745200222884
0.01473479,-0.0030872676054844611
0.01478542,-0.0030683887150020446
0.01483605,-0.0030489216456278737
0.01488669,-0.0030288833162353738
0.01493732,-0.0030085226261363546
0.01498796,-0.0029879543431678458
0.0150386,-0.0029673332044893082
0.01508923,-0.0029465265083577674
0.01513986,-0.0029252998949316155
0.0151905,-0.0029041810588108187
0.01524113,-0.0028828272436748877
0.01529177,-0.0028613111060549912
0.0153424,-0.0028389777204275981
0.01539304,-0.0028167381113002928
0.01544368,-0.00279462558757523
0.01549431,-0.0027726602901587292
0.01554494,-0.0027508442056610625
0.01559558,-0.0027292154360989613
0.01564621,-0.0027077461574210992
0.01569685,-0.0026864397586101466
0.01574748,-0.0026662401777582173
0.01579812,-0.0026457848396750994
0.01584875,-0.0026249590653951329
0.01589939,-0.0026036732417092992
0.01595002,-0.0025820845212235419
0.01600066,-0.0025602206236644319
0.0160513,-0.0025380901374258357
0.01610193,-0.0025157433874441618
0.01615257,-0.0024932050538335774
0.0162032,-0.0024705523317580785
0.01625384,-0.002447859936041975
0.01630447,-0.0024251645613794408
0.0163551,-0.0024025354111637969
0.01640574,-0.002380066239628264
0.01645637,-0.0023578972753484318
0.01650701,-0.0023360182678025059
0.01655764,-0.0023144619471754451
0.01660828,-0.002293544645230437
0.01665891,-0.0022730794803458268
0.01670955,-0.0022531661790161717
0.01676019,-0.0022338736675438994
0.01681082,-0.0022152946413891623
0.01686146,-0.0021975356306447912
0.01691209,-0.0021805839486624453
0.01696272,-0.0021645021789726843
0.01701336,-0.0021493422016813282
0.01706399,-0.0021352039391943933
0.01711463,-0.0021221230859370765
0.01716526,-0.0021101632115196694
0.0172159,-0.0020993750676596037
0.01726653,-0.00208984939501869
0.01731717,-0.0020816246463709847
0.01736781,-0.0020746894018187612
0.01741844,-0.0020690761954921012
0.01746908,-0.0020648208944739031
0.01751971,-0.0020618247776215981
0.01757035,-0.0020602223630388954
0.01762098,-0.0020600693672575953
0.01767161,-0.0020613973059735394
0.01772225,-0.0020642584006269112
0.01777288,-0.0020682323643013401
0.01782352,-0.0020734550464255397
0.01787415,-0.0020799774999144755
0.01792479,-0.0020877807623439818
0.01797542,-0.002096814393032052
0.01802606,-0.002107143887473868
0.0180767,-0.0021186747429498801
0.01812733,-0.0021313464415407724
0.01817797,-0.0021450959714105636
0.0182286,-0.0021597916383514098
0.01827924,-0.0021758730341344054
0.01832987,-0.0021941305168752916
0.0183805,-0.0022127316666127857
0.01843114,-0.0022317302249878377
0.01848177,-0.0022513673414056102
0.01853241,-0.0022716820510299478
0.01858304,-0.0022926229378483617
0.01863368,-0.0023141193677978251
0.01868431,-0.0023360901963618676
0.01873495,-0.0023577547312045137
