Physical Time (s),phi_alt_flux_left Monitor (kg-m/s^3)
0.00481032,-0.0060934894990548431
0.00486096,-0.006035622419695465
0.00491159,-0.0059776563486765967
0.00496223,-0.0059235398405589439
0.00501287,-0.0058729367659868881
0.0050635,-0.0058253958875371268
0.00511413,-0.0057776493532443515
0.00516477,-0.00573932408457323
0.00521541,-0.0057084084916495196
0.00526604,-0.0056830842734129482
0.00531667,-0.0056593006322315717
0.00536731,-0.0056408964148307334
0.00541794,-0.0056253286255089257
0.00546858,-0.0056110922033421407
0.00551922,-0.0055949781094722633
0.00556985,-0.0055737713696595165
0.00562048,-0.0055461567904429186
0.00567112,-0.0055118911526215444
0.00572176,-0.0054722940540780337
0.00577239,-0.005429723360212791
0.00582302,-0.0053885398244358767
0.00587366,-0.0053528197394143179
0.00592429,-0.0053213680929778727
0.00597493,-0.005292136239783001
0.00602557,-0.0052688104325640528
0.0060762,-0.0052505637888053524
0.00612683,-0.0052353951656319009
0.00617747,-0.0052244807235097453
0.00622811,-0.0052232252364537973
0.00627874,-0.0052143604455516983
0.00632937,-0.0052045254448092604
0.00638001,-0.0051950230125418391
0.00643064,-0.0051759936399832255
0.00648128,-0.0051689025772516852
0.00653192,-0.0051520627562134051
0.00658255,-0.0051352912099128182
0.00663318,-0.0051180493431733686
0.00668382,-0.0050998558936831756
0.00673445,-0.0050796417124418019
0.00678509,-0.0050473943437615142
0.00683572,-0.0050270364941666654
0.00688636,-0.0050070039805167402
0.00693699,-0.0049890351205824695
0.00698763,-0.004974071676304908
0.00703827,-0.0049597213723818114
0.0070889,-0.004944597214631326
0.00713953,-0.0049267838199744752
0.00719017,-0.004888973998557181
0.0072408,-0.0048608713220969629
0.00729144,-0.0048370778005805797
0.00734207,-0.0048162886530724739
0.00739271,-0.0047994469639613384
0.00744334,-0.0047906116424491626
0.00749398,-0.0047870382961384362
0.00754462,-0.0047884067173277435
0.00759525,-0.0047941263191052441
0.00764588,-0.00480325366807593
0.00769652,-0.0048146721243261638
0.00774715,-0.0048238933838459317
0.00779779,-0.0048249103725120221
0.00784842,-0.004822177710111719
0.00789906,-0.0048152833782203518
0.00794969,-0.0048058476330855244
0.00800033,-0.0048441466983115897
0.00805097,-0.0048153844673794431
0.0081016,-0.0048161995166618142
0.00815223,-0.0048100300857890554
0.00820287,-0.0047902990365389269
0.0082535,-0.0047594167251782116
0.00830414,-0.0047192671480515789
0.00835478,-0.0046724250115832266
0.00840541,-0.0046202491309114161
0.00845605,-0.0045654417235903464
0.00850668,-0.0045160851623134209
0.00855731,-0.0044715200319665532
0.00860795,-0.0044322965271398323
0.00865858,-0.0043976829648228648
0.00870922,-0.0043043805836296325
0.00875986,-0.0042433370448172131
0.00881049,-0.0042034103600460306
0.00886112,-0.004176099684860669
0.00891176,-0.0041578499022936139
0.00896239,-0.0041466261029907327
0.00901303,-0.0041406896913659353
0.00906367,-0.0041385211908940914
0.0091143,-0.0041388685874685274
0.00916493,-0.0041383554714753221
0.00921557,-0.0041361711547623064
0.0092662,-0.0041326657770720723
0.00931684,-0.004168697512868599
0.00936748,-0.0041803065981908666
0.00941811,-0.0041832068072913692
0.00946875,-0.0041719411151412969
0.00951938,-0.004156144493405586
0.00957001,-0.0041398489464447834
0.00962065,-0.0041245160779885557
0.00967128,-0.0041105787833916633
0.00972192,-0.0040978724557756974
0.00977256,-0.0040944241144293837
0.00982319,-0.004086081628272677
0.00987382,-0.0040781656850785997
0.00992446,-0.004072237729790029
0.00997509,-0.0040672235313010657
0.01002573,-0.0040632289092786249
0.01007637,-0.0040609389431605514
0.010127,-0.0040601598718800628
0.01017763,-0.004060550503469232
0.01022827,-0.0040614672527556827
0.0102789,-0.0040623629091662457
0.01032954,-0.0040628057803162448
0.01038018,-0.0040624521157060639
0.01043081,-0.0040609463320036825
0.01048144,-0.0040581001284108976
0.01053208,-0.0040538578599558246
0.01058271,-0.004048230455308565
0.01063335,-0.0040412866507622148
0.01068399,-0.0040331211436126268
0.01073462,-0.0040238491010066001
0.01078526,-0.0040133457554457665
0.01083589,-0.0040022992198580588
0.01088652,-0.0039900991004932261
0.01093716,-0.003977300246964811
0.01098779,-0.0039637496872676472
0.01103843,-0.0039494638544874403
0.01108907,-0.003934473863419042
0.0111397,-0.0039187949516220925
0.01119033,-0.0039023998545978412
0.01124097,-0.0038849394897346743
0.0112916,-0.0038664808599911385
0.01134224,-0.00384739263897361
0.01139288,-0.003827838421231404
0.01144351,-0.0038079690202635192
0.01149414,-0.0037879357039198656
0.01154478,-0.0037675941706104337
0.01159541,-0.003747202892625502
0.01164605,-0.003727007074559978
0.01169669,-0.0037070669408073979
0.01174732,-0.0036874441502981821
0.01179796,-0.0036681960504057858
0.01184859,-0.0036494069265842846
0.01189922,-0.0036313155503888326
0.01194986,-0.0036138583706240845
0.01200049,-0.0035970768589399281
0.01205113,-0.0035809867084583493
0.01210177,-0.0035688561329673399
0.0121524,-0.0035550217583833654
0.01220303,-0.0035408583491222207
0.01225367,-0.0035269006444449236
0.0123043,-0.0035132737238747578
0.01235494,-0.0035000516647250238
0.01240558,-0.0034872444621224723
0.01245621,-0.0034748710657904773
0.01250684,-0.0034629533524669943
0.01255748,-0.0034515119501897801
0.01260811,-0.0034406091364163611
0.01265875,-0.0034302817691836984
0.01270939,-0.0034206002269922165
0.01276002,-0.0034118749628896132
0.01281065,-0.0034039732192912633
0.01286129,-0.0033967541264125888
0.01291192,-0.0033901451795535602
0.01296256,-0.0033840264648268789
0.01301319,-0.003377619249277806
0.01306383,-0.003371860689933602
0.01311447,-0.0033665296112819795
0.0131651,-0.0033616357067097796
0.01321573,-0.0033570969028212483
0.01326637,-0.0033528275619313934
0.013317,-0.003348776107894494
0.01336764,-0.0033447572160355214
0.01341828,-0.003341208516780797
0.01346891,-0.0033371622493544948
0.01351954,-0.003332687458281549
0.01357018,-0.0033285391841267344
0.01362081,-0.0033244106063568743
0.01367145,-0.0033200827188299381
0.01372209,-0.00331550373335622
0.01377272,-0.0033105539055174101
0.01382335,-0.0033050865431840607
0.01387399,-0.0032988340945475916
0.01392462,-0.0032917734473113316
0.01397526,-0.0032840240957123243
0.0140259,-0.0032756174687798988
0.01407653,-0.0032666782448735627
0.01412716,-0.0032571357052661168
0.0141778,-0.0032467694528413122
0.01422843,-0.0032355338750612228
0.01427907,-0.0032234774302151627
0.0143297,-0.0032106846884227659
0.01438034,-0.0031972431880519566
0.01443098,-0.0031839012325220626
0.01448161,-0.0031697862005391009
0.01453224,-0.0031549208509491764
0.01458288,-0.0031392681692283125
0.01463351,-0.0031227366317327265
0.01468415,-0.0031053745702250019
0.01473479,-0.0030872676552030033
0.01478542,-0.003068388764227777
0.01483605,-0.003048921694353177
0.01488669,-0.0030288833644536747
0.01493732,-0.0030085226738422355
0.01498796,-0.0029879543903586106
0.0150386,-0.0029673332511704806
0.01508923,-0.0029465265545313263
0.01513986,-0.0029252999405975787
0.0151905,-0.0029041811039722475
0.01524113,-0.002882827288333608
0.01529177,-0.0028613111502134229
0.0153424,-0.0028389777640575277
0.01539304,-0.0028167381544099025
0.01544368,-0.0027946256301709261
0.01549431,-0.0027726603322448676
0.01554494,-0.002750844247240954
0.01559558,-0.0027292154771757764
0.01564621,-0.0027077461979978347
0.01569685,-0.0026864397986896627
0.01574748,-0.0026662402173477789
0.01579812,-0.0026457848787746164
0.01584875,-0.0026249591040029795
0.01589939,-0.0026036732798172288
0.01595002,-0.0025820845588255541
0.01600066,-0.0025602206607559445
0.0160513,-0.0025380901740025157
0.01610193,-0.0025157434235016664
0.01615257,-0.0024932050893675746
0.0162032,-0.0024705523667643953
0.01625384,-0.0024478599705167999
0.01630447,-0.0024251645953195437
0.0163551,-0.0024025354445666876
0.01640574,-0.0023800662724924289
0.01645637,-0.0023578973076736351
0.01650701,-0.0023360182995892063
0.01655764,-0.002314461978425021
0.01660828,-0.002293544675946408
0.01665891,-0.0022730795105317648
0.01670955,-0.0022531662086770344
0.01676019,-0.0022338736966859372
0.01681082,-0.0022152946700208947
0.01686146,-0.002197535658776732
0.01691209,-0.0021805839763056442
0.01696272,-0.0021645022061389904
0.01701336,-0.0021493422283839192
0.01706399,-0.0021352039654478515
0.01711463,-0.0021221231117572919
0.01716526,-0.0021101632369238234
0.0172159,-0.0020993750926660772
0.01726653,-0.0020898494196469634
0.01731717,-0.0020816246706415833
0.01736781,-0.0020746894257531595
0.01741844,-0.0020690762191127405
0.01746908,-0.0020648209178033639
0.01751971,-0.0020618248006818857
0.01757035,-0.0020602223858549578
0.01762098,-0.0020600693898569938
0.01767161,-0.0020613973283859343
0.01772225,-0.0020642584228820686
0.01777288,-0.0020682323864209835
0.01782352,-0.0020734550684355147
0.01787415,-0.0020799775218415893
0.01792479,-0.0020877807842152383
0.01797542,-0.0020968144148744107
0.01802606,-0.0021071439093145201
0.0180767,-0.0021186747648155322
0.01812733,-0.0021313464634576292
0.01817797,-0.0021450959934040956
0.0182286,-0.0021597916604446841
0.01827924,-0.0021758730563588725
0.01832987,-0.0021941305392877281
0.0183805,-0.0022127316892225661
0.01843114,-0.0022317302478069524
0.01848177,-0.0022513673644528154
0.01853241,-0.0022716820743256131
0.01858304,-0.0022926229614125752
0.01863368,-0.002314119391649595
0.01868431,-0.0023360902205188635
0.01873495,-0.0023577547556798513
0.01878559,-0.0023811177440376894
0.01883622,-0.0024041278611743127
0.01888686,-0.0024271629882722562
0.01893749,-0.0024502063487395354
0.01898812,-0.0024731975006716503
0.01903876,-0.0024960389341015955
0.01908939,-0.0025186447008936981
0.01914003,-0.0025408978525033382
0.01919066,-0.0025626950360545988
0.0192413,-0.0025839704075413675
0.01929193,-0.0026046726768263351
0.01934257,-0.0026247504561000014
0.01939321,-0.0026441556625247478
0.01944384,-0.0026627869617752765
0.01949448,-0.002680599380791673
0.01954511,-0.0026975405268265047
0.01959575,-0.0027135492662679942
0.01964638,-0.0027285662713850316
0.01969701,-0.0027425130366260835
0.01974765,-0.002755323106865448
0.01979828,-0.0027669451565049815
0.01984892,-0.0027773540979866489
0.01989955,-0.0027864907400568994
0.01995019,-0.0027942811230656866
0.02000082,-0.0028007120541056153
0.02005146,-0.0028057332277969128
0.0201021,-0.0028093522345174734
0.02015273,-0.0028115514058719348
0.02020337,-0.0028123461703411625
0.020254,-0.002811748749428738
0.02030463,-0.0028097839539317038
0.02035527,-0.0028064535371038167
0.0204059,-0.0028017909352420003
0.02045654,-0.0027958390980405328
0.02050717,-0.0027886166986739735
0.02055781,-0.002780161254860517
0.02060844,-0.002770500554399057
0.02065908,-0.0027597003423886555
0.02070972,-0.0027477476076499122
0.02076035,-0.00273469857291193
0.02081099,-0.0027205988121935302
0.02086162,-0.0027054684891258123
0.02091226,-0.0026901724195434891
0.02096289,-0.0026734516663342038
0.02101352,-0.0026556503602858184
0.02106416,-0.0026369529134171498
0.02111479,-0.0026174045074987334
0.02116543,-0.0025970653062849297
0.02121606,-0.0025760043474868108
0.0212667,-0.0025542824816490485
0.02131733,-0.0025319841361114599
0.02136797,-0.0025091584166828801
0.02141861,-0.0024857830817491336
0.02146924,-0.0024619755287283293
0.02151988,-0.0024378236851602232
0.02157051,-0.0024133228562001406
0.02162114,-0.0023885213528191257
0.02167178,-0.0023634450124413622
0.02172241,-0.0023380979065781844
0.02177305,-0.0023124779909411445
0.02182368,-0.0022866211911447467
0.02187432,-0.002260791739718793
0.02192495,-0.0022346504063121436
0.02197559,-0.0022083205225113746
0.02202622,-0.0021818761808112689
0.02207686,-0.0021553383296568597
0.0221275,-0.0021287344837545449
0.02217813,-0.0021020647268384946
0.02222877,-0.0020753301940808987
0.0222794,-0.0020485594187144144
0.02233003,-0.002021701375680978
0.02238067,-0.0019947476576665261
0.0224313,-0.0019677476565327107
0.02248194,-0.0019407671491446668
0.02253257,-0.0019137861307155974
0.02258321,-0.0018867819228665025
0.02263384,-0.0018597961820054801
0.02268448,-0.0018328737801642935
0.02273512,-0.0018058466588085915
0.02278575,-0.0017787722910804474
0.02283639,-0.0017526805720946637
0.02288702,-0.0017262448531045792
0.02293765,-0.0016997523950925751
0.02298829,-0.0016734230657893421
0.02303892,-0.0016473109796466621
0.02308956,-0.0016214704553013913
0.02314019,-0.0015959654583339109
0.02319083,-0.0015707740271062496
0.02324146,-0.0015459375380483123
0.0232921,-0.0015214555394146045
0.02334273,-0.0014974310714947047
0.02339337,-0.0014738873449048593
0.02344401,-0.0014507794062141126
0.02349464,-0.0014280112192647338
0.02354528,-0.0014056101936402924
0.02359591,-0.0013836329132166779
0.02364654,-0.0013620928873175732
0.02369718,-0.0013414814894479091
0.02374781,-0.0013209748689299479
0.02379845,-0.0013010405456506994
0.02384908,-0.0012811499605397936
0.02389972,-0.0012615797818778774
0.02395035,-0.0012424951011040433
0.02400099,-0.001223949915892592
0.02405163,-0.0012058825595905008
0.02410226,-0.0011883707299998175
0.0241529,-0.0011713817297808358
0.02420353,-0.001154905211629218
0.02425417,-0.0011389012744718492
0.0243048,-0.001123370617716487
0.02435543,-0.0011083361471750245
0.02440607,-0.0010938318145919629
0.0244567,-0.0010798662264565957
0.02450734,-0.001066412711720524
0.02455797,-0.001053477089388964
0.02460861,-0.0010410412890817235
0.02465924,-0.0010291251367483937
0.02470988,-0.0010176774268567214
0.02476052,-0.0010067145800947968
0.02481115,-0.00099623619826134089
0.02486179,-0.00098621454767828859
0.02491242,-0.000976484413338314
0.02496305,-0.00096756131649370649
0.02501369,-0.00095812293548909033
0.02506432,-0.00094952637638123023
0.02511496,-0.00094133571747443117
0.02516559,-0.00093378424902784631
0.02521623,-0.00092669908321384555
0.02526686,-0.00091991411715640532
0.0253175,-0.00091336993267537078
0.02536813,-0.00090701569000235121
0.02541877,-0.00090084797370916471
0.02546941,-0.00089483958022547447
0.02552004,-0.00088896538320917763
0.02557068,-0.0008832345836296201
0.02562131,-0.00087808711955321373
0.02567194,-0.00087292007768488696
0.02572258,-0.00086783332448956893
0.02577321,-0.00086288164305798427
0.02582385,-0.00085807150519534548
0.02587448,-0.00085340115232655604
0.02592512,-0.00084889851171770082
0.02597575,-0.00084454200789309253
0.02602639,-0.00084029604908025433
0.02607703,-0.00083615823974400854
0.02612766,-0.00083209147478108085
0.0261783,-0.00082819502442956145
0.02622893,-0.00082430993625963195
0.02627956,-0.00082056064302209717
0.0263302,-0.00081700172754888933
0.02638083,-0.00081357759983022358
0.02643147,-0.00081017158821847484
0.0264821,-0.00080678088733405649
0.02653274,-0.00080336446650613731
0.02658337,-0.00080014005540846684
0.02663401,-0.00079705089639926796
0.02668464,-0.00079400243599070906
0.02673528,-0.00079108200283480956
0.02678592,-0.00078830236366203696
0.02683655,-0.00078566088712531991
0.02688719,-0.00078310715579052827
0.02693782,-0.00078065803897460224
0.02698845,-0.00077830923922226638
0.02703909,-0.00077608454565820017
0.02708972,-0.00077398547270799453
0.02714036,-0.00077201695230205215
0.02719099,-0.00077024145377615236
0.02724163,-0.00076863919481818198
0.02729226,-0.00076730823892998763
0.0273429,-0.00076618373634528112
0.02739354,-0.00076529033448501798
0.02744417,-0.00076463112165746296
0.02749481,-0.00076413009675500875
0.02754544,-0.00076392982679543355
0.02759607,-0.00076419366970205676
0.02764671,-0.00076481878474407669
0.02769734,-0.0007657859001481129
0.02774798,-0.00076710026072036592
0.02779861,-0.0007687933075099816
0.02784925,-0.00077085096064232307
0.02789988,-0.00077328949031664062
0.02795052,-0.00077611933149623891
0.02800115,-0.00077942058848064579
0.02805179,-0.00078319497490843477
0.02810243,-0.00078748226544844279
0.02815306,-0.00079237721294906076
0.0282037,-0.00079784188981691696
