Physical Time (s),ev_left Monitor (kg-m/s^3)
0.00734207,-0.00095820469113185123
0.00739271,-0.0010185777380258363
0.00744334,-0.0010695629591459094
0.00749398,-0.0011082518207907151
0.00754462,-0.0011321483944851478
0.00759525,-0.0011394242533394913
0.00764588,-0.0011291283751863059
0.00769652,-0.0011013336748870914
0.00774715,-0.0010571941129111106
0.00779779,-0.0009988882189628887
0.00784842,-0.000929473146965683
0.00789906,-0.00085262867251206993
0.00794969,-0.00077231318581592271
0.00800033,-0.00069239728953008283
0.00805097,-0.00061632689391664464
0.0081016,-0.00054682618848043854
0.00815223,-0.00048575368193099194
0.00820287,-0.00043423785898106799
0.0082535,-0.00039273263174191303
0.00830414,-0.00036117693027052115
0.00835478,-0.00033919223624876294
0.00840541,-0.00032626846313833628
0.00845605,-0.00032189511574102169
0.00850668,-0.00032563383394864883
0.00855731,-0.00033711040986861339
0.00860795,-0.00035594381053710478
0.00865858,-0.00038163532470365
0.00870922,-0.00041348729511747991
0.00875986,-0.00045055278596447401
0.00881049,-0.00049159417566240751
0.00886112,-0.00053513985812997519
0.00891176,-0.00057959027773074655
0.00896239,-0.0006233551733675996
0.00901303,-0.0006649907533894543
0.00906367,-0.00070331050594870856
0.0091143,-0.00073745672363073134
0.00916493,-0.00076692456651832486
0.00921557,-0.00079155442126870338
0.0092662,-0.00081148654599854883
0.00931684,-0.00082709369672780782
0.00936748,-0.00083890543727189624
0.00941811,-0.00084753886870120906
0.00946875,-0.00085356588882053706
0.00951938,-0.0008575386006334936
0.00957001,-0.00085993707248294962
0.00962065,-0.00086114612550485707
0.00967128,-0.00086144826778120857
0.00972192,-0.00086103067129015827
0.00977256,-0.00086000544390855548
0.00982319,-0.00085841472538623746
0.00987382,-0.00085626000261893129
0.00992446,-0.00085352929158227515
0.00997509,-0.00085021378040888329
0.01002573,-0.00084631695727921201
0.01007637,-0.00084186124099408738
0.010127,-0.00083689213870303343
0.01017763,-0.00083147937817829498
0.01022827,-0.00082571690877301603
0.0102789,-0.00081971889631838831
0.01032954,-0.00081361410390102531
0.01038018,-0.00080753910076249223
0.01043081,-0.00080163092617322948
0.01048144,-0.00079601996278767925
0.01053208,-0.00079082351246067433
0.01058271,-0.00078614101506054794
0.01063335,-0.00078205139997081078
0.01068399,-0.00077861229392836909
0.01073462,-0.00077586075955117864
0.01078526,-0.00077381533835701012
0.01083589,-0.00077247900012288495
0.01088652,-0.00077184071218824326
0.01093716,-0.00077188173488402796
0.01098779,-0.00077257781190437943
0.01103843,-0.00077390089425392059
0.01108907,-0.00077582102547801477
0.0111397,-0.00077830759404211086
0.01119033,-0.00078132971918262793
0.01124097,-0.00078485576650082407
0.0112916,-0.00078885235737087469
0.01134224,-0.00079328311189358792
0.01139288,-0.0007981073740478831
0.01144351,-0.00080327911159807069
0.01149414,-0.00080874615343144718
0.01154478,-0.00081444991108598408
0.01159541,-0.00082032581577999532
0.01164605,-0.00082630456594216741
0.01169669,-0.00083231421607236921
0.01174732,-0.00083828309009482396
0.01179796,-0.00084414340512706655
0.01184859,-0.00084983533181428109
0.01189922,-0.00085531137256128931
0.01194986,-0.00086054052550848452
0.01200049,-0.00086551194074500968
0.01205113,-0.0008702376343837666
0.01210177,-0.00087475389553869445
0.0121524,-0.00087912115401074802
0.01220303,-0.00088342217733000173
0.01225367,-0.00088775858932490528
0.0123043,-0.00089224591379832266
0.01235494,-0.00089700745591281457
0.01240558,-0.00090216743304170107
0.01245621,-0.00090784382031867581
0.01250684,-0.00091414130065765875
0.01255748,-0.00092114470110836412
0.01260811,-0.0009289132150233758
0.01265875,-0.00093747567596908226
0.01270939,-0.00094682704767188827
0.01276002,-0.00095692639520792333
0.01281065,-0.00096769640601092821
0.01286129,-0.00097902463383668821
0.01291192,-0.0009907665342670539
0.01296256,-0.0010027501851277714
0.01301319,-0.0010147824099045097
0.01306383,-0.0010266559075489735
0.01311447,-0.0010381570076196398
0.0131651,-0.0010490736086389355
0.01321573,-0.0010592027448686984
0.01326637,-0.0010683574878107244
0.013317,-0.0010763729432869355
0.01336764,-0.0010831108906663714
0.01341828,-0.0010884629717472195
0.01346891,-0.0010923524829501573
0.01351954,-0.0010947346292526751
0.01357018,-0.0010955955126327461
0.01362081,-0.0010949502091026266
0.01367145,-0.0010928401291745188
0.01372209,-0.0010893300550614258
0.01377272,-0.0010845051250816533
0.01382335,-0.0010784684557041944
0.01387399,-0.0010713397477199371
0.01392462,-0.0010632513737848901
0.01397526,-0.0010543491523404159
0.0140259,-0.001044789517482163
0.01407653,-0.0010347388603613407
0.01412716,-0.0010243726251219804
0.0141778,-0.0010138740481617262
0.01422843,-0.0010034324604305169
0.01427907,-0.00099324137216653887
0.0143297,-0.00098349631743986535
0.01438034,-0.00097439242444998572
0.01443098,-0.00096612150903419318
0.01448161,-0.00095886845955854257
0.01453224,-0.00095280713971499995
0.01458288,-0.00094809597682185922
0.01463351,-0.00094487380624093647
0.01468415,-0.00094325641479047449
0.01473479,-0.0009433331826179921
0.01478542,-0.00094516557111746667
0.01483605,-0.00094878413933294865
0.01488669,-0.00095418897197927584
0.01493732,-0.00096134816977856989
0.01498796,-0.00097019721475871527
0.0150386,-0.00098063863835026396
0.01508923,-0.00099254211179605864
0.01513986,-0.0010057453687796164
0.0151905,-0.001020056430882849
0.01524113,-0.0010352574089338624
0.01529177,-0.0010511097082785575
0.0153424,-0.0010673604526845811
0.01539304,-0.0010837496985925425
0.01544368,-0.0011000180627678555
0.01549431,-0.001115914408988905
0.01554494,-0.0011312034148610493
0.01559558,-0.0011456727366526184
0.01564621,-0.0011591396053626528
0.01569685,-0.0011714565105877556
0.01574748,-0.0011825156347541358
0.01579812,-0.0011922516834208751
0.01584875,-0.0012006427468511962
0.01589939,-0.0012077090163058522
0.01595002,-0.0012135094803679509
0.01600066,-0.0012181367452760686
0.0160513,-0.0012217104666841093
0.01610193,-0.0012243699385253827
0.01615257,-0.0012262663903308845
0.0162032,-0.001227555417790468
0.01625384,-0.0012283900081024805
0.01630447,-0.0012289144223047207
0.0163551,-0.0012292591374081369
0.01640574,-0.0012295369502118656
0.01645637,-0.0012298403283687261
0.01650701,-0.001230239984851807
0.01655764,-0.0012307845782135473
