Physical Time (s),xth_top Monitor (kg-m/s^3): top_cv1,xth_top Monitor (kg-m/s^3): top_cv2,xth_top Monitor (kg-m/s^3): top_cv3,xth_top Monitor (kg-m/s^3): top_cv4,xth_top Monitor (kg-m/s^3): top_cv5,xth_top Monitor (kg-m/s^3): top_cv6,xth_top Monitor (kg-m/s^3): top_cv7
0.00126588,1.0252999955785057e-15,2.6059356284184071e-15,1.2573148810454957e-16,-3.1101232959306795e-16,-4.5903956950371078e-16,-4.2707773197477833e-16,-4.2709481042515957e-16
0.00131651,-7.5856121256105525e-15,-7.5131193913031329e-15,-5.8951013635221942e-15,-2.7762578997441127e-15,-4.1301184987613271e-15,-4.2114231367888308e-15,-4.211576036456199e-15
0.00136714,-6.3226411048145241e-15,-5.912475054846185e-15,-8.1966550091877765e-15,-1.0837891410796676e-14,-1.1501878151088915e-14,-1.1411097759631315e-14,-1.1411137819292258e-14
0.00141778,-2.0883577616371061e-14,-2.0749359118573505e-14,-2.004303443461104e-14,-1.8778518075030105e-14,-1.7917001909119006e-14,-1.7808590125827126e-14,-1.7807838528848832e-14
0.00146842,-2.1970562734025082e-14,-2.2282223307251002e-14,-1.9972183901778484e-14,-1.8361853480499899e-14,-1.7430925961384557e-14,-1.7429623339546742e-14,-1.7432209741816236e-14
0.00151905,-1.3113401675428108e-14,-1.3909963057661912e-14,-1.1772822262797422e-14,-8.7043971512852742e-15,-6.3938650558005526e-15,-6.3409701972282758e-15,-6.3432524500271378e-15
0.00156968,-4.3278075463076388e-15,-3.4587085414493836e-15,-3.0627136711798087e-15,-4.1052679452023027e-15,-8.323110237224077e-15,-8.7742108348730755e-15,-8.7765877736305766e-15
0.00162032,2.159594923173399e-16,-8.6125884165130097e-17,-7.238010319783645e-16,4.2285150650485461e-16,1.604990494123882e-15,1.950688595703389e-15,1.9459402798885203e-15
0.00167096,2.5060227336154382e-15,2.3818923953280231e-15,3.1401839035445593e-15,2.7132330257645596e-15,4.7166556327336369e-15,5.5419475046970968e-15,5.5492429099870072e-15
0.00172159,1.2105191693128043e-15,-7.4782308197448771e-16,-8.4056665066557415e-17,-3.8032363790919864e-16,-4.402568723755745e-18,-4.386136872905751e-16,-3.912093360735985e-16
0.00177222,-1.5461441893637487e-15,-5.8350089152616923e-15,-8.7739319590234807e-15,-8.7454450647367313e-15,-9.5500895504184408e-15,-8.82949308636565e-15,-8.8592787084872883e-15
0.00182286,5.4832369549204048e-15,3.9873417081099125e-15,1.1768449203955095e-15,1.1127424002141576e-15,1.9564924980697074e-15,1.4142296019117042e-15,1.3861585689602378e-15
0.00187349,5.3478645634340804e-15,3.1267346955634961e-15,-2.3795734920977637e-15,-2.2464285203415657e-15,-3.4161848116583428e-15,-3.8249943711183601e-15,-3.8522394670803222e-15
0.00192413,1.5461156495939144e-14,1.5698806965486732e-14,1.2244045094032972e-14,1.2068599197029064e-14,1.2026847085329328e-14,1.1958129362062009e-14,1.1848044865665708e-14
0.00197476,3.5977319449396575e-15,4.295837821499726e-15,-3.6059835087993699e-15,-3.2989873738431604e-15,-3.7630770706345575e-15,-4.6484755863899999e-15,-4.7455399030155046e-15
0.0020254,1.903252612207829e-15,4.6186688239774106e-16,-5.232151336151592e-15,-7.0925551509379157e-15,-7.1405002787933709e-15,-1.0115932032542884e-14,-1.0169402604660508e-14
