Physical Time (s),ev_top Monitor (kg-m/s^3): top_cv1,ev_top Monitor (kg-m/s^3): top_cv2,ev_top Monitor (kg-m/s^3): top_cv3,ev_top Monitor (kg-m/s^3): top_cv4,ev_top Monitor (kg-m/s^3): top_cv5,ev_top Monitor (kg-m/s^3): top_cv6,ev_top Monitor (kg-m/s^3): top_cv7
0.0010127,1.3567247714257729e-05,1.2686897044246774e-05,1.1298418116827962e-05,1.1272822363668976e-05,1.1272803661691537e-05,1.1272803658854295e-05,1.1272803658854295e-05
0.00106333,1.1219136846403023e-05,1.0085574477715155e-05,7.6687210566494423e-06,7.5944818252604858e-06,7.5943961743354381e-06,7.5943961574802584e-06,7.5943961574802584e-06
0.00111397,6.7521555664756466e-06,5.6629449497687365e-06,2.2608413674349432e-06,2.079835546973054e-06,2.0794934256455716e-06,2.0794933343877572e-06,2.0794933343877551e-06
0.0011646,2.7383694091244446e-06,2.0043101328494723e-06,-1.8465402919957713e-06,-2.2170443091406814e-06,-2.2182332409668395e-06,-2.2182336877507059e-06,-2.218233687750714e-06
0.00121524,7.3677346353410844e-07,4.330657691598842e-07,-3.0255494388659913e-06,-3.6614833687769933e-06,-3.6650723824167379e-06,-3.6650743489344865e-06,-3.6650743489345141e-06
0.00126588,1.8736287019364633e-07,1.3231000795216421e-07,-2.2936348889188782e-06,-3.2068748510995205e-06,-3.2162753311664276e-06,-3.2162830795613496e-06,-3.2162830795614331e-06
0.00131651,-2.8846442252893208e-07,-2.8824493678304454e-07,-1.5978882185719779e-06,-2.6925359053943474e-06,-2.7138822849102628e-06,-2.7139095340467698e-06,-2.7139095340469773e-06
0.00136714,-1.0782261352102113e-06,-1.0552710671104472e-06,-1.5895598479940592e-06,-2.6818925441031849e-06,-2.7238856165393781e-06,-2.7239709557929328e-06,-2.7239709557932708e-06
0.00141778,-1.5160823386348532e-06,-1.4386960312905761e-06,-1.5715175319856773e-06,-2.4787397896046209e-06,-2.5502875670726668e-06,-2.5505253195885736e-06,-2.5505253195881196e-06
0.00146842,-1.2654609300961731e-06,-1.1716888098978175e-06,-1.1113458259941367e-06,-1.7427086858541687e-06,-1.8483043577315241e-06,-1.8488933720548133e-06,-1.8488933720466333e-06
0.00151905,-6.6569020408190711e-07,-6.1668068319700946e-07,-4.7400249527064601e-07,-8.4906516972818397e-07,-9.8416521116641566e-07,-9.8546352149342575e-07,-9.8546352143920866e-07
0.00156968,-2.407748847532766e-07,-2.4001937076185361e-07,-1.0609852278989012e-07,-3.0059522973784064e-07,-4.5070486557504844e-07,-4.5325457852550395e-07,-4.5325457824199699e-07
0.00162032,-7.0705830830669703e-08,-1.1353774564962605e-07,-3.4815033780853679e-08,-1.2123678085281531e-07,-2.6678223798230906e-07,-2.7125318827212428e-07,-2.7125318697285134e-07
0.00167096,9.3225802776632148e-08,-5.7707059904834241e-08,-2.5657392777117387e-08,-5.3941416547195228e-08,-1.7834752531772214e-07,-1.8537283157500106e-07,-1.8537282621165546e-07
0.00172159,3.791918125536138e-07,4.3407578187652677e-08,2.2493765817865087e-08,1.8976953178050892e-08,-7.6464625169606919e-08,-8.6413867246733845e-08,-8.6413847166292257e-08
0.00177222,6.6745294650545204e-07,1.7104996355669929e-07,2.9989113271060844e-08,3.1446490974797147e-08,-3.6037846236179261e-08,-4.8844402318523987e-08,-4.8844334044288935e-08
0.00182286,7.9091326197293376e-07,2.6374468754268227e-07,-7.3858384939855333e-08,-7.345248676734384e-08,-1.1889186124609781e-07,-1.340635421426128e-07,-1.3406333141238838e-07
0.00187349,7.184055612464053e-07,2.9199102518599792e-07,-2.4341042596504368e-07,-2.4376413841420137e-07,-2.7388281885324347e-07,-2.9071244547723685e-07,-2.9071185527834915e-07
0.00192413,5.3224851227204323e-07,2.6236874847276969e-07,-3.829308389786908e-07,-3.8810578005416828e-07,-4.0842808622730781e-07,-4.2629521240021835e-07,-4.2629371196608274e-07
0.00197476,3.387523613438585e-07,2.0141060631884348e-07,-4.2687567247141628e-07,-4.4714898510235652e-07,-4.6166511640587902e-07,-4.802888431939508e-07,-4.8028537673746307e-07
0.0020254,1.9772342563420433e-07,1.3986539860245412e-07,-3.7530403823916268e-07,-4.1921472692024873e-07,-4.3070740249922319e-07,-4.5026561753762166e-07,-4.5025832063298852e-07
0.00207603,1.161127696777571e-07,9.4958688111526079e-08,-2.7221635202841948e-07,-3.3864462147817149e-07,-3.4910130047113267e-07,-3.7022283434004503e-07,-3.7020879696845407e-07
0.00212667,7.6101041728866932e-08,6.8614282774147442e-08,-1.6500131366853463e-07,-2.4338528627396186e-07,-2.5420000936577373e-07,-2.7789011805396718e-07,-2.7786536256414972e-07
0.00217731,5.8876345031839517e-08,5.5549950268958459e-08,-8.1058425051865181e-08,-1.5760211152363248e-07,-1.6938167186025722e-07,-1.9688824230771583e-07,-1.9684827653889751e-07
