Physical Time (s),etp_right Monitor (kg-m/s^3): right_cv1,etp_right Monitor (kg-m/s^3): right_cv2,etp_right Monitor (kg-m/s^3): right_cv3,etp_right Monitor (kg-m/s^3): right_cv4,etp_right Monitor (kg-m/s^3): right_cv5,etp_right Monitor (kg-m/s^3): right_cv6,etp_right Monitor (kg-m/s^3): right_cv7
0.00096207,0.18196638166498888,0.26853097900223433,0.17575136807816999,0.00049886857429912613,1.5303721142001273e-06,1.7360573331391444e-10,-2.1873957602915914e-13
0.0010127,0.20607452735036336,0.35292563857458437,0.2618814853936739,0.0014101060799806952,5.1717429123653683e-06,5.8749111494121601e-10,-3.1908594038414714e-13
0.00106333,0.23121694697213213,0.35505292439378888,0.32720187331229328,0.0036140722806547124,1.6431668477198782e-05,1.9117475900938742e-09,-4.5977878840865567e-13
0.00111397,0.2448205639081999,0.29696402748768347,0.33461353101270724,0.0083845111661055797,4.8806378119942549e-05,6.0497619806911228e-09,-6.4823205869304939e-13
0.0011646,0.2378490791777492,0.21649310513039102,0.26682300632114497,0.017595076620522079,0.00013500991145875101,1.8658417204136924e-08,-8.7680143119719421e-13
0.00121524,0.2084835764753486,0.143897619816033,0.14792537213231052,0.033371086022785205,0.00034693069196532799,5.6010223531635165e-08,-1.0873713454484696e-12
0.00126588,0.16246294468828196,0.094792087669561709,0.040031725077073428,0.057111736535727146,0.00082653040717808001,1.6305718073284221e-07,-1.0805231341206668e-12
0.00131651,0.11022390859717936,0.071763341821056564,0.0061864468308279637,0.087935813901415028,0.0018238637389091528,4.5820193514935885e-07,-2.7551390642671488e-13
0.00136714,0.062348862531768516,0.068826575979416951,0.064882559297251244,0.12117011905963032,0.0037255399677067619,1.2402539163191272e-06,2.8531106727809128e-12
0.00141778,0.026047313255696238,0.076202694681942004,0.17659550401766702,0.14814502839654295,0.0070478365524271535,3.2201709347359966e-06,1.2171805633874e-11
0.00146842,0.0038366485660034991,0.084317447391975303,0.27445076013641945,0.15827584721689197,0.012360604881326689,7.9974422547467214e-06,3.7208321162455739e-11
0.00151905,-0.0054799562971953823,0.086541826439095595,0.3097754642096251,0.14370715423858921,0.020120874574684242,1.8955123639061118e-05,1.010376220762697e-10
0.00156968,-0.0049413515669316692,0.080367651559762068,0.27548871218388277,0.10508202507883525,0.030435773179318427,4.2786564901097789e-05,2.5841606510416951e-10
0.00162032,0.0022661311757384301,0.066993629628347179,0.19749805893098291,0.054683786735220903,0.04280437708241118,9.1787986567872448e-05,6.3835770537695475e-10
0.00167096,0.013659050500214225,0.049804674231606755,0.11193591624655833,0.014238472430607075,0.055943922143900246,0.00018698092907463228,1.5329863918928528e-09
0.00172159,0.027476749355558515,0.032578801058683438,0.04614459395025839,0.0056268422088410581,0.067786846056260536,0.00036120676556665443,3.6037839980336496e-09
0.00177222,0.042354284332287134,0.018100926075174193,0.011285473737696883,0.038351039141251847,0.075694731590040032,0.00066125855528034597,8.3005941927014966e-09
0.00182286,0.057015192188367557,0.0076593976154399179,0.0045172304876065876,0.10171567784978559,0.076990150761987092,0.0011470525871934375,1.8756273702962076e-08
0.00187349,0.070221658136829068,0.001273590059628921,0.01524842492064896,0.16844512607537715,0.069788841922519246,0.0018861771715373453,4.1564190824188358e-08
0.00192413,0.080960712902961404,-0.0017573559137765073,0.03140031774326156,0.2090556318904907,0.054258511356712592,0.0029424293521721689,9.0244973364056594e-08
0.00197476,0.088639772627109911,-0.0023319038638870233,0.043715122899182883,0.20758954872739904,0.03360128818668813,0.004361660791525817,1.9172867884605561e-07
0.0020254,0.093223964880995408,-0.0012500525756557177,0.047660330158715312,0.16819131059871595,0.014385528401229905,0.0061574153084174455,3.9809021464664986e-07
0.00207603,0.095213871510341566,0.00088544047088940411,0.043239794911565946,0.1095814924856181,0.0052787532337865827,0.0083049747427953041,8.0667180027197913e-07
