Physical Time (s),ea_right Monitor (kg-m/s^3): right_cv1,ea_right Monitor (kg-m/s^3): right_cv2,ea_right Monitor (kg-m/s^3): right_cv3,ea_right Monitor (kg-m/s^3): right_cv4,ea_right Monitor (kg-m/s^3): right_cv5,ea_right Monitor (kg-m/s^3): right_cv6,ea_right Monitor (kg-m/s^3): right_cv7
0.00055698,0.0059444894703964265,0.020099108720561646,6.1981307101291361e-07,1.2165383112817167e-10,4.5887649126181139e-13,3.070291876338854e-16,1.6518989257720841e-19
0.00060762,0.0074810667158783433,0.029607670569306216,3.3468711305827605e-06,6.1366835705482792e-10,1.8254086817987534e-12,9.3521056794580577e-16,3.8203725912550721e-19
0.00065825,0.012068951104586997,0.033790313198689165,1.5557159302460045e-05,3.0223499285482173e-09,7.3793554199404383e-12,2.83669105849448e-15,8.5779879252787187e-19
0.00070889,0.015696411236915873,0.0289359082051453,6.1811499162962044e-05,1.4279067438687014e-08,3.0158450710592387e-11,8.6169706685121546e-15,1.9090479118996078e-18
0.00075952,0.017643578968388921,0.017142216728784722,0.00020925299123161409,6.3696388779982423e-08,1.2354134778951632e-10,2.6388695836334135e-14,4.2521702857653255e-18
0.00081016,0.018715396787982036,0.005622279174743847,0.00060319023116886875,2.6467960819844576e-07,5.0133538194748378e-10,8.1764432647879137e-14,9.5093270852447006e-18
0.0008608,0.019959013377649069,0.00061315328283510035,0.0014817096809144491,1.0137055068325228e-06,1.9875865662012003e-09,2.5645453119207345e-13,2.1338237303915848e-17
0.00091143,0.0220286809616865,0.0024752510779714777,0.0031049666500204552,3.5530728661561204e-06,7.6029551683976616e-09,8.1359815641530348e-13,4.8038689926221058e-17
0.00096207,0.025021685078311158,0.0070588400501339571,0.0055498355718377797,1.1348718338496488e-05,2.7771341985221384e-08,2.6031243217652306e-12,1.0823677442186322e-16
0.0010127,0.028552604038158211,0.010280353141199364,0.0084304824837264439,3.2942760227263097e-05,9.6046744713188663e-08,8.3625465960312688e-12,2.449069265593899e-16
