Physical Time (s),enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv1,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv2,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv3,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv4,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv5,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv6,enth_flux_enthalpy_bot Monitor (kg-m/s^3): bot_cv7
5.063e-05,7.4800915403751338e-13,7.5046366929839935e-13,7.5284532407644214e-13,7.532304857775141e-13,7.5330313343997645e-13,7.533138831266989e-13,7.5331447684837033e-13
0.00010127,1.3687341719930462e-11,1.3718704786641042e-11,1.3746845602518561e-11,1.3750731405155949e-11,1.3751379337205523e-11,1.3751479681990182e-11,1.3751484852982641e-11
0.00015191,1.657641042438562e-10,1.6606579609093771e-10,1.6631260064488171e-10,1.6634080904915119e-10,1.6634484468622324e-10,1.663454547046892e-10,1.6634547886041866e-10
0.00020254,1.7006755196413339e-09,1.7033144872828837e-09,1.7052896728785211e-09,1.7054695321279869e-09,1.70549140871907e-09,1.7054944763061468e-09,1.7054945571646822e-09
0.00025318,1.4954622304247514e-08,1.4975908938573236e-08,1.4990611003157114e-08,1.4991639998036489e-08,1.4991746072891653e-08,1.4991759692746176e-08,1.499175992693136e-08
0.00030381,1.1162858125205357e-07,1.1178821132283174e-07,1.1189111302939575e-07,1.1189639701475744e-07,1.1189684961314324e-07,1.1189690275472637e-07,1.1189690320649839e-07
0.00035444,7.1527660217485936e-07,7.1643159876409899e-07,7.171411432779844e-07,7.1716766799840845e-07,7.171695021675355e-07,7.1716969824853479e-07,7.1716969853216187e-07
0.00040508,3.981482803618082e-06,3.9893616451513038e-06,3.9941064557370371e-06,3.9942384449181023e-06,3.994245531905451e-06,3.994246210366974e-06,3.9942462088594807e-06
0.00045571,1.9320055450456575e-05,1.9369561151566539e-05,1.9399632441459309e-05,1.9400286312498894e-05,1.9400312504695119e-05,1.9400314698943232e-05,1.9400314688364174e-05
0.00050635,8.172451605431242e-05,8.200569161630154e-05,8.2182101651365541e-05,8.2185327967039553e-05,8.2185422023261498e-05,8.2185428754596524e-05,8.2185428708256354e-05
0.00055698,0.00030121317129345662,0.00030263321283846719,0.00030357245165649649,0.00030358822159245888,0.00030358855682740854,0.00030358857698310315,0.00030358857680724919
0.00060762,0.00096597875515310578,0.00097226749768958623,0.00097673024709260211,0.00097680541884954128,0.00097680661823856493,0.00097680667832205563,0.00097680667771581011
0.00065825,0.002693440198636393,0.0027176320218430965,0.0027363385428917871,0.0027366799177326161,0.0027366842322425968,0.0027366844119412837,0.0027366844100051861
0.00070889,0.0065303337419879192,0.0066108519117436901,0.0066796652463770442,0.0066811109430443801,0.0066811264603153725,0.006681126999045094,0.0066811269932258409
0.00075952,0.013759365424150332,0.013990647078072328,0.014212222264366445,0.014217841036770932,0.014217896494808596,0.014217898116482329,0.014217898099721961
0.00081016,0.025153365315400876,0.025725368822767804,0.026349053312676722,0.026368851130102851,0.026369045269835571,0.02636905013540005,0.026369050088835048
0.0008608,0.039751015783976017,0.040965507608219223,0.042499376193367994,0.042562134831639752,0.042562790971280316,0.042562805416986121,0.042562805291546491
0.00091143,0.053971864330749991,0.05617568195046227,0.059471866082435362,0.0596501535862103,0.059652267550829488,0.0596523097269821,0.059652309398196351
0.00096207,0.06216808607491317,0.065558044466838439,0.071742150976330576,0.072195152228747117,0.072201576337524331,0.072201696815777552,0.072201695974839469
0.0010127,0.05921669844509482,0.063567466133547038,0.073671102417626352,0.074699200745430766,0.074717448670251457,0.074717783642751209,0.07471778154299312
0.00106333,0.044409792284284412,0.048923301657130422,0.063220909881057302,0.06530300649856989,0.065351080439354614,0.06535198122755545,0.065351976118984301
0.00111397,0.022903214096294942,0.026446368749524687,0.043806193229970744,0.047566403160185865,0.047683247216176963,0.0476855787553934,0.04768556664851023
0.0011646,0.0037745250011266668,0.0055344003670682752,0.023345725735490829,0.029393354423658497,0.029654374683107679,0.02966015313573421,0.029660125230305031
0.00121524,-0.0051088006850197711,-0.0050472024442931645,0.0099799614481095797,0.018625686351952851,0.019160244440608147,0.019173893802245424,0.019173831320565958
0.00126588,-0.0018640668700198322,-0.002435716165228744,0.0074476896230607405,0.018397296773214417,0.019398751365411471,0.019429327271837882,0.019429191607670673
0.00131651,0.0086921709897361098,0.0088272327329201889,0.013390097333307349,0.025616869343314065,0.027330359528856856,0.027395039401366648,0.027394754168462789
0.00136714,0.018751925743665528,0.020215382321240649,0.021527031217739783,0.033465093507471635,0.03613894132409351,0.036267665244867214,0.036267085418709745
0.00141778,0.022475737688245505,0.024755708357749959,0.02576942595405771,0.03583423233704746,0.039634085128118723,0.039874373320452412,0.039873235238816848
0.00146842,0.019303307405301617,0.021309738603690665,0.024001092141241603,0.031204751230898026,0.036113793966373854,0.036533389625222068,0.036531235246188412
0.00151905,0.012200332407069515,0.013310793199101565,0.017681453757877014,0.021977441855379812,0.02772967998241669,0.028413663508715346,0.028409734577319913
0.00156968,0.0051963294513654012,0.0058465304071271783,0.010449719208261226,0.012592510444420703,0.018686813804856914,0.019725956986128713,0.019719060787480668
0.00162032,0.00082747387595230289,0.0022459730870427828,0.0056182434403339969,0.0066488216900078608,0.01246124438045864,0.013930668650426361,0.013919026314025881
0.00167096,-0.00068892650872265349,0.0025994572519593318,0.0044780182629427416,0.0051818717529559157,0.010141389891324142,0.012073348196529485,0.012054484160429927
0.00172159,-0.0006019492689408022,0.0047428655841736476,0.0062104837170259917,0.0068756747855307108,0.010622841723387972,0.012982850281216521,0.012953530444639679
0.00177222,-0.00029354459251281612,0.0062824047138534556,0.0089282785798324299,0.0094707894526934351,0.011924747820493605,0.014602128971893035,0.014558468868632782
0.00182286,-0.00049223226477445616,0.0060081049970750746,0.010873923490945132,0.011146708110861549,0.012458141764843236,0.015279272721181951,0.015217048006853071
0.00187349,-0.0011564297417256755,0.004173590084039119,0.011194410041746896,0.011227783458836378,0.011659698452908819,0.014420091607637058,0.014335322934085182
0.00192413,-0.0019327029704279551,0.0017299286075985968,0.0099117374635765594,0.0099393671154750351,0.0097500961315475226,0.012253155431241627,0.01214290897622314
0.00197476,-0.0024609614571021884,-0.00035681544851965362,0.0076375547844172321,0.0079548493338317643,0.0073416050547472547,0.0094303547763312096,0.0092935758425128183
0.0020254,-0.0025882164553709497,-0.0015950845821420341,0.0051148220744525828,0.005910264608877263,0.0050151299313419421,0.0065863215488236888,0.0064244345995019304
0.00207603,-0.0023717092782908821,-0.0020092586215534093,0.002895245619659482,0.0041658691604996093,0.003111635215172381,0.0041131592363525173,0.0039300505400721997
0.00212667,-0.0019786791210783614,-0.0019070486830915113,0.0012296114007424252,0.002811345949003707,0.0017261234196042554,0.002148912135226349,0.0019501552088699837
0.00217731,-0.0015737205524773595,-0.0016150399148690774,0.00013157407990161047,0.001796299490912312,0.00081541041762102796,0.00069052864713035336,0.00048152208105504989
0.00222794,-0.001253975198369238,-0.0013286149770952581,-0.00050256357156723628,0.0010472369393749784,0.00028796314544746637,-0.00030880564977642049,-0.00052458898523059924
0.00227858,-0.0010417712812550346,-0.0010926530482432304,-0.00078553600725548634,0.00053701551954031231,7.040029481607344e-05,-0.00087042197661353496,-0.0010926052958047001
0.00232921,-0.00092391991083898793,-0.00087597130260987945,-0.00079947549217561939,0.00027138492583385896,0.00010650413932001548,-0.0010031408704142127,-0.0012333738897364662
0.00237984,-0.00088364532347716754,-0.00064682453612998909,-0.00059453598124413779,0.00025843172971353357,0.00034550493560751654,-0.00073483907831864317,-0.00097320946642818302
0.00243048,-0.00091777026802715986,-0.00041760938805605262,-0.00021799893250009077,0.00047649693811983201,0.0007269465898489439,-0.00014302443291385608,-0.00038208856160065464
0.00248111,-0.0010246915139123843,-0.00023462040761627163,0.0002696861336475133,0.00086980910493345627,0.0011853674051249305,0.0006450400830134423,0.00042554158013220609
0.00253175,-0.0011915553549617635,-0.00014626869675497594,0.00079256533048360908,0.0013596530776901986,0.0016599130323172867,0.0014775635716573147,0.001311664964399018
0.00258238,-0.0013686071500216275,-0.00015759132036976859,0.0012801538941268214,0.0018679275563291678,0.0021072247017036323,0.0022137603476173823,0.0021433875429469045
