Physical Time (s),xth_left Monitor (kg-m/s^3)
0.01964638,-1.5630461917253579e-11
0.01969701,-1.6467956955379253e-11
0.01974765,-2.1514244549778194e-11
0.01979828,-1.5204212727004706e-11
0.01984892,-1.6069213613615904e-11
0.01989955,-1.480954469568616e-11
0.01995019,-1.3817411755156349e-11
0.02000082,-2.0952062320506306e-11
0.02005146,-1.6967800441838024e-11
0.0201021,-8.5839376377975973e-12
0.02015273,-1.5053993171163198e-11
0.02020337,-1.7270947251257497e-11
0.020254,-1.4442101955494655e-11
0.02030463,-1.6941206466712659e-11
0.02035527,-1.5254136506759806e-11
0.0204059,-1.7695591428360322e-11
0.02045654,-1.5808043572194818e-11
0.02050717,-1.6811979098530588e-11
0.02055781,-2.0841225459480747e-11
0.02060844,-1.8862456752410092e-11
0.02065908,-1.8220517170595549e-11
0.02070972,-1.6808171045402195e-11
0.02076035,-1.5549519297243095e-11
0.02081099,-1.8904908797068608e-11
0.02086162,-1.8503025278125082e-11
0.02091226,-1.577870640703307e-11
0.02096289,-1.7966413378884891e-11
0.02101352,-1.6845670984987403e-11
0.02106416,-1.8308352759878714e-11
0.02111479,-1.9378487808028707e-11
0.02116543,-1.7069994339870825e-11
0.02121606,-1.3552334391267864e-11
0.0212667,-1.1081760542129398e-11
0.02131733,-1.0950314873426095e-11
0.02136797,-1.1926631207952299e-11
0.02141861,-1.5124707950075209e-11
0.02146924,-1.253807490043445e-11
0.02151988,-1.1902323289166948e-11
0.02157051,-1.339600667581621e-11
0.02162114,-8.7537270456316592e-12
0.02167178,-1.0505570044982112e-11
0.02172241,-1.3862324884878713e-11
0.02177305,-7.2949658715560057e-12
0.02182368,-1.0001562500337599e-11
0.02187432,-1.3907992577280022e-11
0.02192495,-9.910675349103619e-12
0.02197559,-7.9085722123023904e-12
0.02202622,-1.4164612203463159e-11
0.02207686,-1.3009356876818196e-11
0.0221275,-1.049509808072465e-11
0.02217813,-1.1213188049011305e-11
0.02222877,-1.4981155136497071e-11
0.0222794,-7.1571619906634881e-12
0.02233003,-1.0920641060575287e-11
0.02238067,-1.2723076114690884e-11
0.0224313,-8.0548040923512967e-12
0.02248194,-8.7129760946607936e-12
0.02253257,-1.2235500704519303e-11
0.02258321,-7.1671936465853079e-12
0.02263384,-1.1672735020365253e-11
0.02268448,-1.0744133936327719e-11
0.02273512,-7.8328602494109072e-12
0.02278575,-1.2052688722359006e-11
0.02283639,-1.2685618608687142e-11
0.02288702,-7.6091836193410552e-12
0.02293765,-7.5828778407400362e-12
0.02298829,-5.2075787942697156e-12
0.02303892,-1.0864769723376178e-11
0.02308956,-9.3375551524811663e-12
0.02314019,-9.942814016024142e-12
0.02319083,-6.6435573188675132e-12
0.02324146,-5.2848897872399195e-12
0.0232921,-7.9447160095955057e-12
0.02334273,-7.2759575828914846e-12
0.02339337,-7.6739413180938891e-12
0.02344401,-5.107357561610368e-12
0.02349464,-4.8323369900255697e-12
0.02354528,-8.8637399183819011e-12
0.02359591,-5.3311911680756407e-12
0.02364654,-7.2822061380752174e-12
0.02369718,-4.8780921983669677e-12
0.02374781,-7.1120774911951397e-12
0.02379845,-6.2840889146081703e-12
0.02384908,-4.2086331929151377e-12
0.02389972,-2.857801309432205e-12
0.02395035,-6.5091137716604651e-12
0.02400099,-4.1416854475236774e-12
0.02405163,-4.5973615061797001e-12
0.02410226,-6.0556068410515166e-12
0.0241529,-2.4867175918702189e-12
0.02420353,-1.8028778470967958e-12
0.02425417,-5.0869273270868083e-12
0.0243048,-3.3563833669936779e-12
0.02435543,-4.906311258219032e-12
0.02440607,-4.3331136305987909e-12
0.0244567,-6.0192459194940095e-12
0.02450734,-2.6945801117787854e-12
0.02455797,-1.6319043606403308e-12
0.02460861,-5.4262314448404723e-12
0.02465924,-4.8150320862286189e-12
0.02470988,-1.802557223775357e-12
0.02476052,-3.9631227932492633e-12
0.02481115,-6.0609047976198654e-12
