Physical Time (s),ep_right Monitor (kg-m/s^3): right_cv1,ep_right Monitor (kg-m/s^3): right_cv2,ep_right Monitor (kg-m/s^3): right_cv3,ep_right Monitor (kg-m/s^3): right_cv4,ep_right Monitor (kg-m/s^3): right_cv5,ep_right Monitor (kg-m/s^3): right_cv6,ep_right Monitor (kg-m/s^3): right_cv7
0.00091143,0.13660467576465146,0.12237168063067763,0.096829915052523724,0.00015656795193425232,4.2238394112779462e-07,6.6334608627883945e-11,5.5766850827876526e-15
0.00096207,0.14321404482038796,0.25661779547611707,0.16989661503358153,0.00048660224388765008,1.5033772944068171e-06,2.0538135222236533e-10,1.2279380255462401e-14
0.0010127,0.16073766070775464,0.33962529601893077,0.25289424557498091,0.0013745918061054273,5.0725092633953013e-06,6.397501729145766e-10,2.7227550683822524e-14
0.00106333,0.17916191124794789,0.34262837182252015,0.31551338569809206,0.0035209237413003688,1.6099118333929233e-05,1.9908402592863657e-09,6.0928156825228822e-14
0.00111397,0.18699924471816903,0.28708711624992223,0.32191906458191971,0.0081633999250701507,4.7779472666701478e-05,6.1459147763785219e-09,1.3777506808913565e-13
0.0011646,0.17605480634098572,0.20955597431590411,0.2556026444033685,0.01712035992047705,0.00013207816446460339,1.869109112011327e-08,3.146758468667021e-13
0.00121524,0.14488742942738658,0.13924554073565376,0.14020326282555948,0.032449863458841752,0.00033918579780410055,5.5655298597641685e-08,7.2608430650648176e-13
0.00126588,0.099089005744901509,0.091267941210967596,0.036047199315742823,0.055497480661913283,0.00080760506392663577,1.6124516487630418e-07,1.6879004224674805e-12
0.00131651,0.048530786318642619,0.068211895055483043,0.0040835079363803458,0.085386757901652038,0.0017810964794790238,4.5176206922591497e-07,3.9600883395035225e-12
0.00136714,0.0030435026320139716,0.06442708275144593,0.061881596987476299,0.11755605637515859,0.0036360921070136493,1.220466770143993e-06,9.3347294703790192e-12
0.00141778,-0.030869261624855013,0.07060896792423349,0.17083363770668988,0.14357192297723625,0.0068746011255916371,3.1645614803351228e-06,2.2064962919296416e-11
0.00146842,-0.051205193192117471,0.077632705891619039,0.26604941358500506,0.15316239880931737,0.0120496667361967,7.8515039406999622e-06,5.221321679655844e-11
0.00151905,-0.059454156497517938,0.079181079577441388,0.30045010591453841,0.13873497522407258,0.019603109816906744,1.8594379326337673e-05,1.2352962707318668e-10
0.00156968,-0.058770984735455931,0.072872501466880818,0.26728079684154926,0.100975098739604,0.029634984299638414,4.1943559710096008e-05,2.9144886517895326e-10
0.00162032,-0.052348571842234883,0.059864655232666694,0.19169303072614655,0.051883264686852601,0.041653038067217082,8.9923376124281432e-05,6.8520083668729187e-10
0.00167096,-0.042616686134842915,0.043388153780437436,0.10870010116621869,0.012609129774466973,0.054404390468121122,0.00018307518450963949,1.5953052634478415e-09
0.00172159,-0.031242771039776584,0.027029440005527004,0.044797958759936488,0.0044024703595827268,0.065873324856708312,0.00035345906281364272,3.6766190132923145e-09
0.00177222,-0.019465799410978382,0.013403693793347868,0.010821965494130909,0.036434677565954192,0.07348921922914696,0.00064670661858043583,8.3598837506262173e-09
0.00182286,-0.0084068306003374019,0.0036825018415596088,0.0040509563210765973,0.09823495218791814,0.074644193170853274,0.0011211755069067105,1.8730143533971964e-08
0.00187349,0.00086727537910239209,-0.0021752026862778056,0.014252572075610606,0.16324847005540705,0.067504489220627489,0.0018426018267614743,4.1270120768293807e-08
0.00192413,0.0075063929788559301,-0.0048861851698810254,0.029744416798055687,0.2028207443542463,0.052240784237883413,0.0028729169237582718,8.925823592370536e-08
0.00197476,0.011049947846581282,-0.0053375943249797733,0.04156778999626197,0.2014658750456029,0.031989733102809226,0.0042564923941232607,1.8911788627159677e-07
0.0020254,0.011548048646124291,-0.0043029547720713169,0.045334732434946456,0.163226632780446,0.013176063100255856,0.0060062620544130028,3.9190602306967274e-07
0.00207603,0.0095322980738790433,-0.0023520041614092297,0.041047247250125492,0.10629044798395973,0.0042704366617240704,0.0080981288600946166,7.9299755001916536e-07
0.00212667,0.0058567659683032014,0.00011989912518943241,0.031546458957034638,0.05205293032996184,0.012543077333812812,0.010470434907494858,1.5645355953937031e-06
0.00217731,0.0015046710261157985,0.0028121910060261261,0.020567459703929862,0.015393842771291513,0.039849128694530667,0.013035245118372937,3.0050371620700661e-06
0.00222794,-0.0026187961895339281,0.0054586331836263009,0.011096818662557802,0.00072482148304671673,0.079845222297611873,0.015685306961376301,5.6118207577764997e-06
0.00227858,-0.0058075007061914354,0.0078095113874016003,0.0045792245413969141,0.0036174925042141903,0.11921038459425193,0.018282986861051495,1.017843435510557e-05
0.00232921,-0.0075988738069202354,0.0096479034183944018,0.00099418532068366351,0.015354791972218491,0.14321057044897625,0.020634207822435933,1.7912193402085194e-05
0.00237984,-0.0078087508084809295,0.01083261972135717,-0.00051916464408950939,0.027443512325598052,0.14274747369851659,0.022442414758042879,3.0555614480590517e-05
0.00243048,-0.0065531740530646665,0.011330681300864495,-0.00095636865098009923,0.034424031879845961,0.11866180346256718,0.02329536007882628,5.0485361957144326e-05
0.00248111,-0.0042782903809973575,0.011223913962294023,-0.00099094960896647737,0.034620859002875259,0.080530230710247508,0.022717818685168537,8.0746229212798971e-05
0.00253175,-0.0017726826457523947,0.010686627606939645,-0.00087106950889233043,0.029315851013946653,0.041797166564952824,0.02032343029466413,0.0001249616819260975
0.00258238,-0.00012527116969709886,0.0099382853221989739,-0.00055839561267613199,0.021236005346147398,0.013662781504821107,0.01606483257573136,0.0001871028435192922
0.00263302,-0.00042135470591376682,0.0091953579649057919,5.7976651155665387e-05,0.013125028421707444,0.0011780491861723696,0.01047288493389086,0.00027107647318382392
