Physical Time (s),Etau_left Monitor (kg-m/s^3)
0.00324064,-6.8996343051456909e-07
0.00329127,-6.9342841607304797e-07
0.00334191,-6.9818931047439469e-07
0.00339254,-7.004644478260999e-07
0.00344318,-6.9848484347778792e-07
0.00349381,-6.9118343819781904e-07
0.00354445,-6.7876693489888754e-07
0.00359509,-6.6293195552072866e-07
0.00364572,-6.4567667250944648e-07
0.00369636,-6.2940964937780922e-07
0.00374699,-6.1667802267425057e-07
0.00379762,-6.0858475236537798e-07
0.00384826,-6.0667325127844652e-07
0.00389889,-6.070686871396247e-07
0.00394953,-6.1329965373191601e-07
0.00400016,-6.2257476969075223e-07
0.0040508,-6.3352797230912169e-07
0.00410143,-6.4423259292195129e-07
0.00415207,-6.525565058717285e-07
0.00420271,-6.5712866064846854e-07
0.00425334,-6.5721226161663908e-07
0.00430397,-6.5296767073169572e-07
0.00435461,-6.4543596217640277e-07
0.00440524,-6.3629771144791124e-07
0.00445588,-6.2718667653658357e-07
0.00450651,-6.2017821265002786e-07
0.00455715,-6.1729280477909354e-07
0.00460778,-6.1996525358894068e-07
0.00465842,-6.2865341714434523e-07
0.00470906,-6.4428770555695793e-07
0.00475969,-6.6705258062332654e-07
0.00481032,-6.9621154010558291e-07
0.00486096,-7.3033829434571758e-07
0.00491159,-7.673355368351676e-07
0.00496223,-8.0452985093971514e-07
0.00501287,-8.393531158109679e-07
0.0050635,-8.6962306807569249e-07
0.00511413,-8.9398570491018005e-07
0.00516477,-9.1216885443796635e-07
0.00521541,-9.2505715253333667e-07
0.00526604,-9.3451979318405075e-07
0.00531667,-9.430251196817355e-07
0.00536731,-9.5315253527193455e-07
0.00541794,-9.6715095585420128e-07
0.00546858,-9.863725695610631e-07
0.00551922,-1.0117212449028452e-06
0.00556985,-1.0432119185502295e-06
0.00562048,-1.0800395596979461e-06
0.00567112,-1.1207349094200627e-06
0.00572176,-1.1633881828513419e-06
0.00577239,-1.2058963899974811e-06
0.00582302,-1.2462094548349744e-06
0.00587366,-1.2823297797503392e-06
0.00592429,-1.3130089965618268e-06
0.00597493,-1.3376600961375313e-06
0.00602557,-1.3561049310803633e-06
0.0060762,-1.3685637213283605e-06
0.00612683,-1.3754903359564008e-06
0.00617747,-1.3773302261089052e-06
0.00622811,-1.3739597743414342e-06
0.00627874,-1.3666512192603332e-06
0.00632937,-1.3538181267904287e-06
0.00638001,-1.3354269902080523e-06
0.00643064,-1.3111441395464491e-06
0.00648128,-1.280742772352472e-06
0.00653192,-1.2442323016511259e-06
0.00658255,-1.2019123775644519e-06
0.00663318,-1.1544177544460003e-06
0.00668382,-1.1027240929476424e-06
0.00673445,-1.0481330626254775e-06
0.00678509,-9.922326240400208e-07
0.00683572,-9.3682595046769271e-07
0.00688636,-8.8387482669708024e-07
0.00693699,-8.3534881398304707e-07
0.00698763,-7.931951918088827e-07
0.00703827,-7.5918238532987404e-07
0.0070889,-7.3473683006066197e-07
0.00713953,-7.2086214250054242e-07
0.00719017,-7.1812617642104889e-07
0.0072408,-7.2645946565950194e-07
0.00729144,-7.4514280863914209e-07
0.00734207,-7.7297719713941879e-07
0.00739271,-8.0848305392986092e-07
0.00744334,-8.500568382305964e-07
0.00749398,-8.9613923420010148e-07
0.00754462,-9.4531681521333476e-07
0.00759525,-9.963464135033055e-07
0.00764588,-1.0482024574059648e-06
0.00769652,-1.1001012318724611e-06
0.00774715,-1.1514242519251498e-06
0.00779779,-1.2019345432225161e-06
0.00784842,-1.2509718240239594e-06
0.00789906,-1.297458786950151e-06
0.00794969,-1.3398921328646795e-06
0.00800033,-1.3764984659365429e-06
0.00805097,-1.4036092032971834e-06
0.0081016,-1.4189552177728972e-06
0.00815223,-1.4240658294480636e-06
0.00820287,-1.4176107272224955e-06
0.0082535,-1.4002446571794514e-06
0.00830414,-1.3736973810510486e-06
0.00835478,-1.3404491500055012e-06
0.00840541,-1.3032237426037147e-06
0.00845605,-1.2647086284206195e-06
0.00850668,-1.2273033278610058e-06
0.00855731,-1.1931003158874259e-06
0.00860795,-1.1636881533962294e-06
0.00865858,-1.1404223101422547e-06
0.00870922,-1.123328285692169e-06
0.00875986,-1.1127446147267668e-06
0.00881049,-1.1083569050807882e-06
0.00886112,-1.1100081880002486e-06
0.00891176,-1.1173059023932849e-06
0.00896239,-1.1295917432679112e-06
0.00901303,-1.1458895286109081e-06
0.00906367,-1.1649230239407081e-06
0.0091143,-1.1851924888969733e-06
0.00916493,-1.2051655471188076e-06
0.00921557,-1.2233552049604411e-06
0.0092662,-1.2384502611995283e-06
0.00931684,-1.2494769486820228e-06
0.00936748,-1.2561358797405221e-06
0.00941811,-1.2572728543051377e-06
0.00946875,-1.2547017783339422e-06
0.00951938,-1.2485279770247399e-06
0.00957001,-1.2396944857070209e-06
0.00962065,-1.229363483268278e-06
0.00967128,-1.2187786614675771e-06
0.00972192,-1.2090912551849688e-06
0.00977256,-1.2015221743728e-06
0.00982319,-1.1960083374986273e-06
0.00987382,-1.1937348863256853e-06
0.00992446,-1.1948757480601424e-06
0.00997509,-1.1993566357768997e-06
0.01002573,-1.2068092696969557e-06
0.01007637,-1.2167018295763982e-06
0.010127,-1.228427972100589e-06
0.01017763,-1.2413609848132728e-06
0.01022827,-1.2548706114312358e-06
0.0102789,-1.2683719763906639e-06
0.01032954,-1.2813548072279224e-06
0.01038018,-1.293422684306434e-06
0.01043081,-1.3043126170649798e-06
0.01048144,-1.3138983407444193e-06
0.01053208,-1.3221809600291951e-06
0.01058271,-1.3292746426226576e-06
0.01063335,-1.3353825517150532e-06
0.01068399,-1.3407606693834644e-06
0.01073462,-1.3456846586245476e-06
0.01078526,-1.3504246177800899e-06
0.01083589,-1.3552535517411449e-06
0.01088652,-1.3603414559012711e-06
0.01093716,-1.3658118309156609e-06
0.01098779,-1.3717821698610026e-06
0.01103843,-1.3782884595464671e-06
0.01108907,-1.385323253473068e-06
0.0111397,-1.3928400723518597e-06
0.01119033,-1.4007672628522386e-06
0.01124097,-1.4090189572906623e-06
0.0112916,-1.4174990451162909e-06
0.01134224,-1.42610962231501e-06
0.01139288,-1.4347514475295139e-06
0.01144351,-1.4433292785009856e-06
0.01149414,-1.4517509874288644e-06
0.01154478,-1.4599290377186759e-06
0.01159541,-1.4677800912837851e-06
0.01164605,-1.4752252670778656e-06
0.01169669,-1.4821905078072956e-06
0.01174732,-1.4886077042118375e-06
0.01179796,-1.4944160726245414e-06
0.01184859,-1.499563484037356e-06
0.01189922,-1.5040080659220041e-06
0.01194986,-1.5077202242655716e-06
0.01200049,-1.5106828887282332e-06
0.01205113,-1.5128924957533057e-06
0.01210177,-1.514359031991502e-06
0.0121524,-1.5151065934324694e-06
0.01220303,-1.515168647925238e-06
