Physical Time (s),ep_left Monitor (kg-m/s^3)
5.063e-05,3.1177612512288565e-12
0.00010127,4.6565253721075073e-11
0.00015191,5.0149326458560987e-10
0.00020254,4.6698213092527653e-09
0.00025318,3.8461306837248222e-08
0.00030381,2.7927348753362227e-07
0.00035444,1.7960485925187432e-06
0.00040508,1.0329036163008293e-05
0.00045571,5.3001194886161438e-05
0.00050635,0.00024164402261893204
0.00055698,0.00097229772626788189
0.00060762,0.0034315610625645148
0.00065825,0.010577889996729711
0.00070889,0.028439434383807409
0.00075952,0.066667030047350168
0.00081016,0.13618408915078509
0.0008608,0.24213648440332866
0.00091143,0.37355909591607228
0.00096207,0.49584316210220786
0.0010127,0.55714236848961429
0.00106333,0.51294532419214023
0.00111397,0.36878920914222235
0.0011646,0.17616447569174454
0.00121524,0.029309982547970695
0.00126588,0.0098848526305380605
0.00131651,0.12801241104545352
0.00136714,0.30712118015069134
0.00141778,0.43682103715076426
0.00146842,0.44995123506140244
0.00151905,0.36112975098213829
0.00156968,0.22140577414589724
0.00162032,0.094275478989960165
0.00167096,0.019244703842968558
0.00172159,0.00050207206109670669
0.00177222,0.018439769662522778
0.00182286,0.047654148992059137
0.00187349,0.068893194113407885
0.00192413,0.073621513273843531
0.00197476,0.063691527928205746
0.0020254,0.044866440600168554
0.00207603,0.024955499036715713
0.00212667,0.0098155448999808961
0.00217731,0.0015752737073667952
0.00222794,-0.0010806793944956638
0.00227858,-0.00095196420276000824
0.00232921,-0.00045357309461533941
0.00237984,-0.0004328918993324036
0.00243048,-0.0006647912968620835
0.00248111,-0.00029877804189102828
0.00253175,0.0013617378907067007
0.00258238,0.0043895276024229404
0.00263302,0.0081940313968613416
0.00268366,0.01188416042644092
0.00273429,0.014659271399524561
0.00278492,0.016055293553918583
0.00283556,0.016076807280316446
0.00288619,0.015042535490824582
0.00293683,0.013339820156357405
0.00298746,0.011402691275878412
0.0030381,0.0095830359801615736
0.00308874,0.0080840972953136019
