Physical Time (s),anabla_vol Monitor (kg-m/s^3): cv1,anabla_vol Monitor (kg-m/s^3): cv2,anabla_vol Monitor (kg-m/s^3): cv3,anabla_vol Monitor (kg-m/s^3): cv4,anabla_vol Monitor (kg-m/s^3): cv5,anabla_vol Monitor (kg-m/s^3): cv6,anabla_vol Monitor (kg-m/s^3): cv7
5.063e-05,0.011826138337536565,0.011826138339101427,0.01182613833910144,0.01182613833910144,0.01182613833910144,0.01182613833910144,0.01182613833910144
0.00010127,0.012375489399990423,0.012375489431102692,0.012375489431102789,0.012375489431102789,0.012375489431102789,0.012375489431102789,0.012375489431102789
0.00015191,0.013888641372762019,0.013888641690255624,0.013888641690256352,0.013888641690256352,0.013888641690256352,0.013888641690256352,0.013888641690256352
0.00020254,0.01513834154790741,0.015138342796289285,0.015138342796294136,0.015138342796294136,0.015138342796294136,0.015138342796294136,0.015138342796294136
0.00025318,0.016291366815477496,0.016291369015041725,0.016291369015068374,0.016291369015068374,0.016291369015068374,0.016291369015068374,0.016291369015068374
0.00030381,0.017333661713226051,0.017333664123825622,0.017333664123931718,0.017333664123931718,0.017333664123931718,0.017333664123931718,0.017333664123931718
0.00035444,0.01816630895054951,0.01816631098097829,0.018166310981308203,0.01816631098130821,0.01816631098130821,0.01816631098130821,0.01816631098130821
0.00040508,0.018714859728449669,0.018714862695934531,0.018714862697023962,0.018714862697023982,0.018714862697023982,0.018714862697023982,0.018714862697023982
0.00045571,0.018960464136442822,0.018960469129116808,0.018960469132965872,0.018960469132965965,0.018960469132965965,0.018960469132965965,0.018960469132965965
0.00050635,0.018929429728939056,0.018929436035655063,0.01892943604649,0.018929436046490371,0.018929436046490371,0.018929436046490371,0.018929436046490371
0.00055698,0.018679714682472915,0.018679720847429988,0.018679720869097825,0.018679720869099165,0.018679720869099165,0.018679720869099165,0.018679720869099165
0.00060762,0.018289988050042914,0.018289993657377001,0.01828999369054549,0.018289993690549788,0.018289993690549788,0.018289993690549788,0.018289993690549788
0.00065825,0.017844901409805235,0.017844906870009055,0.017844906916115962,0.017844906916128445,0.017844906916128452,0.017844906916128452,0.017844906916128452
0.00070889,0.017419637428845156,0.017419643255936399,0.017419643315974804,0.017419643316007184,0.017419643316007212,0.017419643316007212,0.017419643316007212
0.00075952,0.017072971680860586,0.017072978150361483,0.01707297822983074,0.017072978229907217,0.017072978229907297,0.017072978229907301,0.017072978229907301
0.00081016,0.016846735562211446,0.016846742830266097,0.016846742939009555,0.016846742939181807,0.016846742939182043,0.016846742939182043,0.016846742939182043
0.0008608,0.016766344385389761,0.016766352603569862,0.016766352739888031,0.016766352740280693,0.016766352740281321,0.016766352740281324,0.016766352740281324
0.00091143,0.016839767725304405,0.016839777040426163,0.01683977719932727,0.01683977720021218,0.016839777200213721,0.016839777200213735,0.016839777200213735
0.00096207,0.017056355643037435,0.01705636622445697,0.017056366403809888,0.017056366405619361,0.01705636640562281,0.017056366405622851,0.017056366405622851
0.0010127,0.017388863290334945,0.017388875359536031,0.017388875557884657,0.017388875561047883,0.017388875561054964,0.017388875561055079,0.017388875561055079
0.00106333,0.017800875794320374,0.017800889668751017,0.017800889892045823,0.017800889896861512,0.017800889896875012,0.017800889896875297,0.017800889896875297
0.00111397,0.018257225177251604,0.018257241324072346,0.018257241579267964,0.018257241586106795,0.018257241586131664,0.01825724158613232,0.01825724158613232
0.0011646,0.018732660754896133,0.018732679830438352,0.018732680117359523,0.018732680127044671,0.018732680127090059,0.018732680127091471,0.018732680127091471
0.00121524,0.019208248124176989,0.019208270991402463,0.019208271304745575,0.019208271317564141,0.01920827131764891,0.019208271317651758,0.019208271317651758
0.00126588,0.01965001709687654,0.01965004487034009,0.019650045202555047,0.019650045219383416,0.019650045219546539,0.019650045219551871,0.019650045219551875
0.00131651,0.019986459207071757,0.019986493275565551,0.019986493619714368,0.019986493641968132,0.019986493642266557,0.019986493642275806,0.019986493642275813
0.00136714,0.020116817958075378,0.0201168600170748,0.02011686036922794,0.020116860397691574,0.020116860398197833,0.020116860398212512,0.020116860398212526
0.00141778,0.019957234534013803,0.019957286650785951,0.019957287008788873,0.019957287043233379,0.019957287044038888,0.019957287044061328,0.019957287044061359
0.00146842,0.01950965950049191,0.019509724195380197,0.019509724557764792,0.019509724597545769,0.019509724598721884,0.019509724598756245,0.019509724598756304
0.00151905,0.018879771125848377,0.018879851475995003,0.018879851839901013,0.018879851884210864,0.018879851885912548,0.01887985188596528,0.018879851885965391
0.00156968,0.018216715248631912,0.018216815008786684,0.01821681537126291,0.018216815419866101,0.018216815422231795,0.018216815422313019,0.018216815422313213
0.00162032,0.017607847807736332,0.017607971539025852,0.017607971896103469,0.017607971948811266,0.017607971951871301,0.017607971951994855,0.017607971951995188
0.00167096,0.017064705304241715,0.017064858503962221,0.017064858853572132,0.01706485891088573,0.017064858914544952,0.017064858914731071,0.017064858914731612
