Physical Time (s),etp_left Monitor (kg-m/s^3)
5.063e-05,6.4353304884865491e-12
0.00010127,5.9582516074933097e-11
0.00015191,5.4315958788498184e-10
0.00020254,4.7693742958449425e-09
0.00025318,3.8461802209017927e-08
0.00030381,2.7696914212124216e-07
0.00035444,1.7743222108345074e-06
0.00040508,1.018136039611585e-05
0.00045571,5.2162388760824822e-05
0.00050635,0.00023752597084776236
0.00055698,0.00095466825675180481
0.00060762,0.0033658830371389682
0.00065825,0.010365326871968112
0.00070889,0.027841690523285018
0.00075952,0.06520541759273199
0.00081016,0.13307382588317954
0.0008608,0.23637453294776772
0.00091143,0.36427569932227954
0.00096207,0.48290129090418282
0.0010127,0.5416616603144716
0.00106333,0.49732188536720445
0.00111397,0.35562697219839401
0.0011646,0.16719600267982854
0.00121524,0.0241685275537705
0.00126588,0.0060561478475498892
0.00131651,0.12234376956386422
0.00136714,0.29799525748457728
0.00141778,0.42521938239865964
0.00146842,0.43847670331590416
0.00151905,0.35213934697028099
0.00156968,0.21594140218766764
0.00162032,0.091816092256556653
0.00167096,0.018366903966807149
0.00172159,-0.00019954389815506345
0.00177222,0.017078511017031318
0.00182286,0.045452359013327608
0.00187349,0.06613265124954272
0.00192413,0.070749957396870899
0.00197476,0.061123993659601222
0.0020254,0.04285170861649884
0.00207603,0.023544320955667039
0.00212667,0.0089038615943560113
0.00217731,0.00099583987035693896
0.00222794,-0.0014749433994928987
0.00227858,-0.001250322472864857
0.00232921,-0.00069562080611519097
0.00237984,-0.00063753953572606259
0.00243048,-0.00085831184039279751
0.00248111,-0.00052435498091117812
0.00253175,0.0010512545332706318
0.00258238,0.0039494420750767027
0.00263302,0.0076032789792655521
0.00268366,0.011150789853025225
0.00273429,0.013815702552031362
0.00278492,0.015148264786917422
0.00283556,0.015150844202756138
0.00288619,0.014135850035512458
0.00293683,0.012478374905879287
0.00298746,0.01059916447471798
0.0030381,0.0088383693874158932
0.00308874,0.0073914612515436282
0.00313937,0.0063201797473289622
0.00319001,0.0056032597618269966
0.00324064,0.0051830358157425385
0.00329127,0.004976176994155224
0.00334191,0.0048936285356189014
0.00339254,0.004870784999826387
0.00344318,0.004841072135106885
0.00349381,0.0047483915519790955
0.00354445,0.004561396037071337
