Physical Time (s),aphi_alt_flux_right Monitor (kg-m/s^3): right_cv1,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv2,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv3,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv4,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv5,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv6,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv7
0.00106333,0.08724986964696281,0.013361403909820621,0.001989005572304749,-0.00021362512522784757,-4.308827666138797e-05,-9.6261503701150741e-06,-9.0678966930703848e-06
0.00111397,0.093292803135053309,0.014083875853563325,0.0023919945146005017,-0.00021690675515671938,-6.0379659841161384e-05,-1.1846125173112665e-05,-1.0947460781888816e-05
0.0011646,0.099998522091878997,0.015092196029522716,0.002839009183220238,-0.00017067980345945259,-8.0999512207067967e-05,-1.4187150337981615e-05,-1.2757117833509138e-05
0.00121524,0.1073685261768822,0.016124042659892514,0.0034369405229013406,-5.4923399362026226e-05,-0.00010346190412364371,-1.6522429949043279e-05,-1.4279543279167128e-05
0.00126588,0.11533920315186556,0.017001150407593573,0.004049307641377042,0.0001355709178066288,-0.00012399165589899958,-1.8633060293682078e-05,-1.5180102482688214e-05
0.00131651,0.12376414278560405,0.017732795759369223,0.0044549038884527103,0.00038776197871621937,-0.00013785968741460646,-2.0338734549644279e-05,-1.514248091317086e-05
0.00136714,0.1325582232408751,0.018305943850685832,0.0043614557382265044,0.00066778193784374591,-0.00013621893692600674,-2.1381058495982303e-05,-1.3736420562930085e-05
0.00141778,0.14170503957192376,0.018859160075637274,0.003769120772305584,0.0009309129019447191,-0.00010823037594866766,-2.1541133413622241e-05,-1.0596376182085812e-05
0.00146842,0.15121411593626938,0.019396678695301553,0.0030466011348506592,0.0011544110999619976,-5.0110160370626873e-05,-1.9676265990152646e-05,-4.4697340161793477e-06
0.00151905,0.16110281963131107,0.019898650080269312,0.0026039055217537939,0.0013626054125457606,4.3037082162442961e-05,-1.6396209594257027e-05,4.0558522953779358e-06
