Physical Time (s),phi_vol Monitor (kg-m/s^3): cv1,phi_vol Monitor (kg-m/s^3): cv2,phi_vol Monitor (kg-m/s^3): cv3,phi_vol Monitor (kg-m/s^3): cv4,phi_vol Monitor (kg-m/s^3): cv5,phi_vol Monitor (kg-m/s^3): cv6,phi_vol Monitor (kg-m/s^3): cv7
5.063e-05,0.54289034894688548,0.54289039733174616,0.54289039733196875,0.54289039733196875,0.54289039733196875,0.54289039733196875,0.54289039733196875
0.00010127,0.60508672739855873,0.60508788327076823,0.60508788327859742,0.60508788327859742,0.60508788327859742,0.60508788327859742,0.60508788327859742
0.00015191,0.64265057102691037,0.6426600839422264,0.64266008413235742,0.64266008413235765,0.64266008413235765,0.64266008413235765,0.64266008413235765
0.00020254,0.66352948505923381,0.66356655319595803,0.6635665563022991,0.66356655630230077,0.66356655630230077,0.66356655630230077,0.66356655630230077
0.00025318,0.66797418696778132,0.66805853196973741,0.66805855201131292,0.66805855201132625,0.66805855201132636,0.66805855201132636,0.66805855201132636
0.00030381,0.65452063244981629,0.65464990926371691,0.65465000232969695,0.65465000232980797,0.65465000232980808,0.65465000232980808,0.65465000232980808
0.00035444,0.62613525473419318,0.62628259789410068,0.62628296427507701,0.62628296427602193,0.62628296427602259,0.62628296427602259,0.62628296427602259
0.00040508,0.58739592225654969,0.58753457950387056,0.58753578526126549,0.58753578526918004,0.58753578526918293,0.58753578526918293,0.58753578526918293
0.00045571,0.54361604169673328,0.54373608060835932,0.54373926923460747,0.54373926929680139,0.54373926929681615,0.54373926929681626,0.54373926929681626
0.00050635,0.4997622095374018,0.49986364037374437,0.49987031057733788,0.49987031101900448,0.49987031101908175,0.49987031101908208,0.49987031101908208
0.00055698,0.45971266428473834,0.45979701007192419,0.45980807166689092,0.45980807442172605,0.4598080744221324,0.45980807442213362,0.45980807442213362
0.00060762,0.42608769639621025,0.42615720057203721,0.42617192256521602,0.42617193665135,0.42617193665346409,0.42617193665346909,0.42617193665346909
0.00065825,0.40017909384855926,0.40023757610237154,0.40025382347270044,0.40025386959484105,0.40025386960550696,0.40025386960552733,0.40025386960552733
0.00070889,0.38221046562538208,0.38226187389800487,0.3822781049304082,0.38227822344582257,0.3822782234970255,0.38227822349711016,0.38227822349711016
0.00075952,0.37180451065582742,0.37185077161623015,0.3718678183278889,0.37186808649711189,0.37186808672719707,0.37186808672755006,0.37186808672755012
0.00081016,0.36829501618768667,0.36833657622384908,0.36835651146094411,0.36835706417419306,0.36835706512893712,0.3683570651303934,0.36835706513039357
0.0008608,0.37077268925233475,0.37081079652022464,0.3708342359934248,0.37083527380956549,0.370835277429716,0.37083527743556649,0.37083527743556705
0.00091143,0.37808446958150499,0.37812187984193124,0.37814717382933594,0.37814892981385767,0.37814894226876133,0.37814894229133389,0.37814894229133567
0.00096207,0.38891749563320022,0.38895706080416675,0.38898185176047184,0.38898449295451426,0.38898452948469897,0.38898452956742652,0.38898452956743224
0.0010127,0.40197792216544187,0.4020211256986983,0.4020439923297181,0.4020474917326497,0.40204757432497135,0.40204757461049395,0.40204757461051222
0.00106333,0.41620730792118665,0.41625394438239005,0.41627485074782405,0.41627892203048117,0.41627908131003499,0.41627908223153071,0.41627908223158949
0.00111397,0.43085638642959678,0.43090517357613212,0.43092487515150102,0.43092909696791376,0.43092937549794763,0.43092937826349442,0.43092937826368211
0.0011646,0.44538807800791924,0.44543742766970501,0.44545657412841594,0.44546073839023814,0.44546119034101661,0.44546119802896933,0.44546119802955908
0.00121524,0.45918994471868446,0.45923846553135095,0.45925700987897344,0.45926145522306744,0.45926213955967005,0.45926215930556819,0.45926215930737935
0.00126588,0.47125620952751307,0.47130296186946313,0.47132025585905574,0.47132571905711879,0.47132668368077313,0.47132672966843076,0.47132672967383177
0.00131651,0.48016875495545708,0.48021333828388202,0.48022867623073945,0.48023578676182499,0.48023705153880969,0.48023714121605282,0.48023714123159916
0.00136714,0.48464667416021256,0.48468916750681851,0.48470234937042261,0.48471114502532286,0.4847126823458236,0.48471283530626735,0.4847128353492669
0.00141778,0.4843475747266161,0.48438840330758376,0.48439985687154669,0.48440974491356886,0.4844114728168214,0.48441171209147404,0.48441171220534612
0.00146842,0.48008575044914337,0.48012553364736188,0.48013595020733557,0.48014611903386734,0.4801479293057403,0.48014828012332528,0.48014828041109026
0.00151905,0.47336660196243097,0.47340602912576102,0.47341589483349328,0.4734257580582632,0.47342758310165178,0.47342806923900993,0.47342806993117881
0.00156968,0.4657986922762033,0.46583846470385087,0.4658478136945598,0.46585716484272216,0.46585906057371551,0.46585970057402637,0.46585970215547723
0.00162032,0.45866899957737761,0.45870980003277317,0.45871834867166411,0.45872718783528377,0.45872937047978662,0.4587301732966127,0.45873017672261035
0.00167096,0.45255580110806315,0.45259827097366734,0.45260571560495283,0.45261403726347937,0.45261680426173651,0.45261776632180367,0.45261777335054559
0.00172159,0.44711646706211094,0.44716117640931557,0.4471673640457236,0.44717510214229966,0.44717870545633409,0.44717981251886851,0.44717982616402707
0.00177222,0.44155532492218375,0.44160274260325333,0.44160771549438033,0.44161482135120478,0.441619331675074,0.44162056667275362,0.44162059172329587
0.00182286,0.43523836807902905,0.43528884221216801,0.43529279559318407,0.43529932234453211,0.4353045651516983,0.43530591922853695,0.4353059627054629
0.00187349,0.42791329152433949,0.42796704516711709,0.42797025037514952,0.42797634984269228,0.42798196982620523,0.42798344994337878,0.42798352123448252
0.00192413,0.41966978849063818,0.41972694077104972,0.41972967173092163,0.41973549134191168,0.41974110593526343,0.41974274668087308,0.41974285583680515
0.00197476,0.41099388107719026,0.41105448254629856,0.41105696397207053,0.41106253210100435,0.41106787426648889,0.4110697521358142,0.41106990600210142
0.0020254,0.4027963724130269,0.40286043616480127,0.40286282447387128,0.40286800474702072,0.40287300979099977,0.40287522508106588,0.40287542836842677
0.00207603,0.39602536644202613,0.39609289842469581,0.39609527665168914,0.39609986972976546,0.39610460932897196,0.39610725928705881,0.39610751479595335
0.00212667,0.3911246517234403,0.39119567750808149,0.39119807127686368,0.39120194562795663,0.39120651233827641,0.39120965994008389,0.39120996810269759
0.00217731,0.38788706588165067,0.38796165414650113,0.38796406654997667,0.38796720161225806,0.38797166130418148,0.38797530465620589,0.38797566415619916
0.00222794,0.38577778983134553,0.38585606893401164,0.38585850096526308,0.38586097812973613,0.38586536554312167,0.38586942445655337,0.385869833974956
0.00227858,0.38433384509492152,0.38441601346076004,0.38441847396305318,0.38442043255175218,0.38442475985146957,0.38442909666098091,0.38442955728823247
0.00232921,0.38327206406033071,0.38335839580931519,0.38336090149457913,0.38336248852221089,0.38336673994450587,0.3833712115075627,0.3833717276543277
0.00237984,0.38243854600056848,0.38252938905781125,0.38253195867862461,0.38253329455458407,0.3825374147400798,0.38254193080326176,0.382542508895444
0.00243048,0.38174671289104367,0.38184247673789734,0.38184512377667451,0.38184628904717843,0.38185016325122478,0.38185473284927401,0.3818553801281086
0.00248111,0.38112184105521285,0.38122297230845892,0.3812256978325409,0.38122673681472119,0.38123022778524995,0.38123493221863092,0.38123565603455828
0.00253175,0.38044101947990966,0.38054796708968147,0.38055076012413325,0.38055168791400118,0.3805547051805922,0.38055962543690458,0.38056043431078818
0.00258238,0.37950812999599282,0.3796213023042187,0.37962415050925552,0.37962497217914659,0.37962749166901805,0.37963266027971154,0.37963356650342178
0.00263302,0.37814377505320618,0.37826350423618893,0.3782664015038843,0.3782671252278742,0.37826918673359844,0.3782745677009911,0.37827558797350624
0.00268366,0.3762701371440077,0.37639665858162619,0.37639960749802454,0.3764002499063876,0.37640193685845513,0.37640743555580319,0.37640859042431962
0.00273429,0.37391542470769445,0.37404887363413425,0.37405188425977109,0.37405246805838227,0.37405387719287714,0.37405936912911519,0.37406068252123997
0.00278492,0.37122199939383593,0.37136242819851006,0.37136551458926859,0.37136606390827559,0.3713672787131086,0.37137263935808829,0.37137413657785506
0.00283556,0.36830885217961495,0.36845626473581489,0.36845944072807274,0.3684599766933862,0.36846105310534999,0.3684661814697226,0.36846788448460371
0.00288619,0.36521524232004365,0.36536963378249021,0.36537290927861288,0.36537344626686125,0.36537440924583175,0.36537924798802157,0.36538116832841999
0.00293683,0.361946528726793,0.36210792035541162,0.36211129901069672,0.36211184308200772,0.36211268909149813,0.36211723540735319,0.36211936724375532
0.00298746,0.3584766660950468,0.35864513170782275,0.35864861039871548,0.35864915751103815,0.35864987913628577,0.35865416638008013,0.35865648414311035
0.0030381,0.35480347909234422,0.35497916181192618,0.35498273170638789,0.35498327358928639,0.35498387325469255,0.35498794852158244,0.35499041209469612
0.00308874,0.35099850503701213,0.35118161992932689,0.35118526860346794,0.35118579877498357,0.35118628969313287,0.35119019419339303,0.35119276021226692
0.00313937,0.34716720155185293,0.34735802694126539,0.34736174087872534,0.34736225685753475,0.34736266103666658,0.34736640995613072,0.34736905181174216
0.00319001,0.34344080852129932,0.34363967309643756,0.34364344003050584,0.34364394321580666,0.34364428645889972,0.34364784843874846,0.34365057992229753
0.00324064,0.33988991956358339,0.34009718742737327,0.34010099821890077,0.34010149248610799,0.34010179965577408,0.34010511485757611,0.34010797493334838
0.00329127,0.33656739253182588,0.33678344735102983,0.33678729728072826,0.33678778742553861,0.3367880789648508,0.33679108411988401,0.33679411635633
