Physical Time (s),ep_bot Monitor (kg-m/s^3): bot_cv1,ep_bot Monitor (kg-m/s^3): bot_cv2,ep_bot Monitor (kg-m/s^3): bot_cv3,ep_bot Monitor (kg-m/s^3): bot_cv4,ep_bot Monitor (kg-m/s^3): bot_cv5,ep_bot Monitor (kg-m/s^3): bot_cv6,ep_bot Monitor (kg-m/s^3): bot_cv7
5.063e-05,7.9952061417029693e-13,8.0033518679222052e-13,8.0108027760895765e-13,8.0114068082159834e-13,8.0114519306948009e-13,8.0114541621280892e-13,8.011454173928694e-13
0.00010127,1.4353455854840345e-11,1.4365284397788028e-11,1.4374980509037327e-11,1.4375579753360701e-11,1.4375614052180333e-11,1.4375615668375856e-11,1.4375615676490141e-11
0.00015191,1.7195088795188973e-10,1.7208107762933313e-10,1.7217595458450471e-10,1.7218042857329819e-10,1.7218062237982384e-10,1.7218063034150305e-10,1.7218063037107215e-10
0.00020254,1.748734770408513e-09,1.7500643428003482e-09,1.750943520878803e-09,1.7509749597621523e-09,1.7509760075736881e-09,1.7509760441588791e-09,1.7509760442439895e-09
0.00025318,1.5269189182911534e-08,1.5281734161228607e-08,1.5289439702656241e-08,1.5289648159178657e-08,1.5289653576629218e-08,1.528965374059285e-08,1.5289653740837656e-08
0.00030381,1.1331662590982068e-07,1.1342644599206882e-07,1.1349071383154384e-07,1.1349204677991852e-07,1.1349207382401885e-07,1.1349207454394252e-07,1.1349207454455584e-07
0.00035444,7.233679376178455e-07,7.2426038055811621e-07,7.2476978117344016e-07,7.2477815858617655e-07,7.2477828795879179e-07,7.2477829093756007e-07,7.2477829093877884e-07
0.00040508,4.016414458431476e-06,4.023019042034972e-06,4.0267938317806775e-06,4.0268457868709684e-06,4.0268463845144055e-06,4.026846396019499e-06,4.0268463960217021e-06
0.00045571,1.9454998542638556e-05,1.9498896136184734e-05,1.9524637948782154e-05,1.9524955623377117e-05,1.9524958332445777e-05,1.9524958374469694e-05,1.9524958374472008e-05
0.00050635,8.219183761017054e-05,8.245072439728311e-05,8.2609461078835317e-05,8.261134907612853e-05,8.2611361436737065e-05,8.261136158671814e-05,8.2611361586711662e-05
0.00055698,0.0003026795577788288,0.00030401910589289736,0.00030489209355054559,0.00030490280309760417,0.00030490286064650596,0.00030490286119613775,0.00030490286119607237
0.00060762,0.00097019410360483745,0.00097621660970565534,0.00098044985036069938,0.00098050677750078068,0.00098050704650752118,0.00098050704856708854,0.00098050704856675677
0.00065825,0.0027046071155728485,0.0027279892354413662,0.0027459589394612013,0.0027462376750124512,0.0027462389174550401,0.0027462389253001757,0.0027462389252988178
0.00070889,0.0065576025775635352,0.0066358575952732883,0.0067024817894304617,0.0067037239169475899,0.0067037295073005378,0.0067037295375588528,0.006703729537553862
0.00075952,0.013821063192815067,0.01404650752951876,0.014262040993802122,0.014267033775430257,0.014267057927600987,0.014267058044994481,0.014267058044977209
0.00081016,0.025282412980320169,0.02584056993919823,0.02644881776370684,0.026466806267071052,0.026466905033482948,0.026466905486679345,0.026466905486621766
0.0008608,0.040000126156990716,0.041184490337839726,0.042681922452206957,0.042739788133103473,0.042740165910422595,0.042740167630578474,0.042740167630391304
0.00091143,0.0544143907026075,0.056558236005949072,0.059775078416281033,0.05994102171967243,0.059942362204067408,0.059942368558788664,0.059942368558188783
0.00096207,0.062888766005186642,0.066169728003829323,0.072194473422969224,0.072618446603397155,0.072622831949139238,0.072622854560500799,0.072622854558603261
0.0010127,0.060284492203279208,0.064455333422758596,0.074264042261089153,0.075228574024648137,0.075241740520733763,0.075241817363686334,0.075241817357754023
0.00106333,0.045832178444180041,0.05007865962363052,0.063875072339748096,0.065827776802427546,0.065863918098571367,0.06586416545182984,0.065864165433556693
0.00111397,0.024572906083928561,0.027764203646492531,0.044344462543658397,0.047859814186639246,0.047950287263779826,0.047951036534545619,0.047951036479276898
