Physical Time (s),aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv1,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv2,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv3,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv4,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv5,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv6,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv7
0.00192413,1.2516603805612456e-06,6.6302441163071649e-07,-7.7809960877075008e-07,-8.3236187610715565e-07,-8.4798566814286901e-07,-9.8120213644816994e-07,-9.8029319934438598e-07
0.00197476,1.1383515622246882e-06,7.4013493687652326e-07,-7.2137424758270155e-07,-8.5130696965096333e-07,-8.2259939900388143e-07,-9.3564179354138224e-07,-9.348486704240576e-07
0.0020254,9.4191620267360882e-07,6.9356830054746599e-07,-6.4839501576057696e-07,-8.6740774606314714e-07,-8.0791933631432289e-07,-8.8783606970825409e-07,-8.8752940555527924e-07
0.00207603,7.1939718991904665e-07,5.7131338754398478e-07,-5.6670668439845977e-07,-8.7203077813457355e-07,-7.9839948466103074e-07,-8.387768106913994e-07,-8.3911281097349309e-07
0.00212667,5.075152607699036e-07,4.1794822723103076e-07,-4.9246269357803967e-07,-8.5399507572695303e-07,-7.8655814499906151e-07,-7.8474265273009318e-07,-7.8583523935784113e-07
0.00217731,3.3516202982802695e-07,2.734137462781636e-07,-4.25205463389005e-07,-8.0083781057974848e-07,-7.5658880985824686e-07,-7.1138790977532711e-07,-7.1369475670742569e-07
0.00222794,2.2684685477798197e-07,1.7143906406660262e-07,-3.5791618877324934e-07,-7.1006639351476865e-07,-6.9769522953308321e-07,-6.1067387820493754e-07,-6.1493980765199833e-07
0.00227858,1.9162762654287889e-07,1.2557845794168862e-07,-2.9189649188767908e-07,-5.9934253472009198e-07,-6.2130969927050211e-07,-5.0107444219264345e-07,-5.0725280675888382e-07
0.00232921,2.249322328578001e-07,1.3390095580888491e-07,-2.2650577239413962e-07,-4.813488215102839e-07,-5.3050566063120772e-07,-3.9169848101899724e-07,-3.9911449608924332e-07
0.00237984,3.1570257867824277e-07,1.8931599102583569e-07,-1.6522102626196734e-07,-3.7393188975702022e-07,-4.3933331338444788e-07,-3.0434694703025934e-07,-3.1108156514622691e-07
0.00243048,4.4502944763080313e-07,2.826345723705523e-07,-1.0414306256569082e-07,-2.7562272616980254e-07,-3.4347198695108115e-07,-2.2213745509834321e-07,-2.2709069228323244e-07
