Physical Time (s),enth_flux_viscous_right Monitor (kg-m/s^3): right_cv1,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv2,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv3,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv4,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv5,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv6,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv7
0.00081016,1.7306689020856666e-05,-7.7045578088675211e-06,1.9754206089768477e-07,-1.0186904834585685e-08,-4.9828318281978525e-10,-6.2901803797814715e-12,-6.8970135875488955e-14
0.0008608,2.0630354575866465e-05,-1.6064896405780414e-06,5.4119816433946085e-07,-1.7028265815263263e-08,-9.8691684626345143e-10,-1.1078908859990447e-11,-1.0313392856454288e-13
0.00091143,2.4754632623048972e-05,3.2767299151255749e-06,1.0821703635961769e-06,-2.2372864789269258e-08,-1.9134701558422038e-09,-1.9625785219526165e-11,-1.5441705335399731e-13
0.00096207,2.8980370583102935e-05,4.5237500929805817e-06,1.6541396082913299e-06,-2.3761108401491008e-08,-3.5989079448669995e-09,-3.492325893811546e-11,-2.3119884990001536e-13
0.0010127,3.2644975894025259e-05,2.6487253386217763e-06,1.8595683895978057e-06,-3.0664314448896085e-08,-6.4962599434332497e-09,-6.2302171754705826e-11,-3.4671775619999857e-13
0.00106333,3.5372968674961485e-05,4.9382446359212087e-07,1.208499062897714e-06,-3.6336060272090132e-08,-1.1094686976479375e-08,-1.1110425660361516e-10,-5.216219566709409e-13
0.00111397,3.6835712799826422e-05,-4.725324051300393e-07,-6.0435723322439e-07,-3.0058092696037155e-08,-1.7557514131645147e-08,-1.9738198922537805e-10,-7.8809751103573797e-13
0.0011646,3.7035079219229863e-05,-3.9106050709352673e-07,-3.3772999408415921e-06,5.1946361237376924e-10,-2.4846572205691939e-08,-3.4807940769827902e-10,-1.1963009913492258e-12
0.00121524,3.6332850382315106e-05,3.3268555478746357e-07,-4.330472940507255e-06,6.3722061719982256e-08,-2.9076283156761664e-08,-6.071677914476319e-10,-1.8246999674822587e-12
0.00126588,3.5239517608010299e-05,1.2250500881800639e-06,-3.1903570828010699e-06,1.5102628085046002e-07,-2.7473202986169698e-08,-1.0438460020659889e-09,-2.7948658776197135e-12
0.00131651,3.4288071362799074e-05,1.9501585434600402e-06,-3.8814705820878077e-07,2.211539631605291e-07,-3.3935038887140299e-08,-1.762015052082501e-09,-4.2983086298535058e-12
0.00136714,3.3792334872127787e-05,2.3071760099660417e-06,2.6241391221893587e-06,1.9048189093025261e-07,-4.3355923321004953e-08,-2.9105317502367714e-09,-6.631260916211676e-12
0.00141778,3.3822250289837083e-05,2.2260657645001218e-06,4.3335512754471587e-06,-5.8631363521750733e-08,-5.1238999125657413e-08,-4.6868886289771974e-09,-1.025165707579138e-11
0.00146842,3.4361685671075465e-05,1.8138910090961865e-06,4.1704192273735359e-06,-6.1665086195589818e-07,-5.629544757453674e-08,-7.3276079479356271e-09,-1.5865183512691175e-11
0.00151905,3.5357963228642024e-05,1.2074299858427261e-06,2.3625664384848036e-06,-1.3887975555006815e-06,-5.9420305325797293e-08,-1.1071960458746204e-08,-2.4555869721292689e-11
0.00156968,3.6763803931916731e-05,5.0165995129643251e-07,2.8640323343715047e-07,-2.1247955521743498e-06,-6.5660370836580361e-08,-1.6084004864814913e-08,-3.7971884420132014e-11
0.00162032,3.8548411548286699e-05,-1.053718329644017e-07,-7.3522083110559985e-07,-1.9550782019097559e-06,-8.7706766919611605e-08,-2.2321922307505592e-08,-5.8613768509054881e-11
0.00167096,4.0695416296454647e-05,-4.7150577516344506e-07,-9.1228904452184641e-07,-1.0884644034181488e-06,-1.5034322299177557e-07,-2.9376931690501437e-08,-9.0157218427609892e-11
0.00172159,4.3165056795189324e-05,-5.7040658474595209e-07,-5.6102631681908506e-07,3.0018555841124394e-07,-2.8938167916572069e-07,-3.6314462709022943e-08,-1.3801627668984219e-10
