Physical Time (s),ek_vol Monitor (N): cv1,ek_vol Monitor (N): cv2,ek_vol Monitor (N): cv3,ek_vol Monitor (N): cv4,ek_vol Monitor (N): cv5,ek_vol Monitor (N): cv6,ek_vol Monitor (N): cv7
5.063e-05,0.00091264907043902275,0.00091265890397961708,0.00091265890399690186,0.00091265890399690251,0.00091265890399690251,0.00091265890399690251,0.00091265890399690251
0.00010127,0.0021914070352548622,0.0021917059886563273,0.0021917059890944422,0.0021917059890944487,0.0021917059890944487,0.0021917059890944487,0.0021917059890944487
0.00015191,0.0033500417926742966,0.0033533793641735135,0.0033533793735849751,0.0033533793735850315,0.0033533793735850319,0.0033533793735850319,0.0033533793735850319
0.00020254,0.0043878898029091149,0.0044056660431790358,0.0044056662074833663,0.004405666207483787,0.0044056662074837888,0.0044056662074837896,0.0044056662074837896
0.00025318,0.0052317544037576835,0.0052880090031253782,0.0052880111484677229,0.0052880111484707977,0.0052880111484708099,0.0052880111484708099,0.0052880111484708099
0.00030381,0.005742703334319553,0.0058639005300908037,0.0058639207617381447,0.0058639207617608305,0.0058639207617608912,0.0058639207617608921,0.0058639207617608921
0.00035444,0.0058490395262816878,0.0060424433548724472,0.0060425807728845607,0.0060425807730547483,0.0060425807730550354,0.0060425807730550398,0.0060425807730550398
0.00040508,0.0055944418894883011,0.0058382916527408386,0.0058389776155059704,0.0058389776167807068,0.0058389776167820529,0.0058389776167820685,0.0058389776167820685
0.00045571,0.0051043915439681811,0.0053628933929906813,0.0053654831929873716,0.005365483202222617,0.0053654832022288872,0.0053654832022289453,0.0053654832022289453
0.00050635,0.0045199731263393349,0.0047638320495384107,0.0047714517957407705,0.0047714518584718547,0.0047714518585015193,0.0047714518585017344,0.0047714518585017344
0.00055698,0.003951047544241474,0.0041636893298280242,0.0041816282236046675,0.0041816286119589329,0.0041816286121016287,0.0041816286121024275,0.0041816286121024284
0.00060762,0.0034639585601518477,0.0036380229088024047,0.0036725567467341754,0.0036725588874164379,0.0036725588881062221,0.0036725588881092457,0.0036725588881092491
0.00065825,0.0030903251729677535,0.0032248428896576734,0.0032801936500881138,0.0032802039944623369,0.0032802039977591494,0.0032802039977707837,0.0032802039977707933
0.00070889,0.0028403624729500575,0.0029404586365748644,0.0030156305168381084,0.003015673981656248,0.003015673996959475,0.0030156739970049087,0.0030156739970049347
0.00075952,0.0027122417437149154,0.0027881096716728792,0.0028764905417149908,0.0028766487465937524,0.0028766488144452984,0.0028766488146243644,0.0028766488146244394
0.00081016,0.0026964151548466799,0.0027596125500226262,0.0028523242022163203,0.0028528227810367922,0.0028528230642172869,0.0028528230649224745,0.0028528230649226918
0.0008608,0.0027763497838285611,0.0028354513026047031,0.0029257453572186227,0.0029271081736127334,0.0029271092729418959,0.0029271092756808603,0.0029271092756815026
0.00091143,0.002928826608291591,0.0029877136484232772,0.0030727819893307316,0.0030760237067171442,0.0030760276439978067,0.0030760276543602694,0.0030760276543621962
0.00096207,0.0031259408291915056,0.0031852841539719914,0.0032648419285829732,0.0032715782818623263,0.0032715912261332965,0.0032715912639076005,0.0032715912639134587
0.0010127,0.0033391094563298891,0.003398869282119416,0.0034727851611386978,0.0034850587035077803,0.0034850976449308157,0.003485097776395741,0.0034850977764137253
0.00106333,0.0035435418532464603,0.0036044261543779861,0.0036716460286010822,0.0036913127998189537,0.0036914197985287119,0.0036914202319556179,0.0036914202320110813
0.00111397,0.0037211584185602976,0.0037846315115494644,0.003843828801445934,0.003871615990844424,0.0038718842493865452,0.0038718855947251895,0.003871885594895934
0.0011646,0.0038618129092231469,0.0039293161783079235,0.0039802340977295571,0.00401495708990057,0.0040155707583322993,0.0040155746725061775,0.0040155746730273726
0.00121524,0.003962433452050172,0.0040346047313041698,0.0040787739158595218,0.0041173420202696752,0.0041186236898707275,0.0041186343329010638,0.0041186343344685288
0.00126588,0.0040257228791968436,0.0041020442088699326,0.0041421928947694992,0.004180680561421719,0.0041831264198657009,0.0041831534131272583,0.0041831534177433219
0.00131651,0.0040590146798039602,0.0041379576584365694,0.0041764973399734222,0.0042118023564853713,0.0042160704398023748,0.0042161342326938744,0.0042161342459253251
0.00136714,0.0040733486161070439,0.0041528559347491535,0.0041905935191502829,0.00422164523715162,0.0042284589864202615,0.0042285994034071293,0.0042285994401676267
0.00141778,0.004081960234836657,0.0041600230792542079,0.0041960495447377032,0.0042238076704501359,0.0042337616645296275,0.0042340496345831102,0.004234049733169978
0.00146842,0.00409792276959349,0.0041730421529970986,0.0042057428612005607,0.0042321628982198729,0.0042454675286564417,0.004246018328279891,0.004246018582635608
0.00151905,0.004131363473607777,0.0042027848127808715,0.0042310935457227335,0.0042579166256251771,0.0042741790291608954,0.00427516306264163,0.0042751636922555005
0.00156968,0.0041883140332491667,0.0042560372306728487,0.004280079947830296,0.0043081773622178658,0.0043263506973812479,0.0043279958711637543,0.0043279973631540295
0.00162032,0.0042706927012712507,0.0043353314995265308,0.0043562479733662103,0.0043856153111831884,0.0044042123757940688,0.0044067917644029213,0.0044067951425328378
0.00167096,0.0043772908458581056,0.0044398762744825085,0.0044591566660003561,0.0044891990123162896,0.0045067581577863634,0.004510559313174043,0.0045105666122278454
0.00172159,0.0045050091203255637,0.0045667977258973371,0.0045856177231784444,0.0046153869030748666,0.0046310271836777816,0.0046363047576532899,0.0046363197915895785
0.00177222,0.0046499806004772137,0.0047122920067482312,0.004731154670961849,0.0047594718740241416,0.004773271463140904,0.0047801907380740543,0.0047802202345825868
0.00182286,0.0048083393401733912,0.0048724242553217518,0.0048911630065281621,0.0049167710846316492,0.0049297437845094837,0.0049383278423838451,0.0049383829481611336
0.00187349,0.0049766953090898212,0.0050436324495668171,0.005061662305432659,0.0050835188793215145,0.0050971661592503882,0.0051072616042600822,0.0051073596362385103
0.00192413,0.0051523728097249352,0.0052230006821307011,0.0052396500761835788,0.0052572750075324274,0.0052729321154985085,0.0052842118647701128,0.0052843779928178417
0.00197476,0.0053334518622939614,0.0054083399541452193,0.0054231263044356229,0.0054367938807286234,0.0054551040300530214,0.0054671207949485911,0.0054673891798904233
0.0020254,0.0055187212496503844,0.0055981816467438501,0.005610956382516491,0.0056215891960536227,0.0056423324116368851,0.005654627066159163,0.005655040901699054
0.00207603,0.0057074637086754537,0.0057915958642533842,0.0058025501613780056,0.0058113667132064107,0.0058336251363053822,0.0058458764706361861,0.0058464865505606428
0.00212667,0.0058994020125237839,0.0059881572811873529,0.0059977288929649805,0.0060058241025392417,0.0060283179170439391,0.0060404896103532718,0.0060413513647331694
0.00217731,0.0060946119813030161,0.0061878646287359595,0.0061966036442095956,0.0062046535869271953,0.0062260721562666273,0.0062384860472317798,0.0062396555608360783
0.00222794,0.0062933059228775529,0.0063909197341516857,0.0063993660413669273,0.006407546495078264,0.0064267952322156,0.0064400658679769265,0.0064415958508293103
0.00227858,0.006495614450755801,0.0065974986489760658,0.0066061018903932735,0.0066141954290554871,0.0066305613212001508,0.006645382447675735,0.0066473190771816938
0.00232921,0.006701288533473417,0.0068074401582349248,0.0068165278283857222,0.006824127117177896,0.0068373762944553473,0.0068542343747101603,0.006856615585311792
0.00237984,0.0069094604711376923,0.0070199907328483725,0.0070297721256212288,0.0070364809412139986,0.0070468715956240636,0.0070658197348502164,0.007068674349454694
0.00243048,0.0071185511204175655,0.0072336930111260803,0.0072442807501004762,0.0072498491937435499,0.0072580273093367361,0.0072786354564972058,0.0072819819314759613
