Physical Time (s),enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv1,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv2,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv3,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv4,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv5,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv6,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv7
0.00156968,-6.2859639055159047,-9.6369073803921914,17.992946570318878,-14.271979775226615,-11.516346767072797,-3.7984547114783691,-3.4695423035964508
0.00162032,-5.7589528213244314,-10.736484994687505,14.642943079591976,-10.297865903428637,-13.194715804403035,-4.3216789156099473,-3.8419041583080293
0.00167096,-5.2222231219531752,-10.897851412491704,10.12070834292717,-5.3175289407061275,-14.54169752115655,-4.8252812969319585,-4.1425838959315975
0.00172159,-4.7359988625471736,-10.269114545576873,5.1814562219237503,0.12960760295739754,-15.365936947163785,-5.2887037192199351,-4.3420358559621377
0.00177222,-4.3326137173573871,-9.0643703368409341,0.45734613211292485,5.3967705480236567,-15.493781923690719,-5.6935403288998963,-4.4149767952784629
0.00182286,-4.0206316954141883,-7.5228216095117002,-3.5868120702822592,9.8441611412167038,-14.797510638522407,-6.0277318228376187,-4.34627051790868
0.00187349,-3.7861722665113966,-5.8722514009541245,-6.6602465119438365,12.95785039260684,-13.209735029649599,-6.2860705847057163,-4.1329659348059664
0.00192413,-3.5992058021595907,-4.2998214350346391,-8.6280202649129993,14.45823801490711,-10.74707759718318,-6.468132948648595,-3.7841120641732768
0.00197476,-3.4278916993601687,-2.9430527086295029,-9.4942830321934437,14.334610242486342,-7.5144556743608835,-6.583279692133738,-3.3256984400644782
0.0020254,-3.2492773857880093,-1.8892024834200574,-9.3767862122597325,12.816476115324646,-3.6998614430807293,-6.6490280287892922,-2.799162472439487
0.00207603,-3.0562119533492802,-1.1787513710081612,-8.481430502657707,10.279368424177406,0.42953291531574622,-6.6897853689798703,-2.2579839961113288
0.00212667,-2.8604785965983845,-0.81437120089328441,-7.0680618311122414,7.1562207677949452,4.542578683816104,-6.7320741920515754,-1.7622670004819923
0.00217731,-2.6914750399798901,-0.77260486509234827,-5.4210840660686905,3.8513030396482404,8.2687523518604813,-6.8027855015233687,-1.3731773140274646
0.00222794,-2.5849342613340438,-1.0092470937742293,-3.8096729808344669,0.69468370687283842,11.238287631802205,-6.9209611141266709,-1.1420556650225637
0.00227858,-2.5768456383735301,-1.4681929099505169,-2.4581113110831083,-2.0801340879975863,13.136501938160471,-7.0930613653914527,-1.1047151030716647
0.00232921,-2.6918662994152447,-2.0849805731834627,-1.5193737190162591,-4.3342812821369421,13.766578614888857,-7.3073770534073219,-1.2734737733649464
0.00237984,-2.9349631589989311,-2.7893921687194148,-1.0621404684593727,-6.0031950605505626,13.086823357316728,-7.526805940345306,-1.6339440411923647
0.00243048,-3.2846507126471258,-3.5067500206317206,-1.068487358915303,-7.0801200034238096,11.235639744650582,-7.6870931981229464,-2.143234182326426
0.00248111,-3.6943195462014042,-4.1626544589647017,-1.449920954566575,-7.5974259135004747,8.4873400502892906,-7.7002567905896582,-2.7355389386232156
0.00253175,-4.1038106205446665,-4.6948572601391962,-2.0756062167523099,-7.6216891090723262,5.2095029561958111,-7.4689878515072037,-3.3376275443370744
0.00258238,-4.438552267522895,-5.0477534895960527,-2.7898873870555487,-7.2300036616208505,1.8044160065297217,-6.8910800618460302,-3.8688360011704326
0.00263302,-4.6270790935965813,-5.1817424298195096,-3.4421533383959355,-6.5099123655097308,-1.3512560607514938,-5.8764340698431621,-4.256570190270736
0.00268366,-4.6139489044324957,-5.0778932875210749,-3.9082100664557209,-5.5545006470697711,-3.9545999330958179,-4.3684055364776473,-4.4470815897989766
0.00273429,-4.3726041607134079,-4.7427770395908713,-4.1078732477683779,-4.4596669126099666,-5.8122578698065084,-2.3635322002247676,-4.415596486453305
0.00278492,-3.9039628707005591,-4.2005657461176371,-4.0050829681605933,-3.3112605960366857,-6.8367826986094959,0.079348149060353937,-4.1624263533641299
0.00283556,-3.2543862285116556,-3.5087198376208311,-3.625573705072286,-2.1997028635417633,-7.059956230422415,2.8193431297089151,-3.7304538108845593
0.00288619,-2.4876486310275525,-2.7305144524391043,-3.0278192681100746,-1.1975999907622972,-6.5916005424514204,5.6577165318901681,-3.1781681557005252
0.00293683,-1.6809617567946746,-1.9340138078062901,-2.2969667592507834,-0.36054749077492498,-5.602551375528563,8.3500452395533298,-2.5770990217451355
0.00298746,-0.91549502326468923,-1.1869765010063502,-1.5321471254320491,0.27204201989489457,-4.2936702885163243,10.633889155836744,-2.0042119422918896
0.0030381,-0.26869944133900481,-0.55259384037997061,-0.8340819797382627,0.67438418641230291,-2.8744190874706996,12.263261021742593,-1.5341901120153913
0.00308874,0.1973515504137858,-0.081349313711482601,-0.28907893947372226,0.83754474250088773,-1.5372762315977091,13.048225244911102,-1.2276269654077199
0.00313937,0.44278793193141341,0.19456720486669932,0.042387171684912184,0.77082390570875403,-0.43617911568087342,12.887109923781146,-1.1237329830531646
0.00319001,0.45783383592182247,0.26807703072182071,0.13606016586748815,0.50425369392689245,0.3302611116318182,11.788792812281693,-1.2315746065328175
0.00324064,0.27552725743955903,0.16985155735225727,0.017886851180346289,0.09873456040347188,0.73623902079104575,9.8779755615066343,-1.5168565865140464
0.00329127,-0.075905182554373285,-0.078903443119914235,-0.28436752383582342,-0.40377244739036644,0.78086566709953253,7.3438646463512383,-1.9499155620627435
0.00334191,-0.54182093863000147,-0.43419414917432109,-0.71169936777411613,-0.94828816881980282,0.51775345523067173,4.4425744128772422,-2.4744979919344625
0.00339254,-1.0587377069642521,-0.84503405247117147,-1.19368456761255,-1.4818613023667211,0.030864282943699084,1.4504461626147405,-3.0245895199424018
0.00344318,-1.5629828173854365,-1.2603174866751976,-1.6596772647494498,-1.9584871314935626,-0.58259091204102353,-1.3680760651795718,-3.5323583947971815
0.00349381,-1.9966703405810646,-1.6333485515790553,-2.0469715868773428,-2.3409745163080493,-1.2257996843945125,-3.791914419957394,-3.933605623349548
0.00354445,-2.3181480066127675,-1.9306762216776616,-2.312321505046004,-2.6072453943130229,-1.8175692466278273,-5.668746722356043,-4.1774966450923703
0.00359509,-2.5054523763455419,-2.1339508610958742,-2.4353385772619527,-2.750637985994774,-2.299420789118455,-6.9160558442278619,-4.2297965899385197
0.00364572,-2.5553043830855926,-2.237935026054652,-2.417064481836888,-2.7768339241241859,-2.6374540937682251,-7.5198103282761499,-4.0729356769760514
0.00369636,-2.4821515438246124,-2.2491840311930504,-2.2779836376598013,-2.7019063408854649,-2.822251326391565,-7.5302899531733551,-3.7058530228586077
0.00374699,-2.3123929776696208,-2.181111778411851,-2.0511532217878234,-2.5472089963130844,-2.8640321783359113,-7.045865908564088,-3.140839456214243
0.00379762,-2.0809388492197933,-2.0521000610787032,-1.7771368830558718,-2.3374125873898102,-2.7879775790365144,-6.1997738224914265,-2.4025947219384864
0.00384826,-1.8242377849832232,-1.8819049864960218,-1.4964891348895404,-2.0968523191662176,-2.6279981469354423,-5.143188657922698,-1.5246104350534688
0.00389889,-1.5756336922863099,-1.6897734595159271,-1.2443442456696387,-1.8477170446763651,-2.4204596607709417,-4.0236437477377462,-0.54680957772948857
0.00394953,-1.361925253226532,-1.4930768555265344,-1.0465811050079989,-1.6088205716926405,-2.1983849479376638,-2.96918287428492,0.48917182452020086
0.00400016,-1.2018565237377496,-1.3066960879737646,-0.91828546185227633,-1.3952500408309885,-1.9887192616914926,-2.0755389037782446,1.5415642923865693
0.0040508,-1.1049910028163861,-1.14139374511944,-0.86272008352857998,-1.2170040422458013,-1.8091686987713254,-1.4013440804704338,2.5713185851050655
0.00410143,-1.0724542560764203,-1.0047346512034752,-0.87332262264927918,-1.080218252600504,-1.6687953471574821,-0.97142704633812038,3.5384825096791772
0.00415207,-1.0964232613502556,-0.89975252350225698,-0.93422233129280996,-0.98597946900317068,-1.5674201915664692,-0.77857374638489363,4.4049119713396898
0.00420271,-1.1617614675604104,-0.82557283924707825,-1.0232983831163445,-0.93111288454843555,-1.4976301056472281,-0.78829817131542945,5.13386609776685
0.00425334,-1.2479289853227864,-0.777088838264135,-1.1148147502593848,-0.90784752353559539,-1.4463430077096331,-0.94901175660850501,5.6912648484790793
0.00430397,-1.3316679207735871,-0.74565297534963093,-1.1830065953060573,-0.90450444617581649,-1.3974526599331969,-1.2000678355478256,6.0477739147015566
0.00435461,-1.3899807178386951,-0.72041310850025986,-1.2056715790780224,-0.906989378259629,-1.3348548339320727,-1.4798851075777986,6.18002610061325
0.00440524,-1.4031114672590936,-0.69007501884868039,-1.1671070947811777,-0.90073443310264434,-1.2452617115251243,-1.7333053119456645,6.0725774541075861
0.00445588,-1.356495397464339,-0.64396297821721515,-1.0592284972715582,-0.87213537860965462,-1.1198119799381403,-1.9172511496965003,5.7185574594721693
0.00450651,-1.2410703823795148,-0.5720129407982808,-0.88114714026479235,-0.80906611976499576,-0.95395672906448703,-2.0022625709949988,5.1273057000291757
0.00455715,-1.0553714833539991,-0.46693847826779372,-0.64008475160522793,-0.70325694497941194,-0.74902624210770274,-1.9741785587994274,4.3137658670862891
0.00460778,-0.80575129136344625,-0.32485225713871846,-0.3501927708824536,-0.55116374530070011,-0.51174116932533587,-1.8336406311228628,3.304737212425898
0.00465842,-0.50540686143135338,-0.1452885888105748,-0.030410415287002987,-0.35403394260358689,-0.25280176270794624,-1.5933030536514188,2.1412430669151048
0.00470906,-0.17301248323742821,0.068862418783015134,0.29804941658647399,-0.11770859554145294,0.014870895341039332,-1.2743576759355941,0.87717855786962895
0.00475969,0.16972396899825878,0.31156426998334569,0.61412406365607897,0.14798154025232746,0.27781773762594936,-0.90228346435098461,-0.42432691151277957
0.00481032,0.50085664427625964,0.57434882362927975,0.8994066111695227,0.43039148671522542,0.52397957093157888,-0.50436222319798496,-1.6940310748908025
0.00486096,0.80081304202810866,0.84688913378616815,1.1399405514706935,0.71535878330600666,0.74404900865694024,-0.10636190707434055,-2.8588608535007412
0.00491159,1.0534595344040683,1.1175659971980103,1.3274469886281,0.98836985888683815,0.93216578585584564,0.26949683891451948,-3.8512084937715261
0.00496223,1.2485664843422906,1.3749933428895595,1.4606062318247175,1.2365314710792501,1.087002254877798,0.60697466354800311,-4.6122386783299758
0.00501287,1.3825699508967275,1.6091904506357735,1.544857815270992,1.4500538180577771,1.211594231138827,0.89712666743572633,-5.099611850537956
