Physical Time (s),ea_bot Monitor (kg-m/s^3): bot_cv1,ea_bot Monitor (kg-m/s^3): bot_cv2,ea_bot Monitor (kg-m/s^3): bot_cv3,ea_bot Monitor (kg-m/s^3): bot_cv4,ea_bot Monitor (kg-m/s^3): bot_cv5,ea_bot Monitor (kg-m/s^3): bot_cv6,ea_bot Monitor (kg-m/s^3): bot_cv7
0.0010127,4.2173751944748002e-06,3.8785824078118411e-06,3.7869537816006758e-06,3.768439849384017e-06,3.7683844229262494e-06,3.7683843890482997e-06,3.7683843890483196e-06
0.00106333,4.5439004025868221e-06,3.9016271649632619e-06,3.7343350469330757e-06,3.6819206688201056e-06,3.6816665855636031e-06,3.6816663852781586e-06,3.6816663852782725e-06
0.00111397,3.996197735292156e-06,3.0112507858623024e-06,2.7515888057068236e-06,2.6273238001264567e-06,2.6263136518273879e-06,2.6263125762438477e-06,2.6263125762444838e-06
0.0011646,2.745191333698367e-06,1.5577763736200172e-06,1.2079688193438045e-06,9.6158328960012504e-07,9.5810622870192807e-07,9.5810101676296182e-07,9.5810101676638764e-07
0.00121524,1.2774482412855289e-06,2.269000323339148e-07,-1.9094584310424475e-07,-5.9864271261464756e-07,-6.0899394503893754e-07,-6.090166208366379e-07,-6.0901662081892316e-07
0.00126588,1.229432886157437e-07,-4.0861392592148174e-07,-8.4782329354345947e-07,-1.4089998579943798e-06,-1.4356280757347824e-06,-1.4357163085640447e-06,-1.4357163084766339e-06
0.00131651,-4.3401405947947768e-07,-2.7809331483207337e-07,-6.4855503554313316e-07,-1.289027703624732e-06,-1.3481590828687018e-06,-1.3484652209042076e-06,-1.3484652204949086e-06
0.00136714,-4.8705862610521972e-07,1.7290818501513236e-07,1.2642332486778018e-08,-5.9299417096897721e-07,-7.061896419970064e-07,-7.0713479930050516e-07,-7.0713479749023947e-07
0.00141778,-3.4116509592992235e-07,4.2660911190974317e-07,6.1960459791620009e-07,1.4129915181181641e-07,-4.5137163370359675e-08,-4.7729866221957051e-08,-4.7729858686756505e-08
0.00146842,-2.2548415930243486e-07,3.2863112779168168e-07,9.1787213396084247e-07,5.939098926173852e-07,3.3042977659968732e-07,3.2411819251082008e-07,3.2411822194480366e-07
0.00151905,-1.5882524895312713e-07,1.0149435433998535e-07,9.5981534584844133e-07,7.6568367377565125e-07,4.4724198275372662e-07,4.3362010486151429e-07,4.3362021252561207e-07
0.00156968,-6.0810917925000177e-08,4.0501911949173073e-09,8.8286645829624441e-07,7.8981475158885548e-07,4.6193038680909437e-07,4.3588718922383496e-07,4.3588755737204509e-07
0.00162032,9.7208260543945444e-08,9.0491719570920589e-08,7.5919855309951453e-07,7.5700171445027751e-07,4.7018625487763553e-07,4.2611122592829373e-07,4.2611240189089604e-07
0.00167096,2.6741031040935561e-07,2.5035041728623185e-07,6.1879560863901464e-07,6.9631589928683074e-07,4.8276640532371234e-07,4.1677652987955161e-07,4.1678002655954376e-07
0.00172159,3.9842291325307949e-07,3.8245372415444671e-07,5.0830687074517777e-07,6.2947105229440143e-07,4.9208365234980937e-07,4.0469204906106734e-07,4.0470172287463502e-07
0.00177222,4.7959748446998725e-07,4.6510245671763587e-07,4.6677858837948232e-07,5.7756270277938826e-07,4.9731958267575958e-07,3.9487868409042393e-07,3.9490353253278534e-07
0.00182286,5.2107216025956297e-07,5.0827380823215006e-07,4.7646506464495086e-07,5.3549837146363038e-07,4.8708674734334105e-07,3.8051334439915561e-07,3.8057244255854707e-07
0.00187349,5.275673321350033e-07,5.1077245143191942e-07,4.7970481397359558e-07,4.7992784805952954e-07,4.4194509970262952e-07,3.4292683021632512e-07,3.4305644147827589e-07
