Physical Time (s),aphi_alt_vol Monitor (kg-m/s^3): cv1,aphi_alt_vol Monitor (kg-m/s^3): cv2,aphi_alt_vol Monitor (kg-m/s^3): cv3,aphi_alt_vol Monitor (kg-m/s^3): cv4,aphi_alt_vol Monitor (kg-m/s^3): cv5,aphi_alt_vol Monitor (kg-m/s^3): cv6,aphi_alt_vol Monitor (kg-m/s^3): cv7
5.063e-05,0.0011667860217112139,0.0011665116579489955,0.0011665101679715468,0.0011665101255294574,0.0011665101167973168,0.0011665101070430057,0.0011665100897071967
0.00010127,0.0014721404783387116,0.0014715807323393781,0.0014715759578543082,0.0014715758444301325,0.0014715758217338699,0.0014715757959412471,0.0014715757491857574
0.00015191,0.0016070328033951661,0.0016076449388722283,0.0016076307680882899,0.0016076305075068125,0.0016076304558261957,0.0016076303943034307,0.0016076302809538512
0.00020254,0.0016918819786539551,0.0016976323188389502,0.001697591180007077,0.0016975906019104045,0.0016975904945942006,0.0016975903644109393,0.0016975901232054694
0.00025318,0.0017504043387321479,0.0017650353477911469,0.0017649248655492806,0.0017649235949094399,0.0017649233798264685,0.0017649231204775416,0.0017649226392474904
0.00030381,0.0018075199127556324,0.0018310785815156085,0.0018308220979218314,0.0018308193137558594,0.0018308189106816329,0.0018308184434408866,0.0018308175781861066
0.00035444,0.0018763336660171546,0.0019067946746671577,0.0019063137777695016,0.0019063077307720502,0.0019063069870193998,0.0019063061568180661,0.0019063046196663878
0.00040508,0.0019532196966560254,0.0019913122370379161,0.001990642361128787,0.0019906294133515533,0.0019906280842464257,0.0019906266688559135,0.0019906240518145438
0.00045571,0.0020257965581782977,0.0020750776186806274,0.0020745449622770842,0.0020745177510032371,0.0020745154384933912,0.0020745131170454801,0.0020745088335644367
0.00050635,0.0020848084200794335,0.0021474817878955011,0.0021477843155580027,0.002147728574514111,0.0021477245879949168,0.0021477209305897577,0.0021477142204934154
0.00055698,0.002129300939980319,0.0022047039812674737,0.0022067201363517386,0.0022066102448167228,0.0022066033795243123,0.0022065977949773351,0.0022065876599877562
0.00060762,0.0021640569039275944,0.0022503172247120805,0.002254708759417281,0.0022545032390100584,0.0022544913886641147,0.0022544830272634687,0.0022544680765548305
0.00065825,0.0021950791863360524,0.0022905104542938958,0.0022976054506251161,0.0022972452658269423,0.0022972247626500829,0.0022972124159176127,0.002297190759071754
