Physical Time (s),phi_alt_flux_top Monitor (kg-m/s^3): top_cv1,phi_alt_flux_top Monitor (kg-m/s^3): top_cv2,phi_alt_flux_top Monitor (kg-m/s^3): top_cv3,phi_alt_flux_top Monitor (kg-m/s^3): top_cv4,phi_alt_flux_top Monitor (kg-m/s^3): top_cv5,phi_alt_flux_top Monitor (kg-m/s^3): top_cv6,phi_alt_flux_top Monitor (kg-m/s^3): top_cv7
0.00111397,-1.4500663810055663e-06,-1.712223874409635e-06,-2.7799097294171526e-06,-2.8808097600212595e-06,-2.87398760216719e-06,-2.8738417012093259e-06,-2.8738416646261529e-06
0.0011646,8.2167111538581032e-08,-1.3167126936933285e-07,-1.4774671300989566e-06,-1.7210219944510625e-06,-1.7101123545297266e-06,-1.7097712300391488e-06,-1.7097711942634374e-06
0.00121524,8.0420284690485461e-07,6.4139268100733291e-07,-8.3477083009043696e-07,-1.2758109336351575e-06,-1.2618095581828404e-06,-1.2610725654643005e-06,-1.2610725677906081e-06
0.00126588,1.7177519140534716e-07,6.3531742721254226e-08,-1.3253150654168579e-06,-1.9951145809406501e-06,-1.9833104459037297e-06,-1.9818556986254653e-06,-1.9818558314738374e-06
0.00131651,-1.2950463580167699e-06,-1.3495367401081547e-06,-2.4201686326226301e-06,-3.2904642367789763e-06,-3.2926355431576162e-06,-3.290036398653568e-06,-3.2900368531451289e-06
0.00136714,-2.6530349197912181e-06,-2.6791220533342563e-06,-3.3064335120154345e-06,-4.2765129709536785e-06,-4.3112784314931662e-06,-4.3071768048913787e-06,-4.3071778696065316e-06
0.00141778,-3.6097634750145994e-06,-3.6285345798276815e-06,-3.8693182618487579e-06,-4.8064271560640993e-06,-4.8948540914550684e-06,-4.8893163081923521e-06,-4.8893182790352254e-06
0.00146842,-3.5998005992103242e-06,-3.5873147004997993e-06,-3.6507139133975753e-06,-4.435198038140506e-06,-4.5949058661471539e-06,-4.5890877232264918e-06,-4.5890902000929151e-06
0.00151905,-2.6268986856139553e-06,-2.5705287440417035e-06,-2.6420883404879538e-06,-3.2082948821010528e-06,-3.4446824112682486e-06,-3.441432043445334e-06,-3.4414330039802841e-06
0.00156968,-1.339714744604005e-06,-1.3520430014076581e-06,-1.4559270931881419e-06,-1.809398758487947e-06,-2.1080791445562295e-06,-2.1122230574648593e-06,-2.1122171634022678e-06
0.00162032,-2.5879180806813247e-07,-4.971055027425846e-07,-5.9319997796734256e-07,-7.9485365390166087e-07,-1.1260246400731056e-06,-1.1439340169907938e-06,-1.1439099131077918e-06
0.00167096,4.3961498127347107e-07,-1.0524948603273148e-07,-2.1542728616033759e-07,-3.3537270804587101e-07,-6.6052418025891067e-07,-6.986849069075154e-07,-6.9862198554403835e-07
0.00172159,8.3034700467448742e-07,1.8634944319837354e-08,-2.2472179222638491e-07,-3.0480896496775853e-07,-5.8752114610261183e-07,-6.5026931821527504e-07,-6.5013426654716415e-07
0.00177222,1.047890125527721e-06,1.1262822357790293e-07,-4.2116198943085894e-07,-4.6726769390390504e-07,-6.8468535910600037e-07,-7.7345788066494594e-07,-7.7317934158654372e-07
0.00182286,1.0861237198046923e-06,1.7229520350229508e-07,-7.4115021703930141e-07,-7.5913732769129477e-07,-9.0210530993565324e-07,-1.0105347919465271e-06,-1.0100963739349558e-06
0.00187349,1.1378742690190204e-06,3.5164417903154987e-07,-9.2163620451073443e-07,-9.4099436476615725e-07,-1.0159418665037183e-06,-1.1341651080738267e-06,-1.1335853725852103e-06
0.00192413,1.1608229210303837e-06,5.5585705037651016e-07,-9.5779037126687327e-07,-1.0276171321716995e-06,-1.0469845356414028e-06,-1.1620142362481733e-06,-1.1614016868984129e-06
0.00197476,1.0814952388522041e-06,6.5787589603719809e-07,-9.1649712027364137e-07,-1.0803214169564944e-06,-1.0571270021626768e-06,-1.155248324555554e-06,-1.1548798474596697e-06
0.0020254,9.1028166897857905e-07,6.3709710092942625e-07,-8.2981094593327941e-07,-1.1032470331628058e-06,-1.050490511639557e-06,-1.1204783832885953e-06,-1.1207604872581933e-06
0.00207603,7.0784982785932851e-07,5.4089703223934929e-07,-7.0412523651934176e-07,-1.0793833535760807e-06,-1.0128060994716416e-06,-1.0494117338545378e-06,-1.0505074284964833e-06
0.00212667,5.1318575219416208e-07,4.107193540268439e-07,-5.7103913893253182e-07,-1.0072386838446152e-06,-9.4557126445918042e-07,-9.4695892601017104e-07,-9.4893348348070236e-07
0.00217731,3.5208994789854668e-07,2.8112766327251101e-07,-4.5089119920137705e-07,-8.9492850707353312e-07,-8.5359324526810141e-07,-8.1902277044246039e-07,-8.2227902817379528e-07
0.00222794,2.4683097107621711e-07,1.8418293714621688e-07,-3.4943137800462035e-07,-7.5537980594288564e-07,-7.430106869043462e-07,-6.7361281094893036e-07,-6.7886486470194202e-07
0.00227858,2.0985504000515992e-07,1.3828314169718732e-07,-2.6638442882304868e-07,-6.0985165411256024e-07,-6.2854667457456257e-07,-5.3379176443341221e-07,-5.4097873384413962e-07
0.00232921,2.4086242446380777e-07,1.4602580190392649e-07,-1.936101089869366e-07,-4.6836544279321998e-07,-5.1244749269925076e-07,-4.0594232688447785e-07,-4.1454962737921526e-07
0.00237984,3.3346503519493126e-07,2.054752074250803e-07,-1.2542559659006347e-07,-3.4088027325690637e-07,-4.0200908054352218e-07,-3.0235675821295426e-07,-3.1089897956921018e-07
0.00243048,4.6059384825406907e-07,2.9836954086495782e-07,-6.4017920346355411e-08,-2.3196549340315712e-07,-2.9664522621921953e-07,-2.119551773208874e-07,-2.2006029523539769e-07
0.00248111,6.1794520138716956e-07,4.2305302234980128e-07,-5.692171623056982e-09,-1.4048931647824265e-07,-1.988711400799302e-07,-1.3963543169115956e-07,-1.4645444016063464e-07
0.00253175,7.8342299786233701e-07,5.6282035856049089e-07,4.5097402517987963e-08,-7.1145668657309248e-08,-1.1709421062336652e-07,-8.5654164137263403e-08,-9.1214100778039286e-08
0.00258238,9.3842615792751421e-07,7.0214985419297139e-07,8.2980464537226155e-08,-2.800911424545278e-08,-6.0615046458631017e-08,-5.3592060694677078e-08,-5.889646708336317e-08
0.00263302,1.0683512889923265e-06,8.2713988967992568e-07,1.0678369419388998e-07,-1.2405684314005049e-08,-3.3802012679642678e-08,-4.3054572199603281e-08,-5.0084947681764882e-08
0.00268366,1.1598748403469653e-06,9.2384262922596076e-07,1.1533542303367172e-07,-2.3035099971586306e-08,-3.8549326845414097e-08,-5.3840088539853848e-08,-6.4808250447984503e-08
0.00273429,1.2116684990294651e-06,9.8822261054287674e-07,1.1248972352128914e-07,-5.4986550872173636e-08,-6.9561986137872082e-08,-8.2452194747307515e-08,-9.974495204530612e-08
