Physical Time (s),massspec_vol Monitor (N): cv1,massspec_vol Monitor (N): cv2,massspec_vol Monitor (N): cv3,massspec_vol Monitor (N): cv4,massspec_vol Monitor (N): cv5,massspec_vol Monitor (N): cv6,massspec_vol Monitor (N): cv7
0.0008608,1.0115641686571322e-07,1.0117366965300992e-07,1.011740750919963e-07,1.0117407574497627e-07,1.0117407404455185e-07,1.0117407425482541e-07,1.0117407150926188e-07
0.00091143,1.0409461064412869e-07,1.0411386504353605e-07,1.0411441618210306e-07,1.0411441529252682e-07,1.0411441493721211e-07,1.0411441311198571e-07,1.0411441137512729e-07
0.00096207,1.0703687319974471e-07,1.0705846103808636e-07,1.0705910127104088e-07,1.0705909982036203e-07,1.0705910064588937e-07,1.0705909988956175e-07,1.0705909983766751e-07
0.0010127,1.0992749653546533e-07,1.0995171563067798e-07,1.0995239288410658e-07,1.0995239683177132e-07,1.099523977490061e-07,1.0995239982544283e-07,1.0995240432747578e-07
0.00106333,1.1273258279546111e-07,1.1275969458125934e-07,1.1276039559187871e-07,1.1276040087185803e-07,1.1276040081621003e-07,1.1276040416567225e-07,1.1276039981296726e-07
0.00111397,1.1544181743743641e-07,1.1547210581674936e-07,1.1547284294173548e-07,1.1547284991734591e-07,1.1547285171546354e-07,1.1547285362140705e-07,1.1547285175523981e-07
0.0011646,1.1806322298779765e-07,1.1809705974323572e-07,1.180978534523876e-07,1.1809786749210883e-07,1.1809786823596621e-07,1.1809786936340829e-07,1.1809787410930894e-07
0.00121524,1.2061261218824605e-07,1.2065053654885453e-07,1.2065141591603184e-07,1.2065143789687055e-07,1.2065143829726464e-07,1.2065143896982844e-07,1.2065143540621281e-07
0.00126588,1.2310577364720135e-07,1.2314849423932331e-07,1.2314947654446647e-07,1.231495047837789e-07,1.2314950479517792e-07,1.2314950446209016e-07,1.2314950506331398e-07
0.00131651,1.2555078824357323e-07,1.2559922411392951e-07,1.2560030961243549e-07,1.2560035594617882e-07,1.2560035545467548e-07,1.2560035429327812e-07,1.2560035166863991e-07
0.00136714,1.2794497226145933e-07,1.2800027442570052e-07,1.2800145896429945e-07,1.2800151963099832e-07,1.2800151806937018e-07,1.2800151589161168e-07,1.2800151968229095e-07
0.00141778,1.3027725716092086e-07,1.3034084359477423e-07,1.303421279783248e-07,1.3034220366037564e-07,1.3034220681475718e-07,1.3034220646970266e-07,1.3034220893606948e-07
0.00146842,1.325438019359444e-07,1.3261740043537949e-07,1.3261877497489226e-07,1.3261885919556262e-07,1.3261886304982265e-07,1.3261886337114679e-07,1.326188610016213e-07
0.00151905,1.3475459644636379e-07,1.3484032243368469e-07,1.3484179110100952e-07,1.3484187253692137e-07,1.3484187525352668e-07,1.3484187655898911e-07,1.3484187610240494e-07
0.00156968,1.3692191135025115e-07,1.3702232735605669e-07,1.3702387700764246e-07,1.3702395728399723e-07,1.3702395994664514e-07,1.370239552841959e-07,1.3702395323625944e-07
0.00162032,1.3903228924951271e-07,1.3915048322663719e-07,1.3915210317292186e-07,1.3915218644491278e-07,1.3915219200437803e-07,1.3915218861885293e-07,1.3915219608327644e-07
0.00167096,1.410669776533987e-07,1.4120665100779194e-07,1.4120833091147464e-07,1.4120842431420005e-07,1.4120843567549672e-07,1.4120843326493169e-07,1.4120843597321364e-07
0.00172159,1.4301857799466597e-07,1.4318410462013566e-07,1.4318583135385415e-07,1.4318593674598083e-07,1.4318595181930782e-07,1.4318595212361102e-07,1.4318594987715738e-07
0.00177222,1.448876706678996e-07,1.4508417773053279e-07,1.4508594971854229e-07,1.4508607277182545e-07,1.45086088592355e-07,1.450860917347047e-07,1.4508609286022596e-07
0.00182286,1.4667952298264451e-07,1.4691293884317747e-07,1.4691474443307361e-07,1.4691489530698987e-07,1.4691491439063666e-07,1.4691491312050157e-07,1.4691491894870907e-07
0.00187349,1.4838286322627227e-07,1.4865995645401787e-07,1.4866179081068008e-07,1.4866196651460642e-07,1.4866198968332051e-07,1.4866199067015876e-07,1.4866198814345953e-07
0.00192413,1.4996843423306e-07,1.5029681505912666e-07,1.5029868186174355e-07,1.5029888006360191e-07,1.5029890043973104e-07,1.5029890214338471e-07,1.5029889796363472e-07
0.00197476,1.5139872165624906e-07,1.5178682605582517e-07,1.5178873034476367e-07,1.5178895592906849e-07,1.517889780993404e-07,1.5178897883139231e-07,1.5178898985324672e-07
0.0020254,1.5263679148184412e-07,1.5309381622583881e-07,1.5309576056729411e-07,1.5309600395307472e-07,1.530960237570539e-07,1.5309602898666001e-07,1.5309602075767582e-07
0.00207603,1.5367488745132697e-07,1.5421071057748682e-07,1.5421270313487124e-07,1.5421295897733291e-07,1.5421297804480837e-07,1.542129758632217e-07,1.5421297532268572e-07
0.00212667,1.5453425179791749e-07,1.5515930986903627e-07,1.5516135146590695e-07,1.5516162657949094e-07,1.5516164565123123e-07,1.5516165451949204e-07,1.5516165179145798e-07
0.00217731,1.5524184283295591e-07,1.5596701803242767e-07,1.5596912153339057e-07,1.5596940353772891e-07,1.5596942999928286e-07,1.5596943696678941e-07,1.5596943534022217e-07
0.00222794,1.5581011776922081e-07,1.5664661080007863e-07,1.5664877697018849e-07,1.5664905882170567e-07,1.5664909459631841e-07,1.5664910679173027e-07,1.5664911276992918e-07
0.00227858,1.5625023277547363e-07,1.5720943928860048e-07,1.5721167726847105e-07,1.5721195632134666e-07,1.5721200215217378e-07,1.5721200768249509e-07,1.5721201937772469e-07
0.00232921,1.5657174402689568e-07,1.5766515429854132e-07,1.5766746378318468e-07,1.5766774090861242e-07,1.5766779666190014e-07,1.5766779844463593e-07,1.5766779390045669e-07
0.00237984,1.5678796692521186e-07,1.5802706274963605e-07,1.5802944931750702e-07,1.5802972439361152e-07,1.5802979295128812e-07,1.5802980205815198e-07,1.5802980290339975e-07
0.00243048,1.5689803429806962e-07,1.5829413418192329e-07,1.5829660098180453e-07,1.5829687088504676e-07,1.5829695307228674e-07,1.5829696144454419e-07,1.5829695235169392e-07
0.00248111,1.5690323175474183e-07,1.5846737587092126e-07,1.5846992330641295e-07,1.5847018979588996e-07,1.5847027772246742e-07,1.5847028567680923e-07,1.5847027688288429e-07
0.00253175,1.567923114578894e-07,1.58534905295926e-07,1.5853753711718669e-07,1.5853780525826788e-07,1.5853790552035959e-07,1.5853791797271125e-07,1.5853792212627061e-07
0.00258238,1.5656505963475863e-07,1.5849546467687759e-07,1.5849818858883837e-07,1.5849845620979728e-07,1.5849855737440516e-07,1.5849856909842265e-07,1.584985685252294e-07
0.00263302,1.5623216459526212e-07,1.5835845037243005e-07,1.5836126666147424e-07,1.5836153677188049e-07,1.5836163872670089e-07,1.5836165441934551e-07,1.5836164919193245e-07
0.00268366,1.5581991394686312e-07,1.5814855030652482e-07,1.5815145748834789e-07,1.5815173274159662e-07,1.5815183411394158e-07,1.581518555856929e-07,1.5815185345575224e-07
0.00273429,1.5537392302670233e-07,1.5790925230307128e-07,1.579122584641947e-07,1.5791253508473387e-07,1.5791263483375527e-07,1.5791266132033945e-07,1.5791266525264147e-07
0.00278492,1.5495534681142041e-07,1.5769898786495243e-07,1.5770209541491927e-07,1.5770237933352342e-07,1.5770247916730487e-07,1.5770250928185806e-07,1.5770250796459882e-07
0.00283556,1.5461809149738225e-07,1.5756877713401171e-07,1.5757198987116954e-07,1.5757227474247612e-07,1.5757236959652276e-07,1.5757240839821356e-07,1.5757240913482428e-07
0.00288619,1.5440106144958938e-07,1.5755497423241819e-07,1.5755830055939312e-07,1.5755859733383372e-07,1.5755868578074342e-07,1.5755872734370927e-07,1.5755872382823219e-07
0.00293683,1.5432043320422367e-07,1.5767175432050723e-07,1.5767519833814296e-07,1.5767549773357677e-07,1.5767558804074896e-07,1.5767563206726742e-07,1.5767562968387036e-07
0.00298746,1.5437136620440986e-07,1.5791284623003548e-07,1.5791641663749489e-07,1.5791672352915096e-07,1.5791681441542544e-07,1.5791686242719175e-07,1.5791685562716681e-07
0.0030381,1.545295082942664e-07,1.5825296349400013e-07,1.5825665886198299e-07,1.582569634254167e-07,1.5825704998467829e-07,1.5825710041756041e-07,1.5825710594909583e-07
0.00308874,1.5473393769831225e-07,1.586306588420455e-07,1.5863448712571497e-07,1.5863479345953304e-07,1.5863488202866583e-07,1.5863493604099126e-07,1.5863493673716994e-07
0.00313937,1.5491727060396542e-07,1.5897829110094325e-07,1.5898226324866488e-07,1.5898257889096213e-07,1.5898266616872554e-07,1.5898272213740477e-07,1.5898272668609825e-07
0.00319001,1.5503820093241035e-07,1.5925447213906425e-07,1.5925859425350375e-07,1.5925891076247542e-07,1.5925900249679839e-07,1.5925906159413249e-07,1.5925905920514652e-07
0.00324064,1.5507685471487527e-07,1.5943937988165979e-07,1.5944365163286383e-07,1.5944397070090643e-07,1.5944406436008882e-07,1.594441175701166e-07,1.5944410765023726e-07
0.00329127,1.5503877113671279e-07,1.5953866193689409e-07,1.5954309765700732e-07,1.5954342182935196e-07,1.5954351736404082e-07,1.59543573071457e-07,1.5954357686715537e-07
0.00334191,1.5495382895180516e-07,1.5958239511956604e-07,1.5958700293353573e-07,1.5958732919740102e-07,1.5958742638150538e-07,1.5958747861949271e-07,1.5958748127029338e-07
0.00339254,1.5485599963318534e-07,1.5960475785488449e-07,1.5960954632904504e-07,1.5960987807860894e-07,1.5960997971689019e-07,1.5961004462800101e-07,1.5961005789129948e-07
0.00344318,1.5477055819535297e-07,1.5963129448945888e-07,1.596362760338731e-07,1.5963661281753204e-07,1.5963671672793857e-07,1.5963677741319175e-07,1.5963677537049485e-07
0.00349381,1.5472394821906011e-07,1.5968872964649095e-07,1.5969390888350522e-07,1.5969425032987238e-07,1.5969435583042731e-07,1.5969441666328585e-07,1.5969442919344032e-07
0.00354445,1.547390492519628e-07,1.5980028530891791e-07,1.5980567730111681e-07,1.5980602127991471e-07,1.5980612532384065e-07,1.5980618474433184e-07,1.598061849491884e-07
0.00359509,1.5481835486421998e-07,1.5996885131635742e-07,1.5997446756700603e-07,1.5997481425658869e-07,1.5997491904882176e-07,1.5997497757652514e-07,1.5997498614500381e-07
0.00364572,1.5495169131569531e-07,1.6018467808107516e-07,1.6019053260271178e-07,1.601908841106596e-07,1.6019099406720967e-07,1.6019105069541448e-07,1.6019106361239915e-07
0.00369636,1.5511982922987854e-07,1.604289564263402e-07,1.6043505925320104e-07,1.6043541674541458e-07,1.6043552387301209e-07,1.6043558039246581e-07,1.6043560025841683e-07
0.00374699,1.5532024038724024e-07,1.6069954595412906e-07,1.6070591666830825e-07,1.6070627783974606e-07,1.6070638625146691e-07,1.6070644424417668e-07,1.6070645986958494e-07
0.00379762,1.5555816201537442e-07,1.6100204205583127e-07,1.6100869438424131e-07,1.6100906078947144e-07,1.6100917007416199e-07,1.6100922520867422e-07,1.6100923441153833e-07
0.00384826,1.5584018918587791e-07,1.6134335274343467e-07,1.6135030135068552e-07,1.613506731272657e-07,1.6135078198005547e-07,1.6135084624278394e-07,1.6135087142574937e-07
0.00389889,1.5617529352006993e-07,1.6173273327368341e-07,1.6173999851514417e-07,1.6174037194284885e-07,1.6174047952071145e-07,1.6174054239960312e-07,1.6174055719812487e-07
0.00394953,1.5655466982376003e-07,1.621616138537331e-07,1.6216920731052623e-07,1.6216958389126043e-07,1.6216969073096671e-07,1.6216974494423313e-07,1.6216975641753623e-07
0.00400016,1.5697485447236909e-07,1.6262672847769597e-07,1.6263467378379715e-07,1.6263505497524971e-07,1.6263516016571464e-07,1.6263521541793361e-07,1.6263522393060097e-07
0.0040508,1.5743338953272783e-07,1.6312579407166007e-07,1.6313410538221257e-07,1.631344932694461e-07,1.6313460486204846e-07,1.6313466234888702e-07,1.6313467460560626e-07
0.00410143,1.5790474324400701e-07,1.6363344557511173e-07,1.6364214446221484e-07,1.6364253408535642e-07,1.6364264131775096e-07,1.6364269727114808e-07,1.636427143095822e-07
0.00415207,1.5838580155287187e-07,1.6414672899056185e-07,1.6415583560493377e-07,1.6415623110867633e-07,1.6415634725314939e-07,1.6415640894372944e-07,1.6415641882412948e-07
0.00420271,1.588493308789978e-07,1.6463859390063648e-07,1.646481280389687e-07,1.64648528971928e-07,1.6464864100010821e-07,1.6464870920282988e-07,1.6464872457110483e-07
0.00425334,1.5929163105608018e-07,1.6510554322197415e-07,1.6511553277236819e-07,1.6511594118152864e-07,1.6511605535601546e-07,1.6511611384180418e-07,1.65116137800802e-07
0.00430397,1.597035950793114e-07,1.6553867929945437e-07,1.6554915624280224e-07,1.6554956905780285e-07,1.6554968469037125e-07,1.655497463578381e-07,1.6554976348292142e-07
0.00435461,1.6007928743654143e-07,1.6593228051254124e-07,1.6594327896368624e-07,1.6594369872103622e-07,1.6594381360843581e-07,1.65943875423373e-07,1.659438892239546e-07
0.00440524,1.6041899029777495e-07,1.6628684007245124e-07,1.662984114354795e-07,1.6629883688288074e-07,1.6629895250080901e-07,1.6629901580580216e-07,1.6629902419992935e-07
0.00445588,1.6072975419385238e-07,1.6660961050576628e-07,1.6662180287671702e-07,1.6662223369716282e-07,1.6662234872607271e-07,1.6662241639934257e-07,1.6662243514070706e-07
0.00450651,1.6101857622014536e-07,1.6690777859167437e-07,1.6692065509041021e-07,1.6692109087019527e-07,1.6692120569166452e-07,1.6692126959436187e-07,1.6692128878384252e-07
0.00455715,1.6129396437485942e-07,1.6719002989352955e-07,1.6720366472619715e-07,1.6720411500234206e-07,1.6720423549261543e-07,1.6720430167858025e-07,1.672043143375881e-07
