Physical Time (s),ep_top Monitor (kg-m/s^3): top_cv1,ep_top Monitor (kg-m/s^3): top_cv2,ep_top Monitor (kg-m/s^3): top_cv3,ep_top Monitor (kg-m/s^3): top_cv4,ep_top Monitor (kg-m/s^3): top_cv5,ep_top Monitor (kg-m/s^3): top_cv6,ep_top Monitor (kg-m/s^3): top_cv7
5.063e-05,1.63263927842004e-12,1.6335484203600704e-12,1.6354955007195575e-12,1.6357143288908043e-12,1.6357245650330474e-12,1.6357252391847236e-12,1.6357252542886542e-12
0.00010127,2.4585285837066337e-11,2.4600660065204238e-11,2.4626600639361844e-11,2.4628903634382748e-11,2.4628998022882174e-11,2.4629002916960181e-11,2.4629003001586096e-11
0.00015191,2.7349347613752691e-10,2.736511846986859e-10,2.7387400222628743e-10,2.7388992059728357e-10,2.7389048252055823e-10,2.7389050729537595e-10,2.7389050765989526e-10
0.00020254,2.5987074285142616e-09,2.6001441683027013e-09,2.6018682552384576e-09,2.6019664775385792e-09,2.6019693864690491e-09,2.6019694969788557e-09,2.6019694983609103e-09
0.00025318,2.1278966712412595e-08,2.129151321838571e-08,2.1304251771054516e-08,2.1304814308127099e-08,2.1304828093746651e-08,2.1304828544086997e-08,2.1304828549093286e-08
0.00030381,1.5055545261797685e-07,1.5066042071060515e-07,1.5075211388514222e-07,1.5075523532386006e-07,1.5075529711252753e-07,1.5075529877796868e-07,1.5075529879343797e-07
0.00035444,9.1464635024856287e-07,9.1548457218186857e-07,9.1612983849833323e-07,9.1614682218124432e-07,9.1614708807600631e-07,9.1614709383611157e-07,9.1614709387819036e-07
0.00040508,4.8498160619581843e-06,4.8560167179907754e-06,4.8603909997846932e-06,4.8604822340610127e-06,4.8604833486191062e-06,4.8604833680376999e-06,4.8604833681455432e-06
0.00045571,2.2547560185474542e-05,2.2589193762159356e-05,2.2617288937284533e-05,2.2617774881784338e-05,2.2617779483283144e-05,2.2617779547537501e-05,2.2617779547799322e-05
0.00050635,9.1811073481237824e-05,9.2059745046422947e-05,9.2226933134462923e-05,9.2229509211264355e-05,9.2229528395414108e-05,9.2229528611130197e-05,9.2229528611756527e-05
0.00055698,0.00032775386501810659,0.00032905577449920666,0.00032995721975079365,0.0003299706045278012,0.00032997068582825824,0.00032997068657154253,0.00032997068657307982
0.00060762,0.0010243258039478831,0.0010302340368576975,0.0010345571825689636,0.001034623718287364,0.0010346240684403728,0.0010346240710474917,0.0010346240710512572
0.00065825,0.0027991684042138428,0.0028223122129676921,0.0028405529659727186,0.0028408629035411863,0.0028408644186739833,0.0028408644280084171,0.0028408644280174295
0.00070889,0.0066833546715870679,0.0067612737355325714,0.0068286694721783909,0.0068300011940082899,0.0068300076642411386,0.0068300076984443856,0.0068300076984662153
