Physical Time (s),phi_alt_flux_right Monitor (kg-m/s^3): right_cv1,phi_alt_flux_right Monitor (kg-m/s^3): right_cv2,phi_alt_flux_right Monitor (kg-m/s^3): right_cv3,phi_alt_flux_right Monitor (kg-m/s^3): right_cv4,phi_alt_flux_right Monitor (kg-m/s^3): right_cv5,phi_alt_flux_right Monitor (kg-m/s^3): right_cv6,phi_alt_flux_right Monitor (kg-m/s^3): right_cv7
0.00075952,0.063702913518625212,0.008949588851335108,-0.00030044151812314479,-2.3584634552529279e-05,-3.3465247142578704e-06,-1.735751474536287e-06,-1.7051983972647732e-06
0.00081016,0.065928553295401454,0.011908301385667935,-0.00024505838495598499,-3.9758727777597919e-05,-5.2713410164876135e-06,-2.4196886153043802e-06,-2.3704615145404807e-06
0.0008608,0.068889163138469739,0.014005421971832691,-2.1318737588333904e-05,-6.3823350455594681e-05,-8.2751244827818024e-06,-3.3206468762575825e-06,-3.2408909638720476e-06
0.00091143,0.072559569018390807,0.014441259231639546,0.00039743197030107897,-9.6558901630639107e-05,-1.28738652703686e-05,-4.4727177284997464e-06,-4.3430003458092193e-06
0.00096207,0.076886892117038197,0.01390646354046029,0.00095245090717437021,-0.00013706220811700575,-1.9735532562682362e-05,-5.9059508900512356e-06,-5.6946229383953912e-06
0.0010127,0.081794326431799319,0.013267042119100392,0.001518357369661051,-0.0001803207404894791,-2.9603968555048831e-05,-7.633937117270908e-06,-7.2897460879594129e-06
0.00106333,0.087249976227300755,0.01336140469251703,0.0019890055823942143,-0.00021362512514431093,-4.3088276658160632e-05,-9.6261503701050927e-06,-9.0678966930703289e-06
0.00111397,0.093292926012913682,0.014083876768992133,0.0023919945285568395,-0.00021690675506989276,-6.0379659834592793e-05,-1.1846125173092789e-05,-1.0947460781888713e-05
0.0011646,0.099998664896408435,0.015092197114160643,0.0028390092029267596,-0.00017067980340084181,-8.0999512194916771e-05,-1.4187150337943444e-05,-1.275711783350897e-05
0.00121524,0.10736869377986197,0.016124043904735333,0.003436940553779706,-5.4923399340349203e-05,-0.0001034619041033544,-1.6522429948972829e-05,-1.4279543279166856e-05
0.00126588,0.11533940168772153,0.017001151780438484,0.0040493076902921137,0.00013557091787196621,-0.00012399165586893742,-1.8633060293558011e-05,-1.5180102482687794e-05
0.00131651,0.12376437976413319,0.017732797224994871,0.004454903955735761,0.00038776197904701623,-0.0001378596873749509,-2.0338734549436617e-05,-1.5142480913170247e-05
