Physical Time (s),ea_top Monitor (kg-m/s^3): top_cv1,ea_top Monitor (kg-m/s^3): top_cv2,ea_top Monitor (kg-m/s^3): top_cv3,ea_top Monitor (kg-m/s^3): top_cv4,ea_top Monitor (kg-m/s^3): top_cv5,ea_top Monitor (kg-m/s^3): top_cv6,ea_top Monitor (kg-m/s^3): top_cv7
0.00329127,3.1906769416200083e-07,6.1488414806772115e-08,-2.8391649482564892e-08,-3.2775778241422426e-08,-3.9643829922091702e-08,-3.9598146158223434e-08,-5.3880540026055988e-08
0.00334191,3.3093899013369876e-07,5.8084424099042036e-08,-3.829755916058374e-08,-4.2315581496769063e-08,-4.9502776793238148e-08,-5.0986799484822188e-08,-6.312744950617349e-08
0.00339254,3.4291494701343282e-07,5.5505536027547634e-08,-4.6749451513641453e-08,-5.0417902855887893e-08,-5.7714339055970126e-08,-6.0428936900080342e-08,-7.0741520391487185e-08
0.00344318,3.5369587339202025e-07,5.2282189578719844e-08,-5.5368270695481147e-08,-5.873175885037863e-08,-6.5969005714500274e-08,-6.9542057932050528e-08,-7.836942180075293e-08
0.00349381,3.6264648934037077e-07,4.7740488521348831e-08,-6.5034878519812745e-08,-6.8147745718699922e-08,-7.5214815318948661e-08,-7.938121377073785e-08,-8.6922595536961453e-08
0.00354445,3.6990348428363976e-07,4.2118964516014811e-08,-7.5717672886091719e-08,-7.8633491225606029e-08,-8.547496784175383e-08,-9.013988209892967e-08,-9.6414234745532163e-08
0.00359509,3.7633035205437807e-07,3.6481283920432549e-08,-8.6512542881332813e-08,-8.9278333958011764e-08,-9.5884184432999516e-08,-1.0107546447544771e-07,-1.0600034715587747e-07
0.00364572,3.833237800730113e-07,3.244731612514669e-08,-9.5883958587380973e-08,-9.8536228987482282e-08,-1.0492660608803662e-07,-1.1069473860901762e-07,-1.1421147343072695e-07
0.00369636,3.924996907670617e-07,3.1793779166249743e-08,-1.0205953423309638e-07,-1.0462178411525049e-07,-1.1083084647852141e-07,-1.1716138438060392e-07,-1.193338296991895e-07
0.00374699,4.0530845986424438e-07,3.6003084456176815e-08,-1.0349577185570927e-07,-1.0597895250003355e-07,-1.1204029975580378e-07,-1.1881798831923082e-07,-1.1984956487283379e-07
0.00379762,4.2272716450925242e-07,4.5919360396111025e-08,-9.92469434544954e-08,-1.0165412554121731e-07,-1.0758886765597506e-07,-1.1461840343536306e-07,-1.1478034380065143e-07
0.00384826,4.4508213914629603e-07,6.1579448597587312e-08,-8.9161694024673848e-08,-9.1495790404179062e-08,-9.730404912859751e-08,-1.043652294562799e-07,-1.0387892220595665e-07
0.00389889,4.7201669702182878e-07,8.2231046071438757e-08,-7.3887238545490828e-08,-7.6158293389601662e-08,-8.1815154067802338e-08,-8.871912716344173e-08,-8.7648096668557066e-08
0.00394953,5.0262117070529309e-07,1.0653436365401477e-07,-5.4680827525599819e-08,-5.6908845110448117e-08,-6.2365635963726073e-08,-6.8987388022905331e-08,-6.718413010243181e-08
0.00400016,5.3556731860939715e-07,1.3276724249532845e-07,-3.3213187964094632e-08,-3.5424909479796825e-08,-4.0615877299771857e-08,-4.6896892009203441e-08,-4.4036202841300344e-08
0.0040508,5.6925486502075195e-07,1.5902459770996317e-07,-1.1376176165778309e-08,-1.3596891278485308e-08,-1.8450131064830435e-08,-2.4381054989372297e-08,-2.006750426382684e-08
