Physical Time (s),xth_right Monitor (kg-m/s^3): right_cv1,xth_right Monitor (kg-m/s^3): right_cv2,xth_right Monitor (kg-m/s^3): right_cv3,xth_right Monitor (kg-m/s^3): right_cv4,xth_right Monitor (kg-m/s^3): right_cv5,xth_right Monitor (kg-m/s^3): right_cv6,xth_right Monitor (kg-m/s^3): right_cv7
0.00678509,1.1271106142384122e-07,2.9512582996358376e-06,3.977653913498032e-10,4.8099434439753923e-11,1.6802571402799503e-11,1.3867601339110815e-12,-7.3789821066788965e-13
0.00683572,1.2453798315552474e-07,2.979084732809011e-06,4.0898492807566714e-10,5.1469719856360608e-11,1.282909418197486e-11,3.3585525894536826e-12,-3.8156113564018005e-12
0.00688636,1.3495038268363488e-07,2.9791828470590788e-06,4.1310472658165717e-10,4.7561978912067063e-11,9.3776903678910382e-12,3.7159907753324938e-13,-1.0652128407684189e-12
0.00693699,1.4198390098199051e-07,2.9553356075887845e-06,4.2774665732995725e-10,5.156826831726098e-11,1.6795474876138306e-11,7.0765131421723607e-12,-4.0699063242090589e-12
0.00698763,1.4452932652661621e-07,2.9124895177984662e-06,4.3473162818513563e-10,5.0111977140212225e-11,1.705811773764074e-11,1.1434131880720179e-12,2.8231237124150778e-13
0.00703827,1.4246689018933897e-07,2.8551861820668528e-06,4.4910193206892853e-10,5.6450071499739324e-11,1.4066147825757944e-11,4.0530484084730132e-12,3.2526838239773758e-12
0.0070889,1.3663079723108899e-07,2.7877245407560829e-06,4.5421642605206327e-10,5.4404691842435504e-11,1.8301502887907497e-11,4.84080610196356e-12,1.7410809017927995e-12
0.00713953,1.2834934566657082e-07,2.7136229639304866e-06,4.7280242876720158e-10,4.9242217046188036e-11,1.5624545213376454e-11,1.8094182404526119e-13,8.525542947160279e-13
0.00719017,1.1905177312304737e-07,2.6354423867392866e-06,4.8675667141708378e-10,6.1096884467125137e-11,1.7715712748854839e-11,5.7840697833064438e-13,1.3665229182863713e-12
0.0072408,1.0981199581970604e-07,2.555359996916495e-06,5.0064042827066963e-10,5.3329411864209095e-11,1.5847600127623351e-11,4.3066295853431758e-12,5.1010168329739583e-12
0.00729144,1.0108753340379948e-07,2.475371482830419e-06,5.1026037326913715e-10,5.1923703586740313e-11,1.7590771760261927e-11,1.5432938398127855e-12,-2.5361602156344924e-12
0.00734207,9.2692035563390176e-08,2.3968321312101322e-06,5.3225845326870718e-10,5.034495776496988e-11,1.6081960369232014e-11,1.5820434684371639e-12,2.8082348088159726e-13
0.00739271,8.4071402375322113e-08,2.3203253341106156e-06,5.4588998471655405e-10,5.1600332966881065e-11,1.991118603481488e-11,-1.1222367733265523e-12,3.534893350950708e-12
0.00744334,7.4836995256782477e-08,2.2456257969606202e-06,5.6882734586723823e-10,5.7891629794132282e-11,1.555007631908219e-11,2.6859041702153362e-12,-2.0093662479431215e-14
0.00749398,6.5432842621029612e-08,2.1722928438669403e-06,5.918797715252849e-10,5.3848513739845133e-11,2.0305918514298749e-11,5.3955219376449205e-12,1.5621614870213065e-12
0.00754462,5.7571440219062256e-08,2.0995752577022235e-06,6.1061124546796873e-10,5.3091219789969964e-11,1.517600017965604e-11,3.4764924272067802e-12,-3.4137455811453662e-12
0.00759525,5.3916060100443526e-08,2.0267433011350521e-06,6.2481585229449049e-10,5.3143081898365228e-11,1.781038182728669e-11,-2.2003970498989855e-12,-5.1770906004058105e-12
