Physical Time (s),etp_bot Monitor (kg-m/s^3): bot_cv1,etp_bot Monitor (kg-m/s^3): bot_cv2,etp_bot Monitor (kg-m/s^3): bot_cv3,etp_bot Monitor (kg-m/s^3): bot_cv4,etp_bot Monitor (kg-m/s^3): bot_cv5,etp_bot Monitor (kg-m/s^3): bot_cv6,etp_bot Monitor (kg-m/s^3): bot_cv7
5.063e-05,1.8593631409986546e-12,1.826696594318463e-12,1.7940180160034568e-12,1.7874438436119167e-12,1.7860562578764807e-12,1.785841400115884e-12,1.7858292941389097e-12
0.00010127,1.8934770615751258e-11,1.8813425232791243e-11,1.8697335755375697e-11,1.8675515099741302e-11,1.8671362976836688e-11,1.8670691007505876e-11,1.8670655790930497e-11
0.00015191,1.8883918785406573e-10,1.8850604563819209e-10,1.8819033349231309e-10,1.8813064331829589e-10,1.8812045003790892e-10,1.881188301756577e-10,1.8811876497294899e-10
0.00020254,1.8057408065680983e-09,1.8055371064328803e-09,1.805132325778931e-09,1.8049898201364046e-09,1.8049664545833581e-09,1.8049629384241488e-09,1.8049628438310618e-09
0.00025318,1.5447390449652861e-08,1.5455071902078255e-08,1.5458882375134059e-08,1.5458633742292362e-08,1.5458583079910017e-08,1.5458575746855717e-08,1.5458575616758305e-08
0.00030381,1.1383384189116227e-07,1.1392884845021823e-07,1.1398161299883041e-07,1.1398176813455404e-07,1.1398166829403599e-07,1.1398165338308715e-07,1.1398165324917448e-07
0.00035444,7.2477576034137798e-07,7.2562499105669415e-07,7.2610136246936752e-07,7.2610673713263086e-07,7.2610658431774967e-07,7.2610655533133365e-07,7.2610655528580351e-07
0.00040508,4.0200744317764988e-06,4.0265597410616793e-06,4.0302431255075282e-06,4.0302874893484041e-06,4.0302874710157889e-06,4.0302874192072685e-06,4.0302874193527879e-06
0.00045571,1.9464313941604076e-05,1.9507904660223206e-05,1.9533405515893323e-05,1.9533704165791375e-05,1.9533705543697384e-05,1.953370546370286e-05,1.9533705464305094e-05
0.00050635,8.2215688117317587e-05,8.2473855865137735e-05,8.2631997955345804e-05,8.2633839039547496e-05,8.2633848524380404e-05,8.2633848442623971e-05,8.2633848444249041e-05
0.00055698,0.00030273801550490692,0.00030407609505669496,0.00030494774432650984,0.00030495834123355815,0.00030495839253823887,0.00030495839264672376,0.00030495839265061398
0.00060762,0.00097032187776822357,0.00097634202662163247,0.00098057264162000287,0.00098062930862072707,0.00098062956404116144,0.00098062956525223955,0.0009806295652607694
0.00065825,0.0027048940331402859,0.0027282739847020896,0.0027462396249367722,0.0027465177920296896,0.002746519005059931,0.002746519011254622,0.0027465190112718504
0.00070889,0.0065582885040491494,0.006636539277922987,0.0067031578288857451,0.0067043988071638586,0.0067044043346920811,0.0067044043617103923,0.0067044043617424717
0.00075952,0.013822733346985945,0.014048167361875476,0.014263690256804419,0.014268680961665527,0.014268704982648442,0.014268705093645518,0.014268705093699527
0.00081016,0.025286218143540189,0.025844343349551348,0.026452563177001204,0.026470548526263935,0.026470647027763892,0.026470647468330322,0.026470647468406199
0.0008608,0.040007724056150488,0.041191987912005075,0.04268933235856192,0.042747193466933578,0.042747570733446739,0.042747572428823648,0.042747572428881601
0.00091143,0.054427174733981933,0.056570743313216348,0.059787323494757239,0.059953258588631327,0.059954598146743796,0.059954604453479554,0.059954604453323693
0.00096207,0.062906470399511319,0.066186804152967307,0.072210871780801461,0.072634825908115347,0.072639209705423216,0.072639232225704162,0.072639232224602474
0.0010127,0.060304255907168501,0.064473943378719104,0.074281194594431985,0.075245675224348843,0.075258839400058633,0.075258916074838159,0.075258916070318857
0.00106333,0.045849610605192603,0.050094390798621775,0.063888232479309581,0.065840802418789507,0.065876940597594913,0.065877187651374527,0.065877187635586074
0.00111397,0.024584750126906203,0.027774041171771409,0.044350605161261762,0.047865642246426948,0.047956110640906491,0.047956859402420976,0.047956859351477518
0.0011646,0.0054403080473981336,0.0067979155853856929,0.023501393767012484,0.029118173582087244,0.029324424188869359,0.029326549404054728,0.029326549247799961
0.00121524,-0.003851178954684841,-0.0041604488234541657,0.0094554465547172211,0.0173989513259931,0.017826729988653017,0.017832359541408976,0.01783235908102172
0.00126588,-0.0014623326368431071,-0.0022593155138240896,0.0060346225298905983,0.015925176917647808,0.016731433961068326,0.016745307838540259,0.016745306531502732
0.00131651,0.0078799392143796554,0.0080506329677430787,0.011086628485590149,0.021839423836216287,0.023218617554626213,0.023250355693822486,0.023250352116299146
0.00136714,0.01661895258818278,0.018440177341876217,0.018609019091446823,0.028662598911288743,0.030800663595266755,0.030867953428197419,0.030867943993282788
0.00141778,0.019296491132599052,0.022208446454181581,0.022774829493191727,0.030641655968932875,0.033638893109925253,0.033770989260252293,0.033770965305457062
0.00146842,0.015705151065167393,0.018436336083859702,0.021553982505255202,0.026442732716578137,0.030229432686307213,0.030469297116786642,0.030469238637786937
0.00151905,0.0090662757184594607,0.010705230252133395,0.016313397896962737,0.0184436306542409,0.02273302034369018,0.023135634939729963,0.023135497787821376
0.00156968,0.0034275792654579178,0.0040894540083099042,0.010404584815849396,0.010798904817604361,0.015118939178815811,0.015743279959660534,0.015742971157425914
0.00162032,0.0010766795406549554,0.0017525882433861947,0.0067658379517050934,0.0066507958306924568,0.010464140782346081,0.011358077280764803,0.011357409957547346
0.00167096,0.001795930713198295,0.0035315225093853738,0.0063873240163378354,0.0065828710038957957,0.009453158749204299,0.010634148656513673,0.010632768247249708
0.00172159,0.0038555923738831065,0.0069943352882843261,0.0083324055667760265,0.0089920574443948312,0.010714748994220407,0.012153230810103227,0.012150498063984997
0.00177222,0.0054924292406086997,0.0095297053941598917,0.010792137654533235,0.011574054520645126,0.012205600786641234,0.013819310724281634,0.013814140880431001
0.00182286,0.0057898896064613042,0.0097945504685250737,0.012206596925327117,0.012676216204088046,0.012452777821362001,0.014117508387838915,0.014108175118553905
0.00187349,0.0048345452180446778,0.0080224285502883408,0.011950224118788814,0.011922134199311143,0.011126324717549462,0.012699830708135724,0.012683788642336567
0.00192413,0.0031778826154061175,0.0052253207199401252,0.010192108590385017,0.0098185977741072229,0.0086740340116995534,0.010023849554663183,0.0099976559864753036
0.00197476,0.0014737852502320844,0.0025026808158544536,0.0076082223927982761,0.0072404063901290953,0.0058826814112143029,0.0069063400337054034,0.0068658129588195027
0.0020254,0.00016428401482899768,0.0005191381669014223,0.0049360317210249607,0.0049048091231150828,0.0034175379362216241,0.0040491704748827108,0.0039899323041535668
0.00207603,-0.00060336826653104849,-0.00059035026527049449,0.0026824803856979446,0.0031412086401161618,0.0016093151926706696,0.0018145125457176686,0.0017329648357375289
0.00212667,-0.00090763662085973924,-0.0010291162953241432,0.0010465159275582659,0.0019393728634822501,0.00047132914376266262,0.00023919674422657707,0.00013385532529135071
0.00217731,-0.00092159322506502799,-0.0010890632919486705,-9.7709073206518615e-08,0.0011323833156376317,-0.00015077499787804127,-0.00081182689442142048,-0.0009392156180321338
0.00222794,-0.00080317124345360221,-0.0009868153038332288,-0.00058527580594100296,0.00055878040941319328,-0.00044486681687062554,-0.0015054686219726444,-0.0016494775061658606
0.00227858,-0.00063291982710362085,-0.0008081627143953458,-0.00082783134999336134,0.00015259729129485844,-0.00053431462001127662,-0.0019407106608578329,-0.0020932599243030444
0.00232921,-0.00041468226023115882,-0.00054278271878191811,-0.00079405676318987676,-6.3396114223432647e-05,-0.00045916718995676415,-0.0021346071438295439,-0.0022876062881446719
0.00237984,-0.00010892126199671609,-0.00014653244551367174,-0.00050406834927394493,-3.0362061661574479e-05,-0.0002048974924483867,-0.0020585341145470206,-0.0022078666159747319
0.00243048,0.00031729806037465898,0.00039787110339942981,2.5851050702341516e-05,0.0002833712155580138,0.00024528971494415313,-0.0016914094116650723,-0.0018405906557369654
0.00248111,0.00085680320160154368,0.0010541967911678152,0.00074755032990973694,0.00084583946413076629,0.00087141506249913462,-0.0010587674590419132,-0.001220798291291959
0.00253175,0.001452746902214387,0.0017370259431442182,0.0015669629577177479,0.001559263108869918,0.0016003167790382229,-0.00024786209611691624,-0.00044394735563814923
0.00258238,0.0020193219575247237,0.0023434773272595776,0.0023626159033216321,0.0022922396201569507,0.0023257154905841934,0.0006185395587056837,0.00036348436284501474
0.00263302,0.0024721808696295407,0.0027878160990740105,0.0030180955891585238,0.0029214486353835623,0.0029416359841090548,0.0014182987007549852,0.001082126452972061
0.00268366,0.0027555863852561798,0.0030255058899879049,0.0034532256107329723,0.003364378901933278,0.0033734711402894275,0.0020615434054750041,0.0016306839478429605
0.00273429,0.0028543636601216882,0.0030580677790747746,0.0036389897102744738,0.0035908827573307421,0.0035925874897404834,0.002505759827236572,0.0019777937319401433
0.00278492,0.0027984835839574662,0.002931042657834853,0.0036028805070862516,0.0036246771665129052,0.0036224631697109526,0.0027631888932114859,0.0021468576178339527
0.00283556,0.0026355491040231591,0.0027032738792633262,0.0034003765571732291,0.0035124904331453521,0.0035103679791265475,0.0028724787066792302,0.002183717356132851
0.00288619,0.0024221499736708871,0.0024374790851938739,0.0031034564282612946,0.0033133275255648408,0.0033174186839311868,0.0028878218769721772,0.0021455414542137299
0.00293683,0.002208028438664108,0.0021861207949482359,0.0027815489716839109,0.0030824276798697239,0.0031014953185385277,0.0028622638102275624,0.0020858856619951592
0.00298746,0.0020273036333535374,0.0019847147567980021,0.0024893886194448807,0.0028627111779957548,0.0029070314057454876,0.0028348268260179081,0.0020432786930594522
0.0030381,0.0018957275790444747,0.0018496682196871166,0.0022611138157572251,0.0026814240656512023,0.0027604113011929846,0.0028261667643842371,0.0020388676022535337
0.00308874,0.0018138530210338062,0.0017811603842472555,0.0021111469100196069,0.0025518186374696855,0.0026714803930672432,0.0028411040894569441,0.0020799972592372104
0.00313937,0.0017719002866391311,0.0017675018322174335,0.0020377076512127245,0.002475638450240542,0.0026368955814069931,0.0028732059961302744,0.002161814186786546
0.00319001,0.0017546419678739289,0.0017897761108940818,0.0020272929805326347,0.0024458786422838991,0.0026441972011896704,0.0029109736811190542,0.0022724675301700071
0.00324064,0.0017453449574966003,0.001825950941486007,0.002059229856038488,0.0024493735163942415,0.0026758245468119163,0.0029426272942302298,0.0023966245074879102
0.00329127,0.0017288936875347817,0.001854744890356682,0.0021098095240338348,0.002469410086622814,0.002712715932606457,0.0029590860038403708,0.0025171465448623974
0.00334191,0.0016941939455392726,0.0018590666053439253,0.0021559792128949323,0.0024884596112854703,0.0027372794542070791,0.0029535527434525373,0.0026173038010561447
0.00339254,0.001635876609617376,0.0018287451579472095,0.0021787589061154629,0.0024909637430922966,0.0027357796623996354,0.0029222188521639981,0.0026822278956390578
0.00344318,0.001555046471200602,0.00176200179317785,0.0021658129420460835,0.0024658743563119511,0.0027001121091482566,0.0028643441460820046,0.0027018353209405342
0.00349381,0.00145871067305019,0.0016651201185577435,0.002112658706486077,0.0024080353944029281,0.002628603771367742,0.0027818889280084172,0.0026712877917151505
0.00354445,0.0013583274072630905,0.0015508127620364773,0.0020226590387567305,0.0023184877917357314,0.002525167780685152,0.0026788744756394717,0.0025922542942370718
0.00359509,0.0012676831305162082,0.0014356527438941879,0.0019059090652941905,0.0022038357186435291,0.002398514687157165,0.0025615852766495729,0.0024741045182125922
0.00364572,0.0012005625706679724,0.0013371782788671187,0.001777397493176664,0.0020749875118905164,0.0022607462014509394,0.002438337604417177,0.0023320052600918784
0.00369636,0.0011684982508117798,0.0012710508739342766,0.0016545804004519798,0.0019454272558157297,0.0021255693559463096,0.0023187753335665328,0.0021859040180184689
0.00374699,0.0011789812689095053,0.0012486832230557891,0.0015546371730822595,0.0018292170177353405,0.0020064399996208991,0.0022132060322220576,0.0020571747637626579
0.00379762,0.0012343147085145652,0.0012755828119762598,0.0014916622411661525,0.0017388134448076537,0.0019144646234706365,0.0021308793976868917,0.0019652157574526923
0.00384826,0.0013313576620887294,0.0013507451316626313,0.0014744308714802839,0.001683131774050892,0.0018567662109508182,0.0020783323530090734,0.0019240774782614512
0.00389889,0.0014620095410560385,0.0014669791071430659,0.0015049534723802567,0.0016660218135257591,0.0018352914748931853,0.0020579823371976438,0.0019397387932894657
0.00394953,0.0016141027990595638,0.0016118155470889156,0.0015780429854736254,0.0016854232164640343,0.0018463101972661603,0.0020671066962195035,0.002008060334592921
0.00400016,0.0017730755899122185,0.0017693451658581374,0.0016824855456214858,0.001733917814508025,0.0018812500498576706,0.002098112965798476,0.0021156827494753045
0.0040508,0.0019231388548200984,0.0019216243681715657,0.0018021977179318019,0.0017993626653361973,0.0019274987392498377,0.0021390092439646838,0.0022416095770700973
0.00410143,0.0020486909552070525,0.002050369507474099,0.0019180224079552344,0.0018662558644757853,0.0019698367658495717,0.0021746991266794807,0.0023606827037541216
0.00415207,0.002136265240132247,0.0021392596938840979,0.0020102706426965316,0.001917858473697073,0.0019925428474528838,0.0021891693831479326,0.0024466126419263011
0.00420271,0.0021763999190808157,0.0021762645235405332,0.0020614758710734943,0.0019386010244302066,0.0019816379385620324,0.0021678803867751359,0.0024764157241517659
0.00425334,0.0021653646989305119,0.002155802410156565,0.0020592173176288099,0.0019166481801639284,0.0019272059034315349,0.002100262192394411,0.0024337847747846579
0.00430397,0.0021058403386780009,0.0020797850650125962,0.0019982684028957858,0.0018459716170001771,0.0018251776511316264,0.0019817236579689947,0.002312170600783453
0.00435461,0.0020065195487413523,0.0019572851321767713,0.0018814340470739389,0.0017273102557729312,0.0016779935248069978,0.0018145455868952233,0.0021156639716733571
0.00440524,0.001880720298684926,0.0018029252266792111,0.0017188001193221062,0.0015677614215441266,0.0014939788458041856,0.0016071051222929773,0.0018578918674978819
0.00445588,0.0017444167232014971,0.0016345384674602923,0.0015258868489361854,0.0013793639437351039,0.0012858066893663182,0.0013723676891885708,0.0015595751971200051
0.00450651,0.001614120082643471,0.001470653383460044,0.001321155480986451,0.0011770510222323121,0.0010684135915453243,0.0011256691110510665,0.0012450627221991305
0.00455715,0.0015048336234251745,0.0013281275107652462,0.0011235673115033459,0.00097663756055002375,0.00085701861072876744,0.00088260460640611591,0.00093881595581520429
0.00460778,0.0014283115357297798,0.0012202122498363047,0.00094963624582306819,0.00079227392329025634,0.00066465302894983197,0.00065651853036976192,0.00066133667406940793
0.00465842,0.0013917804833574628,0.0011551936573050384,0.00081185141400630097,0.00063506505169518587,0.00050091791994408079,0.00045715176702446243,0.00042692788976408133
0.00470906,0.0013971439286181932,0.0011355964938574473,0.00071704135557055322,0.00051150667145485331,0.00037059670847757874,0.00028925858770170905,0.00024134897846392138
0.00475969,0.0014405646692161665,0.0011578354375084369,0.0006655068879240925,0.00042250755903761039,0.00027283747354381934,0.00015174590985515336,0.00010068921195907437
0.00481032,0.0015128578491689971,0.0012126921232012643,0.00065115143196245017,0.00036327063678088059,0.00020124933967384582,3.7918699058314231e-05,-7.8376145606874007e-06
0.00486096,0.0016001336491217224,0.0012860321311988204,0.00066203031716236286,0.00032358235589536612,0.00014434496274917414,-6.3992972328190531e-05,-0.00010423595913417751
0.00491159,0.0016849896511101916,0.001360031723537418,0.00068148649803435142,0.00028870552010543994,8.6567377872002094e-05,-0.00016964658377002285,-0.00021252178631256846
0.00496223,0.0017485903551738514,0.0014152668724529195,0.0006901479464173193,0.00024109738379754649,1.0078204797550833e-05,-0.00029668594679372142,-0.00035754234802071573
0.00501287,0.00177355878686808,0.0014336343500765739,0.00066883893845877613,0.00016305971446550847,-0.00010261385926884216,-0.00046203585006076133,-0.00056026016412820357
