Physical Time (s),xth_bot Monitor (kg-m/s^3): bot_cv1,xth_bot Monitor (kg-m/s^3): bot_cv2,xth_bot Monitor (kg-m/s^3): bot_cv3,xth_bot Monitor (kg-m/s^3): bot_cv4,xth_bot Monitor (kg-m/s^3): bot_cv5,xth_bot Monitor (kg-m/s^3): bot_cv6,xth_bot Monitor (kg-m/s^3): bot_cv7
0.00070889,-6.5234775321560141e-15,-6.0966666348404477e-15,-6.3176398210054907e-15,-6.3065726185680831e-15,-6.3066910595153725e-15,-6.3067621936703437e-15,-6.3067627457316821e-15
0.00075952,-3.1859286990854676e-16,-2.1210228982727907e-16,-3.5201539017279864e-16,-3.062660346426519e-16,-3.0525508941742519e-16,-3.0506256941987884e-16,-3.0506259794628982e-16
0.00081016,3.5563981525543643e-15,3.5829130664093031e-15,3.2794561165384872e-15,3.2335580561604021e-15,3.2330926038855089e-15,3.2328457737482103e-15,3.2328459226466982e-15
0.0008608,7.8109008993311365e-15,7.5523924422577846e-15,9.2665943820406039e-15,9.1523323730522485e-15,9.1538729625608863e-15,9.1535188171100159e-15,9.1535181814582346e-15
0.00091143,-1.1445960056652124e-14,-1.0663105531771041e-14,-1.3582606629407117e-14,-1.3646604892780655e-14,-1.3643267745606005e-14,-1.3644045479919927e-14,-1.3644048156660948e-14
0.00096207,-1.8824962547267421e-15,-4.676271462681415e-15,-7.6715536831040335e-15,-7.8942499049642039e-15,-7.8821048210310727e-15,-7.8825237441110337e-15,-7.8825245282890034e-15
0.0010127,-2.0084412883058113e-15,-1.0549953428053815e-15,-3.8121436253249198e-15,-4.8959983736988782e-15,-4.8812894381623487e-15,-4.8781880105850651e-15,-4.8782047197653693e-15
0.00106333,2.5911076564722306e-15,9.3571084950681132e-15,1.065133787788367e-14,1.314559942658565e-14,1.3346101592254204e-14,1.3353681177276694e-14,1.335368959303252e-14
0.00111397,1.0322612904854535e-14,6.7028214417000608e-15,9.7762712338308833e-15,8.4413054747641329e-15,8.6005046835775773e-15,8.5924653235428144e-15,8.5924103604018641e-15
0.0011646,1.0276650587216631e-14,1.4883898804469617e-14,1.610092842127111e-14,1.8832535021270913e-14,1.8551788088678045e-14,1.8541985428725652e-14,1.8541898379016266e-14
0.00121524,-4.8079008197440436e-15,-2.1525392181374929e-15,5.2977648034604167e-15,2.8025408737202083e-15,2.9510757670565767e-15,2.9307416858898257e-15,2.9307174555480245e-15
0.00126588,-2.0877868553026348e-15,-2.6042790315131326e-15,-5.7282762148908863e-15,-4.1795240331725869e-16,-2.2251425598712508e-16,-2.3537726207314854e-16,-2.3540901028802317e-16
0.00131651,-1.0111623844648805e-14,-1.0298516195211278e-14,-6.8090401215216581e-15,-5.7252490185704995e-15,-4.9053461001761596e-15,-4.994884848216841e-15,-4.9946950479510275e-15
0.00136714,-1.0480891465829705e-14,-9.6799506557889222e-15,-1.3703200824445539e-14,-2.1231407946531753e-14,-2.1363503760078517e-14,-2.1345052137716478e-14,-2.1344751822867027e-14
0.00141778,-7.1591155230538331e-15,-7.4313273093906622e-15,-9.2835242911158412e-15,-1.1149517082417539e-14,-1.2082954508672251e-14,-1.2182816620016572e-14,-1.2184113489525078e-14
0.00146842,-1.757650574499278e-14,-1.6763946643524405e-14,-1.5750269194057689e-14,-1.7792180264218485e-14,-1.9036560980280943e-14,-1.9045391026863871e-14,-1.9046633436394412e-14
0.00151905,-1.1267784088549954e-14,-1.1049879127213431e-14,-1.0823755064784448e-14,-1.1348737299026025e-14,-1.4353289030765374e-14,-1.4353921167753964e-14,-1.4357000826089566e-14
0.00156968,-8.037267812587908e-15,-8.0574177780676003e-15,-8.0469930075225441e-15,-8.1155009662396153e-15,-9.6150907493097054e-15,-9.8351254308603342e-15,-9.8366995952608676e-15
0.00162032,-2.9571324924095456e-15,-3.3195261352619086e-15,-2.8161488474633712e-15,-1.745627424199393e-15,1.4249715441923335e-15,1.5411395156016123e-15,1.5202626820122026e-15
0.00167096,1.7501097407185789e-15,8.7432982238168485e-16,1.8741250861487174e-16,-1.428361147307374e-17,-2.2852263514194843e-15,-1.1441073405823833e-15,-1.1619640754730634e-15
0.00172159,4.3647241772951818e-15,6.5494405958636789e-16,-1.2405895039275351e-15,-1.6396616085490414e-15,-4.041775901817765e-15,-3.3457174762367607e-15,-3.3780377858373494e-15
0.00177222,-1.2874625029757985e-15,-4.9529475373118364e-15,-4.9434046804761239e-15,-4.2071474337641281e-15,-4.3971191934264876e-15,-5.2067511964095929e-15,-5.1775931397734889e-15
0.00182286,1.1253930693131811e-14,9.5520418497220332e-15,8.2999889439326093e-15,8.2742950663276873e-15,6.1790284568537324e-15,4.9997241611090311e-15,4.9862183794719139e-15
0.00187349,-1.0027473845739544e-15,-4.9500389020119492e-15,-8.3613715167342935e-15,-7.9514792696656087e-15,-9.8521625982793073e-15,-7.8336973236443827e-15,-7.8431080809213328e-15
0.00192413,1.1162507074648413e-14,1.2510227993110382e-14,1.1078926668007225e-14,1.1694866387731483e-14,1.0602540021306364e-14,9.8939340517629222e-15,9.7583148367397007e-15
0.00197476,1.2757858539671946e-15,3.5431797427053931e-16,-4.4371695882641222e-15,-4.5995476468244404e-15,-4.3051984230586726e-15,-3.2935787443490975e-15,-3.383453098915248e-15
0.0020254,4.2626720300459818e-15,5.8541329135380307e-15,3.332852953419271e-15,1.8099248438236959e-15,2.136426479501769e-15,1.6262563936306633e-15,1.689372249584341e-15
0.00207603,-1.1231966493067482e-15,-2.0932997466533818e-16,-4.6472607025186029e-15,-5.2162164223455738e-15,-4.8701304103720939e-15,-4.604120251265917e-15,-4.4480347546093069e-15
