Physical Time (s),enthalpy_storage_vol Monitor (N): cv1,enthalpy_storage_vol Monitor (N): cv2,enthalpy_storage_vol Monitor (N): cv3,enthalpy_storage_vol Monitor (N): cv4,enthalpy_storage_vol Monitor (N): cv5,enthalpy_storage_vol Monitor (N): cv6,enthalpy_storage_vol Monitor (N): cv7
5.063e-05,0.0020794880684439085,0.0020792235382231994,0.002079222048263035,0.002079222005820947,0.0020792219970888061,0.002079221987334495,0.002079221969998686
0.00010127,0.0036636181883067547,0.0036633573957120212,0.0036633526216650661,0.0036633525082408972,0.0036633524855446348,0.003663352459752012,0.0036633524129965223
0.00015191,0.0049571570535861791,0.0049611067606203374,0.0049610925992478608,0.0049610923386664398,0.0049610922869858234,0.0049610922254630582,0.0049610921121134794
0.00020254,0.0060798659549086437,0.0061033925360822333,0.006103351561554695,0.0061033509834584427,0.0061033508761422408,0.0061033507459589799,0.0061033505047535103
0.00025318,0.0069822650823016235,0.0070531506931635086,0.0070530423562640138,0.0070530410856272478,0.0070530408705442886,0.0070530406111953617,0.0070530401299653102
0.00030381,0.0075503424030127558,0.0076950982713083586,0.0076948620193620452,0.0076948592352187603,0.0076948588321445943,0.0076948583649038491,0.0076948574996490689
0.00035444,0.0077255051498772535,0.0079493699912885595,0.0079490265124033416,0.007949020465576077,0.0079490197218237135,0.007949018891622384,0.0079490173544707055
0.00040508,0.0075478054257865652,0.0078297477349725461,0.0078297638218291447,0.0078297508753266461,0.0078297495462228642,0.0078297481308323685,0.0078297455137909984
0.00045571,0.0071303422642604048,0.0074381251835184178,0.007440182327114242,0.0074401551250756412,0.0074401528125720654,0.007440150491124212,0.0074401462076431691
0.00050635,0.0066049442663506088,0.0069114765728807374,0.0069193988467601891,0.0069193431684473851,0.0069193391819578559,0.0069193355245529119,0.0069193288144565697
0.00055698,0.0060805181897054424,0.0063685630367223984,0.0063885180856294724,0.0063884085824487307,0.0063884017172990155,0.0063883961327528375,0.0063883859977632599
0.00060762,0.0056281910221765465,0.0058885157145499457,0.0059274410872781945,0.0059272377075532618,0.0059272258578971018,0.0059272174964994798,0.0059272025457908443
0.00065825,0.005285585152823625,0.0055155341622089276,0.0055779799191054873,0.005577630078681616,0.005577609578801569,0.0055775972320807332,0.0055775755752348836
0.00070889,0.00506742652343366,0.0052707394654879711,0.0053560713236700764,0.0053555321422742216,0.0053554968133227888,0.0053554787688396251,0.0053554479066265639
