Physical Time (s),phi_alt_vol Monitor (N): cv1,phi_alt_vol Monitor (N): cv2,phi_alt_vol Monitor (N): cv3,phi_alt_vol Monitor (N): cv4,phi_alt_vol Monitor (N): cv5,phi_alt_vol Monitor (N): cv6,phi_alt_vol Monitor (N): cv7
5.063e-05,0.0011668389980048828,0.0011665646342435795,0.0011665631442661305,0.0011665631018240414,0.0011665630930919007,0.0011665630833375897,0.0011665630660017807
0.00010127,0.0014722111530518934,0.0014716514070556956,0.0014716466325706257,0.0014716465191464501,0.0014716464964501874,0.0014716464706575646,0.001471646423902075
0.00015191,0.0016071152609118829,0.001607727396446825,0.0016077132256628872,0.0016077129650814096,0.0016077129134007928,0.0016077128518780278,0.0016077127385284483
0.00020254,0.0016919761519995245,0.0016977264929031934,0.0016976853540713241,0.0016976847759746518,0.0016976846686584479,0.0016976845384751866,0.0016976842972697167
0.00025318,0.0017505106785439444,0.0017651416900381336,0.0017650312077962943,0.0017650299371564536,0.0017650297220734822,0.0017650294627245553,0.001765028981494504
0.00030381,0.0018076390686931725,0.0018311977412175248,0.0018309412576238714,0.0018309384734578992,0.0018309380703836727,0.0018309376031429264,0.0018309367378881464
0.00035444,0.0018764656235955527,0.0019069266364160969,0.0019064457395187653,0.001906439692521314,0.0019064389487686636,0.0019064381185673299,0.0019064365814156516
0.00040508,0.0019533635362982637,0.001991456082231704,0.0019907862063231713,0.0019907732585459372,0.0019907719294408096,0.0019907705140502973,0.0019907678970089277
0.00045571,0.0020259507202922151,0.0020752317905277312,0.0020746991341268652,0.0020746719228530177,0.0020746696103431722,0.0020746672888952607,0.0020746630054142177
0.00050635,0.0020849711400112766,0.0021476445233423276,0.0021479470510194208,0.0021478913099755312,0.002147887323456337,0.0021478836660511784,0.0021478769559548356
0.00055698,0.0021294706454639666,0.0022048737068943725,0.0022068898620248032,0.0022067799704897956,0.0022067731051973851,0.0022067675206504079,0.002206757385660829
0.00060762,0.0021642324620246949,0.0022504928057475405,0.0022548843405440179,0.0022546788201368221,0.0022546669697908785,0.0022546586083902324,0.0022546436576815938
0.00065825,0.0021952599798558663,0.0022906912725512464,0.0022977862690173661,0.0022974260842192704,0.002297405581042411,0.0022973932343099408,0.0022973715774640821
0.00070889,0.0022270640504835956,0.0023302808289130984,0.0023404408068319602,0.0023398581606179658,0.0023398228163633065,0.0023398047718347081,0.0023397739096216209
0.00075952,0.0022617331308678245,0.0023711708816717002,0.002385317784884163,0.0023844634511973966,0.0023844030630553533,0.002384376796542265,0.0023843332895395171
0.00081016,0.0022991880156088152,0.0024130845106741855,0.002432594542042533,0.0024314869074904743,0.0024313856689770147,0.0024313476352730576,0.0024312871317796704
0.0008608,0.0023379245856343317,0.0024550240492112341,0.0024808806411778222,0.0024796645203746569,0.0024794998390132894,0.0024794451410762265,0.0024793623783136852
0.00091143,0.0023761363098134323,0.0024962736462017443,0.0025283413778766427,0.0025273278572081497,0.0025270702103150204,0.0025269922264323235,0.0025268812413264188
0.00096207,0.0024125149249921438,0.002536473910506259,0.0025735985703935365,0.0025732421978411145,0.0025728573688313149,0.002572747233610723,0.002572601568324377
0.0010127,0.0024467913204267362,0.002575636867959228,0.0026163522376790971,0.0026171504316556686,0.0026166060848434847,0.0026164523000549891,0.0026162655812264971
0.00106333,0.0024800285066615231,0.002614581813521367,0.0026577404485650705,0.002660117397780477,0.00265939585094722,0.0026591844233114651,0.0026589517105264412
0.00111397,0.0025118655196028246,0.0026525068689102595,0.0026974948121213272,0.0027017383449974451,0.0027008547088274658,0.0027005691793628205,0.0027002874490486359
0.0011646,0.0025411724502806135,0.0026879806851094592,0.0027345272752302835,0.0027408403405431514,0.0027398624178023136,0.0027394857701317694,0.0027391561224033864
0.00121524,0.0025671451896803303,0.0027200808256531992,0.0027680561409783554,0.0027765770555098013,0.0027756400107060014,0.0027751570124932975,0.0027747857343009565
0.00126588,0.0025897817830451181,0.0027488232178133161,0.0027980729679222688,0.0028088904534593192,0.0028081983589336168,0.002807600979921891,0.0028072024107125182
0.00131651,0.0026101783710421366,0.002775397327122365,0.0028258376371258862,0.0028388574417086546,0.0028386629526959044,0.002837955536083746,0.0028375514528192394
0.00136714,0.00262970467606194,0.0028012705903181032,0.0028530868684618076,0.0028678795869997512,0.0028684480449995262,0.0028676555391087297,0.0028672778554850219
0.00141778,0.002649349304912875,0.0028275087710763892,0.0028812606363417801,0.0028970537950819774,0.0028986070881558373,0.0028977825596685431,0.0028974716034525123
0.00146842,0.0026680484716989587,0.0028530737018056338,0.0029095575800614781,0.0029254553777635856,0.0029281361376816031,0.0029273762995350081,0.0029272032819229782
0.00151905,0.002686400960398583,0.0028785620865301948,0.0029384556146959009,0.0029537739488036058,0.002957622937870311,0.0029570460813358782,0.00295706632133236
0.00156968,0.0027054275177634092,0.0029050320335409744,0.0029686194692129884,0.002983095499830652,0.0029880802484370185,0.0029878202556269506,0.0029880744274142787
0.00162032,0.0027252001364348895,0.0029326326786393558,0.0029996930068352324,0.0030135668387087015,0.0030195724758507033,0.0030197710773011113,0.0030202871207418536
0.00167096,0.0027452026425294701,0.0029609548608483891,0.0030308973389989971,0.0030447352133502539,0.0030515909213308075,0.0030523833988386818,0.0030531707189447484
0.00172159,0.0027649629884541329,0.0029896328241577779,0.0030617079707112825,0.0030761961466070726,0.0030836860016230615,0.0030851797419470641,0.0030862274454042677
0.00177222,0.0027841383732436086,0.003018429206000821,0.0030919420748347056,0.0031077547095175778,0.0031156252719498389,0.0031179215909373226,0.0031192746372455727
0.00182286,0.0028022273893918708,0.0030468730056377813,0.00312121128675414,0.0031388604965847141,0.003146761725482547,0.0031497840946247881,0.0031512311681642603
0.00187349,0.0028188902781557668,0.0030746600945762217,0.0031493966772767877,0.0031692780021345983,0.0031768454805121008,0.0031804913911576932,0.003181856403817919
0.00192413,0.002834312751085726,0.003101970637875645,0.0031768326948035091,0.0031991597374338406,0.0032060759427260275,0.0032102213850069188,0.0032113187530219299
0.00197476,0.0028480735708006541,0.0031283420180220891,0.0032031798235048589,0.0032279376956620542,0.0032340478813139904,0.0032385160308424496,0.0032391404042186583
0.0020254,0.0028598169201916853,0.0031533569158211268,0.0032281291112024554,0.0032550432361117599,0.003260453497472361,0.0032650935458028428,0.0032651151957381404
0.00207603,0.002869720805550857,0.0031771349579781541,0.0032519412187606471,0.0032805595370966416,0.0032856603279706039,0.0032904511086026883,0.0032899968716046534
0.00212667,0.002878167194565373,0.0031999545259666388,0.0032749583621868557,0.0033047164785998087,0.0033100252778128698,0.0033149570130171298,0.0033141867136817216
0.00217731,0.0028855817488779795,0.0032221023822940932,0.0032974697206470892,0.0033277722280009095,0.0033337781977740614,0.0033387532333610448,0.0033376882186260761
0.00222794,0.002892480912558895,0.0032439655017538192,0.0033198643842474829,0.0033502074824848247,0.0033573072724636874,0.0033621642211524023,0.0033607579008771388
0.00227858,0.0028995043208998286,0.0032661093604131617,0.0033427658894313451,0.0033728556136043328,0.0033814214403959215,0.0033860835923502602,0.0033845392980573078
0.00232921,0.0029070547027316151,0.0032888368765980336,0.0033664727231894264,0.0033961644466139139,0.003406456782581873,0.0034108790234082804,0.0034094438762714268
0.00237984,0.0029154500567725719,0.0033124079902335907,0.0033912680958570317,0.0034205904394298357,0.0034328074649751538,0.0034370875495790239,0.0034362242546483995
0.00243048,0.002924826726638078,0.0033368219691232142,0.0034170079443231992,0.0034459761975826108,0.0034600344192984105,0.0034641909149154722,0.0034639520360856893
0.00248111,0.002935393465908149,0.0033622624460114916,0.0034438876989665189,0.0034726195879139468,0.0034883209721076887,0.0034926299293483835,0.003493279572373738
0.00253175,0.0029468519042556698,0.0033883609959227084,0.003471458021260007,0.0035000750753429537,0.0035170542270280053,0.0035218062735610624,0.003523444932884172
0.00258238,0.0029587856595556417,0.0034146654608266536,0.0034992161881239538,0.0035278533404641058,0.0035456793109148602,0.0035511611202551684,0.0035538257746895387
0.00263302,0.0029706962589806699,0.0034406608883261417,0.0035266034577398856,0.0035553807917396338,0.0035736438665751541,0.0035800603932925933,0.0035836865440294274
0.00268366,0.0029820912867489224,0.0034658552710649286,0.0035530923209457091,0.0035820910412637992,0.0036004387616572833,0.0036078707423490329,0.0036122707580464762
0.00273429,0.0029927049335981329,0.0034900129014604668,0.0035784523281428065,0.0036077336523606101,0.0036259110146808558,0.0036343684439086501,0.0036393472204008172
