Physical Time (s),ea_left Monitor (kg-m/s^3)
0.00541794,-0.00064485556305518955
0.00546858,-0.00067194353823415173
0.00551922,-0.00070433722020397526
0.00556985,-0.00074370275383319352
0.00562048,-0.00079102285734865643
0.00567112,-0.00084641802083637206
0.00572176,-0.00090903690227789964
0.00577239,-0.00097703214422890103
0.00582302,-0.0010476549524734158
0.00587366,-0.00111739797645252
0.00592429,-0.0011823615139865918
0.00597493,-0.0012387691633798988
0.00602557,-0.0012833284765480576
0.0060762,-0.0013135346831837291
0.00612683,-0.0013278655401842737
0.00617747,-0.0013257945399850716
0.00622811,-0.001307818372162171
0.00627874,-0.0012749811093945636
0.00632937,-0.0012289417319643978
0.00638001,-0.0011715844432628928
0.00643064,-0.00110487497664088
0.00648128,-0.0010307695275008988
0.00653192,-0.00095119657350206611
0.00658255,-0.00086808485340689081
0.00663318,-0.00078340512466321057
0.00668382,-0.00069918650882951495
0.00673445,-0.00061748886537425383
0.00678509,-0.00054032256516312201
0.00683572,-0.0004695308268443384
0.00688636,-0.00040665898029233527
0.00693699,-0.0003528758537100304
0.00698763,-0.0003089414492079893
0.00703827,-0.00027518758627151341
0.0070889,-0.00025165215546288155
0.00713953,-0.00023827956477675625
0.00719017,-0.00023506253103381387
0.0072408,-0.00024215146052165393
0.00729144,-0.00026004513442229728
0.00734207,-0.00028954207455312176
0.00739271,-0.00033154297489499654
0.00744334,-0.00038673909139072895
0.00749398,-0.000455251032933133
0.00754462,-0.00053629755063194741
0.00759525,-0.00062799640394036881
0.00764588,-0.00072732538432462813
0.00769652,-0.00083026084341809652
0.00774715,-0.00093209159467404581
0.00779779,-0.0010276797474245646
0.00784842,-0.0011119714651193994
0.00789906,-0.0011805439252010851
0.00794969,-0.0012300127800107009
0.00800033,-0.0012582985721575476
0.00805097,-0.0012645098489170584
0.0081016,-0.0012514461322590904
0.00815223,-0.0012208711212165347
0.00820287,-0.001175592235264626
0.0082535,-0.0011193045374245326
0.00830414,-0.0010561500221389509
0.00835478,-0.00099029650265473976
0.00840541,-0.00092556280254450839
0.00845605,-0.00086518311376614803
0.00850668,-0.00081169374443000662
0.00855731,-0.00076704821904238546
0.00860795,-0.00073258764538335595
0.00865858,-0.00070918241574807425
0.00870922,-0.00069648897017452632
0.00875986,-0.00069431175136152657
0.00881049,-0.00070200620299530917
0.00886112,-0.00071847829919030842
0.00891176,-0.00074218731709534938
0.00896239,-0.00077116584889798292
0.00901303,-0.00080310241609685118
0.00906367,-0.00083547976378889268
0.0091143,-0.00086577139191203341
0.00916493,-0.0008916424557350376
0.00921557,-0.00091114882002519193
0.0092662,-0.00092294647881359772
0.00931684,-0.0009264197751816457
0.00936748,-0.00092166227014688377
0.00941811,-0.00090979513104918087
0.00946875,-0.00089214544169638282
0.00951938,-0.00087048156499099463
0.00957001,-0.00084674958379107911
0.00962065,-0.00082290859315150601
0.00967128,-0.00080074717635457426
0.00972192,-0.00078175236808904474
0.00977256,-0.00076715699571609135
0.00982319,-0.00075747138979347897
0.00987382,-0.00075315783580511388
0.00992446,-0.00075436699993127647
0.00997509,-0.00076091776391347355
0.01002573,-0.00077232550229182318
0.01007637,-0.00078786892330383134
0.010127,-0.00080666793035951345
0.01017763,-0.00082775373728442392
0.01022827,-0.00085013307649928357
0.0102789,-0.00087285268652868614
0.01032954,-0.00089506453839408528
0.01038018,-0.0009160856130886343
0.01043081,-0.00093544209200214102
0.01048144,-0.0009528896641830798
0.01053208,-0.00096840747412972801
0.01058271,-0.00098216602830061232
0.01063335,-0.00099447575514786707
0.01068399,-0.0010057302027295795
0.01073462,-0.0010163505255187482
0.01078526,-0.001026735662325153
0.01083589,-0.0010372252043141035
0.01088652,-0.0010480721916995522
0.01093716,-0.0010594264343476308
0.01098779,-0.0010713415201669314
0.01103843,-0.0010837866403459234
0.01108907,-0.0010966647464875794
0.0111397,-0.0011098339944274748
0.01119033,-0.0011231294990307402
0.01124097,-0.0011363828615810851
0.0112916,-0.001149437586123537
0.01134224,-0.0011621594408732588
0.01139288,-0.0011744399708009481
0.01144351,-0.0011861958586377626
0.01149414,-0.0011973639491063615
0.01154478,-0.0012078938161381001
0.01159541,-0.0012177397898236767
0.01164605,-0.0012268536776651928
0.01169669,-0.00123517926130041
0.01174732,-0.0012426497072452959
0.01179796,-0.0012491876449391747
0.01184859,-0.0012547085205164156
0.01189922,-0.0012591258864060042
0.01194986,-0.0012623586007948458
0.01200049,-0.0012643388331788699
0.01205113,-0.0012650198631854496
0.01210177,-0.0012643827852314373
0.0121524,-0.0012624415753604795
0.01220303,-0.0012592449397028772
0.01225367,-0.0012548778444452155
0.0123043,-0.0012494584900835971
0.01235494,-0.0012431343863898328
0.01240558,-0.0012360763864244051
0.01245621,-0.001228471875111948
0.01250684,-0.0012205180106450943
0.01255748,-0.0012124158591285549
0.01260811,-0.0012043663846733887
0.01265875,-0.0011965671717777994
0.01270939,-0.0011892108204020191
0.01276002,-0.0011824843798618875
0.01281065,-0.0011765666907809912
0.01286129,-0.0011716259176108431
0.01291192,-0.0011678157151767015
0.01296256,-0.0011652712458858098
0.01301319,-0.0011641056710616202
0.01306383,-0.001164407449217378
0.01311447,-0.0011662385993298345
0.0131651,-0.0011696339666818927
0.01321573,-0.0011746008986728202
0.01326637,-0.001181119656249262
0.013317,-0.0011891436214356158
0.01336764,-0.001198599817083385
0.01341828,-0.0012093899899801187
0.01346891,-0.0012213913641354829
0.01351954,-0.0012344596975162427
0.01357018,-0.0012484307911251188
0.01362081,-0.0012631242184272045
0.01367145,-0.0012783454845078882
0.01372209,-0.0012938896538052416
0.01377272,-0.0013095438514996349
0.01382335,-0.0013250906641974678
0.01387399,-0.0013403109674589462
0.01392462,-0.0013549868351987965
0.01397526,-0.0013689045648578818
0.0140259,-0.0013818576642695654
0.01407653,-0.0013936503237829633
0.01412716,-0.001404100208511203
0.0141778,-0.0014130426836676698
0.01422843,-0.0014203343633071141
0.01427907,-0.0014258579601968244
0.0143297,-0.001429527383168355
0.01438034,-0.0014312925206778023
0.01443098,-0.0014311439630125989
0.01448161,-0.0014291169274853518
0.01453224,-0.0014252923480255358
0.01458288,-0.0014197964020729956
0.01463351,-0.0014127969209691009
0.01468415,-0.0014044977336523372
0.01473479,-0.0013951320791184957
0.01478542,-0.0013849546925188681
0.01483605,-0.0013742353075999558
0.01488669,-0.0013632522183319178
0.01493732,-0.0013522882692210431
0.01498796,-0.0013416277497435996
0.0150386,-0.0013315546685921105
0.01508923,-0.0013223486309425813
0.01513986,-0.0013142785443007068
0.0151905,-0.0013075917231597466
