Physical Time (s),aphi_alt_flux_top Monitor (kg-m/s^3): top_cv1,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv2,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv3,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv4,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv5,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv6,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv7
0.00060762,7.58334075627228e-08,7.6204207671369453e-08,7.6870896016482845e-08,7.6896357230145205e-08,7.6896554103193667e-08,7.6896558757623817e-08,7.6896558852479583e-08
0.00065825,1.6420318118280639e-07,1.6502318473961018e-07,1.6706828958484919e-07,1.6716337938345367e-07,1.6716409310551838e-07,1.6716410628994368e-07,1.6716410648648394e-07
0.00070889,3.045106154373224e-07,3.0550810301984015e-07,3.1076403667508641e-07,3.1108668557237008e-07,3.1108923837025028e-07,3.1108927608309317e-07,3.1108927648084137e-07
0.00075952,4.6666485376507907e-07,4.6515150120058042e-07,4.7587287099587582e-07,4.7685101350116156e-07,4.7685989968161774e-07,4.7686000930033007e-07,4.7686001009461319e-07
0.00081016,5.3410656015273039e-07,5.2096342684965935e-07,5.3602765655790522e-07,5.3863316056615304e-07,5.386627957376855e-07,5.3866311826131143e-07,5.3866311982197175e-07
0.0008608,2.924761251930584e-07,2.4800191235681464e-07,2.5271738893315513e-07,2.5866016522227175e-07,2.5875292049721127e-07,2.5875387136738664e-07,2.5875387437202913e-07
0.00091143,-4.1420527271453725e-07,-5.1671352108068877e-07,-5.6600967181489852e-07,-5.5486036535308821e-07,-5.5459170161914638e-07,-5.5458892453123218e-07,-5.5458891889722419e-07
0.00096207,-1.4326288316427895e-06,-1.6093954600218855e-06,-1.7943981161061989e-06,-1.7787499692666567e-06,-1.778038279736542e-06,-1.778030327339117e-06,-1.7780303172033994e-06
0.0010127,-2.319616786195889e-06,-2.5595926074286054e-06,-2.9826402617834024e-06,-2.9719319340116555e-06,-2.9702278757274945e-06,-2.9702058524840035e-06,-2.97020583524564e-06
0.00106333,-2.5777681544034507e-06,-2.8372732237669687e-06,-3.5802242552551924e-06,-3.6011293736372935e-06,-3.5974904044230021e-06,-3.5974321350039394e-06,-3.597432108063157e-06
0.00111397,-1.4500663918042269e-06,-1.7122238847265752e-06,-2.7799097379405347e-06,-2.8808097684539973e-06,-2.8739876105983696e-06,-2.8738417096404949e-06,-2.8738416730573219e-06
0.0011646,8.216710425577084e-08,-1.3167127610519666e-07,-1.4774671337934894e-06,-1.7210219978665369e-06,-1.7101123579427273e-06,-1.7097712334521139e-06,-1.7097711976764025e-06
0.00121524,8.0420284270049773e-07,6.4139267729824636e-07,-8.347708299132796e-07,-1.2758109328425638e-06,-1.2618095573875061e-06,-1.2610725646688622e-06,-1.2610725669951698e-06
0.00126588,1.7177519236365554e-07,6.3531743992152889e-08,-1.3253150602284004e-06,-1.9951145746598907e-06,-1.9833104396207498e-06,-1.9818556923422253e-06,-1.9818558251905979e-06
0.00131651,-1.2950463462325426e-06,-1.349536728312891e-06,-2.4201686178325823e-06,-3.2904642203553404e-06,-3.2926355267293843e-06,-3.2900363822247872e-06,-3.2900368367163477e-06
0.00136714,-2.6530348964519173e-06,-2.6791220302739834e-06,-3.3064334872944031e-06,-4.2765129443058051e-06,-4.311278404824721e-06,-4.3071767782219949e-06,-4.3071778429371478e-06
0.00141778,-3.6097634358761253e-06,-3.6285345411650341e-06,-3.869318222657676e-06,-4.8064271150228738e-06,-4.894854050349653e-06,-4.8893162670856949e-06,-4.8893182379285682e-06
0.00146842,-3.5998005591590544e-06,-3.5873146609319384e-06,-3.6507138739274251e-06,-4.4351979971655972e-06,-4.5949058250291956e-06,-4.5890876821073731e-06,-4.5890901589737964e-06
0.00151905,-2.6268986578770102e-06,-2.5705287166811646e-06,-2.6420883137772712e-06,-3.2082948543304737e-06,-3.444682383251667e-06,-3.4414320154279629e-06,-3.4414329759629131e-06
0.00156968,-1.3397147309465711e-06,-1.3520429877221836e-06,-1.4559270803289434e-06,-1.8093987449711994e-06,-2.108079130704701e-06,-2.1122230436118184e-06,-2.1122171495492269e-06
0.00162032,-2.5879180468958036e-07,-4.9710549838652306e-07,-5.9319997441348485e-07,-7.9485365001481451e-07,-1.1260246358074001e-06,-1.143934012718806e-06,-1.1439099088358035e-06
0.00167096,4.3961497845132733e-07,-1.0524948644157311e-07,-2.1542728706831868e-07,-3.3537270886096939e-07,-6.6052418071020018e-07,-6.9868490734050361e-07,-6.9862198597702529e-07
0.00172159,8.3034699877813522e-07,1.8634942302388786e-08,-2.2472179381957321e-07,-3.0480896660196741e-07,-5.8752114743756318e-07,-6.5026931951228174e-07,-6.5013426784416704e-07
0.00177222,1.0478901185141792e-06,1.1262822107123693e-07,-4.2116199005268064e-07,-4.6726769458318613e-07,-6.8468535957463978e-07,-7.7345788107138781e-07,-7.731793419929747e-07
0.00182286,1.0861237127833546e-06,1.7229520077399624e-07,-7.4115021619594374e-07,-7.5913732688291575e-07,-9.0210530899789798e-07,-1.0105347909284115e-06,-1.0100963729168203e-06
0.00187349,1.137874261689837e-06,3.5164417533232024e-07,-9.216362030108591e-07,-9.4099436325461742e-07,-1.0159418649192244e-06,-1.1341651064032715e-06,-1.1335853709146274e-06
0.00192413,1.1608229135531915e-06,5.5585704566158988e-07,-9.577903696329753e-07,-1.0276171303877351e-06,-1.0469845338153054e-06,-1.1620142343446556e-06,-1.1614016849948683e-06
0.00197476,1.0814952319476394e-06,6.578758910586981e-07,-9.1649711851306475e-07,-1.08032141478305e-06,-1.0571269999543906e-06,-1.155248322287035e-06,-1.1548798451911425e-06
0.0020254,9.1028166353960368e-07,6.3709709673404707e-07,-8.2981094383693618e-07,-1.1032470303426615e-06,-1.0504905087763826e-06,-1.1204783803805002e-06,-1.1207604843501214e-06
0.00207603,7.0784982426305892e-07,5.4089702940157017e-07,-7.041252341524669e-07,-1.0793833501935429e-06,-1.0128060960386352e-06,-1.0494117303793876e-06,-1.0505074250213635e-06
0.00212667,5.1318575030473206e-07,4.1071935260410289e-07,-5.7103913637492812e-07,-1.0072386801063662e-06,-9.4557126067332738e-07,-9.4695892217089288e-07,-9.4893347964139593e-07
0.00217731,3.5208994728852975e-07,2.8112766300377546e-07,-4.508911965866523e-07,-8.9492850329950582e-07,-8.5359324145193974e-07,-8.1902276655324138e-07,-8.2227902428437647e-07
0.00222794,2.4683097120211468e-07,1.8418293761250865e-07,-3.4943137547480923e-07,-7.5537980241035507e-07,-7.4301068332957567e-07,-6.7361280728263899e-07,-6.7886486103512464e-07
0.00227858,2.0985504033913612e-07,1.3828314243490193e-07,-2.6638442652939988e-07,-6.0985165101963002e-07,-6.2854667143207574e-07,-5.3379176119149144e-07,-5.4097873060123988e-07
0.00232921,2.4086242452303856e-07,1.4602580247863768e-07,-1.9361010712100238e-07,-4.6836544032276676e-07,-5.1244749016894185e-07,-4.0594232426063199e-07,-4.1454962475390456e-07
0.00237984,3.3346503458631765e-07,2.0547520746178276e-07,-1.2542559532990799e-07,-3.4088027154154506e-07,-4.020090787605273e-07,-3.0235675635162349e-07,-3.1089897770584728e-07
