Physical Time (s),etp_top Monitor (kg-m/s^3): top_cv1,etp_top Monitor (kg-m/s^3): top_cv2,etp_top Monitor (kg-m/s^3): top_cv3,etp_top Monitor (kg-m/s^3): top_cv4,etp_top Monitor (kg-m/s^3): top_cv5,etp_top Monitor (kg-m/s^3): top_cv6,etp_top Monitor (kg-m/s^3): top_cv7
5.063e-05,3.2543616464633889e-12,3.220842560225728e-12,3.1677694958895494e-12,3.154705162909282e-12,3.1525487841452737e-12,3.15194739154344e-12,3.1518717913826398e-12
0.00010127,3.1094790019126392e-11,3.096649412160712e-11,3.0785493943294308e-11,3.0742695558404597e-11,3.0735915849891104e-11,3.0734218853835647e-11,3.0734023163915793e-11
0.00015191,2.962809279765957e-10,2.9594467278140906e-10,2.9552726825666501e-10,2.9541863429239958e-10,2.9540164689166634e-10,2.9539775430324241e-10,2.9539734404014778e-10
0.00020254,2.6723900666776727e-09,2.6722529733956442e-09,2.6721292644887593e-09,2.6719088450053633e-09,2.6718707988816258e-09,2.6718626165921358e-09,2.6718618305987079e-09
0.00025318,2.1500652572999171e-08,2.1508357275428785e-08,2.1515930858572325e-08,2.151571266763844e-08,2.1515635594772862e-08,2.1515619304310704e-08,2.1515617829128109e-08
0.00030381,1.5117894114631727e-07,1.5126943361715245e-07,1.5134694892182313e-07,1.5134819793301512e-07,1.5134806400275294e-07,1.5134803352795286e-07,1.5134803093649002e-07
0.00035444,9.1629593872555964e-07,9.1709225050026171e-07,9.1769921563305043e-07,9.1771176073329951e-07,9.1771161372717091e-07,9.1771156021419454e-07,9.1771155602860209e-07
0.00040508,4.8539997675500455e-06,4.8600847419855761e-06,4.864357974235065e-06,4.8644387726437552e-06,4.8644390292530947e-06,4.8644389416480489e-06,4.8644389352656667e-06
0.00045571,2.2557985404832786e-05,2.2599320048952274e-05,2.2627157977994207e-05,2.2627619562020674e-05,2.2627622397346385e-05,2.2627622270611729e-05,2.262762226131517e-05
0.00050635,9.1837258946770854e-05,9.2085225976544792e-05,9.2251793768866562e-05,9.2254313383658407e-05,9.2254328929342559e-05,9.2254328802657777e-05,9.2254328789504548e-05
0.00055698,0.00032781615130941658,0.00032911661369406075,0.00033001668243448412,0.00033002993817297504,0.00033003001193861094,0.00033003001205857987,0.00033003001204002933
0.00060762,0.0010244604338964646,0.001030366333703207,0.001034686801931455,0.0010347530508539036,0.001034753385305745,0.0010347533867654491,0.0010347533867399326
0.00065825,0.0027994677257236447,0.0028226093936424925,0.0028408460242179199,0.0028411553532953276,0.0028411568356491242,0.0028411568428510395,0.0028411568428182224
0.00070889,0.0066840622434266106,0.0067619770927576919,0.0068293671435098458,0.0068306976623924197,0.0068307040646408673,0.0068307040948343938,0.0068307040947969411
0.00075952,0.013924594288407512,0.014149918529947155,0.014367443822035796,0.014372655896056736,0.014372682585035585,0.01437268270501614,0.01437268270498604
0.00081016,0.025248730258144256,0.025808066586941802,0.026420846964708512,0.026439286126474889,0.026439392195480776,0.026439392660612744,0.026439392660628839
0.0008608,0.039691029347688651,0.040880338013285944,0.042386373084030295,0.042444926466466047,0.042445323015094925,0.042445324776922831,0.042445324777098191
0.00091143,0.053725728146366974,0.055882807699365759,0.059112133749350745,0.059278527426242358,0.059279909289778714,0.05927991577511605,0.059279915775764913
0.00096207,0.061833254450889177,0.06514088704056821,0.071176833425654049,0.071599297751974184,0.071603756200149291,0.071603779213859478,0.071603779215830221
0.0010127,0.059053749308511691,0.063266465736174768,0.073074050723580308,0.07403129440153812,0.074044542620846532,0.074044620673348285,0.074044620678885287
0.00106333,0.044751566759252737,0.049047549442999744,0.062813207935796561,0.06474660530896198,0.064782703008975165,0.064782953920262121,0.064782953935136403
0.00111397,0.023941800434534383,0.027173675642793861,0.043680303864955791,0.04715721526100021,0.047247127661819502,0.047247887060520084,0.047247887099013682
0.0011646,0.0053137963487539163,0.0066901015378051411,0.023288974570150289,0.028844551722030855,0.029048877231429023,0.029051029970453942,0.029051030065661249
0.00121524,-0.0036846504191730849,-0.0039989623060940277,0.0095138021906277636,0.017376817965681968,0.017799846920815321,0.017805541469570415,0.017805541691049538
0.00126588,-0.0013863680020625205,-0.0021896582177793711,0.0060520006556460011,0.015856839281648733,0.016653593833486652,0.016667606148388216,0.016667606619182887
0.00131651,0.0075586988000280906,0.00775381442989472,0.010812976651394702,0.021490481053156957,0.022853567283010433,0.022885570795815442,0.022885571642930203
0.00136714,0.015853368366899025,0.017743633619306694,0.017976395287666883,0.027986449118994297,0.030100776969428041,0.030168471444725831,0.030168472526023549
0.00141778,0.018309631573932759,0.021315434319322177,0.021907406503425746,0.029777807105515461,0.03274544173949169,0.032877966821927763,0.032877966627436785
0.00146842,0.014809653463557174,0.017618008868731796,0.020662215476015267,0.025594840731061885,0.029351581811827607,0.029591493003353161,0.029591485314073671
0.00151905,0.0084802011668061433,0.01014832017324141,0.01559795872803541,0.017779601779000256,0.022046302531100764,0.022447715491808819,0.022447680599700232
0.00156968,0.0031663577763594744,0.0038105694481769068,0.0099568281066130752,0.010372855082111236,0.014685054508771563,0.015305589488180203,0.015305473541784416
0.00162032,0.0010070173803458063,0.0016545219895435148,0.0065624364501352464,0.0064176271928082793,0.010241313437318619,0.011127199598391388,0.011126870907273712
0.00167096,0.0017675543319477316,0.0035105826741923616,0.006341610437747231,0.0064615816390556843,0.0093566343104206518,0.01052400463964865,0.010523170572657
0.00172159,0.0037888031708170544,0.006994056616917892,0.0083438706403986141,0.0089111057803039403,0.010663662059176928,0.012082852422941869,0.012080918325752898
0.00177222,0.005384254535658382,0.00953284788218349,0.010783100150957542,0.011491373130594134,0.012147404206941274,0.013737894877183732,0.013733753137018048
0.00182286,0.0056754348299138365,0.0097986695432753027,0.012147185380572301,0.012583446681699802,0.01237275434898409,0.014013929091759105,0.014005691990331694
0.00187349,0.0047457312756670061,0.0080250133198692085,0.011857372160880866,0.011831521495611794,0.011036873853863078,0.012589829656197593,0.012574569161578619
0.00192413,0.003128297855924965,0.0052255041318420023,0.010105078894047673,0.0097512900619592096,0.0086031172751223663,0.0099389749173713505,0.0099125933198027025
0.00197476,0.0014577467840731135,0.0025032730916159703,0.00756242733153175,0.0072140341795554437,0.0058558703561686276,0.0068739170840970455,0.0068313398498443039
0.0020254,0.00016613184626872239,0.00052246783542721892,0.0049417095216158094,0.0049195084716996242,0.0034389477814061164,0.0040728011386866863,0.0040086468422559623
0.00207603,-0.00059927292955555978,-0.00058589083583217034,0.0027233997037624832,0.0031773708914263044,0.0016565121072428792,0.0018692899098776063,0.0017791227677177975
0.00212667,-0.0009125367771720983,-0.0010298314658882511,0.0010933165918704363,0.0019693031437630283,0.00051101708188544146,0.0002884924537647738,0.00017040846896846382
0.00217731,-0.00094135590782160983,-0.0011029871735607545,2.6288818153817227e-05,0.0011344440799835604,-0.00014585998812215607,-0.0007986058769944124,-0.00094253164172256911
0.00222794,-0.00083919516992592407,-0.0010198141606699085,-0.0005930205395584373,0.00052472779392188733,-0.00048521900100654983,-0.0015415787565615652,-0.0017048024830856726
0.00227858,-0.00068333874994198028,-0.00086126096091774531,-0.00087024288178016627,8.5993434504197435e-05,-0.00061462277098848117,-0.0020239956542401302,-0.0021968839337930196
0.00232921,-0.00047495350594855249,-0.0006113712353578687,-0.00086255546643348275,-0.00015144917494057082,-0.00056413636072739394,-0.0022522833943143866,-0.0024249703361244016
0.00237984,-0.00017117424115253269,-0.00022030005603491373,-0.00058578782484969771,-0.00012549682125074656,-0.00031551057306660699,-0.0021918539397306844,-0.0023584721034900832
0.00243048,0.00026414379044483458,0.00033358051052581985,-5.4396958771485909e-05,0.00019584270970035561,0.00014672152125415634,-0.0018206273020616832,-0.0019836427221868766
0.00248111,0.00082535457103386119,0.0010153799024836502,0.0006838002615965138,0.00078010474538988458,0.00079994694566103424,-0.0011647043942189248,-0.0013370137261154405
0.00253175,0.0014539504824887502,0.0017369495464742693,0.0015335053392320551,0.001527411273060866,0.0015672392657846014,-0.00031488706713303331,-0.00051835236976578887
0.00258238,0.0020582306721520296,0.00238794311843177,0.0023692059122679817,0.0023025118592752089,0.0023375841874108197,0.00059987977162730393,0.00033933320847020511
0.00263302,0.0025455105339772526,0.0028727578118736179,0.0030678142362031966,0.0029758750253841577,0.0029987880516649159,0.0014501299285216188,0.0011096725403958443
0.00268366,0.00285209727015158,0.0031379472612838794,0.0035413144082981816,0.0034573297595122386,0.0034691978051924624,0.0021372185152848965,0.0017032672654649129
0.00273429,0.0029579087634052053,0.0031797732432779389,0.0037537015236712799,0.0037097277069085724,0.003713895881773426,0.0026115129809942315,0.0020824941287831381
0.00278492,0.0028916448260460181,0.0030426728607607662,0.0037276624439882403,0.0037520923456758767,0.0037522030292760646,0.0028805167195000347,0.0022655885813626471
0.00283556,0.0027036593990676233,0.0027886730863637093,0.003517728242692089,0.0036306275015493663,0.0036309206420343087,0.0029824858486611565,0.0022978822932813768
0.00288619,0.002455929501902738,0.0024864220664912967,0.0031986325322176184,0.0034081423321025957,0.0034147900155987523,0.0029757528187192963,0.0022399761450450978
0.00293683,0.0022042448048585324,0.0021948423082993828,0.0028448140764244295,0.0031459508599805037,0.0031674235772689392,0.0029191246956719904,0.0021499912318151218
0.00298746,0.0019881605582379625,0.0019551350299613132,0.0025168567946092131,0.0028934692427197641,0.0029394501404623801,0.002858747980100542,0.0020737061747398114
0.0030381,0.0018277481341444108,0.0017882055033609956,0.0022545734899372056,0.0026833973737449631,0.0027624331796567252,0.0028212500909950999,0.0020390597213861511
0.00308874,0.0017265968691298858,0.0016974730647558265,0.0020770038146786054,0.0025325755153915697,0.0026497823283552968,0.0028148343988048854,0.0020569109375007367
0.00313937,0.0016766321440883998,0.0016731922701783135,0.001985587667058291,0.0024443449432047203,0.0026000064319609164,0.0028345256989305077,0.0021249629819242322
0.00319001,0.0016628949335536429,0.0016969633666123244,0.0019683520802981623,0.0024117824869397662,0.0026013989299733813,0.0028689552530991765,0.0022316958905542372
0.00324064,0.0016674692538862119,0.0017457604932519845,0.0020041981108992646,0.0024203149726223202,0.0026357233309939583,0.0029047312765069638,0.0023600064048350175
0.00329127,0.0016727706946415371,0.0017958900348737082,0.0020673352422348871,0.0024508047025949731,0.0026821499220141295,0.0029297731774563084,0.0024897829795869249
0.00334191,0.0016642022931994541,0.0018266969829709989,0.0021312983029890269,0.0024826131480563856,0.0027204188527718714,0.0029352521696504397,0.0026013627856281878
0.00339254,0.0016327612665252276,0.0018242139074866113,0.0021734335394193553,0.0024972673128941885,0.0027339097532535833,0.0029162859516759865,0.0026783795687131346
0.00344318,0.0015761820492385921,0.0017830735157679475,0.0021780036903284112,0.0024813457699056417,0.0027117428607358806,0.0028706833428897107,0.002708681158350104
0.00349381,0.0014988723852839066,0.0017067249140329476,0.002138003920929458,0.0024283225858554298,0.0026500524772259779,0.0027992034703357722,0.0026867779926868147
0.00354445,0.0014106522338173725,0.0016060111793517542,0.0020553666892840919,0.0023389660710349076,0.0025517985787762046,0.0027051251504060098,0.0026146350203504545
0.00359509,0.0013246226410533293,0.0014966023310115585,0.0019398054304885981,0.0022204712890065105,0.0024255695236377666,0.0025938541337027108,0.0025003152240033019
0.00364572,0.0012546779445888427,0.0013959514762116156,0.0018067176816190769,0.002084790721109446,0.0022839661640030578,0.002473028902628223,0.0023585316240745139
0.00369636,0.0012131649047821434,0.0013203817713401743,0.0016745531928335537,0.0019465636473587602,0.0021415059433821013,0.002351846673043665,0.0022085861867084055
